state_label,n_train_events,selected_operator,selected_train_reward,global_best_operator,global_best_train_reward,train_mean_O1_lag0_AB,train_mean_O2_lag5_AB,train_mean_O3_A_C_boundary,train_mean_O4_B_C_boundary,train_mean_O5_full_TFC,train_mean_O6_phase_only,train_mean_O7_suppress_event,fold,condition_id
fes=Challenge,46,O4_B_C_boundary,0.2732938743454063,O1_lag0_AB,0.05843149637887709,0.05843149637887709,0.08232204906917609,0.14541149143909943,0.2732938743454063,0.10740070840849938,0.04042528582798935,0.0,2,b6j_001
fes=Surprise,128,O4_B_C_boundary,0.04645930085006965,O3_A_C_boundary,-0.04746703207552348,-0.07723508480471471,-0.10213296720647773,-0.04746703207552348,0.04645930085006965,-0.10304490551551919,-0.03317968860439751,0.0,3,b6j_001
fes=CoCreation,60,O3_A_C_boundary,0.5035146324305325,O3_A_C_boundary,0.5035146324305325,-0.03924965037233312,0.15322419449527053,0.5035146324305325,0.049701878445270645,0.493693377281701,-0.07392762411726736,0.0,3,b6j_001
fes=Activation,97,O1_lag0_AB,0.27830421433483793,O3_A_C_boundary,0.11892677741891597,0.27830421433483793,0.055436720668125966,0.11892677741891597,-0.06607704614563685,0.058734223640135745,0.07636925664569158,0.0,3,b6j_001
fes=SelfGrowth,70,O1_lag0_AB,0.034722069092343565,O3_A_C_boundary,-0.23512170823037787,0.034722069092343565,-0.013779548551506442,-0.23512170823037787,-0.1314148826521043,-0.16063770669855165,-0.14886890943600806,0.0,3,b6j_001
fes=Challenge,42,O3_A_C_boundary,0.4381059515410458,O3_A_C_boundary,0.4381059515410458,-0.11343907852564075,-0.06394064875623005,0.4381059515410458,0.2723717353114319,0.17985443841544455,0.06346450450095051,0.0,3,b6j_001
fes=Activation,96,O1_lag0_AB,0.11906779419507685,O4_B_C_boundary,-0.09312655708425478,0.11906779419507685,0.0014881127631815086,0.03722358041726971,-0.09312655708425478,0.051218243497865204,0.06765309566062634,0.0,4,b6j_001
fes=Surprise,129,O6_phase_only,0.03753078244213255,O4_B_C_boundary,0.012491521081775548,-0.12191925416615655,-0.06577701894847679,-0.13848715116550536,0.012491521081775548,-0.18683387912311888,0.03753078244213255,0.0,4,b6j_001
fes=CoCreation,61,O5_full_TFC,0.31787589123305576,O4_B_C_boundary,0.15369475234136293,0.031693493988562506,0.158906231881871,0.12195796326199805,0.15369475234136293,0.31787589123305576,0.10016960412527064,0.0,4,b6j_001
fes=SelfGrowth,76,O7_suppress_event,0.0,O4_B_C_boundary,-0.05118742096284376,-0.13190774564579424,-0.08202342152191754,-0.1346146571698978,-0.05118742096284376,-0.15402408346990032,-0.20398884423054883,0.0,4,b6j_001
fes=Challenge,52,O4_B_C_boundary,0.3076508529122323,O4_B_C_boundary,0.3076508529122323,0.0009057413456361616,0.008999255046035578,0.29058127649806614,0.3076508529122323,0.14166737763971218,0.06447678874458854,0.0,4,b6j_001
