condition_id,fold,label,idx_in_session,state_label,true_policy_operator,true_policy_source,true_policy_reward,balanced_pool_shuffle_reward,frequency_matched_random_reward,performance_matched_random_reward,within_state_shuffle_reward,oracle_reward
b6j_082,2,P3,276.0,side=B_side,O1_lag0_AB,state_mapping,1.3453644996283247,1.3453644996283225,1.3453644996283247,1.3453644996283247,1.9370799532182004,3.0929699290978094
b6j_082,2,P3,321.0,side=B_side,O1_lag0_AB,state_mapping,-0.10578003321899965,-0.10578003321899951,-0.3627366023978651,-0.10578003321899965,-0.2485965582568725,1.0036576048601722
b6j_082,2,P3,352.0,side=B_side,O1_lag0_AB,state_mapping,-1.3755077411143244,-1.3755077411143224,-0.527714505318447,-1.3755077411143244,-0.26176982090821815,0.7825114045479087
b6j_082,2,P3,372.0,side=B_side,O1_lag0_AB,state_mapping,-1.0960716752238508,-1.0960716752238475,-1.0579918946984062,-1.0960716752238508,-0.5916716007633936,1.6081608457775733
b6j_082,2,P3,379.0,side=A_side,O3_A_C_boundary,state_mapping,0.27424621327129317,0.2742462132712921,1.1378310401628506,0.5271685945420226,0.5428606373486085,1.6966212222691528
b6j_082,2,P3,386.0,side=A_side,O3_A_C_boundary,state_mapping,0.18538643792862525,0.18538643792862536,-0.24271717445225754,0.48294281536940364,0.3501767371265289,1.2563322868046496
b6j_082,2,P3,402.0,side=B_side,O1_lag0_AB,state_mapping,0.6350607708348471,0.635060770834844,0.2777827620684254,0.6350607708348471,0.21046588401460317,0.6350607708348471
b6j_082,2,P3,416.0,side=missing,O1_lag0_AB,global_fallback,,,,,,
b6j_082,2,P6,19.0,side=A_side,O3_A_C_boundary,state_mapping,,,0.6450477648654579,0.673102009159823,0.3250135809976775,0.673102009159823
b6j_082,2,P6,59.0,side=A_side,O3_A_C_boundary,state_mapping,2.2722164514847156,2.2722164514847205,0.12934272169653338,1.5973672016867988,0.47265829211638993,2.2722164514847156
b6j_082,2,P6,66.0,side=A_side,O3_A_C_boundary,state_mapping,2.9084232680950657,2.908423268095068,0.44402285450528756,1.3103258804710674,0.4048609106357851,2.9084232680950657
b6j_082,2,P6,86.0,side=A_side,O3_A_C_boundary,state_mapping,0.13045265471648648,0.1304526547164863,0.3732147898419521,0.421099723065882,0.3850448050456311,0.7117467914152775
b6j_082,2,P6,96.0,side=B_side,O1_lag0_AB,state_mapping,0.7828491480457491,0.7828491480457529,0.7828491480457491,0.7828491480457491,0.7664991917559263,1.2961115742346647
b6j_082,2,P6,134.0,side=B_side,O1_lag0_AB,state_mapping,-0.6637755958236279,-0.6637755958236259,-0.2938764579309011,-0.6637755958236279,-0.49790405466359045,0.2777858460851311
b6j_082,2,P6,166.0,side=B_side,O1_lag0_AB,state_mapping,0.5888158631838232,0.5888158631838244,1.0971286643566827,0.5888158631838232,-0.11165342974714677,1.8827029934420108
b6j_082,2,P6,195.0,side=A_side,O3_A_C_boundary,state_mapping,-0.1990955892323762,-0.19909558923237608,-0.6445185979098814,-0.6379937277210261,-1.028013575731218,-0.1990955892323762
b6j_082,2,P6,202.0,side=A_side,O3_A_C_boundary,state_mapping,,,-1.4769111021172994,0.09780503069300397,-0.7152657736696446,0.09780503069300397
