c_representation,topology_arm,n_nodes,n_directed_edges,topology_notes,n_seed_events,mean_seed_strength,total_impulse_budget,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,effect_vs_time_shifted,effect_vs_random_event,p_vs_time_shifted_and_random,D12_D24_recovery_improvement,D12_D24_recovery_improvement_sd,D12_recovery,D12_recovery_sd,D24_recovery,D24_recovery_sd,bounded_non_runaway_score,bounded_non_runaway_score_sd,differentiated_recovery,differentiated_recovery_sd,late_window_stability,late_window_stability_sd,mean_phase_locking,mean_phase_locking_sd,n_events_evaluated,n_events_evaluated_sd,non_collapsed_differentiation_score,non_collapsed_differentiation_score_sd,post_event_readout_score,post_event_readout_score_sd,effect_vs_no_topology_baseline,effect_vs_c8_1,effect_vs_c12_reversed,effect_vs_c12_side_broken,effect_vs_h24_effective_ring_edges_144,effect_vs_h24_degree_matched_null,effect_vs_h24_minimum_factorisation_suite_168
directed_c,h24_degree_matched_null,24,168,degree-matched random graph for canonical H24 168,132,0.0811817950301883,10.715996943984855,-0.0038495366558564093,0.001964674131384345,-0.0012467451523799264,-0.0031957011874645513,0.8509316770186336,-0.004649676908448208,0.002532083993205314,0.45797918882530136,0.00984762495454369,0.5002917541191267,0.012457412853164864,0.9688319451917051,0.0010978521270485285,-0.0038495366558564093,0.001964674131384345,0.7855694860236823,0.04747583015923451,0.16690779464984243,0.01771506879765681,96.0,0.0,0.8676900734764743,0.009495597564904274,0.5055453987704593,0.011471876638270019,-0.028093492692590424,-0.0018750390925898015,-0.03084144184353157,-0.0042381738981318445,-0.009866209774048685,0.0,-0.009450823511988492
receiver_only_c,no_topology_baseline,12,0,12 nodes with no coupling edges,132,0.08901320545171411,11.749743119626263,0.02887726723793229,0.002852752105545003,0.018090922116867286,0.005796429630530984,0.012422360248447204,0.03496961066235162,0.003295209285404997,0.7518059553615852,0.010073441058433849,0.6715227158464376,0.010644267105678923,0.9949195683539547,0.0010617819368960823,0.02887726723793229,0.002852752105545003,0.70985745922476,0.03940797796437711,0.08815971524087504,0.019282337023201316,94.0,0.0,0.8412671828481594,0.019139149279801516,0.7556871230815169,0.008486145231867871,0.0,0.023110153574733075,-0.0024967187876647756,0.008939979066435452,0.027042086595234993,0.033140511916072535,0.0281650795769677
receiver_only_c,c12_1_2,12,48,primary Luke/D12RG normalized readout candidate,132,0.08901320545171411,11.749743119626263,0.03144945809854838,0.003090765516580356,0.015991736092377397,0.004094906193341609,0.024844720496894408,0.03512524358458723,0.004009108310907026,0.7589669105454636,0.014657090864360855,0.6735355114625181,0.02002469219211038,0.9813194570867629,0.002726093844239356,0.03144945809854838,0.003090765516580356,0.608043428800865,0.06358141650420195,0.1031380087537139,0.02389541413169076,94.0,0.0,0.86248395668678,0.015093599511459598,0.7637909733387731,0.013789654380451292,0.0025721908606160873,0.025682344435349162,7.54720729513117e-05,0.011512169927051539,0.02961427745585108,0.03571270277668862,0.030737270437583786
receiver_only_c,c12_reversed,12,48,"C12(1,2) with all directed arrows reversed",132,0.08901320545171411,11.749743119626263,0.031373986025597066,0.003004538073657739,0.01572650157452286,0.009372707657643156,0.006211180124223602,0.035354970027771326,0.0038421769756725225,0.7617914312224517,0.011509274038830682,0.6770161768539747,0.016500589559950603,0.9818983323717745,0.0022225784191351947,0.031373986025597066,0.003004538073657739,0.6190428888293669,0.06322221329191371,0.0992488509518958,0.02009917325826442,94.0,0.0,0.860782736676945,0.015853934072510092,0.7662376673855132,0.010785403425710157,0.0024967187876647756,0.02560687236239785,0.0,0.011436697854100227,0.02953880538289977,0.03563723070373731,0.030661798364632474
receiver_only_c,c12_side_broken,12,48,degree-matched C12 side-correspondence-broken control,132,0.08901320545171411,11.749743119626263,0.01993728817149684,0.00348441791021281,0.009691597937493775,0.008357047116334978,0.012422360248447204,0.02375318115675159,0.004669028820447812,0.648252788315177,0.012807235576335275,0.5498087584111712,0.015211865124062054,0.964344147127602,0.0024058395615895976,0.01993728817149684,0.00348441791021281,0.6648260602418365,0.04429371576035645,0.12164938581839588,0.025129372257480527,94.0,0.0,0.7973848912707091,0.015290738166622025,0.6529783068820905,0.012202894682606227,-0.008939979066435452,0.014170174508297623,-0.011436697854100227,0.0,0.01810210752879954,0.02420053284963708,0.019225100510532247
receiver_only_c,c8_1,8,8,primary non-D12 contrast,132,0.08901320545171411,11.749743119626263,0.005767113663199215,0.0030756855504228595,0.011873422488179582,-0.003034442576168337,0.4409937888198758,0.009397917234792857,0.005143355148019145,0.4772920073206852,0.010903864628884043,0.49488698063904907,0.009751118244552484,0.8640972827951277,0.0026959284066970924,0.005767113663199215,0.0030756855504228595,0.24921270522632893,0.0751362352373611,0.21738310701556668,0.02857295556764812,94.0,0.0,0.6946184446680407,0.00753621535971143,0.5266548946022239,0.008013986494670283,-0.023110153574733075,0.0,-0.02560687236239785,-0.014170174508297623,0.003931933020501917,0.010030358341339456,0.0050549260022346235
receiver_only_c,h24_minimum_factorisation_suite_168,24,168,H24 deterministic factorisation-suite carrier,132,0.08901320545171411,11.749743119626263,0.0007121876609645914,0.0027754603440652303,0.0031013272950508606,-0.0032236002058279685,0.5031055900621118,0.0008417386871833233,0.0034234479929159483,0.4905823803787575,0.005865452861613079,0.4592975497010423,0.006407168889507656,0.9419130729308722,0.0008736633718206579,0.0007121876609645914,0.0027754603440652303,0.697296442040377,0.033352074319941645,0.16682055311718758,0.016140308068607712,94.0,0.0,0.908742228794915,0.00822068706270436,0.5127628527689737,0.004746220316540258,-0.0281650795769677,-0.0050549260022346235,-0.030661798364632474,-0.019225100510532247,-0.0011229929817327062,0.004975432339104834,0.0
receiver_only_c,h24_effective_ring_edges_144,24,144,H24 deterministic factorisation-suite carrier,132,0.08901320545171411,11.749743119626263,0.0018351806426972976,0.002703321284778585,0.0016320341668893737,-0.012556793997512318,0.6024844720496895,0.0020318565631055724,0.003314336784752555,0.48988857385888906,0.007154008852828959,0.4577326838248732,0.006937242846523715,0.9439822502949307,0.0008953848823881358,0.0018351806426972976,0.002703321284778585,0.7272245511959674,0.03958671414828648,0.16178467944595912,0.015409903115567888,94.0,0.0,0.9090790883459106,0.009074595058785884,0.5143327746932134,0.004917512444261352,-0.027042086595234993,-0.003931933020501917,-0.02953880538289977,-0.01810210752879954,0.0,0.00609842532083754,0.0011229929817327062
receiver_only_c,h24_c8_stitched_derived_216,24,216,H24 deterministic factorisation-suite carrier,132,0.08901320545171411,11.749743119626263,-0.00016954799815689577,0.002406472929822515,0.005774813480375888,-0.013390474667043375,0.5031055900621118,-0.0002462004950676115,0.0029952507040317683,0.4917981407543001,0.00579642905563206,0.4475647995330654,0.006578553258497249,0.9382570778670175,0.0007397113018540386,-0.00016954799815689577,0.002406472929822515,0.5170156758884843,0.028164796563216837,0.16738792560315416,0.014882293158799532,94.0,0.0,0.9073893461023907,0.008093429235535264,0.5133740640668005,0.0048516412181976235,-0.029046815236089187,-0.005936661661356111,-0.03154353402375396,-0.020106836169653735,-0.0020047286408541934,0.0040936966799833465,-0.0008817356591214872
receiver_only_c,h24_degree_matched_null,24,168,degree-matched random graph for canonical H24 168,132,0.08901320545171411,11.749743119626263,-0.004263244678140242,0.0024862360925971354,-9.639708109562394e-05,-0.0009880095091577591,0.6956521739130435,-0.004508063221124667,0.0030120334010786424,0.4630152262808549,0.008954382409102617,0.46203527639683256,0.008317615118286876,0.9668879759645801,0.0010695970724219506,-0.004263244678140242,0.0024862360925971354,0.821473638083323,0.023870885831890915,0.15546116234361176,0.01710612717976147,94.0,0.0,0.9396834156847824,0.009522508834975296,0.47569667867697907,0.00619928893280612,-0.033140511916072535,-0.010030358341339456,-0.03563723070373731,-0.02420053284963708,-0.00609842532083754,0.0,-0.004975432339104834
