mode,endpoint,fold,label,idx_in_session,direction,c_kind,true_state_label,used_state_label,access_readout,baseline_max,access_effect
combined_c_fes_gmr72,z_reward,0,P18,49.0,B_to_C_to_A,shuffled_c,side=B_side|tfc=low|phase=q4|fes=Challenge,side=A_side|tfc=low|phase=q1|fes=Activation,-0.6966488196821397,0.22345820417846152,-0.9201070238606012
combined_c_fes_gmr72,z_reward,0,P18,49.0,B_to_C_to_A,phase_rotated_c,side=B_side|tfc=low|phase=q4|fes=Challenge,side=B_side|tfc=low|phase=q1|fes=Challenge,-0.6966488196821397,0.22345820417846152,-0.9201070238606012
combined_c_fes_gmr72,z_reward,0,P18,49.0,B_to_C_to_A,random_c,side=B_side|tfc=low|phase=q4|fes=Challenge,side=B_side|tfc=mid|phase=q1|fes=Surprise,-0.7867669020670892,0.22345820417846152,-1.0102251062455507
combined_c_fes_gmr72,z_reward,0,P18,49.0,B_to_C_to_A,balanced_c,side=B_side|tfc=low|phase=q4|fes=Challenge,BALANCED_C_NO_STATE,-0.690397560280403,0.22345820417846152,-0.9138557644588645
combined_c_fes_gmr72,z_reward,0,P18,49.0,B_to_C_to_A,foreign_label_c,side=B_side|tfc=low|phase=q4|fes=Challenge,side=B_side|tfc=low|phase=q1|fes=Surprise,-0.4535106522180934,0.22345820417846152,-0.6769688563965549
combined_c_fes_gmr72,z_reward,0,P18,73.0,A_to_C_to_B,true_c,side=A_side|tfc=mid|phase=q1|fes=Surprise,side=A_side|tfc=mid|phase=q1|fes=Surprise,-0.26572374952503847,0.16335182357255548,-0.4290755730975939
combined_c_fes_gmr72,z_reward,0,P18,73.0,A_to_C_to_B,shuffled_c,side=A_side|tfc=mid|phase=q1|fes=Surprise,side=A_side|tfc=low|phase=q4|fes=SelfGrowth,-0.568573187514613,0.16335182357255548,-0.7319250110871686
combined_c_fes_gmr72,z_reward,0,P18,73.0,A_to_C_to_B,phase_rotated_c,side=A_side|tfc=mid|phase=q1|fes=Surprise,side=A_side|tfc=mid|phase=q2|fes=Surprise,-0.26572374952503847,0.16335182357255548,-0.4290755730975939
combined_c_fes_gmr72,z_reward,0,P18,73.0,A_to_C_to_B,random_c,side=A_side|tfc=mid|phase=q1|fes=Surprise,side=B_side|tfc=low|phase=q4|fes=Challenge,-0.26572374952503847,0.16335182357255548,-0.4290755730975939
combined_c_fes_gmr72,z_reward,0,P18,73.0,A_to_C_to_B,balanced_c,side=A_side|tfc=mid|phase=q1|fes=Surprise,BALANCED_C_NO_STATE,-0.315342690149218,0.16335182357255548,-0.4786945137217735
combined_c_fes_gmr72,z_reward,0,P18,73.0,A_to_C_to_B,foreign_label_c,side=A_side|tfc=mid|phase=q1|fes=Surprise,side=B_side|tfc=mid|phase=q4|fes=Surprise,-0.26572374952503847,0.16335182357255548,-0.4290755730975939
combined_c_fes_gmr72,z_reward,0,P18,73.0,B_to_C_to_A,true_c,side=A_side|tfc=mid|phase=q1|fes=Surprise,side=A_side|tfc=mid|phase=q1|fes=Surprise,0.04129111523538263,0.16335182357255548,-0.12206070833717285
combined_c_fes_gmr72,z_reward,0,P18,73.0,B_to_C_to_A,shuffled_c,side=A_side|tfc=mid|phase=q1|fes=Surprise,side=A_side|tfc=low|phase=q4|fes=SelfGrowth,-0.021482193226961353,0.16335182357255548,-0.18483401679951683
combined_c_fes_gmr72,z_reward,0,P18,73.0,B_to_C_to_A,phase_rotated_c,side=A_side|tfc=mid|phase=q1|fes=Surprise,side=A_side|tfc=mid|phase=q2|fes=Surprise,0.04129111523538263,0.16335182357255548,-0.12206070833717285
combined_c_fes_gmr72,z_reward,0,P18,73.0,B_to_C_to_A,random_c,side=A_side|tfc=mid|phase=q1|fes=Surprise,side=B_side|tfc=low|phase=q1|fes=Activation,0.04129111523538263,0.16335182357255548,-0.12206070833717285
combined_c_fes_gmr72,z_reward,0,P18,73.0,B_to_C_to_A,balanced_c,side=A_side|tfc=mid|phase=q1|fes=Surprise,BALANCED_C_NO_STATE,0.035411583710268625,0.16335182357255548,-0.12794023986228686
combined_c_fes_gmr72,z_reward,0,P18,73.0,B_to_C_to_A,foreign_label_c,side=A_side|tfc=mid|phase=q1|fes=Surprise,side=B_side|tfc=mid|phase=q1|fes=Surprise,-0.22510501002076344,0.16335182357255548,-0.38845683359331895
combined_c_fes_gmr72,z_reward,0,P18,93.0,A_to_C_to_B,true_c,side=A_side|tfc=mid|phase=q4|fes=Surprise,side=A_side|tfc=mid|phase=q4|fes=Surprise,0.36627170345457605,2.0968231004922866,-1.7305513970377104
