mode,endpoint,direction,fake_c_kind,mean_true_c,mean_fake_c,effect_true_minus_fake,p_true_greater,n_pairs,passes
fes_string_conditioned,z_reward,A_to_C_to_B,random_c,-0.7133623127569635,-0.722025158786084,0.008662846029120534,0.15116976604679064,502,False
fes_string_conditioned,z_reward,A_to_C_to_B,balanced_c,-0.7133623127569635,-0.7140804129272932,0.0007181001703297596,0.46070785842831435,502,False
fes_string_conditioned,z_reward,A_to_C_to_B,foreign_label_c,-0.7133623127569635,-0.7113907997431983,-0.001971513013765171,0.6056788642271546,502,False
fes_string_conditioned,z_reward,B_to_C_to_A,shuffled_c,-0.7116069247712359,-0.70972870258638,-0.0018782221848558218,0.5686862627474505,502,False
fes_string_conditioned,z_reward,B_to_C_to_A,phase_rotated_c,-0.7116069247712359,-0.7116069247712359,0.0,1.0,502,False
fes_string_conditioned,z_reward,B_to_C_to_A,random_c,-0.7116069247712359,-0.7124727838471401,0.0008658590759042612,0.46970605878824234,502,False
fes_string_conditioned,z_reward,B_to_C_to_A,balanced_c,-0.7116069247712359,-0.7179173728310504,0.006310448059814588,0.17536492701459708,502,False
fes_string_conditioned,z_reward,B_to_C_to_A,foreign_label_c,-0.7116069247712359,-0.7131672520757297,0.001560327304493794,0.42651469706058787,502,False
fes_string_conditioned,rank_reward,A_to_C_to_B,shuffled_c,-0.7021290162555095,-0.7077908314641144,0.005661815208604789,0.2575484903019396,502,False
fes_string_conditioned,rank_reward,A_to_C_to_B,phase_rotated_c,-0.7021290162555095,-0.7021290162555095,0.0,1.0,502,False
fes_string_conditioned,rank_reward,A_to_C_to_B,random_c,-0.7021290162555095,-0.7237666176778459,0.021637601422336346,0.006798640271945611,502,True
fes_string_conditioned,rank_reward,A_to_C_to_B,balanced_c,-0.7021290162555095,-0.7143325140564794,0.012203497800969796,0.021195760847830435,502,True
fes_string_conditioned,rank_reward,A_to_C_to_B,foreign_label_c,-0.7021290162555095,-0.7119276409862445,0.00979862473073493,0.1331733653269346,502,False
fes_string_conditioned,rank_reward,B_to_C_to_A,shuffled_c,-0.7049098315238217,-0.707961346396294,0.003051514872472354,0.3757248550289942,502,False
fes_string_conditioned,rank_reward,B_to_C_to_A,phase_rotated_c,-0.7049098315238217,-0.7049098315238217,0.0,1.0,502,False
fes_string_conditioned,rank_reward,B_to_C_to_A,random_c,-0.7049098315238217,-0.7090279842220533,0.004118152698231571,0.33553289342131576,502,False
fes_string_conditioned,rank_reward,B_to_C_to_A,balanced_c,-0.7049098315238217,-0.717347918867321,0.012438087343499287,0.033193361327734455,502,True
fes_string_conditioned,rank_reward,B_to_C_to_A,foreign_label_c,-0.7049098315238217,-0.7118443051515276,0.006934473627706053,0.22335532893421317,502,False
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,shuffled_c,-0.2749080172891624,-0.2753089198637341,0.0004009025745717161,0.3905218956208758,502,False
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,phase_rotated_c,-0.2749080172891624,-0.2749080172891624,0.0,1.0,502,False
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,random_c,-0.2749080172891624,-0.2769010819907754,0.0019930647016130716,0.08738252349530094,502,False
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,balanced_c,-0.2749080172891624,-0.27687332890592253,0.001965311616760228,0.04499100179964007,502,True
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,foreign_label_c,-0.2749080172891624,-0.2750471934240172,0.00013917613485478519,0.46290741851629674,502,False
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,shuffled_c,-0.2752565363295282,-0.27606147954739857,0.0008049432178703533,0.3113377324535093,502,False
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,phase_rotated_c,-0.2752565363295282,-0.2752565363295282,0.0,1.0,502,False
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,random_c,-0.2752565363295282,-0.2765259883472729,0.0012694520177446982,0.24055188962207558,502,False
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,balanced_c,-0.2752565363295282,-0.2773493154866781,0.0020927791571499575,0.05098980203959208,502,False
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,foreign_label_c,-0.2752565363295282,-0.2764046487277032,0.001148112398175032,0.252749450109978,502,False
linear_c_state,z_reward,A_to_C_to_B,shuffled_c,-0.6812040662195262,-0.7206448424779994,0.039440776258473254,0.0003999200159968006,502,True
linear_c_state,z_reward,A_to_C_to_B,phase_rotated_c,-0.6812040662195262,-0.7092894071947715,0.02808534097524528,0.008598280343931213,502,True
linear_c_state,z_reward,A_to_C_to_B,random_c,-0.6812040662195262,-0.7075670628876121,0.026362996668085854,0.022395520895820836,502,True
linear_c_state,z_reward,A_to_C_to_B,balanced_c,-0.6812040662195262,-0.7140804129272932,0.03287634670776695,0.0003999200159968006,502,True
linear_c_state,z_reward,A_to_C_to_B,foreign_label_c,-0.6812040662195262,-0.7164848825360183,0.035280816316492034,0.0065986802639472104,502,True
linear_c_state,z_reward,B_to_C_to_A,shuffled_c,-0.6595127223063706,-0.7348921427165711,0.07537942041020051,0.0001999600079984003,502,True
linear_c_state,z_reward,B_to_C_to_A,phase_rotated_c,-0.6595127223063706,-0.6955063655798098,0.035993643273439305,0.001999600079984003,502,True
linear_c_state,z_reward,B_to_C_to_A,random_c,-0.6595127223063706,-0.7319134036683362,0.07240068136196559,0.0001999600079984003,502,True
linear_c_state,z_reward,B_to_C_to_A,balanced_c,-0.6595127223063706,-0.7179173728310504,0.05840465052467985,0.0001999600079984003,502,True
linear_c_state,z_reward,B_to_C_to_A,foreign_label_c,-0.6595127223063706,-0.7256794919095235,0.06616676960315294,0.0003999200159968006,502,True
linear_c_state,rank_reward,A_to_C_to_B,shuffled_c,-0.6727325402423104,-0.7266023372882221,0.053869797045911647,0.0001999600079984003,502,True
linear_c_state,rank_reward,A_to_C_to_B,phase_rotated_c,-0.6727325402423104,-0.6975714781936957,0.02483893795138528,0.014197160567886422,502,True
linear_c_state,rank_reward,A_to_C_to_B,random_c,-0.6727325402423104,-0.7081869562561909,0.03545441601388049,0.005198960207958408,502,True
