c_representation,topology_arm,n_nodes,n_directed_edges,n_seed_events,event_strength_scale,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,effect_vs_time_shifted,effect_vs_random_event,p_vs_time_shifted_and_random,topology_notes
receiver_standpoint_magnitude_c,hadamard_quadrature_sqrt2_scaled_out,12,36,132,0.7071067811865475,0.01704319540721883,0.003932555351240461,0.0023349719532109563,-0.004383226318982282,0.5714285714285714,Hadamard/quadrature-only with sqrt2 normalization scaled out
receiver_standpoint_magnitude_c,hadamard_quadrature_sqrt2_unscaled,12,36,132,1.4142135623730951,0.036752381238305265,0.003637060713391868,0.0212834955626358,0.010329080597926449,0.02040816326530612,Hadamard/quadrature-only with unnormalized sqrt2 gain retained
receiver_standpoint_magnitude_c,hadamard_plus_threefold,12,60,132,1.0,0.023871123994614763,0.002646239451723655,0.0046723289172937825,-0.002191837022707331,0.42857142857142855,Hadamard 4-cycle plus explicit radix-3 / 120-degree generator +/-4
receiver_standpoint_magnitude_c,hadamard_plus_threefold_sqrt2_scaled_out,12,60,132,0.7071067811865475,0.01577965341913387,0.0031741933223667597,0.0017269321522290215,-0.003817657088155138,0.5918367346938775,Hadamard plus explicit 3-fold with sqrt2 normalization scaled out
receiver_standpoint_magnitude_c,threefold_only,12,24,132,1.0,0.02221919182354339,0.002115451996794455,0.005784124975531938,-5.797588578366694e-05,0.30612244897959184,explicit radix-3 / 120-degree generator only
receiver_standpoint_magnitude_c,broken_threefold_neighbor,12,60,132,1.0,0.024497088873486974,0.0036181600309754844,0.003528412530912635,-0.002737273503643948,0.5102040816326531,Hadamard plus neighboring non-cube-root generator +/-5
receiver_standpoint_magnitude_c,broken_threefold_random,12,48,132,1.0,0.0154591178932637,0.0034817610856914213,-0.0007497357250761012,0.008007620127380426,0.30612244897959184,degree-matched random C12 control
phi_eigen_energy_c,no_topology_baseline,12,0,132,1.0,0.043840903456921425,0.0035554097509196054,0.020898464778897268,0.00408561480284083,0.02040816326530612,12 nodes with no coupling edges
phi_eigen_energy_c,c12_1_2,12,48,132,1.0,0.04700180035715168,0.00479776459355621,0.021967227866732875,0.006362445767677576,0.02040816326530612,primary Luke/D12RG normalized readout candidate
phi_eigen_energy_c,c12_reversed,12,48,132,1.0,0.047649340981664096,0.003976492010548515,0.021903961543623274,0.006519037064230224,0.02040816326530612,"C12(1,2) reversed"
