source,representation_arm,topology_arm,metric,value,nearest_target_fraction,abs_error_to_target,is_close_to_target,top4_labels_by_event_strength,resonance_tags
topology_increment_vs_reverse_scaled,reverse_plus_receiver_magnitude_ab,ring_edge_swapped_c12_1_7,abs_increment_over_reverse_fraction,0.22272697937136623,1/4,0.027273020628633765,False,,x3_or_7mod12_proxy|ring_edge_swapped
topology_increment_vs_reverse_scaled,reverse_plus_endpoint_direct_ab,c11,abs_increment_over_reverse_fraction,0.21675469279561857,1/4,0.03324530720438143,False,,11mod12_reflective_proxy
topology_increment_vs_reverse_scaled,reverse_plus_receiver_magnitude_ab,c12_side_broken,abs_increment_over_reverse_fraction,0.3035489417196168,1/4,0.05354894171961683,False,,unassigned
topology_increment_vs_reverse_scaled,reverse_plus_standpoint_ab,phase_target_shuffled_c12,abs_increment_over_reverse_fraction,0.3127862378810683,1/4,0.0627862378810683,False,,unassigned
topology_increment_vs_reverse_scaled,reverse_plus_receiver_standpoint_magnitude_ab,c10,abs_increment_over_reverse_fraction,0.31589714948915004,1/4,0.06589714948915004,False,,5_or_10_ring_proxy
topology_increment_vs_reverse_scaled,reverse_plus_receiver_ab,edge_count_matched_null,abs_increment_over_reverse_fraction,0.33504334194349494,1/4,0.08504334194349494,False,,unassigned
topology_increment_vs_reverse_scaled,reverse_plus_receiver_standpoint_magnitude_ab,ring_edge_swapped_c12_1_5,abs_increment_over_reverse_fraction,0.1702248316074526,2/11,0.011593350210729214,False,,5_or_10_ring_proxy|ring_edge_swapped
topology_increment_vs_reverse_scaled,reverse_plus_receiver_magnitude_ab,c12_1_2,abs_increment_over_reverse_fraction,0.16978610212995368,2/11,0.012032079688228142,False,,two_step_c12
topology_increment_vs_reverse_scaled,reverse_plus_receiver_standpoint_ab,c12_1_2,abs_increment_over_reverse_fraction,0.16934859735948735,2/11,0.012469584458694477,False,,two_step_c12
representation_event_localization,reverse_only_c_to_ab,representation_events,survivor_strength_fraction,0.1685045237897222,2/11,0.01331365802845963,False,P13|P20|P24|P25,unassigned
survivor_strength_fraction_increment_arm,reverse_only_c_to_ab,representation_events,survivor_strength_fraction,0.1685045237897222,2/11,0.01331365802845963,False,,survivor_strength
topology_increment_vs_reverse_scaled,reverse_plus_receiver_ab,c11,abs_increment_over_reverse_fraction,0.1967074548668178,2/11,0.014889273048635965,False,,11mod12_reflective_proxy
topology_increment_vs_reverse_scaled,reverse_plus_receiver_standpoint_magnitude_ab,ring_edge_swapped_c12_1_7,abs_increment_over_reverse_fraction,0.19681675792231412,2/11,0.0149985761041323,False,,x3_or_7mod12_proxy|ring_edge_swapped
topology_increment_vs_reverse_scaled,reverse_plus_receiver_magnitude_ab,ring_share_c12_plus_11,abs_increment_over_reverse_fraction,0.19732077555470803,2/11,0.01550259373652621,False,,11mod12_reflective_proxy|ring_sharing
topology_increment_vs_reverse_scaled,reverse_plus_receiver_magnitude_ab,c11,abs_increment_over_reverse_fraction,0.16376762095101174,2/11,0.01805056086717008,False,,11mod12_reflective_proxy
representation_event_localization,reverse_plus_endpoint_direct_ab,representation_events,survivor_event_fraction,0.16030534351145037,2/11,0.021512838306731452,False,P8|P17|P20|P24,unassigned
topology_increment_vs_reverse_scaled,reverse_plus_endpoint_direct_ab,ring_share_c12_plus_10,abs_increment_over_reverse_fraction,0.15951359711907717,2/11,0.02230458469910465,False,,5_or_10_ring_proxy|ring_sharing
representation_event_localization,reverse_only_c_to_ab,representation_events,survivor_event_fraction,0.1590909090909091,2/11,0.022727272727272735,False,P13|P20|P24|P25,unassigned
representation_event_localization,reverse_plus_receiver_ab,representation_events,survivor_event_fraction,0.1590909090909091,2/11,0.022727272727272735,False,P3|P10|P13|P25,5_or_10_ring_proxy
representation_event_localization,reverse_plus_standpoint_ab,representation_events,survivor_event_fraction,0.1590909090909091,2/11,0.022727272727272735,False,P10|P13|P20|P25,5_or_10_ring_proxy
representation_event_localization,reverse_plus_magnitude_ab,representation_events,survivor_event_fraction,0.1590909090909091,2/11,0.022727272727272735,False,P10|P13|P20|P25,5_or_10_ring_proxy
representation_event_localization,reverse_plus_receiver_standpoint_ab,representation_events,survivor_event_fraction,0.1590909090909091,2/11,0.022727272727272735,False,P3|P10|P13|P25,5_or_10_ring_proxy
representation_event_localization,reverse_plus_receiver_magnitude_ab,representation_events,survivor_event_fraction,0.1590909090909091,2/11,0.022727272727272735,False,P3|P10|P13|P25,5_or_10_ring_proxy
representation_event_localization,reverse_plus_standpoint_magnitude_ab,representation_events,survivor_event_fraction,0.1590909090909091,2/11,0.022727272727272735,False,P10|P13|P20|P25,5_or_10_ring_proxy
representation_event_localization,reverse_plus_receiver_standpoint_magnitude_ab,representation_events,survivor_event_fraction,0.1590909090909091,2/11,0.022727272727272735,False,P10|P13|P20|P25,5_or_10_ring_proxy
representation_event_localization,full_self_consistent_rstar,representation_events,survivor_event_fraction,0.1590909090909091,2/11,0.022727272727272735,False,P10|P13|P20|P25,5_or_10_ring_proxy
topology_increment_vs_reverse_scaled,reverse_plus_receiver_ab,c12_1_2,abs_increment_over_reverse_fraction,0.205185564556319,2/11,0.023367382738137182,False,,two_step_c12
topology_increment_vs_reverse_scaled,reverse_plus_receiver_magnitude_ab,ring_share_c12_plus_7,abs_increment_over_reverse_fraction,0.20710751207027717,2/11,0.025289330252095343,False,,x3_or_7mod12_proxy|ring_sharing
topology_increment_vs_reverse_scaled,full_self_consistent_rstar,ring_share_c12_plus_11,abs_increment_over_reverse_fraction,0.15420817543616203,2/11,0.027610006382019797,False,,11mod12_reflective_proxy|ring_sharing
topology_increment_vs_reverse_scaled,reverse_plus_receiver_standpoint_ab,ring_share_c12_plus_7,abs_increment_over_reverse_fraction,0.20957747090637135,2/11,0.02775928908818953,False,,x3_or_7mod12_proxy|ring_sharing
topology_increment_vs_reverse_scaled,reverse_plus_receiver_standpoint_magnitude_ab,c12_1_2,abs_increment_over_reverse_fraction,0.15275147638390948,2/11,0.02906670543427234,False,,two_step_c12
topology_increment_vs_reverse_scaled,full_self_consistent_rstar,ring_share_c12_plus_7,abs_increment_over_reverse_fraction,0.15185265894409303,2/11,0.029965522874088796,False,,x3_or_7mod12_proxy|ring_sharing
topology_increment_vs_reverse_scaled,full_self_consistent_rstar,c12_reversed,abs_increment_over_reverse_fraction,0.1515682992647129,2/11,0.030249882553468915,False,,unassigned
topology_increment_vs_reverse_scaled,reverse_plus_receiver_magnitude_ab,ring_share_c12_plus_5,abs_increment_over_reverse_fraction,0.14975196903092106,2/11,0.03206621278726077,False,,5_or_10_ring_proxy|ring_sharing
topology_increment_vs_reverse_scaled,reverse_plus_receiver_ab,ring_share_c12_plus_11,abs_increment_over_reverse_fraction,0.14967357503132414,2/11,0.03214460678685768,False,,11mod12_reflective_proxy|ring_sharing
topology_increment_vs_reverse_scaled,reverse_plus_receiver_standpoint_ab,c12_reversed,abs_increment_over_reverse_fraction,0.14900815459647418,2/11,0.032810027221707644,False,,unassigned
topology_increment_vs_reverse_scaled,reverse_plus_receiver_ab,ring_share_c12_plus_10,abs_increment_over_reverse_fraction,0.1483075485743005,2/11,0.033510633243881316,False,,5_or_10_ring_proxy|ring_sharing
topology_increment_vs_reverse_scaled,reverse_plus_receiver_standpoint_magnitude_ab,ring_share_c12_plus_5,abs_increment_over_reverse_fraction,0.21552120421432885,2/11,0.03370302239614703,False,,5_or_10_ring_proxy|ring_sharing
topology_increment_vs_reverse_scaled,reverse_plus_receiver_ab,ring_share_c12_plus_7,abs_increment_over_reverse_fraction,0.1467413848629399,2/11,0.035076796955241935,False,,x3_or_7mod12_proxy|ring_sharing
representation_event_localization,reverse_plus_receiver_ab,representation_events,top4_jaccard_vs_registered,0.14285714285714285,2/11,0.038961038961038974,False,P3|P10|P13|P25,5_or_10_ring_proxy
representation_event_localization,reverse_plus_standpoint_ab,representation_events,top4_jaccard_vs_registered,0.14285714285714285,2/11,0.038961038961038974,False,P10|P13|P20|P25,5_or_10_ring_proxy
representation_event_localization,reverse_plus_magnitude_ab,representation_events,top4_jaccard_vs_registered,0.14285714285714285,2/11,0.038961038961038974,False,P10|P13|P20|P25,5_or_10_ring_proxy
representation_event_localization,reverse_plus_receiver_standpoint_ab,representation_events,top4_jaccard_vs_registered,0.14285714285714285,2/11,0.038961038961038974,False,P3|P10|P13|P25,5_or_10_ring_proxy
representation_event_localization,reverse_plus_receiver_magnitude_ab,representation_events,top4_jaccard_vs_registered,0.14285714285714285,2/11,0.038961038961038974,False,P3|P10|P13|P25,5_or_10_ring_proxy
representation_event_localization,reverse_plus_standpoint_magnitude_ab,representation_events,top4_jaccard_vs_registered,0.14285714285714285,2/11,0.038961038961038974,False,P10|P13|P20|P25,5_or_10_ring_proxy
representation_event_localization,reverse_plus_receiver_standpoint_magnitude_ab,representation_events,top4_jaccard_vs_registered,0.14285714285714285,2/11,0.038961038961038974,False,P10|P13|P20|P25,5_or_10_ring_proxy
representation_event_localization,full_self_consistent_rstar,representation_events,top4_jaccard_vs_registered,0.14285714285714285,2/11,0.038961038961038974,False,P10|P13|P20|P25,5_or_10_ring_proxy
topology_increment_vs_reverse_scaled,reverse_plus_receiver_ab,ring_edge_swapped_c12_1_5,abs_increment_over_reverse_fraction,0.14247849526568682,2/11,0.03933968655249501,False,,5_or_10_ring_proxy|ring_edge_swapped
topology_increment_vs_reverse_scaled,reverse_plus_endpoint_direct_ab,ring_share_c12_plus_11,abs_increment_over_reverse_fraction,0.1403240920789867,2/11,0.041494089739195134,False,,11mod12_reflective_proxy|ring_sharing
representation_event_localization,reverse_plus_endpoint_direct_ab,representation_events,survivor_strength_fraction,0.1384644347556814,2/11,0.04335374706250042,False,P8|P17|P20|P24,unassigned
survivor_strength_fraction_increment_arm,reverse_plus_endpoint_direct_ab,representation_events,survivor_strength_fraction,0.1384644347556814,2/11,0.04335374706250042,False,,survivor_strength
topology_increment_vs_reverse_scaled,reverse_plus_receiver_magnitude_ab,c10,abs_increment_over_reverse_fraction,0.13490510457192556,2/11,0.04691307724625626,False,,5_or_10_ring_proxy
topology_increment_vs_reverse_scaled,reverse_plus_receiver_standpoint_ab,ring_share_c12_plus_11,abs_increment_over_reverse_fraction,0.1345050797587862,2/11,0.04731310205939562,False,,11mod12_reflective_proxy|ring_sharing
