representation_arm,topology_arm,n_nodes,n_directed_edges,topology_notes,n_seed_events,mean_seed_strength,total_impulse_budget,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,effect_vs_time_shifted,effect_vs_random_event,p_vs_time_shifted_and_random,D12_D24_recovery_improvement,D12_D24_recovery_improvement_sd,D12_recovery,D12_recovery_sd,D24_recovery,D24_recovery_sd,bounded_non_runaway_score,bounded_non_runaway_score_sd,differentiated_recovery,differentiated_recovery_sd,late_window_stability,late_window_stability_sd,mean_phase_locking,mean_phase_locking_sd,n_events_evaluated,n_events_evaluated_sd,non_collapsed_differentiation_score,non_collapsed_differentiation_score_sd,post_event_readout_score,post_event_readout_score_sd
reverse_plus_receiver_standpoint_ab,ring_share_c12_plus_11,12,48,"C12(1,2) with shared 11 mod 12 reflective proxy edges",132,0.07488311474271073,9.884571146037816,0.02733714382177034,0.004554451279856595,0.01448839555789124,5.432960784351043e-06,0.2653061224489796,0.031140102367871486,0.005724331419310195,0.7364497421073284,0.014834833460763587,0.6497877987725478,0.019983007473534025,0.9810427919686647,0.0024483295639729816,0.02733714382177034,0.004554451279856595,0.7273693222127388,0.05815808219326991,0.11395648232819999,0.025194748072590718,96.0,0.0,0.852385526966021,0.015381636272768562,0.7403260749287152,0.014339769960038645
reverse_plus_receiver_magnitude_ab,no_topology_baseline,12,0,12 nodes with no coupling edges,132,0.07488311474271073,9.884571146037816,0.024457132019702035,0.0028281009423104094,0.015513518366651763,-0.002627531300019574,0.40816326530612246,0.02980443206185311,0.003421132418112192,0.7288209458142624,0.013262881051744562,0.6381429374696465,0.011853768423483872,0.9948326242308051,0.000985369218259069,0.024457132019702035,0.0028281009423104094,0.8231047536791105,0.05008450611376151,0.09786550956371787,0.02346545880648675,96.0,0.0,0.8312290107846954,0.01205027814343347,0.7333143297958414,0.011814025066671207
reverse_plus_receiver_magnitude_ab,c12_1_2,12,48,primary Luke/D12RG normalized readout candidate,132,0.07488311474271073,9.884571146037816,0.026685828460271954,0.0039720161205197965,0.013539723316399225,0.017897862910437608,0.02040816326530612,0.029309499130125094,0.004471540058344661,0.7333531170304098,0.01835498367144503,0.644633643438722,0.021163084218711655,0.9809828719477496,0.003091325542200949,0.026685828460271954,0.0039720161205197965,0.7207587561593324,0.05014941667448052,0.12044751837750427,0.02822168837709667,96.0,0.0,0.8593054561683059,0.015183161651973764,0.7373836915458977,0.017000583002646463
reverse_plus_receiver_magnitude_ab,c12_reversed,12,48,"C12(1,2) with all directed arrows reversed",132,0.07488311474271073,9.884571146037816,0.026700758058408436,0.004529337091506345,0.012364602279838504,-0.0003729754436245132,0.30612244897959184,0.030409672802189314,0.005602732826147714,0.7355201430145257,0.01683500248904313,0.6497439466546714,0.02151840863063305,0.9806815193368128,0.0029333134203730574,0.026700758058408436,0.004529337091506345,0.7155745112293133,0.06844550113175644,0.11353447871770606,0.02903956131575439,96.0,0.0,0.8484584910179279,0.018041102156236628,0.7394611804291206,0.01763280146838005
reverse_plus_receiver_magnitude_ab,c12_side_broken,12,48,degree-matched C12 side-correspondence-broken control,132,0.07488311474271073,9.884571146037816,0.0046622824633929735,0.0029778809502299217,0.0027520998533278338,0.004453311038616986,0.10204081632653061,0.0056528618183303075,0.004498884310928267,0.5614653113893486,0.016510276286709813,0.5389760131889568,0.010856965304399897,0.9345896262761119,0.0014043174393502278,0.0046622824633929735,0.0029778809502299217,0.7652045627017312,0.02771972246292911,0.1421020852886349,0.02978447776803794,96.0,0.0,0.7847869128371275,0.014227723024534112,0.5846485001915519,0.01268936329678471
reverse_plus_receiver_magnitude_ab,c12_shuffled,12,48,C12 capacity-preserving target-shuffled control,132,0.07488311474271073,9.884571146037816,-0.003731390106663117,0.0027929773228546183,-0.006113846662104895,-0.008398871194863242,0.9795918367346939,-0.004043472866623723,0.003956488456574369,0.48704913531603555,0.018030868191877256,0.4662315755576915,0.02298921210067479,0.9473006075564925,0.002891763458256662,-0.003731390106663117,0.0027929773228546183,0.7934637529759049,0.037438358372931205,0.17690227103240966,0.02774503330614813,96.0,0.0,0.8099519136368866,0.011349638439579552,0.5048152497895781,0.017704247131078942
reverse_plus_receiver_magnitude_ab,c10,10,40,"C10(1,2) neighbouring-cycle control",132,0.07488311474271073,9.884571146037816,-0.004078854673483568,0.00356814056741021,-0.00016092400700480364,-0.0014541740541688087,0.5714285714285714,-0.005035896853657196,0.004534016292570989,0.4518143933431225,0.0190197847135931,0.4996056553073526,0.015152054836750589,0.9815901348840818,0.0027318765822979567,-0.004078854673483568,0.00356814056741021,0.8443175379310132,0.048051972483423806,0.108270161453399,0.029865685727962096,96.0,0.0,0.8252150417453281,0.009699921972215007,0.509105213683476,0.012965558340935778
reverse_plus_receiver_magnitude_ab,c11,11,44,"C11(1,2) neighbouring-cycle control",132,0.07488311474271073,9.884571146037816,-0.007142953043971723,0.0041094825692866675,-0.006000348154220736,-0.0050266806696004,0.9183673469387755,-0.007289110178758044,0.005026130469584528,0.4113351141538206,0.017089401677109626,0.4585166492557186,0.018680481557470187,0.9811477214939727,0.0023282605286659114,-0.007142953043971723,0.0041094825692866675,0.8310669339640221,0.07590068813126213,0.11365454076928577,0.026207348128515186,96.0,0.0,0.8778493600267119,0.009752535827807178,0.47149030913531115,0.012434480125766277
reverse_plus_receiver_magnitude_ab,c13,13,52,"C13(1,2) neighbouring-cycle control",132,0.07488311474271073,9.884571146037816,-0.0013513054635521122,0.0026675307427373794,7.369199842986143e-05,-0.0005488920783496704,0.4897959183673469,-0.0018899897331702087,0.003788503496072753,0.49958129354355635,0.01011551772570124,0.5086173400771844,0.01267002428843984,0.9789407976211284,0.0027578467041297072,-0.0013513054635521122,0.0026675307427373794,0.8178789427097005,0.03521372246263437,0.12587466854225082,0.030553213142642137,96.0,0.0,0.8805665748908629,0.014714669177458076,0.5222203580323826,0.008485015415002338
reverse_plus_receiver_magnitude_ab,c14,14,56,"C14(1,2) neighbouring-cycle control",132,0.07488311474271073,9.884571146037816,-0.0002890380048946629,0.002818371715429276,0.0011911025229914337,0.004412473521874301,0.10204081632653061,-0.00019843974642731917,0.0035263980487013516,0.49862947389098417,0.013619352886287366,0.4964135540928564,0.0070052561190964095,0.9769930387595854,0.0014569891274505524,-0.0002890380048946629,0.002818371715429276,0.8454248936281394,0.024521473642420178,0.10616959493226032,0.020899234860271707,96.0,0.0,0.9005987627149489,0.009872146904027808,0.5146409602456455,0.008893704266593158
