condition_id,seed,n_folds,state_variant,endpoint_mode,operator_pool,operators,min_state_events,n_control_draws,comparison,mean_true_policy,mean_comparator,effect,p_greater,n_events,state_mapping_rate
b6e_robust_006,60310,5,coarse,rank_reward,no_suppress,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only']",8,250,true_policy_vs_balanced_pool_shuffle,-0.003316423701541359,0.001093448347101896,0.008736740109862758,0.34746101559376247,463,0.5338645418326693
b6e_robust_006,60310,5,coarse,rank_reward,no_suppress,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only']",8,250,true_policy_vs_frequency_matched_random,-0.003316423701541359,-0.052225468641570356,0.04942396242759906,0.06117552978808476,463,0.5338645418326693
b6e_robust_006,60310,5,coarse,rank_reward,no_suppress,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only']",8,250,true_policy_vs_performance_matched_random,-0.003316423701541359,-0.005067493674130992,0.015017441263257849,0.30947620951619353,463,0.5338645418326693
b6e_robust_006,60310,5,coarse,rank_reward,no_suppress,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only']",8,250,true_policy_vs_within_state_shuffle,-0.003316423701541359,-0.0850326659796937,0.08683682506172549,0.0011995201919232307,463,0.5338645418326693
b6e_robust_006,60310,5,coarse,rank_reward,no_suppress,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only']",8,250,true_policy_vs_oracle,-0.003316423701541359,1.112498704331316,-1.1289400432684016,1.0,463,0.5338645418326693
b6e_robust_007,60310,5,coarse,rank_reward,no_phase_only,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O7_suppress_event']",8,250,true_policy_vs_balanced_pool_shuffle,-0.022025770307316585,0.004965018926925808,-0.02450176672816216,0.8836465413834467,459,0.5338645418326693
b6e_robust_007,60310,5,coarse,rank_reward,no_phase_only,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O7_suppress_event']",8,250,true_policy_vs_frequency_matched_random,-0.022025770307316585,-0.05075427426198274,0.029963939867093312,0.16913234706117553,459,0.5338645418326693
b6e_robust_007,60310,5,coarse,rank_reward,no_phase_only,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O7_suppress_event']",8,250,true_policy_vs_performance_matched_random,-0.022025770307316585,0.0036871111802509924,-0.02315704027577885,0.821671331467413,459,0.5338645418326693
b6e_robust_007,60310,5,coarse,rank_reward,no_phase_only,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O7_suppress_event']",8,250,true_policy_vs_within_state_shuffle,-0.022025770307316585,-0.09037344784773875,0.07297983029630226,0.003598560575769692,459,0.5338645418326693
b6e_robust_007,60310,5,coarse,rank_reward,no_phase_only,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O7_suppress_event']",8,250,true_policy_vs_oracle,-0.022025770307316585,1.0019491603225386,-1.0512495795589163,1.0,459,0.5338645418326693
b6e_robust_008,60310,5,coarse,rank_reward,core_5,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC']",8,250,true_policy_vs_balanced_pool_shuffle,-0.018191409997925467,-0.01401843910806976,0.0023190012248714884,0.43902439024390244,459,0.5338645418326693
b6e_robust_008,60310,5,coarse,rank_reward,core_5,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC']",8,250,true_policy_vs_frequency_matched_random,-0.018191409997925467,-0.048483474590295,0.031532921284063806,0.1563374650139944,459,0.5338645418326693
b6e_robust_008,60310,5,coarse,rank_reward,core_5,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC']",8,250,true_policy_vs_performance_matched_random,-0.018191409997925467,-0.03982574019241468,0.028913453104817344,0.061975209916033586,459,0.5338645418326693
b6e_robust_008,60310,5,coarse,rank_reward,core_5,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC']",8,250,true_policy_vs_within_state_shuffle,-0.018191409997925467,-0.0816301624135197,0.06687938028003314,0.007996801279488205,459,0.5338645418326693
b6e_robust_008,60310,5,coarse,rank_reward,core_5,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC']",8,250,true_policy_vs_oracle,-0.018191409997925467,0.99447779801819,-1.0204451080655015,1.0,459,0.5338645418326693
b6e_robust_009,60310,5,side_tfc,z_reward,full,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only', 'O7_suppress_event']",8,250,true_policy_vs_balanced_pool_shuffle,0.206780250268762,0.06339198332186147,0.11822016779154759,0.00039984006397441024,450,0.9860557768924303
b6e_robust_009,60310,5,side_tfc,z_reward,full,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only', 'O7_suppress_event']",8,250,true_policy_vs_frequency_matched_random,0.206780250268762,-0.028046122694178714,0.20911065526220884,0.00039984006397441024,450,0.9860557768924303
b6e_robust_009,60310,5,side_tfc,z_reward,full,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only', 'O7_suppress_event']",8,250,true_policy_vs_performance_matched_random,0.206780250268762,0.03168130627750771,0.1783808159507303,0.00039984006397441024,450,0.9860557768924303
b6e_robust_009,60310,5,side_tfc,z_reward,full,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only', 'O7_suppress_event']",8,250,true_policy_vs_within_state_shuffle,0.206780250268762,0.008112711923309673,0.20102360015395226,0.00039984006397441024,450,0.9860557768924303
b6e_robust_009,60310,5,side_tfc,z_reward,full,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only', 'O7_suppress_event']",8,250,true_policy_vs_oracle,0.206780250268762,1.2239410650761156,-1.0463782600222957,1.0,450,0.9860557768924303
