mode,endpoint,direction,control_level,mean_true_c,mean_control,effect_true_minus_control,p_true_greater,n_pairs,c_beats_control
linear_c_state,rank_reward,A_to_C_to_B,fixed_giver_pair_mask,-0.6064597123342564,-0.6890301894703265,0.08257047713607009,0.08098380323935213,145,False
linear_c_state,rank_reward,A_to_C_to_B,fixed_ab_receiver_only,-0.6064597123342564,-0.7410101104325606,0.13455039809830416,0.009598080383923215,145,True
linear_c_state,rank_reward,A_to_C_to_B,fixed_c_receiver_boundary_only,-0.6064597123342564,-0.6773334232936837,0.0708737109594274,0.07318536292741452,145,False
linear_c_state,rank_reward,A_to_C_to_B,closure_scalar_only,-0.6064597123342564,-0.702792791285148,0.09633307895089158,0.0005998800239952009,145,True
linear_c_state,rank_reward,A_to_C_to_B,closure_2ode_local,-0.6064597123342564,-0.6766943568671097,0.07023464453285325,0.0061987602479504095,145,True
linear_c_state,rank_reward,A_to_C_to_B,directed_transport_closure_control,-0.6064597123342564,-0.4973065315533394,-0.10915318078091699,1.0,145,False
linear_c_state,rank_reward,A_to_C_to_B,factorisation_3x8,-0.6064597123342564,-0.4901503781717256,-0.11630933416253086,0.9996000799840032,145,False
linear_c_state,rank_reward,A_to_C_to_B,factorisation_2x2x6,-0.6064597123342564,-0.6720237944207959,0.06556408208653951,0.011597680463907219,145,True
linear_c_state,rank_reward,A_to_C_to_B,factorisation_path_consistent,-0.6064597123342564,-0.7058874481169811,0.09942773578272471,0.0001999600079984003,145,True
linear_c_state,rank_reward,A_to_C_to_B,factorisation_path_shuffled,-0.6064597123342564,-0.7058874481169811,0.09942773578272471,0.0003999200159968006,145,True
linear_c_state,rank_reward,A_to_C_to_B,factorisation_path_mismatch_train_test,-0.6064597123342564,-0.7058874481169811,0.09942773578272471,0.0007998400319936012,145,True
linear_c_state,rank_reward,B_to_C_to_A,direction_label_only,-0.5822649307585873,-0.6997511027990789,0.11748617204049172,0.0001999600079984003,145,True
linear_c_state,rank_reward,B_to_C_to_A,communication_direction_only,-0.5822649307585873,-0.46405966266619847,-0.11820526809238888,1.0,145,False
linear_c_state,rank_reward,B_to_C_to_A,symmetric_midpoint_control,-0.5822649307585873,-0.4935769602189241,-0.08868797053966314,0.9986002799440112,145,False
linear_c_state,rank_reward,B_to_C_to_A,sender_receiver_transfer_control,-0.5822649307585873,-0.43782745878469503,-0.1444374719738923,1.0,145,False
linear_c_state,rank_reward,B_to_C_to_A,asymmetric_standpoint_control,-0.5822649307585873,-0.44741208782248215,-0.13485284293610503,0.9998000399920016,145,False
linear_c_state,rank_reward,B_to_C_to_A,standpoint_inverted_control,-0.5822649307585873,-0.46031851953707037,-0.12194641122151693,1.0,145,False
