heldout_label,selection_mode,selection_value,n_heldout_events,mean_heldout_strength,phase_coverage_12bin,fold_status
P14,fixed_top_k,1.0,1,1.5223799242942226,0.08333333333333333,diagnostic_only
P15,fixed_top_k,1.0,1,1.396340814587664,0.08333333333333333,diagnostic_only
P16,fixed_top_k,1.0,1,3.6250376862346463,0.08333333333333333,diagnostic_only
P17,fixed_top_k,1.0,1,1.3938934948107362,0.08333333333333333,diagnostic_only
P18,fixed_top_k,1.0,1,0.6227775131697456,0.08333333333333333,diagnostic_only
P19,fixed_top_k,1.0,1,1.669315349387609,0.08333333333333333,diagnostic_only
P2,fixed_top_k,1.0,1,3.484696003007027,0.08333333333333333,diagnostic_only
P20,fixed_top_k,1.0,1,2.4283833418661245,0.08333333333333333,diagnostic_only
P21,fixed_top_k,1.0,1,1.5680283671475164,0.08333333333333333,diagnostic_only
P22,fixed_top_k,1.0,1,2.3603985243406114,0.08333333333333333,diagnostic_only
P23,fixed_top_k,1.0,1,1.8928692048924265,0.08333333333333333,diagnostic_only
P24,fixed_top_k,1.0,1,3.325864010568678,0.08333333333333333,diagnostic_only
P25,fixed_top_k,1.0,1,6.246306483219369,0.08333333333333333,diagnostic_only
P26,fixed_top_k,1.0,1,1.6617526084051262,0.08333333333333333,diagnostic_only
P3,fixed_top_k,1.0,1,2.3120972837849214,0.08333333333333333,diagnostic_only
P4,fixed_top_k,1.0,1,1.4441998117976975,0.08333333333333333,diagnostic_only
P5,fixed_top_k,1.0,1,2.991663495960106,0.08333333333333333,diagnostic_only
P6,fixed_top_k,1.0,1,1.196714960139023,0.08333333333333333,diagnostic_only
P7,fixed_top_k,1.0,1,1.1207297466280912,0.08333333333333333,diagnostic_only
P8,fixed_top_k,1.0,1,3.381262448709371,0.08333333333333333,diagnostic_only
P9,fixed_top_k,1.0,1,1.5285522165810592,0.08333333333333333,diagnostic_only
P1,fixed_top_k,2.0,2,1.3746913977163548,0.08333333333333333,valid
P10,fixed_top_k,2.0,2,3.8395048509822773,0.08333333333333333,valid
P11,fixed_top_k,2.0,2,0.4973483393758169,0.08333333333333333,valid
P12,fixed_top_k,2.0,2,3.288123633812515,0.08333333333333333,valid
P13,fixed_top_k,2.0,2,4.15923084689251,0.08333333333333333,valid
P14,fixed_top_k,2.0,2,1.0995578211536867,0.08333333333333333,valid
P15,fixed_top_k,2.0,2,1.3526229651479076,0.16666666666666666,valid
P16,fixed_top_k,2.0,2,2.266062934132708,0.16666666666666666,valid
P17,fixed_top_k,2.0,2,1.338235615886616,0.16666666666666666,valid
P18,fixed_top_k,2.0,2,0.5444453996008469,0.08333333333333333,valid
P19,fixed_top_k,2.0,2,1.4975712205301603,0.16666666666666666,valid
P2,fixed_top_k,2.0,2,2.3554987565584073,0.16666666666666666,valid
P20,fixed_top_k,2.0,2,2.2702768065645067,0.08333333333333333,valid
P21,fixed_top_k,2.0,2,1.4148489724682047,0.16666666666666666,valid
P22,fixed_top_k,2.0,2,1.799054083025747,0.08333333333333333,valid
P23,fixed_top_k,2.0,2,1.7383284620686488,0.16666666666666666,valid
P24,fixed_top_k,2.0,2,2.1405214855922927,0.08333333333333333,valid
P25,fixed_top_k,2.0,2,4.120427021697246,0.16666666666666666,valid
P26,fixed_top_k,2.0,2,1.5839210104100947,0.16666666666666666,valid
P3,fixed_top_k,2.0,2,2.309985652162683,0.08333333333333333,valid
P4,fixed_top_k,2.0,2,1.404127999562633,0.16666666666666666,valid
P5,fixed_top_k,2.0,2,2.084622172589643,0.16666666666666666,valid
P6,fixed_top_k,2.0,2,1.083116488322013,0.08333333333333333,valid
P7,fixed_top_k,2.0,2,1.07692148268252,0.08333333333333333,valid
P8,fixed_top_k,2.0,2,2.9262771559308662,0.16666666666666666,valid
P9,fixed_top_k,2.0,2,0.9437509048728795,0.16666666666666666,valid
