heldout_label,selection_mode,selection_value,fold_status,c12_mean,effect_vs_no_topology,effect_vs_reversed,effect_vs_side_broken,effect_vs_shuffled,effect_vs_c10,effect_vs_c11,effect_vs_c13,effect_vs_c14,n_positive_specificity_controls,min_specificity_margin
P16,quantile,0.75,valid,-0.0008612710267726717,-0.003502358330973456,-0.007334365346556671,0.007043226990890051,0.006879548624303344,-0.0025733401499587554,0.0009112166315398694,-0.0036139489067424846,0.010851194477865776,4,-0.007334365346556671
P17,quantile,0.75,valid,0.005714357850137992,-0.003773472276050442,-0.0006863298919448022,0.0007849510741336644,-0.0038701981860225125,0.00521973673344283,0.009546410263035201,0.01077547191910363,0.005406868700808314,5,-0.0038701981860225125
P18,quantile,0.75,valid,0.0039209417722019715,0.017358756135939596,0.001991546539601109,-0.03185952574976322,0.00470844074121254,0.01401492772081962,0.008104014917446485,-0.007961725935367434,-0.0012922246778680037,5,-0.03185952574976322
P19,quantile,0.75,valid,-0.0031698319490937664,0.003218952595681787,-0.004827772858817707,-0.008379061192232543,-0.004038970470992716,0.006890240848317691,0.006500744913077328,-0.002024833791674772,0.0040522136078159025,4,-0.008379061192232543
P2,quantile,0.75,valid,0.002587908654880091,-0.009654659992787305,0.005042087033374247,-0.009656633148842445,0.002765324296800411,-0.006187938197875139,0.003363063217436199,0.009620216511364629,-0.001331704487689941,4,-0.009656633148842445
P20,quantile,0.75,valid,-0.00014902980131523139,-0.0013924717654646133,0.0016960461214030461,-0.0024094163755428973,0.0010888883474047511,0.006342520241255367,0.002541363046419158,-0.0030586231767628833,-4.1664267699169404e-05,4,-0.0030586231767628833
P21,quantile,0.75,valid,-0.004674867306181674,-0.007322788432508019,-0.010069595509472293,0.003276772171145856,-0.004658238383646082,0.007078952069000781,-0.00565655415092514,-0.0065585827409772165,-0.0035362175077066522,2,-0.010069595509472293
P22,quantile,0.75,valid,-0.008755872037070456,-0.004600874032767065,0.010110222149070602,-0.015360059873191546,-0.014874208429613699,-0.02006509562844129,0.008050532037212742,-0.02248634576698967,-0.012650637725635587,2,-0.02248634576698967
P23,quantile,0.75,valid,0.00316722560572071,-0.00010934011964585386,0.006556675520028352,0.012233998984279827,-0.0010180818034410213,-0.005058650290382953,-0.00245982508215895,0.0020341616962630846,0.01129415922114874,4,-0.005058650290382953
P24,quantile,0.75,valid,0.009625449916451275,0.019281697761153474,0.010646436811049093,0.00448922915526693,0.012437387845184575,0.01130778219190166,0.002666648459350389,0.010496409118907113,-0.0018812814057227126,7,-0.0018812814057227126
P25,quantile,0.75,valid,0.007795452497376967,0.0013607869257833858,0.01684773065711996,0.014989888980362968,-0.013612382143034299,0.0016512297703250136,0.0007475032756675175,0.013672397080503721,0.010072843110405605,7,-0.013612382143034299
P26,quantile,0.75,valid,0.011652447857060806,0.005005205549086382,0.010174656019422803,0.007951946931784712,-0.008568510914358495,0.005285041496751715,0.012006244981582889,0.00657603810161273,0.012609044902928888,7,-0.008568510914358495
P3,quantile,0.75,valid,0.013429658799661008,0.007648140392605799,0.017013020973595958,0.01783919827743724,0.019305862393405863,0.017892503041248762,0.0031242166095698815,-0.00669837049060033,0.016553424475093444,7,-0.00669837049060033
P4,quantile,0.75,valid,0.0001917399313444552,0.0012284658418743842,0.004025836043536488,-0.0034696483439246137,-0.00429858856324325,-0.009133629865253241,0.0010844154333039904,5.010014259971963e-05,0.0007146134002194518,5,-0.009133629865253241
P5,quantile,0.75,valid,0.004131940650630065,-0.001646736374065618,-0.003923280648104959,0.007058402973685327,0.010092692410007407,0.0011388707938319973,0.008216779355614967,0.0035494148436832464,0.0017009913832667749,6,-0.003923280648104959
P6,quantile,0.75,valid,0.000500754379072643,-0.0016578743022482756,-0.0007934234224801053,0.008024645488652716,0.010698224936163098,-0.005434418034528944,0.006088551159845598,0.001878637417845412,0.006959738406711727,5,-0.005434418034528944
P7,quantile,0.75,valid,0.0072452744446422105,0.032445967573478646,0.015220120366330907,0.02608660333876928,-6.881889252327317e-05,-0.005339895367099625,0.0037842581867903206,-0.0014027658374759716,0.006385516488145534,5,-0.005339895367099625
P8,quantile,0.75,valid,,,,,,,,,,0,
P9,quantile,0.75,diagnostic_only,,,,,,,,,,0,
P1,quantile,0.8,valid,0.016709643075193716,-0.004888101608120452,0.03600371257108906,0.004259559139720847,0.015555838608807928,0.010319056607343047,0.029675630896888135,0.02867403438827819,0.012847054557320695,7,-0.004888101608120452
P10,quantile,0.8,valid,-0.001534093099737277,-0.004461845060728908,-0.00125747751355638,0.003473949126483024,0.0046123853019396,-0.012171622093260762,0.0015548055756551724,-0.0025423532628805704,0.00684755628903124,4,-0.012171622093260762
P11,quantile,0.8,diagnostic_only,,,,,,,,,,0,
P12,quantile,0.8,valid,-0.013031129002753735,-0.0036571492539415468,-0.0194022296883367,-0.014217014210942678,-0.020149731881972305,-0.006698542839000202,-0.00043660075968702736,-0.0053322179138686485,-0.013642946971558679,0,-0.020149731881972305
P13,quantile,0.8,valid,-0.001901544259405459,0.002262449079524458,-0.0014004668277877803,0.004708128846940658,0.005730010902318933,0.0004507256072670614,-0.0016070137140841976,-0.006043963169559195,-0.0022221826432120076,4,-0.006043963169559195
P14,quantile,0.8,valid,,,,,,,,,,0,
P15,quantile,0.8,valid,0.0020526186366388757,0.009554885249127006,0.006741154097519141,-0.0015784327672854087,0.003645049878993062,0.007643706001929037,-0.009128202905780402,0.0055081274177610435,-0.004268060340616841,5,-0.009128202905780402
P16,quantile,0.8,valid,-0.001268613815873413,-0.010101071582917403,0.0014633851986806657,-0.002686844923398068,-0.014568440141301547,0.014088753004799226,0.00545261242379862,-0.00757422587476345,0.016816771922846013,4,-0.014568440141301547
P17,quantile,0.8,valid,0.008360028028223453,0.01761645978661487,0.021082498103025052,-0.001996476691552264,-0.0027407604712025597,0.008963993590805434,0.004699486290755112,-0.0034607567405373994,0.008135942831063973,5,-0.0034607567405373994
P18,quantile,0.8,diagnostic_only,,,,,,,,,,0,
P19,quantile,0.8,valid,0.0033001040186665487,0.012104512155055062,0.011840924855653471,-0.0019998523604299544,0.019984576394279516,0.0044716440171127594,0.009411320325117059,0.009711184369912102,0.010316143222827095,7,-0.0019998523604299544
P2,quantile,0.8,valid,-0.001214525216781382,-0.0027268799158459587,-0.002703837193880134,0.004534242456061769,0.0067169270056965606,0.0030841316711533737,0.0037856569507027813,-0.007708717816385346,-0.0038028499033640824,4,-0.007708717816385346
P20,quantile,0.8,valid,0.001489099476126048,0.0038253414236210977,0.0048167576208764835,0.0004847617480385725,0.000541419195355081,-0.0037184078494516652,0.008722351997452665,0.0038797614283446625,0.0019764812542395786,7,-0.0037184078494516652
P21,quantile,0.8,valid,0.008263153901030816,0.012645089076072175,0.002496395334092855,0.005848258894397478,0.008931273866826954,0.001345884869146603,0.003971459837920829,0.015180536328595836,0.0063807859299753215,8,0.001345884869146603
P22,quantile,0.8,valid,,,,,,,,,,0,
P23,quantile,0.8,valid,-0.004634940838753204,-0.004587024377311606,-0.009207628871354791,-0.011987886082947184,0.005889680276794116,-0.0015154268558951775,-0.01178083022826983,-0.001953379013638266,-0.002408679621644921,1,-0.011987886082947184
P24,quantile,0.8,valid,-0.005305402634169087,0.0066333683471388105,0.006321523324672459,-0.00869091418138026,-0.0010344456160782493,0.00010711063392099783,0.0007967939851862066,0.000517489707377276,0.005813563860033272,6,-0.00869091418138026
P25,quantile,0.8,valid,-0.006548288133870451,-0.0030152123041582786,-0.007019113347756269,-0.005094539764076809,-0.0028316603022317003,-0.01799364103432936,-0.006536467543389136,0.0022878829341351587,0.0021760934231004328,2,-0.01799364103432936
P26,quantile,0.8,valid,-0.0009327179761469071,0.01543231616613889,0.023188178205830943,-0.0022907203878298333,0.02374291246794655,-0.014232747246289501,0.0020843115760664278,-0.001628216873078904,-0.0010993574775902324,4,-0.014232747246289501
P3,quantile,0.8,valid,-0.00012609143047966095,-0.0005343322298841076,-0.004254346793258148,0.009544920240369986,0.00012981690749855972,0.007739374067858816,-0.008402127538162054,0.011499085722976874,-0.0032074187390507373,4,-0.008402127538162054
P4,quantile,0.8,valid,-0.0018551602372953093,-0.018906011946156098,-0.006426200407864076,0.0005231027174696994,-0.002546224951273592,-0.0028248079953910633,-0.006456332452370225,-0.003071405630654175,0.010269850529405211,2,-0.018906011946156098
P5,quantile,0.8,valid,0.007402751515116378,-0.005936280628194883,0.01210972316715507,0.008926936918057711,0.0008334575547841797,0.011525070950606977,0.0033920625858236122,0.005513519580681074,0.016797705130150543,7,-0.005936280628194883
