mode,endpoint,operator_pool,arm,comparison,mean_true,mean_control,effect,p_greater,n_pairs
gmr72_phase_conditioned,rank_reward,no_suppress,object,true_vs_shuffled_c,0.6045714678384125,-0.4726571125199876,1.0772285803583999,0.0007998400319936012,67
gmr72_phase_conditioned,rank_reward,no_suppress,object,true_vs_phase_rotated,0.6045714678384125,2.079582270557983,-1.4750108027195705,1.0,67
gmr72_phase_conditioned,gmr72_bridge_composite,full,object,true_vs_random,0.9576956231414541,-3.192783454516526,4.1504790776579785,0.0001999600079984003,67
gmr72_phase_conditioned,gmr72_bridge_composite,full,object,true_vs_balanced,0.9576956231414541,1.4978213266542133,-0.5401257035127592,0.9996000799840032,67
gmr72_phase_conditioned,gmr72_bridge_composite,full,object,true_vs_performance_matched,0.9576956231414541,-1.9462276639396134,2.903923287081068,0.0001999600079984003,67
gmr72_phase_conditioned,gmr72_bridge_composite,full,object,true_vs_shuffled_c,0.9576956231414541,0.9717717384815706,-0.014076115340116673,0.533493301339732,67
gmr72_phase_conditioned,gmr72_bridge_composite,full,object,true_vs_phase_rotated,0.9576956231414541,1.7117224301789102,-0.7540268070374564,1.0,67
gmr72_phase_conditioned,gmr72_bridge_composite,core_5,object,true_vs_random,1.072529192525423,-2.936725925440642,4.009255117966065,0.0001999600079984003,67
gmr72_phase_conditioned,gmr72_bridge_composite,core_5,object,true_vs_balanced,1.072529192525423,1.4403792472653245,-0.36785005473990157,0.9914017196560688,67
gmr72_phase_conditioned,gmr72_bridge_composite,core_5,object,true_vs_performance_matched,1.072529192525423,-2.282192022186851,3.3547212147122734,0.0001999600079984003,67
gmr72_phase_conditioned,gmr72_bridge_composite,core_5,object,true_vs_shuffled_c,1.072529192525423,0.8414358444106743,0.2310933481147485,0.07038592281543692,67
gmr72_phase_conditioned,gmr72_bridge_composite,core_5,object,true_vs_phase_rotated,1.072529192525423,1.8645736634260766,-0.7920444709006538,1.0,67
gmr72_phase_conditioned,gmr72_bridge_composite,no_phase_only,object,true_vs_random,1.012687551901915,-3.143177225151896,4.15586477705381,0.0001999600079984003,67
gmr72_phase_conditioned,gmr72_bridge_composite,no_phase_only,object,true_vs_balanced,1.012687551901915,1.5998038134359973,-0.5871162615340825,0.9998000399920016,67
gmr72_phase_conditioned,gmr72_bridge_composite,no_phase_only,object,true_vs_performance_matched,1.012687551901915,-2.113724721923943,3.1264122738258577,0.0001999600079984003,67
gmr72_phase_conditioned,gmr72_bridge_composite,no_phase_only,object,true_vs_shuffled_c,1.012687551901915,0.8831243930894547,0.12956315881246022,0.252749450109978,67
gmr72_phase_conditioned,gmr72_bridge_composite,no_phase_only,object,true_vs_phase_rotated,1.012687551901915,1.7612861886484819,-0.7485986367465675,1.0,67
gmr72_phase_conditioned,gmr72_bridge_composite,no_suppress,object,true_vs_random,1.0664541443298663,-3.0890881062045485,4.155542250534414,0.0001999600079984003,67
gmr72_phase_conditioned,gmr72_bridge_composite,no_suppress,object,true_vs_balanced,1.0664541443298663,1.3781597139724113,-0.311705569642545,0.9764047190561888,67
gmr72_phase_conditioned,gmr72_bridge_composite,no_suppress,object,true_vs_performance_matched,1.0664541443298663,-2.1493540858269706,3.2158082301568376,0.0001999600079984003,67
gmr72_phase_conditioned,gmr72_bridge_composite,no_suppress,object,true_vs_shuffled_c,1.0664541443298663,0.9258158059146602,0.1406383384152062,0.20555888822235552,67
gmr72_phase_conditioned,gmr72_bridge_composite,no_suppress,object,true_vs_phase_rotated,1.0664541443298663,1.8680125278145803,-0.801558383484714,1.0,67
fes_string_conditioned,z_reward,full,object,true_vs_random,0.8226941726586772,-3.0141453311733444,3.8368395038320218,0.0001999600079984003,25
fes_string_conditioned,z_reward,full,object,true_vs_balanced,0.8226941726586772,1.9587124601084083,-1.136018287449731,0.9984003199360127,25
fes_string_conditioned,z_reward,full,object,true_vs_performance_matched,0.8226941726586772,-2.8152614947552324,3.6379556674139106,0.0001999600079984003,25
fes_string_conditioned,z_reward,full,object,true_vs_shuffled_c,0.8226941726586772,0.892238975765236,-0.0695448031065589,0.5740851829634073,25
fes_string_conditioned,z_reward,full,object,true_vs_phase_rotated,0.8226941726586772,2.1557612173962664,-1.3330670447375887,1.0,25
fes_string_conditioned,z_reward,core_5,object,true_vs_random,1.0900091700278796,-2.7169823067313,3.80699147675918,0.0001999600079984003,25
fes_string_conditioned,z_reward,core_5,object,true_vs_balanced,1.0900091700278796,1.9120227018584557,-0.8220135318305765,0.9938012397520496,25
fes_string_conditioned,z_reward,core_5,object,true_vs_performance_matched,1.0900091700278796,-3.6898776652153633,4.779886835243243,0.0001999600079984003,25
fes_string_conditioned,z_reward,core_5,object,true_vs_shuffled_c,1.0900091700278796,1.0005242036098125,0.08948496641806691,0.39132173565286943,25
fes_string_conditioned,z_reward,core_5,object,true_vs_phase_rotated,1.0900091700278796,2.4043038964505117,-1.3142947264226326,1.0,25
fes_string_conditioned,z_reward,no_phase_only,object,true_vs_random,0.8745972936974382,-2.9183509533501586,3.7929482470475966,0.0001999600079984003,25
fes_string_conditioned,z_reward,no_phase_only,object,true_vs_balanced,0.8745972936974382,2.058637881812695,-1.1840405881152565,0.999000199960008,25
fes_string_conditioned,z_reward,no_phase_only,object,true_vs_performance_matched,0.8745972936974382,-3.15168278192664,4.0262800756240775,0.0001999600079984003,25
fes_string_conditioned,z_reward,no_phase_only,object,true_vs_shuffled_c,0.8745972936974382,0.8774016481260287,-0.002804354428590461,0.5088982203559288,25
fes_string_conditioned,z_reward,no_phase_only,object,true_vs_phase_rotated,0.8745972936974382,2.259396911640616,-1.3847996179431783,1.0,25
fes_string_conditioned,z_reward,no_suppress,object,true_vs_random,1.001838822099078,-2.8696731255034114,3.8715119476024893,0.0001999600079984003,25
fes_string_conditioned,z_reward,no_suppress,object,true_vs_balanced,1.001838822099078,1.9113286280816786,-0.9094898059826007,0.9964007198560288,25
fes_string_conditioned,z_reward,no_suppress,object,true_vs_performance_matched,1.001838822099078,-3.299053403736393,4.300892225835471,0.0001999600079984003,25
fes_string_conditioned,z_reward,no_suppress,object,true_vs_shuffled_c,1.001838822099078,0.9569723245025079,0.044866497596569896,0.4569086182763447,25
fes_string_conditioned,z_reward,no_suppress,object,true_vs_phase_rotated,1.001838822099078,2.298586754556545,-1.296747932457467,1.0,25
fes_string_conditioned,rank_reward,full,object,true_vs_random,1.0085209247215594,-3.1237578216341513,4.132278746355711,0.0001999600079984003,25
fes_string_conditioned,rank_reward,full,object,true_vs_balanced,1.0085209247215594,1.9757526656750954,-0.9672317409535361,0.9966006798640272,25
fes_string_conditioned,rank_reward,full,object,true_vs_performance_matched,1.0085209247215594,-2.855857466391879,3.864378391113439,0.0001999600079984003,25
