mode,endpoint,operator_pool,direction,robust_success,strong_success,intersection_core_pass_count,intersection_stress_pass_count,object_pass_count,objectification_gap,pass_balanced,pass_shuffled_c,pass_phase_rotated,pass_random,pass_performance,mean_intersection_effect,mean_true_intersection,mean_object_effect,mean_true_object
combined_c_fes_gmr72,rank_reward,core_5,B_to_C_to_A,False,False,0,1,3,-2,False,False,False,False,True,0.022035145031219918,-0.6808957071831089,0.8615991293016473,0.6972155289237076
combined_c_fes_gmr72,rank_reward,no_phase_only,B_to_C_to_A,False,False,0,1,3,-2,False,False,False,False,True,0.021743547310869436,-0.6908850079050279,0.7271442743546431,0.5830700097938942
combined_c_fes_gmr72,rank_reward,no_suppress,B_to_C_to_A,False,False,0,1,3,-2,False,False,False,False,True,0.018409573181455346,-0.7068668012869554,0.7178540305289677,0.5803566118455148
combined_c_fes_gmr72,rank_reward,full,B_to_C_to_A,False,False,0,1,3,-2,False,False,False,False,True,0.01781342417239006,-0.7132462343589971,0.6307397980195961,0.5051896726693629
combined_c_fes_gmr72,z_reward,core_5,A_to_C_to_B,False,False,0,1,3,-2,False,False,False,False,True,0.01612262299713968,-0.6706549349880324,0.9111016265651083,0.7391355735714641
combined_c_fes_gmr72,z_reward,core_5,B_to_C_to_A,False,False,0,1,3,-2,False,False,False,False,True,0.016077990696768178,-0.6868307053208713,0.9111016265651083,0.7391355735714641
combined_c_fes_gmr72,z_reward,no_phase_only,A_to_C_to_B,False,False,0,1,3,-2,False,False,False,False,True,0.015931974152035518,-0.6749396341686875,0.7942593774549361,0.6395771334559965
combined_c_fes_gmr72,z_reward,no_phase_only,B_to_C_to_A,False,False,0,1,3,-2,False,False,False,False,True,0.015699222839796533,-0.6905805370299812,0.7942593774549361,0.6395771334559965
combined_c_fes_gmr72,z_reward,no_suppress,B_to_C_to_A,False,False,0,1,3,-2,False,False,False,False,True,0.013531622736659704,-0.7158075832918707,0.7695856707678875,0.620092045369891
combined_c_fes_gmr72,z_reward,full,B_to_C_to_A,False,False,0,1,3,-2,False,False,False,False,True,0.013022167506687258,-0.7174018570311886,0.7502132994286822,0.6027504572719956
combined_c_fes_gmr72,z_reward,no_suppress,A_to_C_to_B,False,False,0,1,3,-2,False,False,False,False,True,0.01198845250209896,-0.705753155575589,0.7695856707678875,0.620092045369891
combined_c_fes_gmr72,z_reward,full,A_to_C_to_B,False,False,0,1,3,-2,False,False,False,False,True,0.011970063222368882,-0.7076773959549929,0.7502132994286822,0.6027504572719956
combined_c_fes_gmr72,gmr72_bridge_composite,no_phase_only,B_to_C_to_A,False,False,0,1,3,-2,False,False,False,False,True,0.0010305415289362087,-0.2740237145732246,1.3066493913131039,1.0677003748582883
combined_c_fes_gmr72,gmr72_bridge_composite,core_5,B_to_C_to_A,False,False,0,1,3,-2,False,False,False,False,True,0.0008338398898910599,-0.26537569104375885,1.2905530208066993,1.0527472852196456
fes_string_conditioned,z_reward,core_5,A_to_C_to_B,False,False,0,0,2,-2,False,False,False,False,False,0.004789163995961766,-0.6877924612490347,1.3080110040334563,1.0900091700278796
combined_c_fes_gmr72,gmr72_bridge_composite,core_5,A_to_C_to_B,False,False,0,0,3,-3,False,False,False,False,False,0.0034595320045601287,-0.2603430401365464,1.2905530208066993,1.0527472852196456
combined_c_fes_gmr72,gmr72_bridge_composite,no_phase_only,A_to_C_to_B,False,False,0,0,3,-3,False,False,False,False,False,0.0032782082385349478,-0.2686047495130229,1.3066493913131039,1.0677003748582883
combined_c_fes_gmr72,gmr72_bridge_composite,no_suppress,A_to_C_to_B,False,False,0,0,3,-3,False,False,False,False,False,0.0029365930488127723,-0.2703175984476951,1.3075759862828107,1.0694638952425122
combined_c_fes_gmr72,gmr72_bridge_composite,full,A_to_C_to_B,False,False,0,0,3,-3,False,False,False,False,False,0.0025713159510285704,-0.27560714915150314,1.3435117076080232,1.1002876607676388
combined_c_fes_gmr72,gmr72_bridge_composite,no_suppress,B_to_C_to_A,False,False,0,0,3,-3,False,False,False,False,False,0.0006904965868180593,-0.27495810505549023,1.3075759862828107,1.0694638952425122
combined_c_fes_gmr72,gmr72_bridge_composite,full,B_to_C_to_A,False,False,0,0,3,-3,False,False,False,False,False,0.0006596723011549313,-0.2802271600213212,1.3435117076080232,1.1002876607676388
