mode,endpoint,operator_pool,direction,arm,comparison,mean_true,mean_control,effect,p_greater,n_pairs
combined_c_fes_gmr72,gmr72_bridge_composite,core_5,B_to_C_to_A,intersection,true_vs_random,-0.26537569104375885,-0.26205499020005535,-0.003320700843703618,0.6926614677064588,502
combined_c_fes_gmr72,gmr72_bridge_composite,core_5,B_to_C_to_A,intersection,true_vs_balanced,-0.26537569104375885,-0.2633174002097872,-0.002058290833971667,0.7448510297940412,502
combined_c_fes_gmr72,gmr72_bridge_composite,core_5,B_to_C_to_A,intersection,true_vs_performance_matched,-0.26537569104375885,-0.2740962130374151,0.008720521993656187,0.04919016196760648,502
combined_c_fes_gmr72,gmr72_bridge_composite,core_5,B_to_C_to_A,intersection,true_vs_shuffled_c,-0.26537569104375885,-0.26326470728387846,-0.0021109837598804284,0.6882623475304939,502
combined_c_fes_gmr72,gmr72_bridge_composite,core_5,B_to_C_to_A,intersection,true_vs_phase_rotated,-0.26537569104375885,-0.2683143439371138,0.0029386528933548267,0.277744451109778,502
combined_c_fes_gmr72,gmr72_bridge_composite,no_phase_only,A_to_C_to_B,intersection,true_vs_random,-0.2686047495130229,-0.271722538279613,0.003117788766590167,0.3349330133973205,502
combined_c_fes_gmr72,gmr72_bridge_composite,no_phase_only,A_to_C_to_B,intersection,true_vs_balanced,-0.2686047495130229,-0.27062010108354584,0.002015351570523012,0.3077384523095381,502
combined_c_fes_gmr72,gmr72_bridge_composite,no_phase_only,A_to_C_to_B,intersection,true_vs_performance_matched,-0.2686047495130229,-0.2728213985286186,0.00421664901559576,0.21375724855028994,502
combined_c_fes_gmr72,gmr72_bridge_composite,no_phase_only,A_to_C_to_B,intersection,true_vs_shuffled_c,-0.2686047495130229,-0.2709905184313255,0.0023857689183026487,0.34393121375724856,502
combined_c_fes_gmr72,gmr72_bridge_composite,no_phase_only,A_to_C_to_B,intersection,true_vs_phase_rotated,-0.2686047495130229,-0.27326023243468595,0.004655482921663151,0.16736652669466107,502
