c_representation,topology_arm,n_nodes,n_directed_edges,n_seed_events,mean_bounded_differentiated_recovery,effect_vs_time_shifted,effect_vs_random_event,p_vs_time_shifted_and_random,topology_notes,effect_vs_no_topology_baseline,effect_vs_c8_1,effect_vs_c10,effect_vs_c11,effect_vs_c13,effect_vs_c14,effect_vs_c12_reversed,effect_vs_c12_side_broken,effect_vs_c12_shuffled,effect_vs_topology_capacity_matched_null,effect_vs_path_rewired_control,effect_vs_h24_possible_factorisations_168,effect_vs_h24_available_factorisations_junction_coupled,effect_vs_h24_one_factorisation_class_removed,effect_vs_h24_one_junction_family_broken,effect_vs_h24_paths_available_but_mutually_disconnected,effect_vs_h24_complete_factorisation_suite_coupled,effect_vs_h24_degree_matched_null
receiver_standpoint_magnitude_c,c11,11,44,132,-0.01312409519354068,-0.008698085003887447,-0.0036739150669279318,0.9795918367346939,"C11(1,2) neighbouring-cycle control",-0.044470002579293864,,-0.006644735328214435,0.0,-0.008748454398699472,-0.009272673071735633,-0.05146521302945822,-0.011774702784077907,-0.009407788417531504,,,,,,,,,
receiver_standpoint_magnitude_c,c13,13,52,132,-0.004375640794841209,0.0007428358179273828,0.0030934278890295064,0.2857142857142857,"C13(1,2) neighbouring-cycle control",-0.03572154818059439,,0.0021037190704850358,0.008748454398699472,0.0,-0.0005242186730361627,-0.04271675863075875,-0.0030262483853784354,-0.0006593340188320333,,,,,,,,,
receiver_standpoint_magnitude_c,c14,14,56,132,-0.0038514221218050467,0.0009376013262847476,0.0008873362041513185,0.3469387755102041,"C14(1,2) neighbouring-cycle control",-0.03519732950755823,,0.0026279377435211985,0.009272673071735633,0.0005242186730361627,0.0,-0.04219253995772259,-0.002502029712342272,-0.00013511534579587056,,,,,,,,,
phi_eigen_energy_c,no_topology_baseline,12,0,132,0.04281574793738021,0.02025760090492757,0.015314729709261298,0.02040816326530612,12 nodes with no coupling edges,0.0,,0.050105949248297275,0.06043118441896724,0.048914618799659186,0.05094418290066371,-0.0049528078609351114,0.032601359096097994,0.028518153402396752,,,,,,,,,
phi_eigen_energy_c,c12_1_2,12,48,132,0.04761713603532328,0.021146725147277546,0.011452793937809208,0.02040816326530612,primary Luke/D12RG normalized readout candidate,0.004801388097943074,,0.05490733734624035,0.06523257251691031,0.05371600689760226,0.05574557099860678,-0.00015141976299203747,0.03740274719404107,0.033319541500339826,,,,,,,,,
phi_eigen_energy_c,c12_reversed,12,48,132,0.04776855579831532,0.02249320099551948,0.015463176186234572,0.02040816326530612,"C12(1,2) with all directed arrows reversed",0.0049528078609351114,,0.05505875710923239,0.06538399227990235,0.0538674266605943,0.05589699076159882,0.0,0.037554166957033105,0.033470961263331864,,,,,,,,,
phi_eigen_energy_c,c12_side_broken,12,48,132,0.010214388841282214,0.004566382588501744,-0.002240593160887497,0.4897959183673469,degree-matched C12 side-correspondence-broken control,-0.032601359096097994,,0.01750459015219928,0.027829825322869248,0.01631325970356119,0.01834282380456571,-0.037554166957033105,0.0,-0.0040832056937012435,,,,,,,,,
phi_eigen_energy_c,c12_shuffled,12,48,132,0.014297594534983457,0.007335066527951527,0.00791358910036025,0.02040816326530612,C12 capacity-preserving target-shuffled control,-0.028518153402396752,,0.021587795845900523,0.03191303101657049,0.02039646539726243,0.022426029498266956,-0.033470961263331864,0.0040832056937012435,0.0,,,,,,,,,
phi_eigen_energy_c,c10,10,40,132,-0.007290201310917066,-0.0043242232377269894,-0.003197683617871483,0.9591836734693877,"C10(1,2) neighbouring-cycle control",-0.050105949248297275,,0.0,0.010325235170669966,-0.001191330448638092,0.0008382336523664307,-0.05505875710923239,-0.01750459015219928,-0.021587795845900523,,,,,,,,,
phi_eigen_energy_c,c11,11,44,132,-0.017615436481587032,-0.013563059029156022,-0.010088131136651534,1.0,"C11(1,2) neighbouring-cycle control",-0.06043118441896724,,-0.010325235170669966,0.0,-0.01151656561930806,-0.009487001518303536,-0.06538399227990235,-0.027829825322869248,-0.03191303101657049,,,,,,,,,
phi_eigen_energy_c,c13,13,52,132,-0.006098870862278974,0.0017473392101141566,-0.0034615228550360444,0.6326530612244898,"C13(1,2) neighbouring-cycle control",-0.048914618799659186,,0.001191330448638092,0.01151656561930806,0.0,0.0020295641010045226,-0.0538674266605943,-0.01631325970356119,-0.02039646539726243,,,,,,,,,
phi_eigen_energy_c,c14,14,56,132,-0.008128434963283497,-0.0023632866620972677,-0.004092679281089762,0.8979591836734694,"C14(1,2) neighbouring-cycle control",-0.05094418290066371,,-0.0008382336523664307,0.009487001518303536,-0.0020295641010045226,0.0,-0.05589699076159882,-0.01834282380456571,-0.022426029498266956,,,,,,,,,
phi_differential_invariant_c,no_topology_baseline,12,0,134,0.022552076177350295,0.00936185735631828,-0.0036563019626784307,0.4897959183673469,12 nodes with no coupling edges,0.0,,0.029352668930423244,0.03126107889475331,0.02425525557059458,0.024096837538166948,-0.006377608133896838,0.020403353731940875,0.015259895619588276,,,,,,,,,
phi_differential_invariant_c,c12_1_2,12,48,134,0.028396728226835078,0.007093405073835785,-0.0052592213976534845,0.4897959183673469,primary Luke/D12RG normalized readout candidate,0.005844652049484783,,0.03519732097990803,0.037105730944238094,0.03009990762007936,0.02994148958765173,-0.0005329560844120548,0.026248005781425658,0.02110454766907306,,,,,,,,,
phi_differential_invariant_c,c12_reversed,12,48,134,0.028929684311247133,0.007126276437602962,-0.00194469761840136,0.4897959183673469,"C12(1,2) with all directed arrows reversed",0.006377608133896838,,0.03573027706432008,0.03763868702865015,0.030632863704491416,0.030474445672063786,0.0,0.026780961865837713,0.021637503753485113,,,,,,,,,
phi_differential_invariant_c,c12_side_broken,12,48,134,0.0021487224454094208,-0.0019977350512068465,0.002277543828351648,0.3673469387755102,degree-matched C12 side-correspondence-broken control,-0.020403353731940875,,0.008949315198482369,0.01085772516281244,0.0038519018386537034,0.0036934838062260746,-0.026780961865837713,0.0,-0.005143458112352599,,,,,,,,,
phi_differential_invariant_c,c12_shuffled,12,48,134,0.007292180557762019,-0.001668169825908148,-0.0024868129108452063,0.7346938775510204,C12 capacity-preserving target-shuffled control,-0.015259895619588276,,0.014092773310834968,0.01600118327516504,0.008995359951006303,0.008836941918578674,-0.021637503753485113,0.005143458112352599,0.0,,,,,,,,,
phi_differential_invariant_c,c10,10,40,134,-0.006800592753072949,-0.0026317977287193097,-0.001317043454942931,0.7142857142857143,"C10(1,2) neighbouring-cycle control",-0.029352668930423244,,0.0,0.0019084099643300687,-0.005097413359828666,-0.005255831392256295,-0.03573027706432008,-0.008949315198482369,-0.014092773310834968,,,,,,,,,
phi_differential_invariant_c,c11,11,44,134,-0.008709002717403018,0.00029185232141302336,-0.0006413795810550488,0.5306122448979592,"C11(1,2) neighbouring-cycle control",-0.03126107889475331,,-0.0019084099643300687,0.0,-0.007005823324158735,-0.007164241356586364,-0.03763868702865015,-0.01085772516281244,-0.01600118327516504,,,,,,,,,
phi_differential_invariant_c,c13,13,52,134,-0.0017031793932442826,-0.0007318756729011636,0.0009411706823368874,0.4489795918367347,"C13(1,2) neighbouring-cycle control",-0.02425525557059458,,0.005097413359828666,0.007005823324158735,0.0,-0.00015841803242762852,-0.030632863704491416,-0.0038519018386537034,-0.008995359951006303,,,,,,,,,
phi_differential_invariant_c,c14,14,56,134,-0.001544761360816654,0.0015850300640609667,0.003249740230645809,0.16326530612244897,"C14(1,2) neighbouring-cycle control",-0.024096837538166948,,0.005255831392256295,0.007164241356586364,0.00015841803242762852,0.0,-0.030474445672063786,-0.0036934838062260746,-0.008836941918578674,,,,,,,,,
