label,idx_in_session,phase,strength,C_memory_scalar,O1_lag0_AB_raw,O2_lag5_AB_raw,ab_receiver_side,ba_receiver_side,ab_sender_side,ba_sender_side,ab_standpoint_polarity,ba_standpoint_polarity,ab_inverted_standpoint_polarity,ba_inverted_standpoint_polarity,ab_standpoint_magnitude,ba_standpoint_magnitude,ab_inverted_standpoint_magnitude,ba_inverted_standpoint_magnitude,scalar_c,directed_c,receiver_only_c,magnitude_only_c,receiver_magnitude_c,standpoint_inversion_c,receiver_standpoint_magnitude_c,endpoint_o1o2_reference,phi_signed_balance_c,phi_opposite_balance_c,phi_magnitude_balance_c,phi_eigen_energy_c,phi_ratio_closure_c,dvj_half_shift_bridge_c,phi_differential_invariant_c,phi_substitution_invariant_c,phi_full_invariant_c,phi_c12_product_shell_c,phi_c12_abs_shell_c
P1,302.0,-0.0218587486280175,0.0738280378826209,0.7000763395298273,0.1260471311592061,0.05049718136400316,0.1945751507909205,0.1272698836900645,0.1272698836900645,0.1945751507909205,0.06730526710085599,-0.06730526710085599,-0.06730526710085599,0.06730526710085599,0.06730526710085599,0.06730526710085599,0.06730526710085599,0.06730526710085599,0.12918174001028992,0.13755854906996426,-0.12420917816007812,-0.5699284372374962,-0.3988704137696734,-0.5699284372374962,-0.5002883287946823,-0.9687146084960702,0.02028274159222398,0.05274472665509984,0.02028274159222398,-0.05274472665509984,0.17875326418614268,-0.546874234493795,0.5702061000104879,-0.031139062623325275,0.14323705889291763,-0.6429892872801419,0.12087061433872746
P1,317.0,0.3457931540192338,0.3722559452850299,0.8316770918802372,0.07275019645677772,0.040355625092544034,0.1935258618676801,0.1409736575684008,0.1409736575684008,0.1935258618676801,0.05255220429927929,-0.05255220429927929,-0.05255220429927929,0.05255220429927929,0.05255220429927929,0.05255220429927929,0.05255220429927929,0.05255220429927929,0.5769670465290884,0.052724994793372566,-0.05403278168279572,-0.6946943632763829,-0.4305116800083155,-0.6946943632763829,-0.5810571000980809,-1.2418362897025441,0.07079571571596163,0.02266666793465772,0.07079571571596163,-0.02266666793465772,0.2719878021410115,-0.6715259743547566,-0.31679471964127115,-0.03112819406401492,0.14326545560696852,0.47068262500076696,-0.543993849137004
P1,330.0,-0.0880205138140065,0.1662347225396472,0.5657298934822808,0.10834551712429377,0.17745212633851734,0.257944300609195,0.4607430634116542,0.4607430634116542,0.257944300609195,-0.20279876280245923,0.20279876280245923,0.20279876280245923,-0.20279876280245923,0.20279876280245923,0.20279876280245923,0.20279876280245923,0.20279876280245923,-0.3279460761205003,-1.4156026615418529,2.0765097571090494,0.5759333875796363,1.5408798216579795,0.5759333875796363,1.0931236569067295,-0.49834633577164755,0.5348148185709941,-1.3181291608248131,0.5348148185709941,1.3181291608248131,1.0486661957002317,0.6434314877043452,0.18535652272672143,-0.171627238937059,-0.2427922807622246,0.5194710781997399,0.21395335534334334
P1,347.0,0.0783333981054355,0.1703171584383681,0.7156266563484193,0.24839795773276982,0.19878701667218288,0.2386214934955886,0.0601535119147013,0.0601535119147013,0.2386214934955886,0.17846798158088728,-0.17846798158088728,-0.17846798158088728,0.17846798158088728,0.17846798158088728,0.17846798158088728,0.17846798158088728,0.17846798158088728,0.1820933173281528,0.7767701012208269,-0.252145756578908,0.3701691682316004,0.07187559726796632,0.3701691682316004,0.22827219164670431,0.19647440279993683,-0.5398793981609998,-0.07956845607761806,-0.5398793981609998,0.07956845607761806,-0.6468803782474173,0.3737264542384308,-0.2907219895797764,-0.13690094126198513,-0.02256589355810123,0.2973198985054339,-0.3092152207557471
P1,362.0,-0.1497802676246039,0.2337100540328996,0.7272447321325082,0.2891594995117391,0.2103098930869574,0.1731848864338259,0.0142951864757033,0.0142951864757033,0.1731848864338259,0.1588896999581226,-0.1588896999581226,-0.1588896999581226,0.1588896999581226,0.1588896999581226,0.1588896999581226,0.1588896999581226,0.1588896999581226,0.22162503377521822,0.6641904125808721,-0.8693401613136971,0.20459660409574562,-0.38183298501429264,0.20459660409574562,-0.09152497726352211,0.4215744639576902,-0.15465895350963954,0.5166110513177883,-0.15465895350963954,-0.5166110513177883,-1.6136492835886214,0.17589544920646377,-0.5494215240250014,-0.13690078843820905,-0.022565174838415903,-0.0012627506301537382,-0.7463855905705125
P1,381.0,0.1195096536317912,0.1702312688262325,0.7317807697084298,0.06876904697228892,0.11517234524997944,0.2163034191586053,0.0919388933561003,0.0919388933561003,0.2163034191586053,0.124364525802505,-0.124364525802505,-0.124364525802505,0.124364525802505,0.124364525802505,0.124364525802505,0.124364525802505,0.124364525802505,0.23705937544909014,0.4656626034722207,-0.19964409418101456,-0.08738109457704155,-0.1628992892003761,-0.08738109457704155,-0.1292449457386581,-0.936867967562305,-0.2628711348373858,-0.006425749809649751,-0.2628711348373858,0.006425749809649751,-0.19450318906481057,-0.07027097833660374,-0.39301271024554835,-0.04155013634936185,0.11603563549183075,0.011695465269391702,-0.7302152672825394
P1,394.0,-0.2395561751530914,0.3180357344740208,0.839856995660206,0.007304156417021313,0.23886735706075596,0.2266790665445006,0.0479693859264205,0.0479693859264205,0.2266790665445006,0.1787096806180801,-0.1787096806180801,-0.1787096806180801,0.1787096806180801,0.1787096806180801,0.1787096806180801,0.1787096806180801,0.1787096806180801,0.6048000235903035,0.778159927094008,-0.38594136744029506,0.3722132050938881,-0.004490450648991612,0.3722132050938881,0.1898922589449409,-0.6689486794760962,-0.48128873885363266,0.039708865391141934,-0.48128873885363266,-0.039708865391141934,-0.7984115632165032,0.3679194016816509,-0.3410749919627498,-0.1369008959635237,-0.1883537482966151,-0.39329803123987467,-0.7994816434881508
P10,56.0,0.2951533867861125,0.3455673970984055,0.5986601333290588,0.2531992779965876,0.22299073294146304,0.406313335960439,0.2155422788196357,0.2155422788196357,0.406313335960439,0.1907710571408033,-0.1907710571408033,-0.1907710571408033,0.1907710571408033,0.1907710571408033,0.1907710571408033,0.1907710571408033,0.1907710571408033,-0.21589749524108323,0.8475156570636178,1.5395220211069658,0.47421567274422716,1.1706723957959428,0.47421567274422716,0.8494212209363826,0.3213497619038555,-1.4107892660020624,-1.7113326392367905,-1.4107892660020624,1.7113326392367905,-0.002622496075422671,0.5640832964072228,-0.6257986683981513,-0.17659932457897778,-0.2505867394486939,-0.8735826905568123,-0.757219182950019
P10,64.0,-0.1291449148738822,0.3795531092229933,0.9061476232795611,0.278177679777811,0.14681502862076148,0.1809952574623599,0.2218171906146101,0.2218171906146101,0.1809952574623599,-0.04082193315225022,0.04082193315225022,0.04082193315225022,-0.04082193315225022,0.04082193315225022,0.04082193315225022,0.04082193315225022,0.04082193315225022,0.8303608085987183,-0.4841980878276608,0.32480169335420117,-0.7938966890598739,-0.26843086790992543,-0.7938966890598739,-0.5485866106843942,0.10093005884732388,0.4197596792502671,-0.10920600838725117,0.4197596792502671,0.10920600838725117,0.7224600312856215,-0.7693019169582455,-0.4760335580660611,-0.031115110248002256,-0.009467414148837,0.0063009949958098424,-0.16712076150568853
P10,101.0,0.0393428476403445,0.0603148783969601,0.0268119859690982,0.20436895667278548,0.005927293244576939,0.3871398966611745,0.3145424287276906,0.3145424287276906,0.3871398966611745,0.07259746793348387,-0.07259746793348387,-0.07259746793348387,0.07259746793348387,0.07259746793348387,0.07259746793348387,0.07259746793348387,0.07259746793348387,-2.1616705502914737,0.16798993898646214,1.9822070385563626,-0.5251725552523657,0.8479952333017621,-0.5251725552523657,0.1667058315876978,-0.823402421154457,-0.9526744356235881,-1.845306607938962,-0.9526744356235881,1.845306607938962,0.3665216677873258,-0.43652464673139574,-0.50704011032341,-0.031144353508958656,-0.022565171761188316,-0.13752281664306693,-0.5730409444479623
P10,106.0,-0.0260377827033926,0.0805097233362215,0.5359259130377566,0.005927293244576939,0.39503345749822183,0.1585369503698319,0.187095197490844,0.187095197490844,0.1585369503698319,-0.028558247121012098,0.028558247121012098,0.028558247121012098,-0.028558247121012098,0.028558247121012098,0.028558247121012098,0.028558247121012098,0.028558247121012098,-0.42935723282343496,-0.41367903096775704,0.0077040451363814206,-0.8976100782670329,-0.5123420021192243,-0.8976100782670329,-0.7281001306346574,-0.0025347079979254144,0.4936817390163724,0.1475189291568548,0.4936817390163724,-0.1475189291568548,0.6897688744397934,-0.8857566659631287,1.1297742863893836,-0.031056452961882027,0.14345289641717976,-1.026671976588783,0.6661328773126597
P10,132.0,0.2137989076490264,0.3071782253187112,0.1345948584012907,0.3719932720470502,0.10864133832803861,0.1377691416102365,0.2176755382621651,0.2176755382621651,0.1377691416102365,-0.07990639665192859,0.07990639665192859,0.07990639665192859,-0.07990639665192859,0.07990639665192859,0.07990639665192859,0.07990639665192859,0.07990639665192859,-1.7949280681435322,-0.708942874741811,0.062120178178887396,-0.46336130479042714,-0.22910130499609666,-0.46336130479042714,-0.35758812207792395,0.34048509207797467,0.7545276398193647,0.21282798391562338,0.7545276398193647,-0.21282798391562338,0.9424425992578522,-0.44815428600589124,-0.36257739957389595,-0.031142029199946887,-0.02256152807283064,0.5319753236180493,-0.7433783612933783
P10,137.0,-0.1181260415049033,0.209549830915844,0.8035053019960885,0.10864133832803861,0.012478786853194469,0.2028907948685325,0.1923573935857761,0.1923573935857761,0.2028907948685325,0.0105334012827564,-0.0105334012827564,-0.0105334012827564,0.0105334012827564,0.0105334012827564,0.0105334012827564,0.0105334012827564,0.0105334012827564,0.48110958870189213,-0.18889292917822806,0.2828535236562144,-1.0500453124258544,-0.4412141849666919,-1.0500453124258544,-0.7700873313114547,-1.2073323150959012,0.1532888938959453,-0.18569609424446384,0.1532888938959453,0.18569609424446384,0.5001809372860339,-1.0492766432420855,0.5396078372685255,-0.030995271052618963,0.14361274880725453,-0.15871068758585682,0.1421101686463172
P10,175.0,0.1693792155442748,0.1889824682123895,0.8044620441282703,0.3687930867129994,0.019093200674319053,0.3359333275137368,0.0220897458251464,0.0220897458251464,0.3359333275137368,0.3138435816885904,-0.3138435816885904,-0.3138435816885904,0.3138435816885904,0.3138435816885904,0.3138435816885904,0.3138435816885904,0.3138435816885904,0.48436500374524794,1.5552113966944443,0.07641885274528147,1.5150339558133676,0.9259069876416697,1.5150339558133676,1.2605034203107228,-0.05882418395647356,-1.4390237302244917,-0.6744531633548005,-1.4390237302244917,0.6744531633548005,-1.8105280290354655,1.5008016175435794,-0.0699739078992172,-0.13783346115315054,-0.18981567823235548,-0.8514336384668648,-0.06338026773042454
P10,191.0,-0.1576688290168185,0.2642319893428602,0.4851664438040114,0.22242910543233105,0.23353056062880798,0.0750819092960601,0.147267672495411,0.147267672495411,0.0750819092960601,-0.07218576319935091,0.07218576319935091,0.07218576319935091,-0.07218576319935091,0.07218576319935091,0.07218576319935091,0.07218576319935091,0.07218576319935091,-0.6020716290834448,-0.6645474304969102,-0.6759686816406448,-0.5286543219268222,-0.6947587316895442,-0.5286543219268222,-0.6317712612716563,0.23425207532043388,1.0422661496099765,0.8566406258356247,1.0422661496099765,-0.8566406258356247,1.1296953994924046,-0.5447839989096664,1.4372800279513946,-0.031127934049542304,0.14326613495704768,0.2896850088145626,-0.41868176681317515
P10,228.0,0.0850146963377598,0.119114665314937,0.2795642163113705,0.27105600263172,0.310575220793013,0.0674771244926403,0.0529228308814155,0.0529228308814155,0.0674771244926403,0.014554293611224803,-0.014554293611224803,-0.014554293611224803,0.014554293611224803,0.014554293611224803,0.014554293611224803,0.014554293611224803,0.014554293611224803,-1.3016546847608097,-0.16577185986704746,-1.2413379898003016,-1.016040823892775,-1.3049586572058627,-1.016040823892775,-1.198565574603029,0.7753057242968711,0.8137097737014728,1.170289024907804,0.8137097737014728,-1.170289024907804,0.3359660617100265,-1.039812739569995,0.6369742909135147,-0.03061279138248546,0.14461206854346872,-0.7553252348925755,0.7451030457991978
P10,252.0,-0.1007655179833738,0.2784255104667263,0.8302076455368397,0.27203917857321336,0.24282152917533872,0.2425174562522242,0.0010192867942803,0.0010192867942803,0.2425174562522242,0.24149816945794392,-0.24149816945794392,-0.24149816945794392,0.24149816945794392,0.24149816945794392,0.24149816945794392,0.24149816945794392,0.24149816945794392,0.5719671018514231,1.1392083919166816,-0.5584736880682201,0.9032123650683636,0.20328464454923545,0.9032123650683636,0.5713957434842226,0.48783867997502195,-0.7527721290170637,0.054765207591930876,-0.7527721290170637,-0.054765207591930876,-4.191969255123337,0.8691792508089003,0.2358246407717756,-0.15991565617257486,-0.22443269193267454,0.40211196941236216,0.1751842271089901
