mode,endpoint,control_kind,mean_relative_to_decohered,mean_decohered_to_relative,mean_readout_asymmetry,mean_abs_readout_asymmetry,p_asymmetry_two_sided,dominant_direction,n_events
gmr72_phase_conditioned,gmr72_bridge_composite,phase_rotated_intersection,-0.27903183485821886,-0.2793812896152547,-0.00034945475703579356,0.10557266670498584,0.9582083583283343,relative_to_decohered,502
fes_string_conditioned,z_reward,true_intersection,-0.7137909148752072,-0.7175221683342123,-0.0037312534590051823,0.3057816632465926,0.8332333533293341,relative_to_decohered,502
fes_string_conditioned,z_reward,random_intersection,-0.6932706505377944,-0.7045900695442989,-0.011319419006504777,0.4122420301827866,0.6538692261547691,relative_to_decohered,502
fes_string_conditioned,z_reward,balanced_intersection,-0.7140804129272932,-0.7179173728310504,-0.0038369599037572687,0.30490142038947354,0.831633673265347,relative_to_decohered,502
fes_string_conditioned,z_reward,performance_matched_intersection,-0.7511472319294027,-0.7478795167647478,0.0032677151646549863,0.2933535765942133,0.8580283943211358,decohered_to_relative,502
fes_string_conditioned,z_reward,shuffled_c_intersection,-0.7250264268714338,-0.730228846862322,-0.005202419990888303,0.3093002927535364,0.7648470305938813,relative_to_decohered,502
fes_string_conditioned,z_reward,phase_rotated_intersection,-0.7157230924739189,-0.7225678435456516,-0.006844751071732721,0.31288265888478156,0.7028594281143771,relative_to_decohered,502
fes_string_conditioned,rank_reward,true_intersection,-0.7044202421638008,-0.7081903207477435,-0.003770078583942604,0.3142582712449083,0.8424315136972605,relative_to_decohered,502
fes_string_conditioned,rank_reward,random_intersection,-0.6919315102659997,-0.6906276960713279,0.001303814194671856,0.4319407689965333,0.9598080383923215,decohered_to_relative,502
fes_string_conditioned,rank_reward,balanced_intersection,-0.7143325140564794,-0.717347918867321,-0.0030154048108416653,0.31811102023029425,0.8680263947210558,relative_to_decohered,502
fes_string_conditioned,rank_reward,performance_matched_intersection,-0.7486743848120062,-0.7464317780131305,0.0022426067988756877,0.3459526116366091,0.9134173165366927,decohered_to_relative,502
fes_string_conditioned,rank_reward,shuffled_c_intersection,-0.7279331872955579,-0.7279050853847844,2.8101910773477606e-05,0.3209709186925701,0.9984003199360127,decohered_to_relative,502
fes_string_conditioned,rank_reward,phase_rotated_intersection,-0.7131630988245785,-0.7222231703167481,-0.00906007149216953,0.3309553421617661,0.6334733053389322,relative_to_decohered,502
fes_string_conditioned,gmr72_bridge_composite,true_intersection,-0.2744351329078957,-0.2751575165780635,-0.0007223836701678309,0.10345291228348089,0.8990201959608078,relative_to_decohered,502
fes_string_conditioned,gmr72_bridge_composite,random_intersection,-0.2712869853386224,-0.27637236520803937,-0.005085379869417012,0.14637828376706785,0.5744851029794041,relative_to_decohered,502
fes_string_conditioned,gmr72_bridge_composite,balanced_intersection,-0.2768733289059226,-0.2773493154866781,-0.0004759865807555894,0.10585292382775649,0.9386122775444911,relative_to_decohered,502
fes_string_conditioned,gmr72_bridge_composite,performance_matched_intersection,-0.27643542895885853,-0.2760337841259131,0.0004016448329454333,0.09178654967994686,0.9398120375924816,decohered_to_relative,502
fes_string_conditioned,gmr72_bridge_composite,shuffled_c_intersection,-0.27646405151653985,-0.27727824733834094,-0.0008141958218010573,0.10341949380526616,0.8976204759048191,relative_to_decohered,502
fes_string_conditioned,gmr72_bridge_composite,phase_rotated_intersection,-0.27725530045370694,-0.2790301239927213,-0.0017748235390143874,0.10751525550258084,0.7838432313537292,relative_to_decohered,502
linear_c_state,z_reward,true_intersection,-0.6716508209378064,-0.6615228285490251,0.01012799238878143,0.3296538883125594,0.620875824835033,decohered_to_relative,502
linear_c_state,z_reward,random_intersection,-0.7002362874365958,-0.7097166487976776,-0.009480361361081779,0.43987011209441523,0.7206558688262348,relative_to_decohered,502
linear_c_state,z_reward,balanced_intersection,-0.7140804129272932,-0.7179173728310504,-0.0038369599037572687,0.30490142038947354,0.8322335532893421,relative_to_decohered,502
linear_c_state,z_reward,performance_matched_intersection,-0.7511472319294027,-0.7478795167647478,0.0032677151646549863,0.2933535765942133,0.8580283943211358,decohered_to_relative,502
linear_c_state,z_reward,shuffled_c_intersection,-0.7214557974429507,-0.7212116677963102,0.00024412964664043195,0.32430030328464465,0.992001599680064,decohered_to_relative,502
linear_c_state,z_reward,phase_rotated_intersection,-0.7155308747172234,-0.7120381936981948,0.003492681019028615,0.304513946369477,0.8490301939612077,decohered_to_relative,502
linear_c_state,rank_reward,true_intersection,-0.6612207164799927,-0.6501365627291531,0.011084153750839439,0.3360613145180908,0.5754849030193961,decohered_to_relative,502
linear_c_state,rank_reward,random_intersection,-0.6979358538206946,-0.7066320781152038,-0.008696224294509142,0.4495690485436335,0.7370525894821036,relative_to_decohered,502
linear_c_state,rank_reward,balanced_intersection,-0.7143325140564794,-0.717347918867321,-0.0030154048108416653,0.31811102023029425,0.8682263547290542,relative_to_decohered,502
linear_c_state,rank_reward,performance_matched_intersection,-0.7486743848120062,-0.7464317780131305,0.0022426067988756877,0.3459526116366091,0.9090181963607279,decohered_to_relative,502
linear_c_state,rank_reward,shuffled_c_intersection,-0.7164310499845349,-0.7187753796745634,-0.0023443296900284506,0.3437929927488963,0.910617876424715,relative_to_decohered,502
linear_c_state,rank_reward,phase_rotated_intersection,-0.7212313608592602,-0.710650084294107,0.010581276565153206,0.3149562578900939,0.5708858228354329,decohered_to_relative,502
linear_c_state,gmr72_bridge_composite,true_intersection,-0.26922741848782167,-0.2695630841153482,-0.00033566562752655976,0.10668845252240917,0.9554089182163568,relative_to_decohered,502
linear_c_state,gmr72_bridge_composite,random_intersection,-0.2671751359244079,-0.27653399994898803,-0.009358864024580167,0.1621186279862987,0.4039192161567686,relative_to_decohered,502
linear_c_state,gmr72_bridge_composite,balanced_intersection,-0.2768733289059226,-0.2773493154866781,-0.0004759865807555894,0.10585292382775649,0.9420115976804639,relative_to_decohered,502
linear_c_state,gmr72_bridge_composite,performance_matched_intersection,-0.27643542895885853,-0.2760337841259131,0.0004016448329454333,0.09178654967994686,0.9410117976404719,decohered_to_relative,502
linear_c_state,gmr72_bridge_composite,shuffled_c_intersection,-0.2765959132759999,-0.2775521760762937,-0.0009562628002937787,0.10504639040324593,0.8800239952009599,relative_to_decohered,502
linear_c_state,gmr72_bridge_composite,phase_rotated_intersection,-0.2779102100213444,-0.2766031499908935,0.0013070600304508544,0.10690376652893217,0.8374325134973005,decohered_to_relative,502
