mode,weight_endpoint,readout,control_kind,mean_relative_to_q,mean_q_to_relative,mean_readout_asymmetry,mean_abs_readout_asymmetry,p_asymmetry_two_sided,dominant_direction,n_events
linear_c_state,z_reward,q_residual,balanced_intersection,-0.6025528223224285,-0.6028232586569008,-0.0002704363344723494,0.34646095079881867,0.9914017196560688,Relative_to_Qresidual,502
linear_c_state,z_reward,q_residual,performance_matched_intersection,-0.5982211135825001,-0.600987763174912,-0.002766649592412018,0.36254047153314245,0.913617276544691,Relative_to_Qresidual,502
linear_c_state,z_reward,q_residual,shuffled_c_intersection,-0.601312230530006,-0.6051567757322562,-0.003844545202250163,0.37440424444392634,0.8662267546490702,Relative_to_Qresidual,502
linear_c_state,z_reward,q_residual,phase_rotated_intersection,-0.6094942951610376,-0.6019754564669698,0.007518838694067898,0.31174833780096434,0.70625874825035,Qresidual_to_Relative,502
linear_c_state,rank_reward,q_residual,true_intersection,-0.6098216600357124,-0.5809061767758185,0.02891548325989384,0.38864204846252637,0.26754649070185965,Qresidual_to_Relative,502
linear_c_state,rank_reward,q_residual,random_intersection,-0.5879778640624971,-0.6192790168350037,-0.03130115277250666,0.37907727799371904,0.20835832833433313,Relative_to_Qresidual,502
linear_c_state,rank_reward,q_residual,balanced_intersection,-0.6025528223224285,-0.6028232586569008,-0.0002704363344723494,0.34646095079881867,0.99000199960008,Relative_to_Qresidual,502
linear_c_state,rank_reward,q_residual,performance_matched_intersection,-0.5940767867339856,-0.5973586704625398,-0.0032818837285541495,0.38750277685979795,0.8948210357928414,Relative_to_Qresidual,502
linear_c_state,rank_reward,q_residual,shuffled_c_intersection,-0.5993573508007058,-0.6009160780185065,-0.0015587272178005142,0.36840364743407206,0.9462107578484303,Relative_to_Qresidual,502
linear_c_state,rank_reward,q_residual,phase_rotated_intersection,-0.6112812790450239,-0.6108244841948106,0.0004567948502133759,0.3073799295405674,0.9832033593281344,Qresidual_to_Relative,502
linear_c_state,gmr72_bridge_composite,q_residual,true_intersection,-0.6076247390596313,-0.599443130818067,0.008181608241564255,0.3527905657983709,0.7266546690661868,Qresidual_to_Relative,502
linear_c_state,gmr72_bridge_composite,q_residual,random_intersection,-0.5879778640624971,-0.6192790168350037,-0.03130115277250666,0.37907727799371904,0.21035792841431714,Relative_to_Qresidual,502
linear_c_state,gmr72_bridge_composite,q_residual,balanced_intersection,-0.6025528223224285,-0.6028232586569008,-0.0002704363344723494,0.34646095079881867,0.9918016396720656,Relative_to_Qresidual,502
linear_c_state,gmr72_bridge_composite,q_residual,performance_matched_intersection,-0.5997412612842729,-0.607636106960745,-0.007894845676472114,0.28352353007479547,0.6826634673065387,Relative_to_Qresidual,502
linear_c_state,gmr72_bridge_composite,q_residual,shuffled_c_intersection,-0.6013086037805547,-0.602882355467115,-0.0015737516865602656,0.3445044958129518,0.9368126374725055,Relative_to_Qresidual,502
linear_c_state,gmr72_bridge_composite,q_residual,phase_rotated_intersection,-0.604609390118847,-0.6017993897882414,0.002810000330605492,0.34000613778397115,0.891621675664867,Qresidual_to_Relative,502
combined_c_fes_gmr72,z_reward,mq_decohered,true_intersection,-0.5939339651219447,-0.5759087167229404,0.018025248399004393,0.3605382511538196,0.4861027794441112,Qresidual_to_Relative,502
combined_c_fes_gmr72,z_reward,mq_decohered,random_intersection,-0.5790727368563799,-0.6132469339140787,-0.03417419705769866,0.38620290888504605,0.1977604479104179,Relative_to_Qresidual,502
combined_c_fes_gmr72,z_reward,mq_decohered,balanced_intersection,-0.5956426578138964,-0.5956582120764448,-1.5554262548458144e-05,0.33894957304766016,0.9996000799840032,Relative_to_Qresidual,502
combined_c_fes_gmr72,z_reward,mq_decohered,performance_matched_intersection,-0.5919729420274661,-0.59576695049948,-0.003794008472014085,0.35496445489890305,0.8710257948410318,Relative_to_Qresidual,502
combined_c_fes_gmr72,z_reward,mq_decohered,shuffled_c_intersection,-0.5925616446573315,-0.5933317888620674,-0.0007701442047359543,0.3570146679615961,0.9782043591281744,Relative_to_Qresidual,502
combined_c_fes_gmr72,z_reward,mq_decohered,phase_rotated_intersection,-0.5719501570365931,-0.5746899125812631,-0.002739755544670126,0.3259898188660428,0.8974205158968206,Relative_to_Qresidual,502
combined_c_fes_gmr72,rank_reward,mq_decohered,true_intersection,-0.5951652767463501,-0.5748497472326922,0.020315529513658,0.3611195143697375,0.41091781643671266,Qresidual_to_Relative,502
combined_c_fes_gmr72,rank_reward,mq_decohered,random_intersection,-0.5790727368563799,-0.6132469339140787,-0.03417419705769866,0.38620290888504605,0.19276144771045792,Relative_to_Qresidual,502
combined_c_fes_gmr72,rank_reward,mq_decohered,balanced_intersection,-0.5956426578138964,-0.5956582120764448,-1.5554262548458144e-05,0.33894957304766016,0.9998000399920016,Relative_to_Qresidual,502
combined_c_fes_gmr72,rank_reward,mq_decohered,performance_matched_intersection,-0.5885859867696014,-0.5916212609781963,-0.0030352742085950216,0.38009643530873505,0.9034193161367726,Relative_to_Qresidual,502
