control_level,endpoint,direction,fold,label,idx_in_session,control_state,access_readout,baseline_max,access_effect
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P18,321.0,dir=0.0|side=A_side|recv=q1|ss=q1|sp=q1,-0.2407762797862762,0.6970345065888394,-0.9378107863751155
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P18,353.0,dir=0.0|side=A_side|recv=q1|ss=q1|sp=q1,-0.7035989162225664,0.1826624481946002,-0.8862613644171666
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P18,380.0,dir=0.0|side=B_side|recv=q2|ss=q2|sp=q2,-0.39501254462623614,0.5411927505787792,-0.9362052952050154
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P18,409.0,dir=0.0|side=B_side|recv=missing|ss=missing|sp=missing,0.09668023009028631,0.09936278803664558,-0.002682557946359271
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P22,36.0,dir=0.0|side=B_side|recv=q3|ss=q3|sp=q3,-0.4515720003435054,0.7764638643879016,-1.2280358647314071
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P22,54.0,dir=0.0|side=A_side|recv=q1|ss=q1|sp=q1,0.273049731018017,0.4769960546618107,-0.20394632364379373
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P22,64.0,dir=0.0|side=A_side|recv=q1|ss=q1|sp=q2,-0.5580979135695798,0.1259824214927026,-0.6840803350622824
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P22,84.0,dir=0.0|side=B_side|recv=q3|ss=q3|sp=q3,0.07877487606886165,0.22582356725301442,-0.14704869118415276
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P22,117.0,dir=0.0|side=B_side|recv=q3|ss=q3|sp=q2,0.1815864084592764,0.49632271552961926,-0.31473630707034284
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P22,127.0,dir=0.0|side=B_side|recv=q2|ss=q2|sp=q2,0.10078495609720652,-0.04604831735534004,0.14683327345254654
