mode,endpoint,direction,control_level,effect_true_minus_control,p_true_greater,n_pairs,c_beats_control
gmr72_phase_conditioned,z_reward,A_to_C_to_B,receiver_inverted__standpoint_inverted,0.05226539302856628,0.11537692461507698,106,False
gmr72_phase_conditioned,z_reward,A_to_C_to_B,receiver_only,0.06791706997193736,0.016396720655868825,106,True
gmr72_phase_conditioned,z_reward,A_to_C_to_B,standpoint_only_preserved,0.07248702709866836,0.01259748050389922,106,True
gmr72_phase_conditioned,z_reward,A_to_C_to_B,standpoint_only_inverted,0.05226539302856628,0.11577684463107378,106,False
gmr72_phase_conditioned,z_reward,A_to_C_to_B,standpoint_sign_only,0.07258547692857378,0.007398520295940812,106,True
gmr72_phase_conditioned,z_reward,A_to_C_to_B,standpoint_magnitude_only,0.05256698573596147,0.11377724455108978,106,False
gmr72_phase_conditioned,z_reward,A_to_C_to_B,receiver_plus_magnitude,0.04548057923920222,0.17196560687862428,106,False
gmr72_phase_conditioned,z_reward,A_to_C_to_B,receiver_plus_standpoint_sign,0.06791706997193736,0.017996400719856028,106,True
gmr72_phase_conditioned,z_reward,A_to_C_to_B,complexity_matched_shuffled_pair,0.12264858692772922,0.0001999600079984003,106,True
gmr72_phase_conditioned,z_reward,A_to_C_to_B,parity_label_shuffled,0.1202766210287082,0.0003999200159968006,106,True
gmr72_phase_conditioned,z_reward,A_to_C_to_B,ab_exchange_parity_mismatch,0.05632912690998808,0.08038392321535692,106,False
gmr72_phase_conditioned,z_reward,A_to_C_to_B,endpoint_o1o2_reference,-0.28140848464116175,1.0,106,False
gmr72_phase_conditioned,z_reward,B_to_C_to_A,receiver_preserved__standpoint_preserved,0.005752413219795695,0.41771645670865826,106,False
gmr72_phase_conditioned,z_reward,B_to_C_to_A,receiver_preserved__standpoint_inverted,0.009816147101217488,0.3567286542691462,106,False
gmr72_phase_conditioned,z_reward,B_to_C_to_A,receiver_inverted__standpoint_preserved,0.00941796073978796,0.379124175164967,106,False
gmr72_phase_conditioned,z_reward,B_to_C_to_A,receiver_inverted__standpoint_inverted,0.025974047289897766,0.19616076784643072,106,False
gmr72_phase_conditioned,z_reward,B_to_C_to_A,receiver_only,0.0003014997660404393,0.4967006598680264,106,False
gmr72_phase_conditioned,z_reward,B_to_C_to_A,standpoint_only_preserved,0.005752413219795695,0.41451709658068386,106,False
gmr72_phase_conditioned,z_reward,B_to_C_to_A,standpoint_only_inverted,0.025974047289897766,0.20255948810237953,106,False
gmr72_phase_conditioned,z_reward,B_to_C_to_A,standpoint_sign_only,0.02607249711980317,0.13457308538292342,106,False
gmr72_phase_conditioned,z_reward,B_to_C_to_A,standpoint_magnitude_only,0.006054005927190873,0.4091181763647271,106,False
gmr72_phase_conditioned,z_reward,B_to_C_to_A,receiver_plus_magnitude,0.007868548344759403,0.4013197360527894,106,False
gmr72_phase_conditioned,z_reward,B_to_C_to_A,receiver_plus_standpoint_sign,0.00016320243553053472,0.4953009398120376,106,False
gmr72_phase_conditioned,z_reward,B_to_C_to_A,complexity_matched_shuffled_pair,0.05764797162950909,0.0627874425114977,106,False
gmr72_phase_conditioned,z_reward,B_to_C_to_A,parity_label_shuffled,0.013434742637400068,0.3169366126774645,106,False
gmr72_phase_conditioned,z_reward,B_to_C_to_A,ab_exchange_parity_mismatch,0.00941796073978796,0.3665266946610678,106,False
gmr72_phase_conditioned,z_reward,B_to_C_to_A,endpoint_o1o2_reference,-0.32792146444993236,1.0,106,False
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,receiver_preserved__standpoint_preserved,0.0594917148826396,0.03139372125574885,106,True
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,receiver_preserved__standpoint_inverted,0.04646834829620521,0.11517696460707859,106,False
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,receiver_inverted__standpoint_preserved,0.04663957064194764,0.11117776444711058,106,False
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,receiver_inverted__standpoint_inverted,0.057160542946836625,0.057588482303539294,106,False
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,receiver_only,0.05823426173270628,0.03939212157568486,106,True
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,standpoint_only_preserved,0.0594917148826396,0.027194561087782444,106,True
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,standpoint_only_inverted,0.057160542946836625,0.0657868426314737,106,False
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,standpoint_sign_only,0.08049538414022957,0.003999200159968006,106,True
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,standpoint_magnitude_only,0.06975167176690675,0.016996600679864027,106,True
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,receiver_plus_magnitude,0.05014053384771368,0.07898420315936813,106,False
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,receiver_plus_standpoint_sign,0.05823426173270628,0.036192761447710456,106,True
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,complexity_matched_shuffled_pair,0.13322130379872332,0.0001999600079984003,106,True
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,parity_label_shuffled,0.10598202854179799,0.0011997600479904018,106,True
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,ab_exchange_parity_mismatch,0.04663957064194764,0.10377924415116976,106,False
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,endpoint_o1o2_reference,-0.3046154780792147,1.0,106,False
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,receiver_preserved__standpoint_preserved,0.01878992773380159,0.26914617076584685,106,False
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,receiver_preserved__standpoint_inverted,0.008268955428912627,0.40331933613277343,106,False
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,receiver_inverted__standpoint_preserved,0.00809773308317019,0.41411717656468705,106,False
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,receiver_inverted__standpoint_inverted,0.02112109966960458,0.254749050189962,106,False
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,receiver_only,0.007146669661018955,0.4117176564687063,106,False
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,standpoint_only_preserved,0.01878992773380159,0.28054389122175566,106,False
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,standpoint_only_inverted,0.02112109966960458,0.2575484903019396,106,False
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,standpoint_sign_only,0.042124768927194536,0.05098980203959208,106,False
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,standpoint_magnitude_only,0.031381056553871745,0.13277344531093782,106,False
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,receiver_plus_magnitude,0.013135303531503908,0.34753049390121976,106,False
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,receiver_plus_standpoint_sign,0.00761763184355845,0.41271745650869823,106,False
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,complexity_matched_shuffled_pair,0.06544587310665942,0.028194361127774445,106,True
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,parity_label_shuffled,0.014878720166413912,0.31593681263747253,106,False
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,ab_exchange_parity_mismatch,0.00809773308317019,0.41271745650869823,106,False
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,endpoint_o1o2_reference,-0.3429860932922496,1.0,106,False
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,receiver_preserved__standpoint_preserved,0.01649168048168284,0.06998600279944012,106,False
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,receiver_preserved__standpoint_inverted,0.017224140627459545,0.07438512297540492,106,False
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,receiver_inverted__standpoint_preserved,0.01732605565145208,0.07318536292741452,106,False
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,receiver_inverted__standpoint_inverted,0.017912917724775185,0.0643871225754849,106,False
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,receiver_only,0.017366288078084633,0.0635872825434913,106,False
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,standpoint_only_preserved,0.01649168048168284,0.07378524295140972,106,False
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,standpoint_only_inverted,0.017912917724775185,0.0617876424715057,106,False
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,standpoint_sign_only,0.019621602901073624,0.041791641671665665,106,True
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,standpoint_magnitude_only,0.017445767019212705,0.057588482303539294,106,False
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,receiver_plus_magnitude,0.01397727359797633,0.127374525094981,106,False
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,receiver_plus_standpoint_sign,0.017366288078084633,0.05658868226354729,106,False
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,complexity_matched_shuffled_pair,0.02503508057504031,0.016196760647870425,106,True
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,parity_label_shuffled,0.024073396657831904,0.016996600679864027,106,True
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,ab_exchange_parity_mismatch,0.01732605565145208,0.06758648270345931,106,False
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,endpoint_o1o2_reference,-0.03240284541504777,0.9976004799040192,106,False
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,receiver_preserved__standpoint_preserved,-0.007515709270172298,0.7924415116976604,106,False
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,receiver_preserved__standpoint_inverted,-0.008102571343495409,0.8076384723055389,106,False
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,receiver_inverted__standpoint_preserved,-0.008204486367487943,0.8024395120975805,106,False
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,receiver_inverted__standpoint_inverted,-0.008936946513264645,0.8120375924815036,106,False
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,receiver_only,-0.009968690206652388,0.8574285142971406,106,False
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,standpoint_only_preserved,-0.007515709270172298,0.8004399120175965,106,False
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,standpoint_only_inverted,-0.008936946513264645,0.8056388722255549,106,False
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,standpoint_sign_only,-0.005807024093873866,0.730253949210158,106,False
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,standpoint_magnitude_only,-0.007982859975734783,0.8178364327134573,106,False
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,receiver_plus_magnitude,-0.012090886102624057,0.8926214757048591,106,False
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,receiver_plus_standpoint_sign,-0.009818227226207987,0.859628074385123,106,False
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,complexity_matched_shuffled_pair,-0.0038968967448794307,0.6384723055388922,106,False
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,parity_label_shuffled,-0.013146859395194672,0.9122175564887023,106,False
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,ab_exchange_parity_mismatch,-0.008204486367487943,0.8060387922415517,106,False
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,endpoint_o1o2_reference,-0.05783147240999526,1.0,106,False
fes_string_conditioned,z_reward,A_to_C_to_B,receiver_preserved__standpoint_preserved,0.019760447818192636,0.23215356928614278,106,False
fes_string_conditioned,z_reward,A_to_C_to_B,receiver_preserved__standpoint_inverted,0.003204361268082833,0.4667066586682663,106,False
fes_string_conditioned,z_reward,A_to_C_to_B,receiver_inverted__standpoint_preserved,0.003602547629512365,0.45310937812437513,106,False
fes_string_conditioned,z_reward,A_to_C_to_B,receiver_inverted__standpoint_inverted,-0.00046118625190943747,0.5060987802439512,106,False
fes_string_conditioned,z_reward,A_to_C_to_B,receiver_only,0.01519049069146165,0.2917416516696661,106,False
fes_string_conditioned,z_reward,A_to_C_to_B,standpoint_only_preserved,0.019760447818192636,0.235752849430114,106,False
fes_string_conditioned,z_reward,A_to_C_to_B,standpoint_only_inverted,-0.00046118625190943747,0.4929014197160568,106,False
fes_string_conditioned,z_reward,A_to_C_to_B,standpoint_sign_only,0.019858897648098048,0.20915816836632672,106,False
fes_string_conditioned,z_reward,A_to_C_to_B,standpoint_magnitude_only,-0.0001595935445142511,0.5158968206358728,106,False
fes_string_conditioned,z_reward,A_to_C_to_B,receiver_plus_magnitude,-0.007246000041273511,0.5808838232353529,106,False
fes_string_conditioned,z_reward,A_to_C_to_B,receiver_plus_standpoint_sign,0.01519049069146165,0.28654269146170763,106,False
fes_string_conditioned,z_reward,A_to_C_to_B,complexity_matched_shuffled_pair,0.0699220076472535,0.008798240351929614,106,True
fes_string_conditioned,z_reward,A_to_C_to_B,parity_label_shuffled,0.06755004174823248,0.013797240551889621,106,True
fes_string_conditioned,z_reward,A_to_C_to_B,ab_exchange_parity_mismatch,0.003602547629512365,0.4579084183163367,106,False
fes_string_conditioned,z_reward,A_to_C_to_B,endpoint_o1o2_reference,-0.33413506392163744,1.0,106,False
fes_string_conditioned,z_reward,B_to_C_to_A,receiver_preserved__standpoint_preserved,-0.040369412207114146,0.9206158768246351,106,False
fes_string_conditioned,z_reward,B_to_C_to_A,receiver_preserved__standpoint_inverted,-0.036305678325692335,0.908618276344731,106,False
fes_string_conditioned,z_reward,B_to_C_to_A,receiver_inverted__standpoint_preserved,-0.03670386468712188,0.9180163967206558,106,False
fes_string_conditioned,z_reward,B_to_C_to_A,receiver_inverted__standpoint_inverted,-0.02014777813701207,0.760247950409918,106,False
fes_string_conditioned,z_reward,B_to_C_to_A,receiver_only,-0.045820325660869396,0.948010397920416,106,False
fes_string_conditioned,z_reward,B_to_C_to_A,standpoint_only_preserved,-0.040369412207114146,0.9254149170165967,106,False
fes_string_conditioned,z_reward,B_to_C_to_A,standpoint_only_inverted,-0.02014777813701207,0.7758448310337932,106,False
fes_string_conditioned,z_reward,B_to_C_to_A,standpoint_sign_only,-0.02004932830710666,0.7778444311137772,106,False
fes_string_conditioned,z_reward,B_to_C_to_A,standpoint_magnitude_only,-0.04006781949971897,0.903619276144771,106,False
fes_string_conditioned,z_reward,B_to_C_to_A,receiver_plus_magnitude,-0.038253277082150434,0.8812237552489502,106,False
fes_string_conditioned,z_reward,B_to_C_to_A,receiver_plus_standpoint_sign,-0.0459586229913793,0.9484103179364127,106,False
fes_string_conditioned,z_reward,B_to_C_to_A,complexity_matched_shuffled_pair,0.011526146202599265,0.3797240551889622,106,False
fes_string_conditioned,z_reward,B_to_C_to_A,parity_label_shuffled,-0.03268708278950977,0.8644271145770845,106,False
fes_string_conditioned,z_reward,B_to_C_to_A,ab_exchange_parity_mismatch,-0.03670386468712188,0.9150169966006798,106,False
fes_string_conditioned,z_reward,B_to_C_to_A,endpoint_o1o2_reference,-0.37404328987684227,1.0,106,False
fes_string_conditioned,rank_reward,A_to_C_to_B,receiver_preserved__standpoint_preserved,0.010327541713791343,0.3667266546690662,106,False
fes_string_conditioned,rank_reward,A_to_C_to_B,receiver_preserved__standpoint_inverted,-0.002695824872643058,0.5246950609878024,106,False
fes_string_conditioned,rank_reward,A_to_C_to_B,receiver_inverted__standpoint_preserved,-0.0025246025269006264,0.5276944611077784,106,False
fes_string_conditioned,rank_reward,A_to_C_to_B,receiver_inverted__standpoint_inverted,0.007996369777988356,0.41871625674865026,106,False
fes_string_conditioned,rank_reward,A_to_C_to_B,receiver_only,0.009070088563858,0.3895220955808838,106,False
fes_string_conditioned,rank_reward,A_to_C_to_B,standpoint_only_preserved,0.010327541713791343,0.35912817436512695,106,False
fes_string_conditioned,rank_reward,A_to_C_to_B,standpoint_only_inverted,0.007996369777988356,0.40111977604479104,106,False
fes_string_conditioned,rank_reward,A_to_C_to_B,standpoint_sign_only,0.03133121097138128,0.132373525294941,106,False
fes_string_conditioned,rank_reward,A_to_C_to_B,standpoint_magnitude_only,0.020587498598058494,0.2505498900219956,106,False
fes_string_conditioned,rank_reward,A_to_C_to_B,receiver_plus_magnitude,0.0009763606788654094,0.49510097980403917,106,False
fes_string_conditioned,rank_reward,A_to_C_to_B,receiver_plus_standpoint_sign,0.009070088563858,0.3879224155168966,106,False
fes_string_conditioned,rank_reward,A_to_C_to_B,complexity_matched_shuffled_pair,0.08405713062987508,0.002999400119976005,106,True
