c_representation,topology_arm,n_nodes,n_directed_edges,n_seed_events,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,topology_notes
receiver_only_c,paired_c12_45_proxy,24,96,264,-0.0061311508919846035,0.026426361559122622,"two C12 rings, coarse +45-degree proxy by half-strength one-node offset"
receiver_only_c,paired_c12_180,24,96,264,-0.009284981945928847,0.011961272161858967,"two separate C12 rings, second event stream +180 degrees"
receiver_only_c,paired_c12_90_cross_coupled,24,120,264,-0.005023118176595404,0.01554981581742912,two C12 rings plus quadrature cross-coupling edges
receiver_only_c,paired_c12_90_cross_regulated,24,120,264,0.05894050372151579,0.007792984484211214,quadrature cross-coupling plus weak regulatory enforcement of +90 mean phase
receiver_only_c,paired_c12_90_identity_coupled,24,120,264,-0.001810279699613293,0.016931144041573386,two C12 rings plus same-phase identity cross-coupling
receiver_only_c,paired_c12_90_broken_factor12,24,120,264,-0.004238976893847162,0.017724544638850034,two C12 rings with non-quadrature broken cross-coupling
receiver_only_c,paired_c12_90_reversed_second,24,96,264,0.0027228113442092847,0.019220769064305275,"two C12 rings, second ring reversed, +90 event stream"
receiver_only_c,h24_edge_suite,24,168,132,-0.0023949501836676187,0.01164946791602746,H24 possible-factorisations 168-edge carrier; static edge-level operationalization
receiver_standpoint_magnitude_c,single_c12,12,48,132,0.08466141711920937,0.009414384107166489,"single C12(1,2)"
receiver_standpoint_magnitude_c,paired_c12_90,24,96,264,-0.00020111770851950167,0.012304784105205593,"two separate C12 rings, second event stream +90 degrees"
receiver_standpoint_magnitude_c,paired_c12_90_regulated,24,96,264,0.03343767499812741,0.010207573332810492,two separate C12 rings plus weak regulatory enforcement of +90 mean phase
receiver_standpoint_magnitude_c,regulation_only_90,24,0,264,0.0342263708617759,0.010286276854965328,no architecture edges; weak regulatory enforcement of +90 mean phase only
receiver_standpoint_magnitude_c,paired_c12_0,24,96,264,0.0010684057430946348,0.008467872635469862,"two separate C12 rings, second event stream +0 degrees"
receiver_standpoint_magnitude_c,paired_c12_45_proxy,24,96,264,0.006337587678515741,0.015096728894978649,"two C12 rings, coarse +45-degree proxy by half-strength one-node offset"
receiver_standpoint_magnitude_c,paired_c12_180,24,96,264,-0.002211552999482227,0.010130659371659011,"two separate C12 rings, second event stream +180 degrees"
receiver_standpoint_magnitude_c,paired_c12_90_cross_coupled,24,120,264,-0.00517992470877988,0.009578448616398231,two C12 rings plus quadrature cross-coupling edges
receiver_standpoint_magnitude_c,paired_c12_90_cross_regulated,24,120,264,0.032404666616587356,0.009444665615559641,quadrature cross-coupling plus weak regulatory enforcement of +90 mean phase
receiver_standpoint_magnitude_c,paired_c12_90_identity_coupled,24,120,264,0.01381438077085513,0.020593538532175444,two C12 rings plus same-phase identity cross-coupling
receiver_standpoint_magnitude_c,paired_c12_90_broken_factor12,24,120,264,0.007641623525399123,0.01538302544951539,two C12 rings with non-quadrature broken cross-coupling
receiver_standpoint_magnitude_c,paired_c12_90_reversed_second,24,96,264,-0.002661917890142093,0.010832413441169713,"two C12 rings, second ring reversed, +90 event stream"
receiver_standpoint_magnitude_c,h24_edge_suite,24,168,132,-0.007320236498340821,0.009770248477791786,H24 possible-factorisations 168-edge carrier; static edge-level operationalization
