mode,weight_endpoint,readout,direction,metric,comparison,mean_true,mean_control,effect,p_greater,n_pairs
combined_c_fes_gmr72,gmr72_bridge_composite,sic_continuous,SI_SIC_to_Relative,access_readout,true_vs_balanced_intersection,-0.05277699694270153,-0.0246597081267326,-0.028117288815968915,0.9716056788642271,101
combined_c_fes_gmr72,gmr72_bridge_composite,sic_continuous,SI_SIC_to_Relative,access_readout,true_vs_performance_matched_intersection,-0.05277699694270153,-0.018874245498409332,-0.03390275144429219,0.9354129174165167,101
combined_c_fes_gmr72,gmr72_bridge_composite,sic_continuous,SI_SIC_to_Relative,access_readout,true_vs_shuffled_c_intersection,-0.05277699694270153,-0.019938925481529594,-0.03283807146117192,0.9266146770645871,101
combined_c_fes_gmr72,gmr72_bridge_composite,sic_continuous,SI_SIC_to_Relative,access_readout,true_vs_phase_rotated_intersection,-0.05277699694270153,0.02013656878514581,-0.07291356572784732,0.9984003199360127,101
combined_c_fes_gmr72,gmr72_bridge_composite,sic_continuous,SI_SIC_to_Relative,intersection_access_effect,true_vs_random_intersection,-0.5923250623776848,-0.5288493358616289,-0.06347572651605589,0.9608078384323135,101
combined_c_fes_gmr72,gmr72_bridge_composite,sic_continuous,SI_SIC_to_Relative,intersection_access_effect,true_vs_balanced_intersection,-0.5923250623776848,-0.5642077735617159,-0.02811728881596892,0.9738052389522096,101
combined_c_fes_gmr72,gmr72_bridge_composite,sic_continuous,SI_SIC_to_Relative,intersection_access_effect,true_vs_performance_matched_intersection,-0.5923250623776848,-0.5584223109333928,-0.033902751444292174,0.9390121975604879,101
combined_c_fes_gmr72,gmr72_bridge_composite,sic_continuous,SI_SIC_to_Relative,intersection_access_effect,true_vs_shuffled_c_intersection,-0.5923250623776848,-0.5594869909165129,-0.03283807146117192,0.9314137172565486,101
combined_c_fes_gmr72,gmr72_bridge_composite,sic_continuous,SI_SIC_to_Relative,intersection_access_effect,true_vs_phase_rotated_intersection,-0.5923250623776848,-0.5194114966498374,-0.07291356572784732,0.9978004399120176,101
gmr72_phase_conditioned,z_reward,sic_continuous,Relative_to_SI_SIC,access_readout,true_vs_random_intersection,0.024340050152553,0.082431862139439,-0.058091811986886004,0.9476104779044191,101
gmr72_phase_conditioned,z_reward,sic_continuous,Relative_to_SI_SIC,access_readout,true_vs_balanced_intersection,0.024340050152553,-0.0014905345301488506,0.025830584682701833,0.15716856628674264,101
