mode,weight_endpoint,readout,direction,minimum_access_success,strong_access_success,mean_intersection_access_effect,mean_access_readout,n_events,effect_vs_random,p_vs_random,effect_vs_balanced,p_vs_balanced,effect_vs_shuffled_c,p_vs_shuffled_c,effect_vs_performance,p_vs_performance,effect_vs_phase_rotated,p_vs_phase_rotated
linear_c_state,z_reward,si_projection_reception,Relative_to_SI_SIC,False,False,-0.4657448638386477,0.05666955568233724,89,0.03485401889537377,0.15156968606278745,0.07181203441627276,0.0011997600479904018,0.09159162964970113,0.002999400119976005,0.06283911708953772,0.004399120175964807,0.0714486009845118,0.0033993201359728054
gmr72_phase_conditioned,z_reward,si_projection_reception,SI_SIC_to_Relative,False,False,-0.4670118486061966,0.05540257091478837,89,0.026109023942067513,0.27834433113377327,0.08525922945872003,0.003599280143971206,0.12187994863412302,0.0005998800239952009,0.09143813055019115,0.0065986802639472104,0.09697100128849785,0.014197160567886422
linear_c_state,rank_reward,si_projection_reception,Relative_to_SI_SIC,False,False,-0.46923718410122334,0.05317723541976169,89,0.03136169863279821,0.20075984803039393,0.0683197141536972,0.006998600279944011,0.07348430641356947,0.015796840631873626,0.07563682866701091,0.008398320335932814,0.07704604802575035,0.0011997600479904018
gmr72_phase_conditioned,rank_reward,si_projection_reception,SI_SIC_to_Relative,False,False,-0.47251312019404823,0.04990129932693677,89,0.020607752354215924,0.31853629274145173,0.07975795787086844,0.007798440311937612,0.10814775744492837,0.0005998800239952009,0.10250236405744581,0.003999200159968006,0.095333425908268,0.00599880023995201
gmr72_phase_conditioned,z_reward,si_projection_reception,Relative_to_SI_SIC,False,False,-0.47572264045311674,0.046691779067868304,89,0.02487624228090481,0.22415516896620677,0.061834257801803794,0.007598480303939212,0.07664106299851936,0.008598280343931213,0.05286134047506877,0.013197360527894421,0.06752950114939203,0.005398920215956809
gmr72_phase_conditioned,rank_reward,si_projection_reception,Relative_to_SI_SIC,False,False,-0.4789525911912542,0.043461828329730806,89,0.021646291542767346,0.2623475304939012,0.05860430706366633,0.01739652069586083,0.05983126811368247,0.04599080183963208,0.06592142157698004,0.015996800639872025,0.07355594649132945,0.0011997600479904018
linear_c_state,z_reward,sic_continuous,SI_SIC_to_Relative,False,False,-0.49654076742841047,0.04300729800657285,101,0.015766133737997994,0.3729254149170166,0.06766700613330545,0.005398920215956809,0.05278313702706663,0.041191761647670466,0.0780111260681033,0.0057988402319536095,0.12618378859373455,0.002599480103979204
gmr72_phase_conditioned,z_reward,sic_continuous,SI_SIC_to_Relative,False,False,-0.4989733131861324,0.04057475224885077,101,0.013333587980275924,0.3869226154769046,0.0652344603755834,0.01259748050389922,0.05491589982789766,0.02499500099980004,0.07557858031038123,0.013197360527894421,0.11922546181322555,0.005198960207958408
linear_c_state,rank_reward,sic_continuous,SI_SIC_to_Relative,False,False,-0.5012607556955875,0.038287309739395904,101,0.011046145470821054,0.41131773645270947,0.06294701786612852,0.009798040391921616,0.04474392245216307,0.04379124175164967,0.08335089368314592,0.003599280143971206,0.13183189212070334,0.0007998400319936012
gmr72_phase_conditioned,rank_reward,sic_continuous,SI_SIC_to_Relative,False,False,-0.5029978951424651,0.036550170292518204,101,0.009309006023943361,0.42651469706058787,0.061209878419250824,0.01899620075984803,0.04720340313069732,0.03479304139172166,0.08161375423626821,0.008398320335932814,0.12605688228739606,0.0007998400319936012
linear_c_state,z_reward,sic_continuous,Relative_to_SI_SIC,False,False,-0.5101851672633316,0.02936289817165158,101,-0.05306896396778741,0.9492101579684064,0.030853432701800416,0.09718056388722256,0.033051748640125576,0.1287742451509698,0.029484953080190203,0.08978204359128174,0.0722464670084157,0.007798440311937612
linear_c_state,rank_reward,sic_continuous,Relative_to_SI_SIC,False,False,-0.511471883036471,0.02807618239851234,101,-0.05435567974092667,0.9264147170565887,0.02956671692866116,0.13917216556688664,0.019698581608574062,0.2695460907818436,0.02910088879929857,0.11977604479104179,0.07653053492387375,0.004399120175964807
gmr72_phase_conditioned,z_reward,sic_continuous,Relative_to_SI_SIC,False,False,-0.5152080152824303,0.024340050152553,101,-0.05809181198688598,0.9522095580883824,0.025830584682701843,0.16456708658268346,0.02985088688230508,0.1891621675664867,0.02446210506109161,0.14617076584683064,0.06640597457185242,0.01199760047990402
linear_c_state,gmr72_bridge_composite,si_projection_reception,Relative_to_SI_SIC,False,False,-0.5153693112496022,0.0070451082713827535,89,-0.014770428515580736,0.6662667466506699,0.02218758700531825,0.003199360127974405,0.02646418653194957,0.008598280343931213,0.022879552134114408,0.04239152169566087,0.03068714411979577,0.01779644071185763
combined_c_fes_gmr72,z_reward,si_projection_reception,Relative_to_SI_SIC,False,False,-0.515848609323464,0.006565810197520985,89,0.039543814818380686,0.1811637672465507,0.02170828893145648,0.1873625274945011,0.009656152663354092,0.3909218156368726,0.012735371604721457,0.34173165366926617,0.015123206786382511,0.2485502899420116
gmr72_phase_conditioned,rank_reward,sic_continuous,Relative_to_SI_SIC,False,False,-0.5168175094039051,0.02273055603107811,101,-0.05970130610836089,0.9304139172165566,0.024221090561226934,0.19956008798240352,0.016980546032826296,0.33153369326134774,0.02375526243186433,0.16736652669466107,0.0709493735098059,0.008598280343931213
linear_c_state,gmr72_bridge_composite,si_projection_reception,SI_SIC_to_Relative,False,False,-0.5199234922793898,0.0024909272415951462,89,-0.026802619731125715,0.7544491101779645,0.0323475857855268,0.001799640071985603,0.04380308004864264,0.0001999600079984003,0.03675226440096771,0.05578884223155369,0.039675330078987756,0.03259348130373925
gmr72_phase_conditioned,gmr72_bridge_composite,si_projection_reception,Relative_to_SI_SIC,False,False,-0.5205758668196451,0.0018385527013399276,89,-0.019976984085623557,0.7340531893621276,0.016981031435275427,0.07378524295140972,0.017612251957965657,0.1285742851429714,0.017672996564071584,0.15656868626274745,0.029825947005867066,0.015796840631873626
combined_c_fes_gmr72,rank_reward,si_projection_reception,Relative_to_SI_SIC,False,False,-0.5257285016520883,-0.003314082131103379,89,0.029663922489756335,0.2463507298540292,0.011828396602832128,0.29734053189362125,0.00040015531724178907,0.4941011797640472,0.019145511116145833,0.2699460107978404,0.011904864261487765,0.2871425714857029
gmr72_phase_conditioned,gmr72_bridge_composite,si_projection_reception,SI_SIC_to_Relative,False,False,-0.527781420030104,-0.005367000509118983,89,-0.03466054748183983,0.8028394321135773,0.024489658034812685,0.00599880023995201,0.0340153469067064,0.0001999600079984003,0.028894336650253583,0.121375724855029,0.029562115527100575,0.07858428314337132
combined_c_fes_gmr72,gmr72_bridge_composite,si_projection_reception,Relative_to_SI_SIC,False,False,-0.5327739697434106,-0.010359550222425547,89,0.022618454398434146,0.31593681263747253,0.004782928511509943,0.4341131773645271,0.01158968627042457,0.36532693461307736,0.005474893640306101,0.41811637672465507,-0.0035506592482362222,0.5562887422515497
linear_c_state,gmr72_bridge_composite,sic_continuous,Relative_to_SI_SIC,False,False,-0.534317632696381,0.005230432738602242,101,-0.07720142940083674,0.9988002399520096,0.006720967268751069,0.19896020795840832,0.0049705124624423065,0.28894221155768846,-0.001555361299422061,0.5474905018996201,0.026601091207335253,0.04799040191961608
fes_string_conditioned,z_reward,si_projection_reception,Relative_to_SI_SIC,False,False,-0.5354344161646252,-0.013019996643640203,89,-0.08384488765100703,0.9758048390321936,0.0021224820902953005,0.40831833633273346,-0.013165901290856897,0.9320135972805439,-0.006850435236439726,0.7028594281143771,0.002879204131111081,0.40151969606078786
fes_string_conditioned,gmr72_bridge_composite,si_projection_reception,Relative_to_SI_SIC,False,False,-0.5361101348954328,-0.013695715374447734,89,-0.08452060638181455,0.9848030393921215,0.0014467633594877746,0.29254149170165966,-0.004673904606025466,0.9528094381123775,0.002138728488283929,0.4269146170765847,0.0017064291388159318,0.33453309338132375
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,Relative_to_SI_SIC,False,False,-0.536426909894444,0.0031211555405393446,101,-0.07931070659889965,0.9966006798640272,0.004611690070688166,0.35012997400519896,0.006264535885530917,0.34653069386122776,-0.0036646384974849625,0.5808838232353529,0.023118879922128913,0.07538492301539693
fes_string_conditioned,rank_reward,si_projection_reception,Relative_to_SI_SIC,False,False,-0.5384689140027504,-0.016054494481765356,89,-0.08687938548913218,0.9794041191761648,-0.0009120157478298556,0.5480903819236153,-0.015268782125707713,0.9304139172165566,0.006405098765483857,0.38392321535692864,0.002378882839848649,0.4133173365326935
fes_string_conditioned,z_reward,sic_continuous,Relative_to_SI_SIC,False,False,-0.5404762909404393,-0.000928225505456086,101,-0.04140740809624799,0.8720255948810238,0.0005623090246927462,0.47490501899620075,-0.0012607621661855464,0.5510897820435913,-0.0008061705969174686,0.5114977004599081,-0.00183298643313734,0.5590881823635273
fes_string_conditioned,gmr72_bridge_composite,sic_continuous,Relative_to_SI_SIC,False,False,-0.5409567328610606,-0.0014086674260773186,101,-0.041887850016869246,0.8910217956408718,8.186710407149974e-05,0.4813037392521496,-0.0010887435323998684,0.6060787842431514,-0.008194461464101627,0.7182563487302539,-0.00016754026294635508,0.5266946610677864
