mode,weight_endpoint,readout,control_kind,mean_relative_to_sisic,mean_sisic_to_relative,mean_readout_asymmetry,mean_abs_readout_asymmetry,p_asymmetry_two_sided,dominant_direction,n_events
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,random_intersection,-0.4571162032955442,-0.5123069011664083,-0.05519069787086413,0.4309125727616613,0.4397120575884823,Relative_to_SI_SIC,101
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,balanced_intersection,-0.5410385999651321,-0.5642077735617159,-0.023169173596583784,0.31857476945681057,0.6432713457308539,Relative_to_SI_SIC,101
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,performance_matched_intersection,-0.5327622713969591,-0.5584223109333928,-0.025660039536433657,0.2860853879615874,0.5480903819236153,Relative_to_SI_SIC,101
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,shuffled_c_intersection,-0.542691445779975,-0.5654754659490223,-0.022784020169047407,0.32533506559396624,0.669866026794641,Relative_to_SI_SIC,101
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,phase_rotated_intersection,-0.559545789816573,-0.580637228085568,-0.021091438268995184,0.31492565961454466,0.6702659468106379,Relative_to_SI_SIC,101
fes_string_conditioned,z_reward,sic_continuous,true_intersection,-0.5404762909404393,-0.5655812418711968,-0.025104950930757406,0.32379024019055436,0.6312737452509498,Relative_to_SI_SIC,101
fes_string_conditioned,z_reward,sic_continuous,random_intersection,-0.4990688828441914,-0.5731835848708374,-0.07411470202664598,0.43482572846733825,0.35232953409318135,Relative_to_SI_SIC,101
fes_string_conditioned,z_reward,sic_continuous,balanced_intersection,-0.5410385999651321,-0.5642077735617159,-0.023169173596583784,0.31857476945681057,0.6332733453309338,Relative_to_SI_SIC,101
fes_string_conditioned,z_reward,sic_continuous,performance_matched_intersection,-0.5396701203435219,-0.5745518934965137,-0.03488177315299183,0.31089777892210796,0.4869026194761048,Relative_to_SI_SIC,101
fes_string_conditioned,z_reward,sic_continuous,shuffled_c_intersection,-0.5392155287742538,-0.5588684399528906,-0.019652911178636778,0.3436690750061349,0.6976604679064187,Relative_to_SI_SIC,101
fes_string_conditioned,z_reward,sic_continuous,phase_rotated_intersection,-0.538643304507302,-0.5717564776965698,-0.033113173189267785,0.311557466221824,0.4943011397720456,Relative_to_SI_SIC,101
fes_string_conditioned,rank_reward,sic_continuous,true_intersection,-0.5443072406411398,-0.5727773109407179,-0.02847007029957821,0.3227871243497058,0.5698860227954409,Relative_to_SI_SIC,101
fes_string_conditioned,rank_reward,sic_continuous,random_intersection,-0.4990688828441914,-0.5731835848708374,-0.07411470202664598,0.43482572846733825,0.3405318936212757,Relative_to_SI_SIC,101
fes_string_conditioned,rank_reward,sic_continuous,balanced_intersection,-0.5410385999651321,-0.5642077735617159,-0.023169173596583784,0.31857476945681057,0.6536692661467707,Relative_to_SI_SIC,101
fes_string_conditioned,rank_reward,sic_continuous,performance_matched_intersection,-0.5405727718357695,-0.5846116493787333,-0.04403887754296377,0.34441386368184373,0.4309138172365527,Relative_to_SI_SIC,101
fes_string_conditioned,rank_reward,sic_continuous,shuffled_c_intersection,-0.5370280111659378,-0.5653428315308857,-0.02831482036494804,0.33647419275732077,0.5792841431713657,Relative_to_SI_SIC,101
fes_string_conditioned,rank_reward,sic_continuous,phase_rotated_intersection,-0.540573616245795,-0.5699567325195515,-0.029383116273756414,0.31296044717189675,0.5446910617876425,Relative_to_SI_SIC,101
fes_string_conditioned,gmr72_bridge_composite,sic_continuous,true_intersection,-0.5409567328610606,-0.5650281492372164,-0.024071416376155792,0.315123057875675,0.6250749850029994,Relative_to_SI_SIC,101
fes_string_conditioned,gmr72_bridge_composite,sic_continuous,random_intersection,-0.4990688828441914,-0.5731835848708374,-0.07411470202664598,0.43482572846733825,0.3421315736852629,Relative_to_SI_SIC,101
fes_string_conditioned,gmr72_bridge_composite,sic_continuous,balanced_intersection,-0.5410385999651321,-0.5642077735617159,-0.023169173596583784,0.31857476945681057,0.644871025794841,Relative_to_SI_SIC,101
fes_string_conditioned,gmr72_bridge_composite,sic_continuous,performance_matched_intersection,-0.5327622713969591,-0.5584223109333928,-0.025660039536433657,0.2860853879615874,0.5586882623475304,Relative_to_SI_SIC,101
fes_string_conditioned,gmr72_bridge_composite,sic_continuous,shuffled_c_intersection,-0.5398679893286608,-0.5636382436732139,-0.023770254344553238,0.32079804614247925,0.6396720655868826,Relative_to_SI_SIC,101
fes_string_conditioned,gmr72_bridge_composite,sic_continuous,phase_rotated_intersection,-0.5407891925981143,-0.56428711633044,-0.023497923732325655,0.31908440259376,0.6376724655068986,Relative_to_SI_SIC,101
linear_c_state,z_reward,sic_continuous,true_intersection,-0.5101851672633316,-0.49654076742841047,0.013644399834921259,0.3837736430024356,0.8204359128174366,SI_SIC_to_Relative,101
linear_c_state,z_reward,sic_continuous,random_intersection,-0.4571162032955442,-0.5123069011664083,-0.05519069787086413,0.4309125727616613,0.4485102979404119,Relative_to_SI_SIC,101
linear_c_state,z_reward,sic_continuous,balanced_intersection,-0.5410385999651321,-0.5642077735617159,-0.023169173596583784,0.31857476945681057,0.6318736252749451,Relative_to_SI_SIC,101
linear_c_state,z_reward,sic_continuous,performance_matched_intersection,-0.5396701203435219,-0.5745518934965137,-0.03488177315299183,0.31089777892210796,0.48110377924415115,Relative_to_SI_SIC,101
linear_c_state,z_reward,sic_continuous,shuffled_c_intersection,-0.5432369159034574,-0.5493239044554771,-0.0060869885520197725,0.36743976404699547,0.9202159568086383,Relative_to_SI_SIC,101
linear_c_state,z_reward,sic_continuous,phase_rotated_intersection,-0.5824316342717474,-0.622724556022145,-0.040292921750397614,0.27911236145532037,0.36312737452509497,Relative_to_SI_SIC,101
