delta,event_class,n_events,mean_future_AB,mean_return_gain,mean_closure_min_z,mean_constraint_closure_min_z,effect_future_AB_vs_b55_shuffled_c_timing_gate,p_future_AB_vs_b55_shuffled_c_timing_gate,effect_return_gain_vs_b55_shuffled_c_timing_gate,p_return_gain_vs_b55_shuffled_c_timing_gate,effect_constraint_closure_min_z_vs_b55_shuffled_c_timing_gate,p_constraint_closure_min_z_vs_b55_shuffled_c_timing_gate,effect_future_AB_vs_b55_shuffled_c_phase_gate,p_future_AB_vs_b55_shuffled_c_phase_gate,effect_return_gain_vs_b55_shuffled_c_phase_gate,p_return_gain_vs_b55_shuffled_c_phase_gate,effect_constraint_closure_min_z_vs_b55_shuffled_c_phase_gate,p_constraint_closure_min_z_vs_b55_shuffled_c_phase_gate,effect_future_AB_vs_b55_density_only_gate,p_future_AB_vs_b55_density_only_gate,effect_return_gain_vs_b55_density_only_gate,p_return_gain_vs_b55_density_only_gate,effect_constraint_closure_min_z_vs_b55_density_only_gate,p_constraint_closure_min_z_vs_b55_density_only_gate,effect_future_AB_vs_b55_pairwise_ac_only,p_future_AB_vs_b55_pairwise_ac_only,effect_return_gain_vs_b55_pairwise_ac_only,p_return_gain_vs_b55_pairwise_ac_only,effect_constraint_closure_min_z_vs_b55_pairwise_ac_only,p_constraint_closure_min_z_vs_b55_pairwise_ac_only,effect_future_AB_vs_b55_phase_event_only_lag5,p_future_AB_vs_b55_phase_event_only_lag5,effect_return_gain_vs_b55_phase_event_only_lag5,p_return_gain_vs_b55_phase_event_only_lag5,effect_constraint_closure_min_z_vs_b55_phase_event_only_lag5,p_constraint_closure_min_z_vs_b55_phase_event_only_lag5,future_ab_primary_q
10,b55_pairwise_bc_only,131,0.2133785648405959,0.014541500936817265,-0.8667756810340266,-0.9624240847584965,0.018594473077771206,0.07398520295940812,0.020555390232016878,0.14097180563887224,-0.26655312086173377,1.0,0.003991097588542741,0.4123175364927015,0.008071966676069969,0.3899220155968806,-0.3055255940867765,1.0,0.022919443490620306,0.04039192161567687,0.018945676583020876,0.15836832633473305,-0.14721387212452464,0.9926014797040592,0.021952172629257555,0.13857228554289142,0.0010733336456980394,0.47270545890821836,-0.021860906280146586,0.625874825034993,0.009407203123310115,0.254749050189962,0.008009810483025681,0.3623275344931014,-0.030209749136009267,0.6700659868026395,
10,b55_pairwise_ab_only,109,0.22781069830848788,0.021773214661669905,-0.8286464128331285,-0.9257459989020528,0.03302660654566317,0.008598280343931213,0.02778710395686953,0.08558288342331534,-0.22987503500529005,0.9996000799840032,0.018423231056434702,0.14917016596680663,0.015303680400922618,0.27594481103779245,-0.26884750823033277,0.9992001599680064,0.03735157695851227,0.005398920215956809,0.026177390307873524,0.11037792441511697,-0.11053578626808092,0.9536092781443711,0.036384306097149516,0.03659268146370726,0.008305047370550689,0.3903219356128774,0.014817179576297135,0.4261147770445911,0.023839336591202076,0.0625874825034993,0.015241524207878328,0.2473505298940212,0.006468336720434453,0.45990801839632073,
20,b55_tfc_mean_gated_c_event,217,0.19439969418025374,0.0004236835904744821,-0.5099768809742807,-0.6206414112445319,-1.6723691468795154e-05,0.49250149970005996,0.007639314902939396,0.3043391321735653,0.05143454887765808,0.20615876824635074,-0.002757219644396125,0.5806838632273545,0.0025946588387070315,0.4585082983403319,0.05537836218046177,0.2473505298940212,-0.00272159619724735,0.5952809438112378,-0.001971014276197061,0.5460907818436312,0.16964667326635885,0.0007998400319936012,0.025309403812278503,0.05438912217556489,0.00589575373892045,0.40171965606878624,0.3120667132663315,0.0001999600079984003,0.0034504062911419053,0.3629274145170966,0.008041031874523014,0.32373525294941013,0.31773634831470654,0.0001999600079984003,
20,b55_tfc_min_gated_c_event,148,0.1885180309695033,-0.01106206130319681,-0.482286691336543,-0.5861938063804157,-0.005898386902219249,0.6730653869226155,-0.0038464299907318934,0.592881423715257,0.08588215374177421,0.125374925014997,-0.008638882855146579,0.7054589082183563,-0.008891086054964258,0.6494701059788043,0.0898259670445779,0.16576684663067387,-0.008603259407997804,0.7634473105378924,-0.01345675916986835,0.7782443511297741,0.20409427813047498,0.001799640071985603,0.01942774060152805,0.1269746050789842,-0.00558999115475084,0.5732853429314138,0.34651431813044764,0.0001999600079984003,-0.0024312569196085487,0.5706858628274345,-0.0034447130191482753,0.5624875024995001,0.3521839531788227,0.0001999600079984003,
20,b55_phase_event_only_lag5,466,0.19094928788911184,-0.007617348284048529,-0.8522644147493513,-0.9383777595592385,-0.0034671299826107005,0.6700659868026395,-0.0004017169715836181,0.5112977404519096,-0.26630179943704846,1.0,-0.00620762593553803,0.7038592281543691,-0.005446373035815983,0.6106778644271146,-0.26235798613424477,0.9998000399920016,-0.0061720024883892555,0.7904419116176765,-0.010012046150720075,0.8174365126974605,-0.1480896750483477,1.0,0.021858997521136597,0.08118376324735053,-0.0021452781356025644,0.5372925414917017,-0.005669635048375032,0.5380923815236952,0.0,0.5050989802039592,0.0,0.4991001799640072,0.0,0.5076984603079384,
20,b55_pairwise_ac_only,86,0.16909029036797518,-0.005472070148445966,-0.8794237560842539,-0.9327081245108634,-0.025326127503747298,0.9454109178164367,0.0017435611640189462,0.4537092581483703,-0.2606321643886734,0.9988002399520096,-0.028066623456674628,0.9382123575284943,-0.0033010949002134186,0.5488902219556089,-0.25668835108586974,0.9982003599280144,-0.028031000009525853,0.9666066786642672,-0.007866768015117511,0.6330733853229354,-0.14242003999997266,0.9734053189362127,0.0,0.498500299940012,0.0,0.4929014197160568,0.0,0.4999000199960008,-0.021858997521136597,0.9226154769046191,0.0021452781356025644,0.47470505898820237,0.005669635048375032,0.45670865826834633,
20,b55_pairwise_bc_only,128,0.2082807556701688,0.009873281482064735,-0.8730361817996658,-0.9674562903960822,0.013864337798446258,0.14617076584683064,0.017088912794529648,0.1877624475104979,-0.2953803302738922,0.9998000399920016,0.011123841845518928,0.2569486102779444,0.012044256730297284,0.3169366126774645,-0.2914365169710885,0.9998000399920016,0.011159465292667703,0.19096180763847231,0.007478583615393192,0.3463307338532294,-0.17716820588519144,0.9978004399120176,0.039190465302193556,0.01999600079984003,0.015345351630510703,0.3049390121975605,-0.034748165885218785,0.6700659868026395,0.01733146778105696,0.09978004399120176,0.017490629766113267,0.21855628874225155,-0.029078530836843752,0.6608678264347131,
20,b55_pairwise_ab_only,108,0.18750508324561874,-0.023073059633781333,-0.7911223892898294,-0.9028697285031019,-0.006911334626103799,0.6816636672665467,-0.01585742832131641,0.7766446710657868,-0.23079376838091192,0.999000199960008,-0.009651830579031129,0.7330533893221356,-0.020902084385548775,0.8132373525294941,-0.22684995507810823,0.9966006798640272,-0.009616207131882354,0.7526494701059788,-0.025467757500452867,0.8954209158168366,-0.11258164399221116,0.9510097980403919,0.0184147928776435,0.14637072585482905,-0.01760098948533536,0.7406518696260748,0.029838396007761503,0.33353329334133175,-0.0034442046434930984,0.6012797440511898,-0.015455711349732794,0.7600479904019196,0.035508031056136535,0.3145370925814837,
30,b55_tfc_mean_gated_c_event,209,0.19697225206111277,0.006382366458288622,-0.46516585944926186,-0.564909715714782,0.0038617122367599344,0.35492901419716055,0.01412906554102109,0.17416516696660667,0.09312891718026628,0.08338332333533294,0.003925452132240936,0.3929214157168566,0.013588156437207087,0.2501499700059988,0.08663714282452939,0.15516896620675866,0.0063500482938942115,0.26454709058188364,0.010825910572966963,0.22715456908618276,0.22708641323042122,0.0001999600079984003,-0.004466355533734451,0.611877624475105,-0.02724008048829838,0.8404319136172765,0.3409307382528848,0.0001999600079984003,-0.00860882286557954,0.7708458308338332,-0.0036939605816440277,0.5816836632673466,0.3274667967086974,0.0001999600079984003,
30,b55_tfc_min_gated_c_event,140,0.19320476319799748,-0.0067981691443463315,-0.4232280959785267,-0.5333969880070957,9.422337364461963e-05,0.4941011797640472,0.0009485299383861362,0.46390721855628875,0.1246416448879526,0.057388522295540895,0.00015796326912562164,0.4981003799240152,0.0004076208345721328,0.48530293941211755,0.1181498705322157,0.10317936412717456,0.002582559430778897,0.41251749650069985,-0.002354625029667992,0.5550889822035593,0.25859914093810754,0.0003999200159968006,-0.008233844396849765,0.6568686262747451,-0.04042061609093334,0.9242151569686062,0.3724434659605711,0.0001999600079984003,-0.012376311728694855,0.8058388322335532,-0.016874496184278984,0.8012397520495901,0.3589795244163837,0.0001999600079984003,
30,b55_phase_event_only_lag5,449,0.20558107492669228,0.01007632703993265,-0.8113251289673875,-0.8923765124234795,0.012470535102339475,0.05798840231953609,0.01782302612266512,0.05138972205558888,-0.2343378795284311,1.0,0.012534274997820477,0.16616676664667065,0.017282117018851115,0.18136372725454908,-0.240829653884168,0.9994001199760048,0.014958871159473752,0.030393921215756847,0.01451987115461099,0.09918016396720655,-0.10038038347827616,0.996000799840032,0.00414246733184509,0.41291741651669667,-0.023546119906654353,0.8416316736652669,0.013463941544187397,0.4445110977804439,0.0,0.4949010197960408,0.0,0.501499700059988,0.0,0.49250149970005996,
30,b55_pairwise_ac_only,81,0.20143860759484722,0.033622446946587004,-0.8824591585347784,-0.9058404539676668,0.008328067770494385,0.29354129174165167,0.04136914602931947,0.029394121175764846,-0.2478018210726185,0.997000599880024,0.008391807665975387,0.33053389322135573,0.04082823692550547,0.0591881623675265,-0.2542935954283554,0.9984003199360127,0.010816403827628662,0.2429514097180564,0.03806599106126535,0.039192161567686463,-0.11384432502246356,0.9340131973605279,0.0,0.50749850029994,0.0,0.4969006198760248,0.0,0.5114977004599081,-0.00414246733184509,0.5972805438912218,0.023546119906654353,0.16896620675864826,-0.013463941544187397,0.5548890221955609,
30,b55_pairwise_bc_only,126,0.22694776751023998,0.028791454890142114,-0.8055921825369591,-0.9057040486713506,0.033837227685887206,0.007398520295940812,0.03653815397287459,0.023795240951809637,-0.2476654157763023,0.9994001199760048,0.03390096758136821,0.02559488102379524,0.035997244869060585,0.0661867626474705,-0.2541571901320392,0.9986002799440112,0.03632556374302148,0.002599480103979204,0.033234999004820465,0.03459308138372325,-0.11370791972614736,0.9654069186162767,0.02550915991539282,0.10797840431913618,-0.004830992056444883,0.5708858228354329,0.0001364052963161999,0.4943011397720456,0.02136669258354773,0.07498500299940011,0.01871512785020947,0.1861627674465107,-0.013327536247871197,0.5808838232353529,
30,b55_pairwise_ab_only,106,0.21748557900294113,0.014229417283138989,-0.7138845172865529,-0.8070339967370567,0.024375039178588298,0.04779044191161767,0.02197611636587146,0.14477104579084182,-0.1489953638420084,0.9636072785442912,0.0244387790740693,0.09018196360727855,0.021435207262057457,0.1865626874625075,-0.1554871381977453,0.9588082383523295,0.026863375235722575,0.03279344131173765,0.01867296139781733,0.16436712657468505,-0.015037867791853454,0.5790841831633673,0.016046971408093913,0.21955608878224356,-0.019393029663448014,0.7638472305538893,0.0988064572306101,0.07938412317536493,0.011904504076248823,0.22035592881423716,0.00415309024320634,0.4351129774045191,0.0853425156864227,0.13817236552689463,
