label,idx_in_session,event_class,event_role,delta,future_AB,return_gain,pre_AB,TFC_mean,TFC_min,A_C,B_C,A_B_at_t,closure_min_z,constraint_closure_min_z
P15,181.0,b55_shuffled_c_timing_gate,shuffle_control,20,0.034464444232739484,-0.2129425283237934,0.24740697255653288,0.1386326990673538,0.11087978536482658,0.1559995870938241,0.14901872474341074,0.11087978536482658,-1.2590382956300994,-1.0463100826912424
P15,193.0,b55_shuffled_c_timing_gate,shuffle_control,20,0.25103569696287253,0.1563712733375831,0.09466442362528943,0.13101680433797605,0.10977545980611239,0.17242776999455703,0.11084718321325875,0.10977545980611239,-0.9830839103768607,-0.9830839103768607
P15,196.0,b55_shuffled_c_timing_gate,shuffle_control,20,0.15388955346532954,-0.05434390398697883,0.20823345745230837,0.16835126451293156,0.15102334064147435,0.16065214883654924,0.19337830406077106,0.15102334064147435,-0.41754773498033276,-0.41754773498033276
P15,205.0,b55_shuffled_c_timing_gate,shuffle_control,20,0.2817878037152492,-0.053915019105937156,0.33570282282118635,0.31086772533711005,0.31086772533711005,,,0.31086772533711005,0.9714622889203627,-0.1749500998973909
P15,209.0,b55_shuffled_c_timing_gate,shuffle_control,20,0.023388863612752976,-0.13175063788443833,0.1551395014971913,0.19930285801741535,0.10351156700947768,0.10351156700947768,0.16831598034103573,0.3260810267017326,-1.3605581890306913,-0.6014350758185767
P15,214.0,b55_shuffled_c_timing_gate,shuffle_control,20,0.03924220820289736,-0.06857674863453664,0.107818956837434,0.18545752055471346,0.1062113882113079,0.1062113882113079,0.1476150105614682,0.30254616289136427,-1.215244827315821,-0.5303311110009868
P15,252.0,b55_shuffled_c_timing_gate,shuffle_control,20,0.07855660325370657,-0.07575944791277466,0.15431605116648123,0.22566188144281885,0.11871556700120056,0.35824182601217647,0.20002825131507948,0.11871556700120056,-0.8548851015724525,-0.2946423544191651
P15,254.0,b55_shuffled_c_timing_gate,shuffle_control,20,0.00572886420031226,-0.22731143654839372,0.233040300748706,0.23176211034379737,0.14419429285843702,0.3607119670950964,0.1903800710778588,0.14419429285843702,-1.5224315317762815,-1.1250416913602936
P15,256.0,b55_shuffled_c_timing_gate,shuffle_control,20,0.07588000397452928,-0.11323280835946793,0.1891128123339972,0.22705203973789354,0.13948861422977887,0.35886287462700517,0.1828046303568965,0.13948861422977887,-0.8794190815795891,-0.4999702682791909
P15,260.0,b55_shuffled_c_timing_gate,shuffle_control,20,0.2050531961267806,0.09343005843732408,0.11162313768945653,0.23597849853677355,0.1612395052717258,0.3688550383547866,0.1778409519838082,0.1612395052717258,-0.5052609127620209,-0.5052609127620209
P15,296.0,b55_shuffled_c_timing_gate,shuffle_control,20,0.15157218402431138,0.13654804863728842,0.015024135387022963,0.28406524863551336,0.17861352807069342,0.17861352807069342,0.3975897100212001,0.27599250781464646,-1.14186475248767,-1.14186475248767
P15,299.0,b55_shuffled_c_timing_gate,shuffle_control,20,0.1295563834817013,0.11947502307397484,0.010081360407726447,0.10392976272367549,0.030303216391946906,0.030303216391946906,0.13114243004460585,0.15034364173447373,-1.3933938986711107,-1.3933938986711107
P15,304.0,b55_shuffled_c_timing_gate,shuffle_control,20,0.09939560857079563,0.09366674437048336,0.005728864200312267,0.10779592448432844,0.02546069920896727,0.02546069920896727,0.10275227790837786,0.19517479633564017,-1.3348299251909026,-1.3348299251909026
P15,306.0,b55_shuffled_c_timing_gate,shuffle_control,20,0.04405024325554976,-0.03182976071897952,0.07588000397452928,0.08558650958943954,0.018389209315528766,0.018389209315528766,0.11395818118674961,0.1244121382660403,-1.6712544375205527,-1.6712544375205527
P15,313.0,b55_shuffled_c_timing_gate,shuffle_control,20,0.2113763139296977,0.19107974208812137,0.020296571841576322,0.10477021996146274,0.00516547621499707,0.00516547621499707,0.16654191341594518,0.14260327025344594,-1.3806627926201551,-1.3806627926201551
P15,340.0,b55_shuffled_c_timing_gate,shuffle_control,20,0.18860189678539005,0.10539547992792102,0.08320641685746903,0.23697003938824648,0.1693650887052299,0.1693650887052299,0.19059655776411955,0.35094847169538995,-0.6925319317464411,-0.6925319317464411
P15,342.0,b55_shuffled_c_timing_gate,shuffle_control,20,0.3251892267523844,0.2261840864372034,0.09900514031518098,0.19043137254537054,0.15860796458518575,0.15860796458518575,0.1686049612676634,0.2440811917832625,-0.588415659567409,-0.588415659567409
P15,346.0,b55_shuffled_c_timing_gate,shuffle_control,20,0.11887468810269664,-0.03269749592161475,0.15157218402431138,0.16937314616416063,0.11216902213494848,0.11216902213494848,0.2502253299061785,0.14572508645135487,-0.48532545351217116,-0.40206844217588905
P15,363.0,b55_shuffled_c_timing_gate,shuffle_control,20,0.041404436350675825,-0.16997187757902188,0.2113763139296977,0.16312436519360216,0.10055252031385573,0.10055252031385573,0.16771261613160204,0.22110795913534861,-1.1954256251808002,-0.8108608470353496
P15,368.0,b55_shuffled_c_timing_gate,shuffle_control,20,0.11879227755268118,-0.28251671448285787,0.40130899203553905,0.20963689358464044,0.09135405607397404,0.09135405607397404,0.25677221204357864,0.2807844126363687,-0.48608083695794335,-1.4275281622085914
P15,373.0,b55_shuffled_c_timing_gate,shuffle_control,20,0.0469674837423509,-0.11338513190370134,0.16035261564605224,0.1884757393152624,0.09956257058256454,0.27322674680964676,0.09956257058256454,0.1926379005535759,-1.144434169512449,-0.5008048952033949
P15,375.0,b55_shuffled_c_timing_gate,shuffle_control,20,0.0751252677673326,-0.007337455744716406,0.082462723512049,0.21655583936293232,0.11506561385432675,0.28537479256793663,0.11506561385432675,0.24922711166653366,-0.8863370700741976,-0.6974329972645978
P15,377.0,b55_shuffled_c_timing_gate,shuffle_control,20,0.16134454607760315,0.037953796778673596,0.12339074929892956,0.2353414434443387,0.11615104031792993,0.3015711941173889,0.11615104031792993,0.2883020958976972,-0.42771035264819324,-0.42771035264819324
P15,379.0,b55_shuffled_c_timing_gate,shuffle_control,20,0.2993385824083119,0.23659496218925258,0.06274362021905933,0.23173705686451487,0.11738704461693719,0.3047918298136973,0.11738704461693719,0.2730322961629102,-0.8273852387273202,-0.8273852387273202
P15,385.0,b55_shuffled_c_timing_gate,shuffle_control,20,,,,0.15973668806665153,0.08347592398379522,0.24421006739599502,0.08347592398379522,0.15152407282016436,-0.5480399020897512,-0.5480399020897512
P15,401.0,b55_shuffled_c_timing_gate,shuffle_control,20,,,,0.25781256144236786,0.1304168555277484,0.2056208541636679,0.1304168555277484,0.43739997463568725,0.9375970688924569,0.9375970688924569
P15,407.0,b55_shuffled_c_timing_gate,shuffle_control,20,,,,0.3108767793106533,0.3108767793106533,0.3108767793106533,,,1.7414049901268234,1.7414049901268234
P15,10.0,b55_tfc_mean_gated_c_event,primary_constraint,20,0.3577950630980403,,,0.18491937561242788,0.10237725797577422,0.3340133897771059,0.11836747908440357,0.10237725797577422,-0.166576751582015,-0.166576751582015
