source,topology_arm,classification,representation_arm,comparison,metric,value,nearest_fraction,numerator,denominator,abs_error_to_fraction,is_close_to_fraction,is_focus_fraction,has_numerator_gt_1,tags,denominator_universe,raw_numerator,raw_denominator,raw_fraction,raw_count_recovered,carrier_dimension_R,reduced_fraction,c12_neighborhood,reversed_region,ring_share_region,survivor_strength_region,five_or_ten_proxy_region,x3_or_7mod12_proxy_region,boundary_or_reverse_side,reverse_side_readout,c_side_localization,c_side_localization_score,candidate_family,full_carrier_rank_integral,punctured_carrier_rank_integral,candidate_rank,projector_level,topology_compatibility_candidate,trace_determinant_candidate,basis
readout_rank_scaled,c14_shuffled,full-stable,full_self_consistent_rstar,,readout_minmax_scaled,0.2456738426441636,1/4,1,4,0.0043261573558364,True,True,False,c14_transition_probe|even_n,topology_readout_scaled_metric,1,4,1/4,False,14,1/4,False,False,False,False,False,False,False,False,non_target_or_broad,0,diagnostic_fraction_only,False,False,,0,False,False,topology_readout_scaled_metric
paired_boundary,c13_reversed,full-stable,,full_minus_reverse,ci_width_scaled,0.5050762314552996,1/2,1,2,0.0050762314552995,True,True,False,c13_full_branch|reversed|odd_n,paired_boundary_scaled_metric,1,2,1/2,False,13,1/2,False,True,False,False,False,False,False,False,registered_c_side_target,1,punctured_carrier_projector_rank_candidate,False,True,6.0,2,True,False,paired_boundary_scaled_metric; R-1=12; rank=6
paired_boundary,c14_ring_share_5,boundary,,full_minus_reverse,ci_width_scaled,0.492813959209796,1/2,1,2,0.0071860407902039,True,True,False,c14_transition_probe|ring_sharing|ring_share_5|5_or_10_proxy|even_n,paired_boundary_scaled_metric,1,2,1/2,False,14,1/2,False,False,True,False,True,False,True,False,registered_c_side_target,2,full_carrier_projector_rank_candidate,True,False,7.0,3,True,True,paired_boundary_scaled_metric; R=14; rank=7
paired_boundary,c10_ring_share_5,boundary,,full_minus_reverse,ci_width_scaled,0.4921325493747882,1/2,1,2,0.0078674506252117,True,True,False,c10_boundary_candidate|ring_sharing|ring_share_5|5_or_10_proxy|even_n,paired_boundary_scaled_metric,1,2,1/2,False,10,1/2,False,False,True,False,True,False,True,False,registered_c_side_target,2,full_carrier_projector_rank_candidate,True,False,5.0,3,True,True,paired_boundary_scaled_metric; R=10; rank=5
paired_boundary,c10_side_broken,full-stable,,full_minus_reverse,reverse_win_fraction,0.0,0/1,0,1,0.0,True,False,False,c10_boundary_candidate|5_or_10_proxy|even_n,paired_seed_runs,0,36,0/36,True,10,0/1,False,False,False,False,True,False,False,True,five_or_ten_proxy_region,1,full_carrier_projector_rank_candidate,True,True,0.0,3,True,True,raw=0/36/paired_seed_runs; R=10; rank=0
paired_boundary,c10_degree_null,reverse-stable,,full_minus_reverse,full_win_fraction,0.0,0/1,0,1,0.0,True,False,False,c10_boundary_candidate|5_or_10_proxy|even_n,paired_seed_runs,0,36,0/36,True,10,0/1,False,False,False,False,True,False,True,True,five_or_ten_proxy_region,2,full_carrier_projector_rank_candidate,True,True,0.0,3,True,True,raw=0/36/paired_seed_runs; R=10; rank=0
paired_boundary,c12_ring_share_7,reverse-stable,,full_minus_reverse,full_win_fraction,0.0,0/1,0,1,0.0,True,False,False,c12_neighborhood|ring_sharing|ring_share_7|x3_or_7mod12_proxy|even_n,paired_seed_runs,0,36,0/36,True,12,0/1,True,False,True,False,False,True,True,True,registered_c_side_target,4,full_carrier_projector_rank_candidate,True,True,0.0,3,True,True,raw=0/36/paired_seed_runs; R=12; rank=0
readout_deviation_from_c12,c12,reverse-stable,c_to_ab_magnitude_only,,abs_deviation_from_c12_scaled,0.0,0/1,0,1,0.0,True,False,False,c12_neighborhood|even_n,topology_readout_scaled_metric,0,1,0/1,False,12,0/1,True,False,False,False,False,False,True,True,registered_c_side_target,3,full_carrier_projector_rank_candidate,True,True,0.0,3,True,True,topology_readout_scaled_metric; R=12; rank=0
readout_rank_scaled,c10_ring_share_5,boundary,c_to_ab_magnitude_only,,readout_minmax_scaled,0.0,0/1,0,1,0.0,True,False,False,c10_boundary_candidate|ring_sharing|ring_share_5|5_or_10_proxy|even_n,topology_readout_scaled_metric,0,1,0/1,False,10,0/1,False,False,True,False,True,False,True,False,registered_c_side_target,2,full_carrier_projector_rank_candidate,True,True,0.0,3,True,True,topology_readout_scaled_metric; R=10; rank=0
readout_deviation_from_c12,c12,reverse-stable,c_to_ab_receiver_only,,abs_deviation_from_c12_scaled,0.0,0/1,0,1,0.0,True,False,False,c12_neighborhood|even_n,topology_readout_scaled_metric,0,1,0/1,False,12,0/1,True,False,False,False,False,False,True,True,registered_c_side_target,3,full_carrier_projector_rank_candidate,True,True,0.0,3,True,True,topology_readout_scaled_metric; R=12; rank=0
readout_rank_scaled,c10_side_broken,full-stable,c_to_ab_receiver_only,,readout_minmax_scaled,0.0,0/1,0,1,0.0,True,False,False,c10_boundary_candidate|5_or_10_proxy|even_n,topology_readout_scaled_metric,0,1,0/1,False,10,0/1,False,False,False,False,True,False,False,False,five_or_ten_proxy_region,0,full_carrier_projector_rank_candidate,True,True,0.0,3,True,True,topology_readout_scaled_metric; R=10; rank=0
readout_deviation_from_c12,c12,reverse-stable,c_to_ab_standpoint_only,,abs_deviation_from_c12_scaled,0.0,0/1,0,1,0.0,True,False,False,c12_neighborhood|even_n,topology_readout_scaled_metric,0,1,0/1,False,12,0/1,True,False,False,False,False,False,True,True,registered_c_side_target,3,full_carrier_projector_rank_candidate,True,True,0.0,3,True,True,topology_readout_scaled_metric; R=12; rank=0
