mode,endpoint,direction,control_level,mean_true_c,mean_control,effect_true_minus_control,p_true_greater,n_pairs,c_beats_control
linear_c_state,z_reward,B_to_C_to_A,polarity_sign_only,-0.6549044496698045,-0.7544278168716577,0.0995233672018532,0.0011997600479904018,98,True
linear_c_state,z_reward,B_to_C_to_A,polarity_magnitude_only,-0.6549044496698045,-0.6523566182072907,-0.002547831462513645,0.530493901219756,98,False
linear_c_state,z_reward,B_to_C_to_A,direction_conditioned_side_polarity,-0.6549044496698045,-0.757541822272682,0.10263737260287745,0.0011997600479904018,98,True
linear_c_state,z_reward,B_to_C_to_A,receiver_side_only,-0.6549044496698045,-0.675957030893728,0.02105258122392352,0.26814637072585484,98,False
linear_c_state,z_reward,B_to_C_to_A,giver_side_only,-0.6549044496698045,-0.7526116475993816,0.09770719792957719,0.005198960207958408,98,True
linear_c_state,z_reward,B_to_C_to_A,standpoint_polarity_preserved,-0.6549044496698045,-0.6859487242585962,0.03104427458879181,0.1765646870625875,98,False
linear_c_state,z_reward,B_to_C_to_A,standpoint_polarity_inverted,-0.6549044496698045,-0.7516069457067659,0.0967024960369614,0.0061987602479504095,98,True
linear_c_state,z_reward,B_to_C_to_A,phase_tfc_matched_polarity_control,-0.6549044496698045,-0.760449622772886,0.10554517310308138,0.005598880223955209,98,True
linear_c_state,z_reward,B_to_C_to_A,endpoint_o1o2_reference,-0.6549044496698045,-0.4236530220312701,-0.23125142763853443,1.0,98,False
linear_c_state,rank_reward,A_to_C_to_B,unsigned_side_gap,-0.7436460677442056,-0.6583148334253154,-0.08533123431889036,0.9608078384323135,98,False
linear_c_state,rank_reward,A_to_C_to_B,signed_ac_minus_bc,-0.7436460677442056,-0.7319633379520118,-0.011682729792193765,0.6190761847630474,98,False
linear_c_state,rank_reward,A_to_C_to_B,polarity_sign_only,-0.7436460677442056,-0.728864432176346,-0.014781635567859667,0.6546690661867627,98,False
linear_c_state,rank_reward,A_to_C_to_B,polarity_magnitude_only,-0.7436460677442056,-0.6583148334253154,-0.08533123431889036,0.9548090381923615,98,False
linear_c_state,rank_reward,A_to_C_to_B,direction_conditioned_side_polarity,-0.7436460677442056,-0.7297627526624205,-0.013883315081785192,0.642871425714857,98,False
linear_c_state,rank_reward,A_to_C_to_B,receiver_side_only,-0.7436460677442056,-0.7280234066934373,-0.015622661050768425,0.6664667066586683,98,False
linear_c_state,rank_reward,A_to_C_to_B,giver_side_only,-0.7436460677442056,-0.66109871271812,-0.08254735502608551,0.9530093981203759,98,False
linear_c_state,rank_reward,A_to_C_to_B,standpoint_polarity_preserved,-0.7436460677442056,-0.72351504416649,-0.02013102357771569,0.6886622675464907,98,False
linear_c_state,rank_reward,A_to_C_to_B,standpoint_polarity_inverted,-0.7436460677442056,-0.671358252961513,-0.07228781478269271,0.9256148770245951,98,False
linear_c_state,rank_reward,A_to_C_to_B,phase_tfc_matched_polarity_control,-0.7436460677442056,-0.7317251313199986,-0.011920936424206892,0.642871425714857,98,False
linear_c_state,rank_reward,A_to_C_to_B,endpoint_o1o2_reference,-0.7436460677442056,-0.370447402315799,-0.37319866542840674,1.0,98,False
linear_c_state,rank_reward,B_to_C_to_A,unsigned_side_gap,-0.6259185880323437,-0.6583148334253154,0.032396245392971534,0.14277144571085784,98,False
linear_c_state,rank_reward,B_to_C_to_A,signed_ac_minus_bc,-0.6259185880323437,-0.7319633379520118,0.10604474991966811,0.0001999600079984003,98,True
linear_c_state,rank_reward,B_to_C_to_A,polarity_sign_only,-0.6259185880323437,-0.728864432176346,0.10294584414400222,0.0003999200159968006,98,True
linear_c_state,rank_reward,B_to_C_to_A,polarity_magnitude_only,-0.6259185880323437,-0.6583148334253154,0.032396245392971534,0.14077184563087383,98,False
linear_c_state,rank_reward,B_to_C_to_A,direction_conditioned_side_polarity,-0.6259185880323437,-0.7319633379520118,0.10604474991966811,0.0005998800239952009,98,True
linear_c_state,rank_reward,B_to_C_to_A,receiver_side_only,-0.6259185880323437,-0.66109871271812,0.03518012468577638,0.1329734053189362,98,False
