mode,endpoint,comparison,mean_true_sps,mean_control_sps,effect,p_greater,n_pairs
gmr72_phase_conditioned,rank_reward,true_sps_vs_frequency_matched_generated,0.7042319366554673,-1.1376191433758087,1.841851080031276,0.0001999600079984003,60
gmr72_phase_conditioned,rank_reward,true_sps_vs_performance_matched_generated,0.7042319366554673,-1.3479828311082334,2.0522147677637013,0.0001999600079984003,60
gmr72_phase_conditioned,rank_reward,true_sps_vs_shuffled_c_state_generated,0.7042319366554673,-0.23763227341444196,0.9418642100699094,0.0003999200159968006,60
gmr72_phase_conditioned,rank_reward,true_sps_vs_shuffled_fes_string_generated,0.7042319366554673,-0.5765636667724549,1.2807956034279222,0.0001999600079984003,60
gmr72_phase_conditioned,rank_reward,true_sps_vs_shuffled_gmr72_phase_generated,0.7042319366554673,2.3305510460059993,-1.6263191093505316,1.0,60
gmr72_phase_conditioned,gmr72_bridge_composite,true_sps_vs_random_generated,0.9254935646843931,-1.5863028929001044,2.5117964575844973,0.0001999600079984003,60
gmr72_phase_conditioned,gmr72_bridge_composite,true_sps_vs_balanced_generated,0.9254935646843931,1.1568555622905732,-0.23136199760617998,0.9144171165766847,60
gmr72_phase_conditioned,gmr72_bridge_composite,true_sps_vs_frequency_matched_generated,0.9254935646843931,-1.6757179285852726,2.6012114932696666,0.0001999600079984003,60
gmr72_phase_conditioned,gmr72_bridge_composite,true_sps_vs_performance_matched_generated,0.9254935646843931,-1.4973862544968104,2.422879819181203,0.0001999600079984003,60
gmr72_phase_conditioned,gmr72_bridge_composite,true_sps_vs_shuffled_c_state_generated,0.9254935646843931,0.5720089542948752,0.3534846103895179,0.03099380123975205,60
gmr72_phase_conditioned,gmr72_bridge_composite,true_sps_vs_shuffled_fes_string_generated,0.9254935646843931,0.33098720030466977,0.5945063643797235,0.00639872025594881,60
gmr72_phase_conditioned,gmr72_bridge_composite,true_sps_vs_shuffled_gmr72_phase_generated,0.9254935646843931,1.7740617944076829,-0.8485682297232897,1.0,60
fes_string_conditioned,z_reward,true_sps_vs_random_generated,1.0758451894829002,-0.7624800388659646,1.8383252283488651,0.0001999600079984003,25
fes_string_conditioned,z_reward,true_sps_vs_balanced_generated,1.0758451894829002,1.5894208455358743,-0.5135756560529738,0.968006398720256,25
fes_string_conditioned,z_reward,true_sps_vs_frequency_matched_generated,1.0758451894829002,-3.4034606492318886,4.479305838714789,0.0001999600079984003,25
fes_string_conditioned,z_reward,true_sps_vs_performance_matched_generated,1.0758451894829002,-1.7604389671729386,2.8362841566558386,0.0001999600079984003,25
fes_string_conditioned,z_reward,true_sps_vs_shuffled_c_state_generated,1.0758451894829002,0.4429609165835257,0.6328842728993745,0.01899620075984803,25
fes_string_conditioned,z_reward,true_sps_vs_shuffled_fes_string_generated,1.0758451894829002,0.4429609165835257,0.6328842728993745,0.020795840831833633,25
fes_string_conditioned,z_reward,true_sps_vs_shuffled_gmr72_phase_generated,1.0758451894829002,2.375191787084967,-1.2993465976020673,1.0,25
fes_string_conditioned,rank_reward,true_sps_vs_random_generated,1.5477496475391304,-0.392568504730991,1.940318152270121,0.0001999600079984003,25
fes_string_conditioned,rank_reward,true_sps_vs_balanced_generated,1.5477496475391304,1.7139501455023087,-0.16620049796317896,0.7738452309538092,25
fes_string_conditioned,rank_reward,true_sps_vs_frequency_matched_generated,1.5477496475391304,-5.040749829169731,6.58849947670886,0.0001999600079984003,25
fes_string_conditioned,rank_reward,true_sps_vs_performance_matched_generated,1.5477496475391304,-1.6340579494651444,3.181807597004274,0.0001999600079984003,25
fes_string_conditioned,rank_reward,true_sps_vs_shuffled_c_state_generated,1.5477496475391304,0.6235471694186535,0.9242024781204762,0.005398920215956809,25
fes_string_conditioned,rank_reward,true_sps_vs_shuffled_fes_string_generated,1.5477496475391304,0.6235471694186535,0.9242024781204762,0.00639872025594881,25
fes_string_conditioned,rank_reward,true_sps_vs_shuffled_gmr72_phase_generated,1.5477496475391304,2.5585821514871174,-1.0108325039479873,1.0,25
fes_string_conditioned,gmr72_bridge_composite,true_sps_vs_random_generated,1.0549289289349462,0.09839691482055628,0.9565320141143897,0.0001999600079984003,25
fes_string_conditioned,gmr72_bridge_composite,true_sps_vs_balanced_generated,1.0549289289349462,1.196709122836651,-0.14178019390170504,0.7816436712657469,25
fes_string_conditioned,gmr72_bridge_composite,true_sps_vs_frequency_matched_generated,1.0549289289349462,-4.712109560147971,5.767038489082918,0.0001999600079984003,25
