mode,endpoint,control_kind,mean_relative_to_absolute,mean_absolute_to_relative,mean_projection_asymmetry,mean_abs_projection_asymmetry,p_asymmetry_two_sided,dominant_direction,n_events
gmr72_phase_conditioned,rank_reward,shuffled_c_intersection,-0.6982256194901898,-0.6933497827352995,0.004875836754890413,0.35184029691385826,0.8056388722255549,absolute_to_relative,502
gmr72_phase_conditioned,rank_reward,phase_rotated_intersection,-0.7226715442469513,-0.719583516336244,0.0030880279107074753,0.3056702105242207,0.8686262747450509,absolute_to_relative,502
gmr72_phase_conditioned,gmr72_bridge_composite,true_intersection,-0.2705919626904819,-0.27133330080880497,-0.0007413381183231098,0.1096037547491371,0.910617876424715,relative_to_absolute,502
gmr72_phase_conditioned,gmr72_bridge_composite,random_intersection,-0.27854450294854904,-0.282728851520571,-0.004184348572021971,0.15615624876965958,0.6652669466106779,relative_to_absolute,502
gmr72_phase_conditioned,gmr72_bridge_composite,balanced_intersection,-0.2768733289059226,-0.2773493154866781,-0.0004759865807555881,0.10585292382775649,0.9374125174965007,relative_to_absolute,502
gmr72_phase_conditioned,gmr72_bridge_composite,performance_matched_intersection,-0.2756646604773112,-0.2819437436780104,-0.006279083200699188,0.09965386156057986,0.3131373725254949,relative_to_absolute,502
gmr72_phase_conditioned,gmr72_bridge_composite,shuffled_c_intersection,-0.27281372067755766,-0.2729307442742381,-0.00011702359668045214,0.10630090503468533,0.9874025194961008,relative_to_absolute,502
gmr72_phase_conditioned,gmr72_bridge_composite,phase_rotated_intersection,-0.27883948557387706,-0.27868355939632855,0.00015592617754845548,0.10533845658275404,0.9782043591281744,absolute_to_relative,502
fes_string_conditioned,z_reward,true_intersection,-0.7121087170300231,-0.7193655884422034,-0.007256871412180511,0.3054841842906761,0.6854629074185163,relative_to_absolute,502
fes_string_conditioned,z_reward,random_intersection,-0.7034396289543544,-0.6894967664732565,0.013942862481097867,0.447634908836197,0.6122775444911018,absolute_to_relative,502
fes_string_conditioned,z_reward,balanced_intersection,-0.7140804129272931,-0.7179173728310504,-0.003836959903757268,0.30490142038947354,0.8300339932013597,relative_to_absolute,502
fes_string_conditioned,z_reward,performance_matched_intersection,-0.7471867202152502,-0.762028382877992,-0.014841662662741778,0.3115674133287402,0.4257148570285943,relative_to_absolute,502
fes_string_conditioned,z_reward,shuffled_c_intersection,-0.720176426214724,-0.7148790554742127,0.005297370740511255,0.32008824404641256,0.7760447910417917,absolute_to_relative,502
fes_string_conditioned,z_reward,phase_rotated_intersection,-0.7193159017835925,-0.7265914916827894,-0.007275589899196762,0.30676565696582186,0.6702659468106379,relative_to_absolute,502
fes_string_conditioned,rank_reward,true_intersection,-0.7053414186423997,-0.7125153948576394,-0.00717397621523969,0.3168976929111858,0.6984603079384123,relative_to_absolute,502
fes_string_conditioned,rank_reward,random_intersection,-0.7064665396594801,-0.6867727188647332,0.019693820794746887,0.4499382175391381,0.4507098580283943,absolute_to_relative,502
fes_string_conditioned,rank_reward,balanced_intersection,-0.7143325140564794,-0.7173479188673209,-0.003015404810841666,0.3181110202302942,0.858628274345131,relative_to_absolute,502
fes_string_conditioned,rank_reward,performance_matched_intersection,-0.7414118326952063,-0.7581366744380796,-0.016724841742873347,0.3367394472534873,0.3899220155968806,relative_to_absolute,502
fes_string_conditioned,rank_reward,shuffled_c_intersection,-0.7193291395324347,-0.7147863152459106,0.0045428242865238775,0.32631447596946894,0.8128374325134973,absolute_to_relative,502
fes_string_conditioned,rank_reward,phase_rotated_intersection,-0.7152015988277047,-0.7258206903983486,-0.01061909157064408,0.32286747067544536,0.5656868626274745,relative_to_absolute,502
fes_string_conditioned,gmr72_bridge_composite,true_intersection,-0.27487357192543327,-0.2764505776897923,-0.0015770057643590385,0.10309692654427423,0.793241351729654,relative_to_absolute,502
fes_string_conditioned,gmr72_bridge_composite,random_intersection,-0.2749517090007867,-0.2659152082027168,0.009036500798069962,0.16258967994163578,0.3643271345730854,absolute_to_relative,502
fes_string_conditioned,gmr72_bridge_composite,balanced_intersection,-0.2768733289059226,-0.2773493154866781,-0.0004759865807555881,0.10585292382775649,0.9406118776244751,relative_to_absolute,502
fes_string_conditioned,gmr72_bridge_composite,performance_matched_intersection,-0.2756646604773112,-0.2819437436780104,-0.006279083200699188,0.09965386156057986,0.2943411317736453,relative_to_absolute,502
fes_string_conditioned,gmr72_bridge_composite,shuffled_c_intersection,-0.2767264971925609,-0.27607151730094825,0.0006549798916126257,0.10424710389428933,0.9162167566486703,absolute_to_relative,502
fes_string_conditioned,gmr72_bridge_composite,phase_rotated_intersection,-0.2779893097214145,-0.2790863096832946,-0.0010969999618801111,0.10691679217538441,0.861627674465107,relative_to_absolute,502
linear_c_state,z_reward,true_intersection,-0.6742877982119958,-0.6658277490798481,0.008460049132147611,0.33087200065688577,0.6720655868826235,absolute_to_relative,502
