mode,endpoint,direction,phase_shift_bins,phase_shift_degrees,mean_true,mean_shifted,effect_true_minus_shifted,p_true_greater,n_pairs,shift_significantly_worse
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,0.25,22.5,-0.2739531891511287,-0.2740700033228634,0.00011681417173476825,0.45030993801239755,502,False
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,0.5,45.0,-0.2739531891511287,-0.27430352899664473,0.00035033984551609645,0.41451709658068386,502,False
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,0.75,67.5,-0.2739531891511287,-0.27466044131551975,0.0007072521643911102,0.3883223355328934,502,False
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,1.0,90.0,-0.2739531891511287,-0.27517789825894307,0.0012247091078143948,0.355128974205159,502,False
gmr72_phase_conditioned,z_reward,A_to_C_to_B,0.25,22.5,-0.6694972055795477,-0.6788758096849553,0.009378604105407588,0.001999600079984003,502,True
gmr72_phase_conditioned,z_reward,A_to_C_to_B,0.5,45.0,-0.6694972055795477,-0.688465643857706,0.01896843827815826,0.0013997200559888023,502,True
gmr72_phase_conditioned,z_reward,A_to_C_to_B,0.75,67.5,-0.6694972055795477,-0.6984029222367862,0.02890571665723856,0.0001999600079984003,502,True
gmr72_phase_conditioned,z_reward,A_to_C_to_B,1.0,90.0,-0.6694972055795477,-0.7088798264304377,0.03938262085088994,0.0015996800639872025,502,True
gmr72_phase_conditioned,z_reward,B_to_C_to_A,0.25,22.5,-0.6576531643444098,-0.6674856186883128,0.009832454343903112,0.0015996800639872025,502,True
gmr72_phase_conditioned,z_reward,B_to_C_to_A,0.5,45.0,-0.6576531643444098,-0.6769664911053703,0.019313326760960516,0.0011997600479904018,502,True
gmr72_phase_conditioned,z_reward,B_to_C_to_A,0.75,67.5,-0.6576531643444098,-0.6864700511721887,0.02881688682777891,0.0007998400319936012,502,True
gmr72_phase_conditioned,z_reward,B_to_C_to_A,1.0,90.0,-0.6576531643444098,-0.6962665437250601,0.03861337938065029,0.001799640071985603,502,True
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,0.25,22.5,-0.6619930699056092,-0.6699632782285683,0.007970208322959029,0.0033993201359728054,502,True
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,0.5,45.0,-0.6619930699056092,-0.6786069575483702,0.01661388764276107,0.001799640071985603,502,True
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,0.75,67.5,-0.6619930699056092,-0.687979773869247,0.02598670396363786,0.0013997200559888023,502,True
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,1.0,90.0,-0.6619930699056092,-0.6982706423058604,0.03627757240025115,0.0009998000399920016,502,True
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,0.25,22.5,-0.6482367343070591,-0.6584302350317796,0.010193500724720413,0.0009998000399920016,502,True
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,0.5,45.0,-0.6482367343070591,-0.6681203752879413,0.019883640980882324,0.0005998800239952009,502,True
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,0.75,67.5,-0.6482367343070591,-0.6777648216357909,0.029528087328731717,0.0003999200159968006,502,True
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,1.0,90.0,-0.6482367343070591,-0.6877093806352944,0.039472646328235245,0.0009998000399920016,502,True
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,0.25,22.5,-0.2691505435382515,-0.27066500269079374,0.0015144591525422513,0.007198560287942412,502,True
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,0.5,45.0,-0.2691505435382515,-0.27226498247210307,0.0031144389338515527,0.00639872025594881,502,True
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,0.75,67.5,-0.2691505435382515,-0.2739679218486703,0.004817378310418817,0.00639872025594881,502,True
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,1.0,90.0,-0.2691505435382515,-0.2757968185417056,0.006646275003454154,0.0033993201359728054,502,True
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,0.25,22.5,-0.26965599691404823,-0.27078463789475454,0.0011286409807063477,0.01279744051189762,502,True
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,0.5,45.0,-0.26965599691404823,-0.2719555318476934,0.002299534933645144,0.012397520495900819,502,True
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,0.75,67.5,-0.26965599691404823,-0.27318165964584773,0.00352566273179945,0.010797840431913617,502,True
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,1.0,90.0,-0.26965599691404823,-0.274479020739736,0.0048230238256878185,0.012397520495900819,502,True
fes_string_conditioned,z_reward,A_to_C_to_B,0.25,22.5,-0.7209695546992732,-0.7209695546992732,1.9351496943167567e-18,0.2539492101579684,502,False
fes_string_conditioned,z_reward,A_to_C_to_B,0.5,45.0,-0.7209695546992732,-0.7209695546992732,1.9351496943167567e-18,0.244751049790042,502,False
fes_string_conditioned,z_reward,A_to_C_to_B,0.75,67.5,-0.7209695546992732,-0.7209695546992732,1.9351496943167567e-18,0.2539492101579684,502,False
fes_string_conditioned,z_reward,A_to_C_to_B,1.0,90.0,-0.7209695546992732,-0.7209695546992732,0.0,1.0,502,False
fes_string_conditioned,z_reward,B_to_C_to_A,0.25,22.5,-0.7143619546181607,-0.7143619546181607,-3.040949519640618e-19,0.5598880223955209,502,False
fes_string_conditioned,z_reward,B_to_C_to_A,0.5,45.0,-0.7143619546181607,-0.7143619546181607,-3.040949519640618e-19,0.5606878624275144,502,False
fes_string_conditioned,z_reward,B_to_C_to_A,0.75,67.5,-0.7143619546181607,-0.7143619546181607,-3.040949519640618e-19,0.5498900219956009,502,False
fes_string_conditioned,z_reward,B_to_C_to_A,1.0,90.0,-0.7143619546181607,-0.7143619546181607,0.0,1.0,502,False
fes_string_conditioned,rank_reward,A_to_C_to_B,0.25,22.5,-0.7081875794306772,-0.7081875794306772,3.3865119650543247e-18,0.10497900419916016,502,False
fes_string_conditioned,rank_reward,A_to_C_to_B,0.5,45.0,-0.7081875794306772,-0.7081875794306772,3.3865119650543247e-18,0.09638072385522896,502,False
fes_string_conditioned,rank_reward,A_to_C_to_B,0.75,67.5,-0.7081875794306772,-0.7081875794306772,3.3865119650543247e-18,0.09498100379924015,502,False
fes_string_conditioned,rank_reward,A_to_C_to_B,1.0,90.0,-0.7081875794306772,-0.7081875794306772,0.0,1.0,502,False
fes_string_conditioned,rank_reward,B_to_C_to_A,0.25,22.5,-0.703821067059514,-0.703821067059514,2.266889641913915e-18,0.2011597680463907,502,False
fes_string_conditioned,rank_reward,B_to_C_to_A,0.5,45.0,-0.703821067059514,-0.703821067059514,2.266889641913915e-18,0.20135972805438912,502,False
fes_string_conditioned,rank_reward,B_to_C_to_A,0.75,67.5,-0.703821067059514,-0.703821067059514,2.266889641913915e-18,0.21375724855028994,502,False
fes_string_conditioned,rank_reward,B_to_C_to_A,1.0,90.0,-0.703821067059514,-0.703821067059514,0.0,1.0,502,False
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,0.25,22.5,-0.2751014327849865,-0.2751014327849865,-3.317399475971583e-19,0.6354729054189162,502,False
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,0.5,45.0,-0.2751014327849865,-0.2751014327849865,-3.317399475971583e-19,0.6192761447710458,502,False
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,0.75,67.5,-0.2751014327849865,-0.2751014327849865,-3.317399475971583e-19,0.6220755848830234,502,False
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,1.0,90.0,-0.2751014327849865,-0.2751014327849865,0.0,1.0,502,False
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,0.25,22.5,-0.2748793475452602,-0.2748793475452602,9.537523493418301e-19,0.2589482103579284,502,False
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,0.5,45.0,-0.2748793475452602,-0.2748793475452602,9.537523493418301e-19,0.26714657068586284,502,False
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,0.75,67.5,-0.2748793475452602,-0.2748793475452602,9.537523493418301e-19,0.2525494901019796,502,False
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,1.0,90.0,-0.2748793475452602,-0.2748793475452602,0.0,1.0,502,False
linear_c_state,z_reward,A_to_C_to_B,0.25,22.5,-0.6711827797062285,-0.680609780383215,0.009427000676986501,0.0005998800239952009,502,True
linear_c_state,z_reward,A_to_C_to_B,0.5,45.0,-0.6711827797062285,-0.6901607007403536,0.018977921034125145,0.0003999200159968006,502,True
linear_c_state,z_reward,A_to_C_to_B,0.75,67.5,-0.6711827797062285,-0.6999403030877037,0.028757523381475195,0.0003999200159968006,502,True
