mode,endpoint,direction,phase_shift_bins,phase_shift_degrees,mean_access_effect,median_access_effect,n_events
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,1.0,90.0,-0.2751014327849865,-0.19360764600121916,502
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,0.0,0.0,-0.2748793475452602,-0.20371647697530948,502
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,0.25,22.5,-0.2748793475452602,-0.20371647697530948,502
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,0.5,45.0,-0.2748793475452602,-0.20371647697530948,502
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,0.75,67.5,-0.2748793475452602,-0.20371647697530948,502
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,1.0,90.0,-0.2748793475452602,-0.20371647697530948,502
linear_c_state,z_reward,A_to_C_to_B,0.0,0.0,-0.6711827797062285,-0.4989071451981266,502
linear_c_state,z_reward,A_to_C_to_B,0.25,22.5,-0.680609780383215,-0.5014009204497035,502
linear_c_state,z_reward,A_to_C_to_B,0.5,45.0,-0.6901607007403536,-0.4914398148347199,502
linear_c_state,z_reward,A_to_C_to_B,0.75,67.5,-0.6999403030877037,-0.4934704087447115,502
linear_c_state,z_reward,A_to_C_to_B,1.0,90.0,-0.7100927846115381,-0.49621646800258556,502
linear_c_state,z_reward,B_to_C_to_A,0.0,0.0,-0.6561490924170079,-0.5207672779194645,502
linear_c_state,z_reward,B_to_C_to_A,0.25,22.5,-0.666399632862502,-0.5321390276496647,502
linear_c_state,z_reward,B_to_C_to_A,0.5,45.0,-0.6763853753786273,-0.5152900449877303,502
linear_c_state,z_reward,B_to_C_to_A,0.75,67.5,-0.6864042377338745,-0.5260332163104813,502
linear_c_state,z_reward,B_to_C_to_A,1.0,90.0,-0.6967160707268667,-0.521805390621284,502
linear_c_state,rank_reward,A_to_C_to_B,0.0,0.0,-0.6618193475902872,-0.5354020740622588,502
linear_c_state,rank_reward,A_to_C_to_B,0.25,22.5,-0.6701474790411973,-0.5515488138925755,502
linear_c_state,rank_reward,A_to_C_to_B,0.5,45.0,-0.6788835718896707,-0.5540650391119937,502
linear_c_state,rank_reward,A_to_C_to_B,0.75,67.5,-0.6880952908316266,-0.5836940936620277,502
linear_c_state,rank_reward,A_to_C_to_B,1.0,90.0,-0.6979106217678097,-0.6083875166673502,502
linear_c_state,rank_reward,B_to_C_to_A,0.0,0.0,-0.6465062739526979,-0.5813301333786471,502
linear_c_state,rank_reward,B_to_C_to_A,0.25,22.5,-0.6564172650322571,-0.6064095079074869,502
linear_c_state,rank_reward,B_to_C_to_A,0.5,45.0,-0.6660907417234951,-0.621339115907479,502
linear_c_state,rank_reward,B_to_C_to_A,0.75,67.5,-0.6759264972667562,-0.615744929686734,502
linear_c_state,rank_reward,B_to_C_to_A,1.0,90.0,-0.6862949009786066,-0.6297832588468173,502
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,0.0,0.0,-0.2688529219175516,-0.18984819960961094,502
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,0.25,22.5,-0.2705754105607912,-0.1900771138482364,502
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,0.5,45.0,-0.2723815335161453,-0.19010143719552602,502
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,0.75,67.5,-0.27428745796966714,-0.19162408620032945,502
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,1.0,90.0,-0.27631314911842547,-0.1915225635098367,502
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,0.0,0.0,-0.26859023156343287,-0.20306674989510237,502
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,0.25,22.5,-0.27014997196101453,-0.20298499286023947,502
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,0.5,45.0,-0.27174509728571616,-0.19573424509486004,502
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,0.75,67.5,-0.2733853011942103,-0.201470210975995,502
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,1.0,90.0,-0.2750814350635499,-0.2050708580937422,502
