condition_id,state_representation,endpoint_mode,operator_pool,seed,n_folds,min_state_events,n_control_draws,comparison,mean_true_policy,mean_comparator,effect,p_greater,n_events,state_mapping_rate
b6i_030,phase_quadrant_only,rank_reward,core_5,60810,5,8,200,true_policy_vs_frequency_matched_random,-0.11805024989225427,-0.1082912037704322,0.010703743310994284,0.3402638944422231,443,1.0
b6i_030,phase_quadrant_only,rank_reward,core_5,60810,5,8,200,true_policy_vs_performance_matched_random,-0.11805024989225427,-0.09425108828811977,-0.014223684111943006,0.7528988404638145,443,1.0
b6i_030,phase_quadrant_only,rank_reward,core_5,60810,5,8,200,true_policy_vs_within_state_shuffle,-0.11805024989225427,0.01767773940070065,-0.10750845591864926,0.9984006397441023,443,1.0
b6i_030,phase_quadrant_only,rank_reward,core_5,60810,5,8,200,true_policy_vs_oracle,-0.11805024989225427,0.9944777980181899,-1.1200653884264595,1.0,443,1.0
b6i_031,phase_quadrant_only,rank_reward,no_phase_only,60810,5,8,200,true_policy_vs_balanced_pool_shuffle,-0.10899561738233046,-0.1037604742891499,0.010802722876694792,0.19792083166733307,458,1.0
b6i_031,phase_quadrant_only,rank_reward,no_phase_only,60810,5,8,200,true_policy_vs_frequency_matched_random,-0.10899561738233046,-0.0928294833710379,0.0054170068394765285,0.396641343462615,458,1.0
b6i_031,phase_quadrant_only,rank_reward,no_phase_only,60810,5,8,200,true_policy_vs_performance_matched_random,-0.10899561738233046,-0.05389734459589174,0.0009086750569914278,0.4858056777289084,458,1.0
b6i_031,phase_quadrant_only,rank_reward,no_phase_only,60810,5,8,200,true_policy_vs_within_state_shuffle,-0.10899561738233046,0.013429290865922264,-0.10614134673154911,0.998000799680128,458,1.0
b6i_031,phase_quadrant_only,rank_reward,no_phase_only,60810,5,8,200,true_policy_vs_oracle,-0.10899561738233046,1.0019491603225386,-1.1314259159154734,1.0,458,1.0
b6i_032,phase_quadrant_only,rank_reward,no_suppress,60810,5,8,200,true_policy_vs_balanced_pool_shuffle,-0.0829442568132655,-0.11188926708199078,0.024277512605656026,0.17233106757297081,461,1.0
b6i_032,phase_quadrant_only,rank_reward,no_suppress,60810,5,8,200,true_policy_vs_frequency_matched_random,-0.0829442568132655,-0.10056690078343117,0.013206929435199419,0.32946821271491405,461,1.0
b6i_032,phase_quadrant_only,rank_reward,no_suppress,60810,5,8,200,true_policy_vs_performance_matched_random,-0.0829442568132655,-0.11521860378245286,0.027830730949750068,0.171531387445022,461,1.0
b6i_032,phase_quadrant_only,rank_reward,no_suppress,60810,5,8,200,true_policy_vs_within_state_shuffle,-0.0829442568132655,0.015179869428379721,-0.08330520018596675,0.9772091163534586,461,1.0
b6i_032,phase_quadrant_only,rank_reward,no_suppress,60810,5,8,200,true_policy_vs_oracle,-0.0829442568132655,1.112498704331316,-1.2001424033036614,1.0,461,1.0
b6i_033,lag_class_only,z_reward,full,60810,5,8,200,true_policy_vs_balanced_pool_shuffle,-0.031832812820839836,-0.02715434852312454,-0.009601303289565008,0.7213114754098361,461,1.0
b6i_033,lag_class_only,z_reward,full,60810,5,8,200,true_policy_vs_frequency_matched_random,-0.031832812820839836,-0.011259956828632529,0.01618278702663403,0.3202718912435026,461,1.0
b6i_033,lag_class_only,z_reward,full,60810,5,8,200,true_policy_vs_performance_matched_random,-0.031832812820839836,-0.010192777581235138,-0.0297839165052025,0.8524590163934426,461,1.0
b6i_033,lag_class_only,z_reward,full,60810,5,8,200,true_policy_vs_within_state_shuffle,-0.031832812820839836,0.0028878347530141113,-0.030312757788261036,0.7696921231507396,461,1.0
b6i_033,lag_class_only,z_reward,full,60810,5,8,200,true_policy_vs_oracle,-0.031832812820839836,1.2239410650761156,-1.2834921360535976,1.0,461,1.0
b6i_034,lag_class_only,z_reward,core_5,60810,5,8,200,true_policy_vs_balanced_pool_shuffle,-0.014502583115340058,-0.03150699808399854,0.04465845495397656,0.021191523390643743,461,1.0
b6i_034,lag_class_only,z_reward,core_5,60810,5,8,200,true_policy_vs_frequency_matched_random,-0.014502583115340058,-0.02019677170338097,0.04339105695834029,0.09916033586565375,461,1.0
b6i_034,lag_class_only,z_reward,core_5,60810,5,8,200,true_policy_vs_performance_matched_random,-0.014502583115340058,-0.032615694797551845,0.045808036361955864,0.029988004798080767,461,1.0
b6i_034,lag_class_only,z_reward,core_5,60810,5,8,200,true_policy_vs_within_state_shuffle,-0.014502583115340058,0.01888596242024241,-0.0199378687394711,0.7081167532986805,461,1.0
b6i_034,lag_class_only,z_reward,core_5,60810,5,8,200,true_policy_vs_oracle,-0.014502583115340058,1.0578887394678889,-1.0704060548659817,1.0,461,1.0
b6i_035,lag_class_only,z_reward,no_phase_only,60810,5,8,200,true_policy_vs_balanced_pool_shuffle,-0.01369579814198879,0.009138860510254585,-0.0006462207241840621,0.5221911235505797,461,1.0
b6i_035,lag_class_only,z_reward,no_phase_only,60810,5,8,200,true_policy_vs_frequency_matched_random,-0.01369579814198879,-0.019849766847067296,0.04518193162855401,0.0859656137544982,461,1.0
b6i_035,lag_class_only,z_reward,no_phase_only,60810,5,8,200,true_policy_vs_performance_matched_random,-0.01369579814198879,0.028070395242301868,-0.020744597550774773,0.804078368652539,461,1.0
b6i_035,lag_class_only,z_reward,no_phase_only,60810,5,8,200,true_policy_vs_within_state_shuffle,-0.01369579814198879,0.016793641297506386,-0.018709250077319387,0.6857257097161136,461,1.0
b6i_035,lag_class_only,z_reward,no_phase_only,60810,5,8,200,true_policy_vs_oracle,-0.01369579814198879,1.067896279433008,-1.0981256288810972,1.0,461,1.0
b6i_036,lag_class_only,z_reward,no_suppress,60810,5,8,200,true_policy_vs_balanced_pool_shuffle,-0.03263959779419111,-0.017242239613946855,0.005249479854164652,0.34146341463414637,461,1.0
b6i_036,lag_class_only,z_reward,no_suppress,60810,5,8,200,true_policy_vs_frequency_matched_random,-0.03263959779419111,-0.01150199455641136,0.014391912356420313,0.3426629348260696,461,1.0
b6i_036,lag_class_only,z_reward,no_suppress,60810,5,8,200,true_policy_vs_performance_matched_random,-0.03263959779419111,-0.007317853443364321,-0.017137230691651403,0.7229108356657337,461,1.0
