condition_id,fold,label,idx_in_session,state_label,true_policy_operator,true_policy_source,true_policy_reward,balanced_pool_shuffle_reward,frequency_matched_random_reward,performance_matched_random_reward,within_state_shuffle_reward,oracle_reward
b6i_030,0,P17,342.0,phase=q4,O4_B_C_boundary,state_mapping,-0.6868566221309969,-0.6868566221309991,0.10134318728956698,-0.6868566221309969,0.04094015598696782,0.9167223004832536
b6i_030,0,P17,360.0,phase=q1,O3_A_C_boundary,state_mapping,-1.178642957764183,-1.178642957764189,-0.9893210882496815,-0.9399828050561345,-0.7851898991314664,-0.07856742013183853
b6i_030,0,P17,374.0,phase=q4,O4_B_C_boundary,state_mapping,-1.6851451288307067,-1.6851451288307018,-1.000129353429266,-1.6851451288307067,-0.8157859333997175,-0.01428498547851606
b6i_030,0,P17,393.0,phase=q1,O3_A_C_boundary,state_mapping,1.339174973517011,1.3391749735170089,1.4847225120863479,0.3968508997342499,-0.10050027990855727,1.6254184660367068
b6i_030,0,P17,398.0,phase=q4,O4_B_C_boundary,state_mapping,,,,,-0.172148900774764,0.772163324302438
b6i_030,0,P26,6.0,phase=q4,O4_B_C_boundary,state_mapping,,,,,-0.7750319820377088,-0.2792495892791807
b6i_030,0,P26,66.0,phase=q1,O3_A_C_boundary,state_mapping,1.389869294281062,1.3898692942810595,0.19073651313677126,0.9216247973944577,0.6666524689031027,1.389869294281062
b6i_030,0,P26,96.0,phase=q4,O4_B_C_boundary,state_mapping,1.2073318264787087,1.2073318264787078,1.2347597639511587,1.2073318264787087,-0.25395790179519695,1.2631334923709348
b6i_030,0,P26,104.0,phase=q1,O3_A_C_boundary,state_mapping,1.4067674012024123,1.4067674012024125,1.5656693923336997,0.23229323210476455,-0.18350813272095434,1.7192746504272776
b6i_030,0,P26,110.0,phase=q4,O4_B_C_boundary,state_mapping,1.5230299012469928,1.5230299012469917,1.349602038342568,1.5230299012469928,-0.27467617962044893,1.5230299012469928
b6i_030,0,P26,127.0,phase=q1,O3_A_C_boundary,state_mapping,1.220888225067559,1.2208882250675626,0.06863153491710783,0.7344152884538956,0.10629227279044995,1.220888225067559
b6i_030,0,P26,136.0,phase=q4,O4_B_C_boundary,state_mapping,-0.5759356769421404,-0.5759356769421383,-0.11219642995970364,-0.5759356769421404,0.12213021978522277,0.8713402650385309
b6i_030,0,P26,159.0,phase=q1,O3_A_C_boundary,state_mapping,-0.06336790095506367,-0.06336790095506348,0.6434895836322778,0.2906411069147702,0.6187720544845354,1.326785152066708
b6i_030,0,P26,169.0,phase=q4,O4_B_C_boundary,state_mapping,-0.6015328181395688,-0.6015328181395709,-0.0006241880128471378,-0.6015328181395688,0.0234981293633814,0.8571721306476604
b6i_030,0,P26,182.0,phase=q1,O3_A_C_boundary,state_mapping,-0.054918847494388516,-0.05491884749438837,0.8168439500281539,-0.08058992771295842,0.12164933836536657,1.6595479876332782
b6i_030,0,P26,200.0,phase=q4,O4_B_C_boundary,state_mapping,-1.2073318264787087,-1.2073318264787078,-1.1641600460509411,-1.2073318264787087,-0.16204920334800854,1.421356055112353
b6i_030,0,P26,210.0,phase=q1,O3_A_C_boundary,state_mapping,0.35908477207869377,0.35908477207869427,0.9248902873872237,0.689595224110682,0.6370470304674638,1.471835618852136
b6i_030,0,P26,217.0,phase=q4,O4_B_C_boundary,state_mapping,-0.3284966453669986,-0.32849664536699796,0.12574899049729474,-0.3284966453669986,0.5878176269991057,1.1856537947168373
b6i_030,0,P26,226.0,phase=q1,O3_A_C_boundary,state_mapping,-0.8998241935619034,-0.8998241935619002,-1.1212614845300124,-1.176028984313061,-0.9465971563703035,0.46305944551357775
b6i_030,0,P26,237.0,phase=q4,O4_B_C_boundary,state_mapping,0.9172308929078529,0.917230892907857,0.5972057139586835,0.9172308929078529,0.21179099997747503,0.9172308929078529
b6i_030,0,P26,253.0,phase=q1,O3_A_C_boundary,state_mapping,0.19010370286519102,0.19010370286519124,0.10428704937332632,0.5413480847450137,0.39864822560692426,0.9862105747960934
b6i_030,0,P26,269.0,phase=q4,O4_B_C_boundary,state_mapping,,,,,0.9589992762295375,1.4451497078687827
b6i_030,0,P26,346.0,phase=q1,O3_A_C_boundary,state_mapping,,,,-0.368371494162631,-0.856469115478751,-0.368371494162631
b6i_030,0,P26,396.0,phase=q4,O4_B_C_boundary,state_mapping,,,,,0.34748713295553535,1.3601409015235604
b6i_030,0,P7,20.0,phase=q4,O4_B_C_boundary,state_mapping,-0.43088521015671244,-0.43088521015671283,-0.046747804487776795,-0.43088521015671244,0.030702084060731008,0.8660272072582184
b6i_030,0,P7,48.0,phase=q1,O3_A_C_boundary,state_mapping,-1.27158254583161,-1.2715825458316146,-1.091403739260208,-1.039583103055612,-0.026093459359370144,1.565918582919962
b6i_030,0,P7,78.0,phase=q4,O4_B_C_boundary,state_mapping,-0.3882233081609982,-0.388223308160998,-0.6936761697084691,-0.3882233081609982,-0.4069233747935824,0.3216672484101954
b6i_030,0,P7,79.0,phase=q1,O3_A_C_boundary,state_mapping,-1.0181109420113557,-1.0181109420113592,-0.6717981032426026,-0.7180354532710166,-0.30297082094453365,1.1841596507408292
b6i_030,0,P7,93.0,phase=q4,O4_B_C_boundary,state_mapping,-1.24146134807528,-1.2414613480752845,0.20971569500943077,-1.24146134807528,-0.6436470818047002,1.7109333257867176
b6i_030,0,P7,121.0,phase=q1,O3_A_C_boundary,state_mapping,-0.18165464940451567,-0.1816546494045149,0.5072556663344605,0.18190926232199778,0.20426713379756478,1.1732023048821374
