event_class,event_role,null_index,null_model,n_null_runs,mean_branch_transition_differentiated,sd_branch_transition_differentiated,mean_branch_transition_score,mean_branch_flip_fraction,mean_late_branch_stability
hybrid_fes_phase_transition,primary_phi_fes,19,degree-matched directed random graph,5,0.09184337554466528,0.0043398168854268775,0.14426794130036086,0.041666666666666664,0.6177700258965303
hybrid_fes_phase_transition,primary_phi_fes,20,degree-matched directed random graph,5,0.08180859429182281,0.00782549808140573,0.12732042197090018,0.025,0.6321300967283057
hybrid_fes_phase_transition,primary_phi_fes,21,degree-matched directed random graph,5,0.08753093032946092,0.005718842231978551,0.13893444791526513,0.025,0.5547659218419378
hybrid_fes_phase_transition,primary_phi_fes,22,degree-matched directed random graph,5,0.08194929114928706,0.005066195778505105,0.1311309294917895,0.016666666666666666,0.6203025189076141
hybrid_fes_phase_transition,primary_phi_fes,23,degree-matched directed random graph,5,0.08734690366311386,0.008032091113964265,0.14308047691168396,0.049999999999999996,0.6488300755919086
hybrid_fes_phase_transition,primary_phi_fes,24,degree-matched directed random graph,5,0.08120838443213764,0.009565066303005944,0.131061416885144,0.025,0.5920074724385709
hybrid_fes_phase_transition,primary_phi_fes,25,degree-matched directed random graph,5,0.0814134836190876,0.007781406156976235,0.1292244882150168,0.025,0.5771946375001399
hybrid_fes_phase_transition,primary_phi_fes,26,degree-matched directed random graph,5,0.0876042714450953,0.004611959940660307,0.14333383444931497,0.025,0.6347555728180576
hybrid_fes_phase_transition,primary_phi_fes,27,degree-matched directed random graph,5,0.09079153933165138,0.004842365179397852,0.14490519031952878,0.041666666666666664,0.6454926028022255
hybrid_fes_phase_transition,primary_phi_fes,28,degree-matched directed random graph,5,0.08169345567467153,0.006212498401781676,0.1332055739394062,0.03333333333333333,0.5812636929566103
hybrid_fes_phase_transition,primary_phi_fes,29,degree-matched directed random graph,5,0.08664986439840242,0.006131076574742085,0.13543827936906716,0.041666666666666664,0.6006564679453553
hybrid_fes_phase_transition,primary_phi_fes,30,degree-matched directed random graph,5,0.08007062786458098,0.002299694476884552,0.13031536492952778,0.03333333333333333,0.5672543737107749
hybrid_fes_phase_transition,primary_phi_fes,31,degree-matched directed random graph,5,0.08811966283090326,0.0022828786264190745,0.14105262065180518,0.058333333333333334,0.6450528929156125
hybrid_fes_phase_transition,primary_phi_fes,32,degree-matched directed random graph,5,0.07688132239429922,0.004953000609573113,0.1253428967413199,0.025,0.6211909761034461
hybrid_fes_phase_transition,primary_phi_fes,33,degree-matched directed random graph,5,0.07801091569805128,0.004213825863943909,0.12403484889446159,0.025,0.6174664717151732
hybrid_fes_phase_transition,primary_phi_fes,34,degree-matched directed random graph,5,0.09549935894039518,0.01120427802379731,0.1544816597714715,0.05,0.5822557946275027
hybrid_fes_phase_transition,primary_phi_fes,35,degree-matched directed random graph,5,0.08264484054982409,0.005600978044798299,0.1314603869610663,0.025,0.5920929936223472
hybrid_fes_phase_transition,primary_phi_fes,36,degree-matched directed random graph,5,0.0905481451577785,0.005204407758474563,0.14363971059327993,0.041666666666666664,0.6325635662074827
hybrid_fes_phase_transition,primary_phi_fes,37,degree-matched directed random graph,5,0.09056576374920851,0.006168535328105123,0.14236903411296886,0.03333333333333333,0.5798622969896507
hybrid_fes_phase_transition,primary_phi_fes,38,degree-matched directed random graph,5,0.09673564483481828,0.0038898926591583415,0.15111251060806213,0.05833333333333333,0.6144855943288408
hybrid_fes_phase_transition,primary_phi_fes,39,degree-matched directed random graph,5,0.082319795954684,0.004328665319620946,0.1306504883749226,0.025,0.6103285296452599
hybrid_fes_phase_transition,primary_phi_fes,40,degree-matched directed random graph,5,0.08286436184181566,0.004570547483904567,0.1313041457912529,0.03333333333333333,0.6086490080730071
hybrid_fes_phase_transition,primary_phi_fes,41,degree-matched directed random graph,5,0.08203171380779087,0.005337796062827017,0.13065345378410445,0.025,0.599115582906631
hybrid_fes_phase_transition,primary_phi_fes,42,degree-matched directed random graph,5,0.07973949137755908,0.004942933624442426,0.12638371107123877,0.008333333333333333,0.5785631731711993
hybrid_fes_phase_transition,primary_phi_fes,43,degree-matched directed random graph,5,0.08126002715751122,0.007261889890523722,0.1317231209305712,0.05,0.6003770203600766
hybrid_fes_phase_transition,primary_phi_fes,44,degree-matched directed random graph,5,0.0841808426415539,0.006286836204050288,0.13268528005818442,0.03333333333333333,0.6087387011546267
hybrid_fes_phase_transition,primary_phi_fes,45,degree-matched directed random graph,5,0.07981626189578195,0.007830047839646536,0.12681697016882962,0.025,0.6532349420812277
hybrid_fes_phase_transition,primary_phi_fes,46,degree-matched directed random graph,5,0.08421912432894402,0.006287407195964876,0.13676251630033792,0.025,0.6247088863286251
hybrid_fes_phase_transition,primary_phi_fes,47,degree-matched directed random graph,5,0.07913738846491636,0.005224085979848497,0.12876926958377205,0.025,0.6106144492811832
hybrid_fes_phase_transition,primary_phi_fes,48,degree-matched directed random graph,5,0.08812770418546931,0.005349319801680364,0.14052288366640975,0.041666666666666664,0.5957971327379139
hybrid_fes_phase_transition,primary_phi_fes,49,degree-matched directed random graph,5,0.08720075508253469,0.007102623642228403,0.13808835125119517,0.025,0.6081241656013427
hybrid_fes_phase_transition,primary_phi_fes,50,degree-matched directed random graph,5,0.08510700182810867,0.004283837366321629,0.1362875366552406,0.05,0.5674432260424872
hybrid_fes_phase_transition,primary_phi_fes,51,degree-matched directed random graph,5,0.0766161137476033,0.0027920716878736874,0.12217808546189472,0.025,0.6030093373810035
hybrid_fes_phase_transition,primary_phi_fes,52,degree-matched directed random graph,5,0.08210837994873502,0.009512480406566961,0.13133659187625066,0.05,0.6043432965756503
hybrid_fes_phase_transition,primary_phi_fes,53,degree-matched directed random graph,5,0.08039980108298453,0.005680902522469355,0.1321495825352043,0.016666666666666666,0.563819864763081
hybrid_fes_phase_transition,primary_phi_fes,54,degree-matched directed random graph,5,0.0927293645250115,0.003010826282559504,0.14880225875902156,0.025,0.5909824200756357
hybrid_fes_phase_transition,primary_phi_fes,55,degree-matched directed random graph,5,0.08001069371313418,0.007232764853283913,0.130785878554073,0.016666666666666666,0.5518530348910592
hybrid_fes_phase_transition,primary_phi_fes,56,degree-matched directed random graph,5,0.08718234400252196,0.009478356262001206,0.14434880801328046,0.041666666666666664,0.5962087010705235
hybrid_fes_phase_transition,primary_phi_fes,57,degree-matched directed random graph,5,0.08133664153687518,0.005023322931763314,0.13150596478692614,0.041666666666666664,0.5703774732265894
hybrid_fes_phase_transition,primary_phi_fes,58,degree-matched directed random graph,5,0.0811490837002585,0.0029082937386113914,0.12871010430771762,0.008333333333333333,0.6221540879895147
hybrid_fes_phase_transition,primary_phi_fes,59,degree-matched directed random graph,5,0.08366383279313297,0.0037074184052562115,0.13178831250057957,0.025,0.6293055446620934
hybrid_fes_phase_transition,primary_phi_fes,60,degree-matched directed random graph,5,0.08648677899446658,0.006332923251200436,0.13682400312687382,0.03333333333333333,0.6240935169512086
hybrid_fes_phase_transition,primary_phi_fes,61,degree-matched directed random graph,5,0.08443161083325233,0.008061790027954522,0.13498682128662107,0.03333333333333333,0.6065050132036234
hybrid_fes_phase_transition,primary_phi_fes,62,degree-matched directed random graph,5,0.08637181236315752,0.0060465317097132985,0.13857921637571483,0.041666666666666664,0.5982103211899945
hybrid_fes_phase_transition,primary_phi_fes,63,degree-matched directed random graph,5,0.08006599129328598,0.005591047865943309,0.12647246542489884,0.016666666666666666,0.5951393043883313
hybrid_fes_phase_transition,primary_phi_fes,64,degree-matched directed random graph,5,0.08597983012825035,0.006930754599857015,0.13624004347037735,0.041666666666666664,0.5578259062859967
hybrid_fes_phase_transition,primary_phi_fes,65,degree-matched directed random graph,5,0.08956827749314886,0.008840848130281836,0.14545878337503873,0.03333333333333333,0.5731349604503887
hybrid_fes_phase_transition,primary_phi_fes,66,degree-matched directed random graph,5,0.08730568663837371,0.005329791390319429,0.1361268880401632,0.016666666666666666,0.5996940511338461
hybrid_fes_phase_transition,primary_phi_fes,67,degree-matched directed random graph,5,0.07876908703639626,0.005391697089317498,0.127384361617638,0.008333333333333333,0.5858702907589223
hybrid_fes_phase_transition,primary_phi_fes,68,degree-matched directed random graph,5,0.08031487673177427,0.004911170236857199,0.12711556776473415,0.008333333333333333,0.6035229432213625
hybrid_fes_phase_transition,primary_phi_fes,69,degree-matched directed random graph,5,0.08513189593350065,0.010715621741242864,0.13489484416359626,0.03333333333333333,0.6416892840756835
