mode,endpoint,direction,arm,comparison,mean_true,mean_control,effect,p_greater,n_pairs
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,intersection,true_vs_performance_matched,-0.6876824578298033,-0.7414118326952063,0.05372937486540301,0.0013997200559888023,502
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,intersection,true_vs_shuffled_c,-0.6876824578298033,-0.7239933141036052,0.036310856273802004,0.030193961207758448,502
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,intersection,true_vs_phase_rotated,-0.6876824578298033,-0.7284971713258641,0.0408147134960609,0.00599880023995201,502
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,intersection,true_vs_random,-0.6849767103815771,-0.7272470162245366,0.042270305842959446,0.014997000599880024,502
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,intersection,true_vs_balanced,-0.6849767103815771,-0.7173479188673209,0.03237120848574387,0.002599480103979204,502
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,intersection,true_vs_performance_matched,-0.6849767103815771,-0.7581366744380796,0.07315996405650256,0.0001999600079984003,502
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,intersection,true_vs_shuffled_c,-0.6849767103815771,-0.7273026891767751,0.04232597879519801,0.004199160167966407,502
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,intersection,true_vs_phase_rotated,-0.6849767103815771,-0.7337333560589963,0.04875664567741921,0.0003999200159968006,502
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,intersection,true_vs_random,-0.27368334103159825,-0.2733823359406213,-0.00030100509097700953,0.5212957408518296,502
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,intersection,true_vs_balanced,-0.27368334103159825,-0.2768733289059226,0.0031899878743243295,0.21455708858228353,502
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,intersection,true_vs_performance_matched,-0.27368334103159825,-0.2756646604773112,0.001981319445712972,0.3525294941011798,502
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,intersection,true_vs_shuffled_c,-0.27368334103159825,-0.2784398232979261,0.0047564822663278584,0.2393521295740852,502
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,intersection,true_vs_phase_rotated,-0.27368334103159825,-0.2843750724935476,0.010691731461949286,0.013597280543891222,502
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,intersection,true_vs_random,-0.2758362859660063,-0.28078546589566356,0.004949179929657282,0.27474505098980206,502
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,intersection,true_vs_balanced,-0.2758362859660063,-0.2773493154866781,0.0015130295206718825,0.3313337332533493,502
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,intersection,true_vs_performance_matched,-0.2758362859660063,-0.2819437436780104,0.006107457712004123,0.11597680463907219,502
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,intersection,true_vs_shuffled_c,-0.2758362859660063,-0.279224476154622,0.0033881901886157082,0.23555288942211558,502
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,intersection,true_vs_phase_rotated,-0.2758362859660063,-0.2856262198490247,0.009789933883018418,0.03179364127174565,502
gmr72_phase_conditioned,z_reward,A_to_C_to_B,intersection,true_vs_random,-0.6739772448087511,-0.7304284277884266,0.056451182979675586,0.0015996800639872025,502
gmr72_phase_conditioned,z_reward,A_to_C_to_B,intersection,true_vs_balanced,-0.6739772448087511,-0.7140804129272931,0.04010316811854215,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,A_to_C_to_B,intersection,true_vs_performance_matched,-0.6739772448087511,-0.7471867202152502,0.07320947540649915,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,A_to_C_to_B,intersection,true_vs_shuffled_c,-0.6739772448087511,-0.7026674858811719,0.028690241072420915,0.010197960407918417,502
gmr72_phase_conditioned,z_reward,A_to_C_to_B,intersection,true_vs_phase_rotated,-0.6739772448087511,-0.7166704037375208,0.042693158928769744,0.003199360127974405,502
gmr72_phase_conditioned,z_reward,B_to_C_to_A,intersection,true_vs_random,-0.668304920342612,-0.7092723358106082,0.040967415467996135,0.01779644071185763,502
gmr72_phase_conditioned,z_reward,B_to_C_to_A,intersection,true_vs_balanced,-0.668304920342612,-0.7179173728310504,0.049612452488438284,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,B_to_C_to_A,intersection,true_vs_performance_matched,-0.668304920342612,-0.762028382877992,0.0937234625353798,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,B_to_C_to_A,intersection,true_vs_shuffled_c,-0.668304920342612,-0.7141524410917973,0.04584752074918526,0.001799640071985603,502
gmr72_phase_conditioned,z_reward,B_to_C_to_A,intersection,true_vs_phase_rotated,-0.668304920342612,-0.7210365892798791,0.05273166893726707,0.0001999600079984003,502
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,intersection,true_vs_random,-0.6674582503270163,-0.7191802273629667,0.05172197703595055,0.001999600079984003,502
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,intersection,true_vs_balanced,-0.6674582503270163,-0.7143325140564794,0.04687426372946298,0.0001999600079984003,502
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,intersection,true_vs_performance_matched,-0.6674582503270163,-0.7414118326952063,0.07395358236818998,0.0001999600079984003,502
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,intersection,true_vs_shuffled_c,-0.6674582503270163,-0.7082508486213458,0.04079259829432954,0.0023995200959808036,502
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,intersection,true_vs_phase_rotated,-0.6674582503270163,-0.7226715442469513,0.05521329391993506,0.0003999200159968006,502
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,intersection,true_vs_random,-0.6582992206788193,-0.710275502385464,0.05197628170664484,0.0023995200959808036,502
