mode,endpoint,arm,comparison,mean_true,mean_control,effect,p_greater,n_pairs
fes_string_conditioned,z_reward,object,true_vs_performance_matched,0.9130083741605445,-2.2656981143376957,3.17870648849824,0.0001999600079984003,25
fes_string_conditioned,z_reward,object,true_vs_shuffled_c,0.9130083741605445,0.6785908194075908,0.2344175547529536,0.2555488902219556,25
fes_string_conditioned,z_reward,object,true_vs_phase_rotated,0.9130083741605445,2.1734365728656737,-1.2604281987051293,1.0,25
fes_string_conditioned,rank_reward,object,true_vs_random,1.0765354205891615,-3.400865121365377,4.4774005419545375,0.0001999600079984003,25
fes_string_conditioned,rank_reward,object,true_vs_balanced,1.0765354205891615,2.0589984606995593,-0.982463040110398,0.999000199960008,25
fes_string_conditioned,rank_reward,object,true_vs_performance_matched,1.0765354205891615,-2.4503258589555323,3.526861279544694,0.0001999600079984003,25
fes_string_conditioned,rank_reward,object,true_vs_shuffled_c,1.0765354205891615,0.5021566691887229,0.5743787514004385,0.0627874425114977,25
fes_string_conditioned,rank_reward,object,true_vs_phase_rotated,1.0765354205891615,2.213500429843468,-1.1369650092543069,1.0,25
fes_string_conditioned,gmr72_bridge_composite,object,true_vs_random,0.9823280552273016,-2.958801940789663,3.941129996016965,0.0001999600079984003,25
fes_string_conditioned,gmr72_bridge_composite,object,true_vs_balanced,0.9823280552273016,1.4119528581628984,-0.42962480293559685,0.9848030393921215,25
fes_string_conditioned,gmr72_bridge_composite,object,true_vs_performance_matched,0.9823280552273016,-2.051268360910349,3.03359641613765,0.0001999600079984003,25
fes_string_conditioned,gmr72_bridge_composite,object,true_vs_shuffled_c,0.9823280552273016,1.037229580163391,-0.05490152493608963,0.611877624475105,25
fes_string_conditioned,gmr72_bridge_composite,object,true_vs_phase_rotated,0.9823280552273016,1.5785598081464105,-0.5962317529191087,1.0,25
linear_c_state,z_reward,object,true_vs_random,0.4399144646498888,-2.6212103676468117,3.061124832296701,0.0001999600079984003,66
linear_c_state,z_reward,object,true_vs_balanced,0.4399144646498888,2.4200576584489752,-1.9801431937990872,1.0,66
linear_c_state,z_reward,object,true_vs_performance_matched,0.4399144646498888,-1.4873675591250133,1.9272820237749018,0.0001999600079984003,66
linear_c_state,z_reward,object,true_vs_shuffled_c,0.4399144646498888,-0.675356380850984,1.1152708455008726,0.0005998800239952009,66
linear_c_state,z_reward,object,true_vs_phase_rotated,0.4399144646498888,1.923962184523946,-1.4840477198740576,1.0,66
linear_c_state,rank_reward,object,true_vs_random,0.437157570623552,-2.6158850827730524,3.053042653396604,0.0001999600079984003,66
linear_c_state,rank_reward,object,true_vs_balanced,0.437157570623552,2.412522408914842,-1.9753648382912903,1.0,66
linear_c_state,rank_reward,object,true_vs_performance_matched,0.437157570623552,-1.409031058956188,1.84618862957974,0.0001999600079984003,66
linear_c_state,rank_reward,object,true_vs_shuffled_c,0.437157570623552,-0.6781013814102876,1.1152589520338394,0.0001999600079984003,66
linear_c_state,rank_reward,object,true_vs_phase_rotated,0.437157570623552,1.8533375436011328,-1.416179972977581,1.0,66
linear_c_state,gmr72_bridge_composite,object,true_vs_random,1.0001382100286604,-3.225596778375695,4.225734988404356,0.0001999600079984003,66
linear_c_state,gmr72_bridge_composite,object,true_vs_balanced,1.0001382100286604,1.503350259299502,-0.5032120492708413,0.9996000799840032,66
linear_c_state,gmr72_bridge_composite,object,true_vs_performance_matched,1.0001382100286604,-1.7144741601262599,2.7146123701549203,0.0001999600079984003,66
linear_c_state,gmr72_bridge_composite,object,true_vs_shuffled_c,1.0001382100286604,0.7097654841716894,0.2903727258569711,0.0691861627674465,66
linear_c_state,gmr72_bridge_composite,object,true_vs_phase_rotated,1.0001382100286604,1.726816985002095,-0.7266787749734342,1.0,66
