endpoint,fold,label,idx_in_session,ab_history_state,access_readout,baseline_max,access_effect,control_kind
z_reward,0,P17,52.0,ab=mid|lag0=mid|lag5=low,-0.4552072825163056,0.12667872673730002,-0.5818860092536056,ab_history_policy
z_reward,0,P17,68.0,ab=low|lag0=low|lag5=mid,-0.04607354499002944,1.227825305377189,-1.2738988503672184,ab_history_policy
z_reward,0,P17,125.0,ab=mid|lag0=mid|lag5=high,0.4100664452842273,0.6381214962750957,-0.22805505099086842,ab_history_policy
z_reward,0,P17,145.0,ab=low|lag0=low|lag5=low,-0.8649797591319273,-0.8091283517312883,-0.055851407400638986,ab_history_policy
z_reward,0,P17,183.0,ab=high|lag0=high|lag5=high,1.2243482812777016,2.9888331373126564,-1.7644848560349549,ab_history_policy
z_reward,0,P17,201.0,ab=high|lag0=high|lag5=mid,1.0046254209442862,0.7521257036066646,0.25249971733762155,ab_history_policy
z_reward,0,P17,222.0,ab=mid|lag0=mid|lag5=high,1.6677850708218382,1.8938501344045284,-0.22606506358269018,ab_history_policy
z_reward,0,P17,226.0,ab=high|lag0=high|lag5=mid,0.8862842052224534,1.8745587775269552,-0.9882745723045018,ab_history_policy
z_reward,0,P17,241.0,ab=low|lag0=low|lag5=low,-0.5342005917550094,0.2056523175637321,-0.7398529093187416,ab_history_policy
z_reward,0,P17,275.0,ab=mid|lag0=mid|lag5=high,0.4017769298556792,-0.5135409269034401,0.9153178567591194,ab_history_policy
z_reward,0,P17,276.0,ab=mid|lag0=mid|lag5=high,0.12532709422117438,-0.5135553892636106,0.6388824834847849,ab_history_policy
z_reward,0,P17,289.0,ab=mid|lag0=mid|lag5=mid,0.09374408735289344,0.42291752509397806,-0.32917343774108465,ab_history_policy
z_reward,0,P17,305.0,ab=mid|lag0=mid|lag5=low,0.10646891133230856,0.6274323137237418,-0.5209634023914332,ab_history_policy
z_reward,0,P17,334.0,ab=low|lag0=low|lag5=low,-0.48377738357436895,0.015299946741997817,-0.49907733031636675,ab_history_policy
z_reward,0,P17,342.0,ab=low|lag0=low|lag5=mid,-0.3101563108167732,0.4379345228246453,-0.7480908336414185,ab_history_policy
z_reward,0,P17,360.0,ab=low|lag0=low|lag5=mid,-0.33181259291488635,-0.42585327608939216,0.09404068317450581,ab_history_policy
