c_representation,topology_arm,n_nodes,n_directed_edges,topology_notes,n_seed_events,mean_seed_strength,total_impulse_budget,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,effect_vs_time_shifted,effect_vs_random_event,p_vs_time_shifted_and_random,D12_D24_recovery_improvement,D12_D24_recovery_improvement_sd,D12_recovery,D12_recovery_sd,D24_recovery,D24_recovery_sd,bounded_non_runaway_score,bounded_non_runaway_score_sd,differentiated_recovery,differentiated_recovery_sd,late_window_stability,late_window_stability_sd,mean_phase_locking,mean_phase_locking_sd,n_events_evaluated,n_events_evaluated_sd,non_collapsed_differentiation_score,non_collapsed_differentiation_score_sd,post_event_readout_score,post_event_readout_score_sd,effect_vs_no_topology_baseline,effect_vs_c8_1,effect_vs_c10,effect_vs_c11,effect_vs_c13,effect_vs_c14,effect_vs_c12_reversed,effect_vs_c12_side_broken,effect_vs_c12_shuffled,effect_vs_topology_capacity_matched_null,effect_vs_path_rewired_control,effect_vs_h24_possible_factorisations_168,effect_vs_h24_available_factorisations_junction_coupled,effect_vs_h24_one_factorisation_class_removed,effect_vs_h24_one_junction_family_broken,effect_vs_h24_paths_available_but_mutually_disconnected,effect_vs_h24_complete_factorisation_suite_coupled,effect_vs_h24_degree_matched_null
receiver_standpoint_magnitude_c,topology_capacity_matched_null,12,48,C12 node/edge-capacity matched null,132,0.07610483968901845,10.045838838950434,0.0016272299749381645,0.0024737333067623934,-0.00042574482295227667,-0.0015390833801936037,0.639751552795031,0.0022513043912052106,0.003608255170985516,0.5155849521418172,0.01610111364790013,0.5140154495439961,0.01590000429628973,0.946120111394962,0.0024828100259969422,0.0016272299749381645,0.0024737333067623934,0.7307050412280912,0.04940150368475812,0.1523856891146759,0.032666296667288805,97.0,0.0,0.759037138087766,0.012729877925906626,0.5430519327928207,0.013655916740066238,-0.021676575269263025,0.001956854523362049,0.005689131278747251,0.009289910223966268,0.0026823879638865613,0.004621258838917254,-0.02652431058696459,0.0005392925439584532,0.000754049256017589,0.0,0.0063952216551700705,0.003944819940969842,0.0037555035831898912,0.0020768704595485305,0.001963327757503412,0.0014649741957606871,0.0034318170569363152,0.0023536436021007225
receiver_standpoint_magnitude_c,path_rewired_control,12,48,C12 path-rewired control preserving source nodes,132,0.07610483968901845,10.045838838950434,-0.004767991680231906,0.00272884918020337,-0.0058632033937168,0.003790962292343902,0.5590062111801242,-0.00580438907545019,0.0037249792350062274,0.46310012515940413,0.013796438501440465,0.4853725550738764,0.0192397092567813,0.9381833922082758,0.003053908695977086,-0.004767991680231906,0.00272884918020337,0.7108618508836577,0.08160356534407104,0.19302281531888754,0.030598947280227114,97.0,0.0,0.829769393722886,0.010964638849495601,0.5170656465305552,0.009661891565907457,-0.028071796924433096,-0.0044383671318080214,-0.0007060903764228195,0.002894688568796198,-0.003712833691283509,-0.0017739628162528162,-0.03291953224213466,-0.005855929111211617,-0.005641172399152481,-0.0063952216551700705,0.0,-0.002450401714200228,-0.002639718071980179,-0.00431835119562154,-0.004431893897666658,-0.0049302474594093825,-0.0029634045982337553,-0.004041578053069348
receiver_standpoint_magnitude_c,h24_possible_factorisations_168,24,168,H24 possible-factorisations 168-edge carrier; static edge-level operationalization,132,0.07610483968901845,10.045838838950434,-0.0023175899660316775,0.0018029956777908945,-0.0010950916809859528,-0.017600717429288294,0.8757763975155279,-0.002611352608708073,0.002222533455086361,0.4990622570734778,0.006660309613109741,0.4957987565084182,0.007366125329017277,0.9423717681867935,0.0007434867428728709,-0.0023175899660316775,0.0018029956777908945,0.5083917482420358,0.07073378437524083,0.17446951365178337,0.02076795472542158,97.0,0.0,0.9020542424558098,0.010700474584242886,0.5248277503044191,0.004819767322316737,-0.025621395210232868,-0.001987965417607793,0.0017443113377774086,0.005345090282996426,-0.0012624319770832809,0.0006764388979474119,-0.030469130527934433,-0.003405527397011389,-0.003190770684952253,-0.003944819940969842,0.002450401714200228,0.0,-0.00018931635777995077,-0.0018679494814213113,-0.00198149218346643,-0.002479845745209155,-0.000513002884033527,-0.0015911763388691195
receiver_standpoint_magnitude_c,h24_available_factorisations_junction_coupled,24,168,H24 available factorisations with current minimum junction coupling,132,0.07610483968901845,10.045838838950434,-0.0021282736082517267,0.0020869742096475572,-0.0010811860312954073,-0.007016166125172038,0.8757763975155279,-0.0023962084364453915,0.0026329019149544876,0.4983636265684496,0.006619629718990522,0.4966337128153281,0.007332206016732767,0.9424189034806012,0.0008452418564237068,-0.0021282736082517267,0.0020869742096475572,0.49397439598482873,0.07833318293163284,0.17614902303825428,0.016994637760256958,97.0,0.0,0.9032830231024824,0.009377826443011852,0.5251826544622107,0.005481943033727998,-0.025432078852452918,-0.0017986490598278422,0.0019336276955573594,0.005534406640776377,-0.0010731156193033301,0.0008657552557273626,-0.030279814170154483,-0.003216211039231438,-0.003001454327172302,-0.0037555035831898912,0.002639718071980179,0.00018931635777995077,0.0,-0.0016786331236413605,-0.0017921758256864793,-0.002290529387429204,-0.0003236865262535762,-0.0014018599810891688
receiver_standpoint_magnitude_c,h24_one_factorisation_class_removed,24,144,H24 deterministic nonredundant-class-removal proxy; removes every seventh canonical edge,132,0.07610483968901845,10.045838838950434,-0.00044964048461036617,0.002085241715967255,0.0006318582982267119,-0.012252336055951002,0.7018633540372671,-0.000499892201528705,0.002645707990729888,0.5090600055089518,0.007642282795024454,0.48472230602180383,0.007613495147860808,0.9395938513902505,0.0008400137057850656,-0.00044964048461036617,0.002085241715967255,0.7049776110165054,0.07672712788104546,0.1840645254286264,0.01946876129280759,97.0,0.0,0.9033101849805746,0.009061288841259531,0.5268257613096768,0.0067108813602742515,-0.023753445728811558,-0.00012001593618648164,0.00361226081919872,0.0072130397644177375,0.0006055175043380304,0.0025443883793687234,-0.028601181046513123,-0.0015375779155900775,-0.0013228212035309417,-0.0020768704595485305,0.00431835119562154,0.0018679494814213113,0.0016786331236413605,0.0,-0.0001135427020451186,-0.0006118962637878435,0.0013549465973877843,0.0002767731425521917
receiver_standpoint_magnitude_c,h24_one_junction_family_broken,24,156,H24 broken-junction proxy retaining effective rings and half of minimum junction edges,132,0.07610483968901845,10.045838838950434,-0.00033609778256524757,0.0023176342101897647,-0.00040118684848134746,-0.00612494320820624,0.8012422360248447,-0.0003597814947339847,0.0028498607905594296,0.5095306670300153,0.007869540875568359,0.49753842033010526,0.00929128191379185,0.9436415780794928,0.0009450503500386416,-0.00033609778256524757,0.0023176342101897647,0.6857644155964404,0.09098488375194112,0.17811493632094239,0.019505824478541187,97.0,0.0,0.9001330849755398,0.009863156283745149,0.5317980601142296,0.006782884930540109,-0.02363990302676644,-6.47323414136304e-06,0.0037258035212438386,0.007326582466462856,0.0007190602063831491,0.002657931081413842,-0.028487638344468005,-0.0014240352135449588,-0.0012092785014858232,-0.001963327757503412,0.004431893897666658,0.00198149218346643,0.0017921758256864793,0.0001135427020451186,0.0,-0.0004983535617427248,0.0014684892994329029,0.0003903158445973103
receiver_standpoint_magnitude_c,h24_paths_available_but_mutually_disconnected,24,144,H24 paths available as effective rings but mutually disconnected from C8 parent junction family,132,0.07610483968901845,10.045838838950434,0.00016225577917747727,0.002332314534892114,-0.00030827298490506186,-0.0074525880706816745,0.7888198757763976,0.0002444945853823198,0.0029640877901184704,0.5094124157447898,0.007848312669195608,0.511232144151266,0.010135557853865404,0.9442561576940879,0.0008830122143721751,0.00016225577917747727,0.002332314534892114,0.6885837262779718,0.06532706038386313,0.17938032052363737,0.020155008490526486,97.0,0.0,0.9002659177527856,0.011457805263109876,0.5351924230373601,0.0071190369875935655,-0.023141549465023715,0.0004918803276013618,0.004224157082986563,0.007824936028205581,0.001217413768125874,0.0031562846431565667,-0.02798928478272528,-0.0009256816518022341,-0.0007109249397430983,-0.0014649741957606871,0.0049302474594093825,0.002479845745209155,0.002290529387429204,0.0006118962637878435,0.0004983535617427248,0.0,0.0019668428611756277,0.0008886694063400351
receiver_standpoint_magnitude_c,h24_complete_factorisation_suite_coupled,24,168,H24 complete operational factorisation suite with current minimum junction coupling,132,0.07610483968901845,10.045838838950434,-0.0018045870819981505,0.0022590570651256164,-0.0009571095327533006,-0.01729158050176227,0.8571428571428571,-0.002039643707148005,0.002856614465113588,0.49954798085306884,0.006015779332840685,0.4962152937429618,0.006853022278311815,0.9424713700489118,0.000781072250561662,-0.0018045870819981505,0.0022590570651256164,0.503946407605887,0.08361648457428472,0.1749901855726455,0.0191924388607665,97.0,0.0,0.9031154307689718,0.009614359818950792,0.5259311193748921,0.00510906418453199,-0.025108392326199342,-0.001474962533574266,0.002257314221810936,0.005858093167029953,-0.0007494290930497539,0.0011894417819809388,-0.029956127643900907,-0.002892524512977862,-0.002677767800918726,-0.0034318170569363152,0.0029634045982337553,0.000513002884033527,0.0003236865262535762,-0.0013549465973877843,-0.0014684892994329029,-0.0019668428611756277,0.0,-0.0010781734548355928
receiver_standpoint_magnitude_c,h24_degree_matched_null,24,168,degree-matched random graph for canonical H24 168,132,0.07610483968901845,10.045838838950434,-0.0007264136271625579,0.002104004904974721,0.0010019018737120727,0.0021639678525258417,0.19254658385093168,-0.0008400049086266031,0.0025900672675522817,0.4999568908646399,0.010113372870279982,0.4991590798843644,0.01179011739523432,0.9703267091304489,0.0011072687338865704,-0.0007264136271625579,0.002104004904974721,0.8385028115870728,0.038305412182913015,0.17015777062723708,0.019423011049455638,97.0,0.0,0.9000360339337858,0.014384116005806106,0.5148654518577567,0.00803668252004928,-0.024030218871363748,-0.00039678907873867334,0.003335487676646528,0.006936266621865546,0.00032874436178583876,0.0022676152368165314,-0.028877954189065313,-0.0018143510581422693,-0.0015995943460831333,-0.0023536436021007225,0.004041578053069348,0.0015911763388691195,0.0014018599810891688,-0.0002767731425521917,-0.0003903158445973103,-0.0008886694063400351,0.0010781734548355928,0.0
receiver_standpoint_magnitude_c,h24_216_diagnostic_only,24,216,H24 216-edge C8-stitched derived diagnostic-only carrier,132,0.07610483968901845,10.045838838950434,-0.0011456512003284597,0.0019639140922840634,0.0006015744465302376,-0.005479357131983831,0.6708074534161491,-0.0010915074449731792,0.0024580422884269773,0.49747327854517237,0.005881405956451387,0.48302308667928495,0.006370048135129444,0.9388185908325614,0.0007872785448877631,-0.0011456512003284597,0.0019639140922840634,0.49629758655116846,0.07119642748302767,0.17557717750979757,0.018746779992678902,97.0,0.0,0.900839259439804,0.009795931192164493,0.5238701702121367,0.0055592861451136295,-0.02444945644452965,-0.0008160266519045751,0.0029162501034806264,0.006517029048699644,-9.049321138006306e-05,0.0018483776636506297,-0.029297191762231216,-0.002233588631308171,-0.002018831919249035,-0.002772881175266624,0.003622340479903446,0.0011719387657032178,0.000982622407923267,-0.0006960107157180935,-0.0008095534177632121,-0.001307906979505937,0.0006589358816696908,-0.0004192375731659018
