bridge_variant,operator_pool,direction,comparison,mean_true,mean_control,effect,p_greater,n_pairs
reversed72_no_forward,no_suppress,A_to_C_to_B,true_vs_phase_rotated,-0.2691170218931388,-0.2779576845981364,0.008840662704997573,0.0015996800639872025,502
reversed72_no_forward,no_suppress,A_to_C_to_B,true_vs_random,-0.2691170218931388,-0.28411793290345283,0.015000911010313986,0.0033993201359728054,502
reversed72_no_forward,no_suppress,A_to_C_to_B,true_vs_performance_matched,-0.2691170218931388,-0.2755317517580472,0.00641472986490841,0.04339132173565287,502
reversed72_no_forward,no_suppress,B_to_C_to_A,true_vs_balanced,-0.2699147517913811,-0.27652432712789754,0.006609575336516477,0.0003999200159968006,502
reversed72_no_forward,no_suppress,B_to_C_to_A,true_vs_shuffled_c,-0.2699147517913811,-0.27713837366056915,0.007223621869188066,0.0021995600879824036,502
reversed72_no_forward,no_suppress,B_to_C_to_A,true_vs_phase_rotated,-0.2699147517913811,-0.2754929201984244,0.005578168407043314,0.020795840831833633,502
reversed72_no_forward,no_suppress,B_to_C_to_A,true_vs_random,-0.2699147517913811,-0.2802497399597179,0.010334988168336832,0.03079384123175365,502
reversed72_no_forward,no_suppress,B_to_C_to_A,true_vs_performance_matched,-0.2699147517913811,-0.2844557027377979,0.014540950946416812,0.0001999600079984003,502
permuted_fes_order,full,A_to_C_to_B,true_vs_balanced,-0.2691960093890937,-0.2764386198273211,0.007242610438227393,0.0001999600079984003,502
permuted_fes_order,full,A_to_C_to_B,true_vs_shuffled_c,-0.2691960093890937,-0.2769166346109915,0.007720625221897685,0.0005998800239952009,502
permuted_fes_order,full,A_to_C_to_B,true_vs_phase_rotated,-0.2691960093890937,-0.2773527042789674,0.008156694889873627,0.0027994401119776045,502
permuted_fes_order,full,A_to_C_to_B,true_vs_random,-0.2691960093890937,-0.2867454612540857,0.01754945186499193,0.0015996800639872025,502
permuted_fes_order,full,A_to_C_to_B,true_vs_performance_matched,-0.2691960093890937,-0.27562537194311537,0.006429362554021567,0.02299540091981604,502
permuted_fes_order,full,B_to_C_to_A,true_vs_balanced,-0.2697516164415471,-0.27681841726639866,0.007066800824851623,0.0003999200159968006,502
permuted_fes_order,full,B_to_C_to_A,true_vs_shuffled_c,-0.2697516164415471,-0.2777805128413359,0.00802889639978883,0.0003999200159968006,502
permuted_fes_order,full,B_to_C_to_A,true_vs_phase_rotated,-0.2697516164415471,-0.27534734265991384,0.005595726218366785,0.02419516096780644,502
permuted_fes_order,full,B_to_C_to_A,true_vs_random,-0.2697516164415471,-0.2808441048938325,0.011092488452285394,0.026394721055788842,502
permuted_fes_order,full,B_to_C_to_A,true_vs_performance_matched,-0.2697516164415471,-0.2822428839159733,0.012491267474426224,0.0001999600079984003,502
permuted_fes_order,core_5,A_to_C_to_B,true_vs_balanced,-0.25621009680585144,-0.2635724975284204,0.007362400722568985,0.0001999600079984003,502
permuted_fes_order,core_5,A_to_C_to_B,true_vs_shuffled_c,-0.25621009680585144,-0.26326801193493904,0.007057915129087628,0.0003999200159968006,502
permuted_fes_order,core_5,A_to_C_to_B,true_vs_phase_rotated,-0.25621009680585144,-0.2656206164511517,0.009410519645300226,0.0015996800639872025,502
permuted_fes_order,core_5,A_to_C_to_B,true_vs_random,-0.25621009680585144,-0.26955179950575914,0.013341702699907728,0.009798040391921616,502
permuted_fes_order,core_5,A_to_C_to_B,true_vs_performance_matched,-0.25621009680585144,-0.26185278819170066,0.005642691385849261,0.05818836232753449,502
permuted_fes_order,core_5,B_to_C_to_A,true_vs_balanced,-0.25845776473574344,-0.2641724601553761,0.00571469541963266,0.0005998800239952009,502
permuted_fes_order,core_5,B_to_C_to_A,true_vs_shuffled_c,-0.25845776473574344,-0.2635295728144347,0.005071808078691246,0.011597680463907219,502
permuted_fes_order,core_5,B_to_C_to_A,true_vs_phase_rotated,-0.25845776473574344,-0.2644295423136187,0.005971777577875267,0.030393921215756847,502
permuted_fes_order,core_5,B_to_C_to_A,true_vs_random,-0.25845776473574344,-0.2692061097423122,0.010748345006568722,0.02559488102379524,502
permuted_fes_order,core_5,B_to_C_to_A,true_vs_performance_matched,-0.25845776473574344,-0.2703187182704225,0.011860953534679012,0.0009998000399920016,502
permuted_fes_order,no_phase_only,A_to_C_to_B,true_vs_balanced,-0.2632316365666785,-0.2702481176827936,0.007016481116115129,0.0001999600079984003,502
