mode,endpoint,direction,arm,comparison,mean_true,mean_control,effect,p_greater,n_pairs
gmr72_phase_conditioned,z_reward,A_to_C_to_B,intersection,true_vs_performance_matched,-0.6720524574571082,-0.7529190781679855,0.08086662071087727,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,A_to_C_to_B,intersection,true_vs_shuffled_c,-0.6720524574571082,-0.7100982555766736,0.038045798119565474,0.0027994401119776045,502
gmr72_phase_conditioned,z_reward,A_to_C_to_B,intersection,true_vs_phase_rotated,-0.6720524574571082,-0.7196616801748675,0.04760922271775934,0.0003999200159968006,502
gmr72_phase_conditioned,z_reward,B_to_C_to_A,intersection,true_vs_random,-0.6682112529237566,-0.7271216367621366,0.05891038383837984,0.0005998800239952009,502
gmr72_phase_conditioned,z_reward,B_to_C_to_A,intersection,true_vs_balanced,-0.6682112529237566,-0.7179173728310504,0.04970611990729376,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,B_to_C_to_A,intersection,true_vs_performance_matched,-0.6682112529237566,-0.7523091535051087,0.08409790058135203,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,B_to_C_to_A,intersection,true_vs_shuffled_c,-0.6682112529237566,-0.7249550672419287,0.05674381431817208,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,B_to_C_to_A,intersection,true_vs_phase_rotated,-0.6682112529237566,-0.7190807980593409,0.05086954513558423,0.0001999600079984003,502
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,intersection,true_vs_random,-0.6653161252107918,-0.7014395073144536,0.03612338210366195,0.015196960607878424,502
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,intersection,true_vs_balanced,-0.6653161252107918,-0.7143325140564792,0.04901638884568758,0.0001999600079984003,502
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,intersection,true_vs_performance_matched,-0.6653161252107918,-0.7503450090437082,0.08502888383291654,0.0001999600079984003,502
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,intersection,true_vs_shuffled_c,-0.6653161252107918,-0.7034903427584356,0.03817421754764391,0.004599080183963208,502
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,intersection,true_vs_phase_rotated,-0.6653161252107918,-0.726591095169068,0.061274969958276276,0.0001999600079984003,502
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,intersection,true_vs_random,-0.6562277343228047,-0.7156022545754621,0.05937452025265735,0.0007998400319936012,502
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,intersection,true_vs_balanced,-0.6562277343228047,-0.7173479188673207,0.06112018454451621,0.0001999600079984003,502
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,intersection,true_vs_performance_matched,-0.6562277343228047,-0.743816954070144,0.08758921974733933,0.0001999600079984003,502
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,intersection,true_vs_shuffled_c,-0.6562277343228047,-0.7211699964904008,0.06494226216759609,0.0001999600079984003,502
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,intersection,true_vs_phase_rotated,-0.6562277343228047,-0.7166376991996537,0.060409964876849125,0.0001999600079984003,502
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,intersection,true_vs_random,-0.2702395318155001,-0.2750351769809991,0.0047956451654989785,0.21175764847030593,502
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,intersection,true_vs_balanced,-0.2702395318155001,-0.2768733289059226,0.006633797090422463,0.0009998000399920016,502
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,intersection,true_vs_performance_matched,-0.2702395318155001,-0.2770225481142937,0.006783016298793632,0.047590481903619274,502
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,intersection,true_vs_shuffled_c,-0.2702395318155001,-0.27334046438208753,0.0031009325665873845,0.1245750849830034,502
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,intersection,true_vs_phase_rotated,-0.2702395318155001,-0.27928180616375226,0.009042274348252161,0.0003999200159968006,502
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,intersection,true_vs_random,-0.2715238748295148,-0.2821815674636487,0.010657692634133837,0.04879024195160968,502
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,intersection,true_vs_balanced,-0.2715238748295148,-0.2773493154866781,0.005825440657163332,0.0009998000399920016,502
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,intersection,true_vs_performance_matched,-0.2715238748295148,-0.27527414325038047,0.0037502684208656563,0.1855628874225155,502
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,intersection,true_vs_shuffled_c,-0.2715238748295148,-0.27650428333999905,0.0049804085104842,0.01859628074385123,502
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,intersection,true_vs_phase_rotated,-0.2715238748295148,-0.2780254364225352,0.006501561593020372,0.010997800439912017,502
fes_string_conditioned,z_reward,A_to_C_to_B,intersection,true_vs_random,-0.7187326797015717,-0.701231342094382,-0.017501337607189804,0.8674265146970606,502
fes_string_conditioned,z_reward,A_to_C_to_B,intersection,true_vs_balanced,-0.7187326797015717,-0.7140804129272931,-0.004652266774278608,0.7774445110977805,502
fes_string_conditioned,z_reward,A_to_C_to_B,intersection,true_vs_performance_matched,-0.7187326797015717,-0.7529190781679855,0.034186398466413664,0.003199360127974405,502
fes_string_conditioned,z_reward,A_to_C_to_B,intersection,true_vs_shuffled_c,-0.7187326797015717,-0.7154579742544281,-0.0032747054471435563,0.6920615876824635,502
fes_string_conditioned,z_reward,A_to_C_to_B,intersection,true_vs_phase_rotated,-0.7187326797015717,-0.7124634065990356,-0.006269273102536019,0.8490301939612077,502
fes_string_conditioned,z_reward,B_to_C_to_A,intersection,true_vs_random,-0.7163251760529378,-0.7034765301059506,-0.012848645946987374,0.7854429114177165,502
fes_string_conditioned,z_reward,B_to_C_to_A,intersection,true_vs_balanced,-0.7163251760529378,-0.7179173728310504,0.001592196778112569,0.4175164967006599,502
fes_string_conditioned,z_reward,B_to_C_to_A,intersection,true_vs_performance_matched,-0.7163251760529378,-0.7523091535051087,0.03598397745217084,0.0009998000399920016,502
