mode,endpoint,objectification_level,comparison,control_kind,mean_true,mean_control,effect,p_greater,n_pairs,passes
combined_c_fes_gmr72,gmr72_bridge_composite,L4_add_coherence,true_vs_phase_rotated,phase_rotated,0.2412050490211669,0.36308489228137636,-0.12187984326020951,1.0,221,False
combined_c_fes_gmr72,gmr72_bridge_composite,L5_full_objectification,true_vs_random,random,0.4546356436332001,-0.798746197310372,1.253381840943572,0.0001999600079984003,221,True
combined_c_fes_gmr72,gmr72_bridge_composite,L5_full_objectification,true_vs_balanced,balanced,0.4546356436332001,0.4560425169876652,-0.0014068733544652032,0.5114977004599081,221,False
combined_c_fes_gmr72,gmr72_bridge_composite,L5_full_objectification,true_vs_performance_matched,performance_matched,0.4546356436332001,-0.6767761363126314,1.1314117799458316,0.0001999600079984003,221,True
combined_c_fes_gmr72,gmr72_bridge_composite,L5_full_objectification,true_vs_shuffled_c,shuffled_c,0.4546356436332001,-0.03027629020171726,0.48491193383491726,0.0001999600079984003,221,True
combined_c_fes_gmr72,gmr72_bridge_composite,L5_full_objectification,true_vs_phase_rotated,phase_rotated,0.4546356436332001,0.5951204632038556,-0.14048481957065553,1.0,221,False
gmr72_phase_conditioned,z_reward,L1_novelty_only,true_vs_random,random,-0.22617317794283484,-0.9066892857620351,0.6805161078192001,0.0001999600079984003,66,True
gmr72_phase_conditioned,z_reward,L1_novelty_only,true_vs_balanced,balanced,-0.22617317794283484,1.4711463745743047,-1.6973195525171398,1.0,66,False
gmr72_phase_conditioned,z_reward,L1_novelty_only,true_vs_performance_matched,performance_matched,-0.22617317794283484,0.11406244501623519,-0.34023562295907006,0.9986002799440112,66,False
gmr72_phase_conditioned,z_reward,L1_novelty_only,true_vs_shuffled_c,shuffled_c,-0.22617317794283484,-0.22617317794283487,8.831319514063745e-18,0.4947010597880424,66,False
gmr72_phase_conditioned,z_reward,L1_novelty_only,true_vs_phase_rotated,phase_rotated,-0.22617317794283484,-0.2261731779428349,4.625929269271486e-17,0.11257748450309939,66,False
gmr72_phase_conditioned,z_reward,L2_novelty_selected_distance,true_vs_random,random,-0.9916996486820375,-0.4706315258847142,-0.5210681227973233,0.996000799840032,66,False
gmr72_phase_conditioned,z_reward,L2_novelty_selected_distance,true_vs_balanced,balanced,-0.9916996486820375,1.0871163504223982,-2.0788159991044357,1.0,66,False
gmr72_phase_conditioned,z_reward,L2_novelty_selected_distance,true_vs_performance_matched,performance_matched,-0.9916996486820375,0.14451054788518283,-1.1362101965672204,1.0,66,False
gmr72_phase_conditioned,z_reward,L2_novelty_selected_distance,true_vs_shuffled_c,shuffled_c,-0.9916996486820375,0.08846790911507159,-1.0801675577971093,1.0,66,False
