event_class,event_role,null_index,null_model,n_nodes,n_directed_edges,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,D12_recovery,D24_recovery
b54s_block_density_matched_dphi_rep3,differential_event_control,43,degree-matched directed random graph,12,48,0.008016118223030463,0.0009353416003202288,0.6669750302221501,0.5264242676760055
b54s_block_density_matched_dphi_rep3,differential_event_control,44,degree-matched directed random graph,12,48,0.011071190821145986,0.0007799112282986853,0.6824375654965498,0.5328745201722197
b54s_block_density_matched_dphi_rep3,differential_event_control,45,degree-matched directed random graph,12,48,0.011537465863762775,0.0010253950601352886,0.6515170617273572,0.5351778744589639
b54s_block_density_matched_dphi_rep3,differential_event_control,46,degree-matched directed random graph,12,48,0.010173178971811588,0.001293936593897912,0.6620256657972424,0.5347436792304472
b54s_block_density_matched_dphi_rep3,differential_event_control,47,degree-matched directed random graph,12,48,0.010599558053109137,0.0011629730852010672,0.654366738718296,0.5241856399810899
b54s_block_density_matched_dphi_rep3,differential_event_control,48,degree-matched directed random graph,12,48,0.008028939285670477,0.0006886861787468455,0.6764811338669113,0.531506740739529
b54s_block_density_matched_dphi_rep3,differential_event_control,49,degree-matched directed random graph,12,48,0.009790728110280035,0.0014263832197642325,0.6759325999645317,0.536715365900099
b54s_block_density_matched_dphi_rep3,differential_event_control,50,degree-matched directed random graph,12,48,0.014317331218464046,0.000942783936136311,0.6886570393045736,0.5467928939612554
b54s_block_density_matched_dphi_rep3,differential_event_control,51,degree-matched directed random graph,12,48,0.008061743071266855,0.0011165472879143816,0.649897208101826,0.513575408347254
b54s_block_density_matched_dphi_rep3,differential_event_control,52,degree-matched directed random graph,12,48,0.00937732347879102,0.0010395926717343387,0.6842448627208171,0.5406579847396746
b54s_block_density_matched_dphi_rep3,differential_event_control,53,degree-matched directed random graph,12,48,0.010246622639741765,0.002385362896715734,0.6892035621778296,0.550515750182022
b54s_block_density_matched_dphi_rep3,differential_event_control,54,degree-matched directed random graph,12,48,0.01077948189011204,0.0012365646106755777,0.6737352499489665,0.5324598096641594
b54s_block_density_matched_dphi_rep3,differential_event_control,55,degree-matched directed random graph,12,48,0.009105882423545247,0.0018130842338981458,0.6967961396591477,0.5468852614608278
b54s_block_density_matched_dphi_rep3,differential_event_control,56,degree-matched directed random graph,12,48,0.008848612203955943,0.0006174203446271157,0.6857425727568464,0.5424939737238751
b54s_block_density_matched_dphi_rep3,differential_event_control,57,degree-matched directed random graph,12,48,0.008001043468405333,0.0016932652371653555,0.6523201437842229,0.5155513139143841
b54s_block_density_matched_dphi_rep3,differential_event_control,58,degree-matched directed random graph,12,48,0.007866922006654231,0.001272711044967535,0.6812197209072589,0.5318651932491781
b54s_block_density_matched_dphi_rep3,differential_event_control,59,degree-matched directed random graph,12,48,0.007174946764144666,0.0010933377028327015,0.6997189563152578,0.5420144065601821
b54s_block_matched_event_block_shuffled_phi,event_block_control,0,degree-matched directed random graph,12,48,0.01020213603463459,0.0017718262981395326,0.7433110992283115,0.605664163144525
b54s_block_matched_event_block_shuffled_phi,event_block_control,1,degree-matched directed random graph,12,48,0.010482210750312776,0.0019993984121716357,0.7523867536177308,0.601162939511852
b54s_block_matched_event_block_shuffled_phi,event_block_control,2,degree-matched directed random graph,12,48,0.0041993738202533186,0.0021025909544850397,0.736598684293858,0.5891960979938521
b54s_block_matched_event_block_shuffled_phi,event_block_control,3,degree-matched directed random graph,12,48,0.007332153930130224,0.0017427158073647212,0.71624342614192,0.5518612480641403
b54s_block_matched_event_block_shuffled_phi,event_block_control,4,degree-matched directed random graph,12,48,0.006012283286341715,0.001981170343319066,0.6944186415346362,0.5269516576086616
b54s_block_matched_event_block_shuffled_phi,event_block_control,5,degree-matched directed random graph,12,48,0.003059733169666764,0.0014907104749553833,0.6897250317898967,0.5412552754670182
b54s_block_matched_event_block_shuffled_phi,event_block_control,6,degree-matched directed random graph,12,48,0.0046208856380005724,0.0011928798470226588,0.707076463353742,0.5621166637240871
b54s_block_matched_event_block_shuffled_phi,event_block_control,7,degree-matched directed random graph,12,48,0.00878678566988707,0.0007555838021453178,0.7444453178368223,0.5933676679816332
b54s_block_matched_event_block_shuffled_phi,event_block_control,8,degree-matched directed random graph,12,48,0.008868771198987479,0.0016151216608205547,0.7428769595198735,0.5913789294839146
b54s_block_matched_event_block_shuffled_phi,event_block_control,9,degree-matched directed random graph,12,48,0.010738464746112666,0.0010482919041131873,0.7289811533744363,0.5672546555269781
b54s_block_matched_event_block_shuffled_phi,event_block_control,10,degree-matched directed random graph,12,48,0.004979756193540223,0.0019539381165051303,0.7110868569882434,0.5502725848776526
b54s_block_matched_event_block_shuffled_phi,event_block_control,11,degree-matched directed random graph,12,48,0.007611213766529837,0.001176744590833234,0.7300773761066778,0.5859539530218746
b54s_block_matched_event_block_shuffled_phi,event_block_control,12,degree-matched directed random graph,12,48,0.008627495118349,0.0007135087988365974,0.7300342473176018,0.5859203290423419
b54s_block_matched_event_block_shuffled_phi,event_block_control,13,degree-matched directed random graph,12,48,0.005828734866414842,0.0015950931893861735,0.6949685188994043,0.5441530748870096
b54s_block_matched_event_block_shuffled_phi,event_block_control,14,degree-matched directed random graph,12,48,0.006942978909533745,0.001170651198004694,0.7222080689148682,0.5664074569019636
b54s_block_matched_event_block_shuffled_phi,event_block_control,15,degree-matched directed random graph,12,48,0.009457398731103074,0.0014838324624656181,0.7255296535516758,0.5672040321797828
b54s_block_matched_event_block_shuffled_phi,event_block_control,16,degree-matched directed random graph,12,48,0.00822269296878339,0.000707348777204076,0.7195257734308645,0.5646527438487474
b54s_block_matched_event_block_shuffled_phi,event_block_control,17,degree-matched directed random graph,12,48,0.010336801828052229,0.0014610749303250454,0.7231542967636808,0.5627389063542158
b54s_block_matched_event_block_shuffled_phi,event_block_control,18,degree-matched directed random graph,12,48,0.00981999055454154,0.0006780021774453885,0.7367251595782509,0.5850471920203585
b54s_block_matched_event_block_shuffled_phi,event_block_control,19,degree-matched directed random graph,12,48,0.00697028045743894,0.0012134467069434992,0.7069610416244331,0.5622428254104942
b54s_block_matched_event_block_shuffled_phi,event_block_control,20,degree-matched directed random graph,12,48,0.007500860024222985,0.0014123008670980691,0.7282993307604079,0.569550060961325
b54s_block_matched_event_block_shuffled_phi,event_block_control,21,degree-matched directed random graph,12,48,0.00324906972034889,0.0015146499520427789,0.7189697520360071,0.5640360279104555
b54s_block_matched_event_block_shuffled_phi,event_block_control,22,degree-matched directed random graph,12,48,0.005515200886892637,0.0016838337424159111,0.7158114517573249,0.5666336955983804
b54s_block_matched_event_block_shuffled_phi,event_block_control,23,degree-matched directed random graph,12,48,0.010768912290186146,0.0013553105217144299,0.7335996863189423,0.581295723496596
b54s_block_matched_event_block_shuffled_phi,event_block_control,24,degree-matched directed random graph,12,48,0.00882152923879801,0.0011654021539853276,0.7338073405351254,0.5918888110002278
b54s_block_matched_event_block_shuffled_phi,event_block_control,25,degree-matched directed random graph,12,48,0.006677073027664804,0.0012371968479679412,0.683181499599463,0.5102426916849029
b54s_block_matched_event_block_shuffled_phi,event_block_control,26,degree-matched directed random graph,12,48,0.007260960818252883,0.001156033974950032,0.7193556043052798,0.5608192078040325
b54s_block_matched_event_block_shuffled_phi,event_block_control,27,degree-matched directed random graph,12,48,0.005785004053473379,0.001036485387669455,0.6897565200168797,0.5127798557843947
b54s_block_matched_event_block_shuffled_phi,event_block_control,28,degree-matched directed random graph,12,48,0.007198263578269207,0.0015374656241328175,0.7183363320825992,0.5541575967255753
b54s_block_matched_event_block_shuffled_phi,event_block_control,29,degree-matched directed random graph,12,48,0.009861408761646482,0.0010105506544837797,0.7232932969259757,0.5818734095661139
b54s_block_matched_event_block_shuffled_phi,event_block_control,30,degree-matched directed random graph,12,48,0.004097239266751775,0.001966245175128645,0.7189494411064451,0.5690635183667268
b54s_block_matched_event_block_shuffled_phi,event_block_control,31,degree-matched directed random graph,12,48,0.006851887752162503,0.0011423311213232038,0.7090965355472264,0.5494737994982314
b54s_block_matched_event_block_shuffled_phi,event_block_control,32,degree-matched directed random graph,12,48,0.008728535377934915,0.0010622156671001284,0.7364313191161175,0.584291737232664
b54s_block_matched_event_block_shuffled_phi,event_block_control,33,degree-matched directed random graph,12,48,0.003429681693809099,0.0017235255247333961,0.6966315530231991,0.5459509775847707
b54s_block_matched_event_block_shuffled_phi,event_block_control,34,degree-matched directed random graph,12,48,0.00800297948246031,0.0014642764431804299,0.7189495484038706,0.5578334739956695
b54s_block_matched_event_block_shuffled_phi,event_block_control,35,degree-matched directed random graph,12,48,0.004577965136619015,0.0018096195162365385,0.7103241424097981,0.5466324498699936
b54s_block_matched_event_block_shuffled_phi,event_block_control,36,degree-matched directed random graph,12,48,0.004571730927609163,0.0015115615644259543,0.694978827202994,0.5601158434974643
b54s_block_matched_event_block_shuffled_phi,event_block_control,37,degree-matched directed random graph,12,48,0.005536013128683871,0.0017376127838818298,0.72605344636025,0.5658385988185717
b54s_block_matched_event_block_shuffled_phi,event_block_control,38,degree-matched directed random graph,12,48,0.007384272757765985,0.0017647417503559894,0.729967081779127,0.5807710850657607
b54s_block_matched_event_block_shuffled_phi,event_block_control,39,degree-matched directed random graph,12,48,0.001853268906146995,0.0019193311694241843,0.666754625010684,0.5086557242413026
b54s_block_matched_event_block_shuffled_phi,event_block_control,40,degree-matched directed random graph,12,48,0.0049475577307272955,0.0014479145548493245,0.700418055997256,0.5397168492634278
b54s_block_matched_event_block_shuffled_phi,event_block_control,41,degree-matched directed random graph,12,48,0.013070928810229266,0.0019679765081629347,0.7197315252676845,0.560915644794577
b54s_block_matched_event_block_shuffled_phi,event_block_control,42,degree-matched directed random graph,12,48,0.009998759123605564,0.0013134854570247044,0.7335032334509449,0.5807792676630733
b54s_block_matched_event_block_shuffled_phi,event_block_control,43,degree-matched directed random graph,12,48,0.007983881946811131,0.0015299398553182805,0.7364625692293926,0.5864609903795767
b54s_block_matched_event_block_shuffled_phi,event_block_control,44,degree-matched directed random graph,12,48,0.008069131205515593,0.0013675135660846523,0.7382275146030777,0.5865586261097482
b54s_block_matched_event_block_shuffled_phi,event_block_control,45,degree-matched directed random graph,12,48,0.005654386330787933,0.0012738069372379061,0.6952529136863396,0.5286034875218497
b54s_block_matched_event_block_shuffled_phi,event_block_control,46,degree-matched directed random graph,12,48,0.004127006837999446,0.001178575399766022,0.669118953615004,0.5085418977210733
b54s_block_matched_event_block_shuffled_phi,event_block_control,47,degree-matched directed random graph,12,48,0.007916279839134798,0.001138332147362958,0.7281510098955907,0.5724843484306138
b54s_block_matched_event_block_shuffled_phi,event_block_control,48,degree-matched directed random graph,12,48,0.005736538851506299,0.0010991612304290888,0.7322558041745291,0.57063432241722
b54s_block_matched_event_block_shuffled_phi,event_block_control,49,degree-matched directed random graph,12,48,0.003465801417220516,0.0013488532240552116,0.6933371584613847,0.5339855947387021
b54s_block_matched_event_block_shuffled_phi,event_block_control,50,degree-matched directed random graph,12,48,0.010367289892397755,0.0005381348809956757,0.7354627015088305,0.5870113147737441
b54s_block_matched_event_block_shuffled_phi,event_block_control,51,degree-matched directed random graph,12,48,0.0032558134927417413,0.0010066868289886244,0.6956157180644107,0.5503243718986205
b54s_block_matched_event_block_shuffled_phi,event_block_control,52,degree-matched directed random graph,12,48,0.006342934617586722,0.0014194634552582882,0.6873097862392211,0.5421401962671292
b54s_block_matched_event_block_shuffled_phi,event_block_control,53,degree-matched directed random graph,12,48,0.015398471516418917,0.000811014392485906,0.7444632700202028,0.5981606350815333
b54s_block_matched_event_block_shuffled_phi,event_block_control,54,degree-matched directed random graph,12,48,0.01067590773200854,0.0009657733009287357,0.7205465925248601,0.5591285807627907
b54s_block_matched_event_block_shuffled_phi,event_block_control,55,degree-matched directed random graph,12,48,0.005947806937379203,0.001829406044431459,0.7300163037259559,0.5729955295152708
b54s_block_matched_event_block_shuffled_phi,event_block_control,56,degree-matched directed random graph,12,48,0.006577198196995972,0.00255238708475009,0.7219843846331785,0.5600554935040788
b54s_block_matched_event_block_shuffled_phi,event_block_control,57,degree-matched directed random graph,12,48,0.005436487580511607,0.0005197943308525937,0.7320905098091813,0.5798488711586117
b54s_block_matched_event_block_shuffled_phi,event_block_control,58,degree-matched directed random graph,12,48,0.012066838755426842,0.0018245139792562547,0.7293733584757613,0.579877195944534
b54s_block_matched_event_block_shuffled_phi,event_block_control,59,degree-matched directed random graph,12,48,0.005485916569158893,0.0008283347654765851,0.7052901235809194,0.545522477567325
b54s_block_matched_lag_shifted_phi,timing_control,0,degree-matched directed random graph,12,48,0.012762898176106876,0.001102686434904178,0.765281004679356,0.6241988407538189
b54s_block_matched_lag_shifted_phi,timing_control,1,degree-matched directed random graph,12,48,0.012502333732340422,0.0015965332512455147,0.7590017025140599,0.5968402036714947
b54s_block_matched_lag_shifted_phi,timing_control,2,degree-matched directed random graph,12,48,0.012604442249185062,0.0009534909975634133,0.7715075403432835,0.6221087826183906
b54s_block_matched_lag_shifted_phi,timing_control,3,degree-matched directed random graph,12,48,0.016453719727176852,0.0007385388874180108,0.7918607526630331,0.6678912764197843
b54s_block_matched_lag_shifted_phi,timing_control,4,degree-matched directed random graph,12,48,0.012208661915300378,0.0020406902107507983,0.7802193649568013,0.6578481566821851
b54s_block_matched_lag_shifted_phi,timing_control,5,degree-matched directed random graph,12,48,0.013684061344930996,0.002019385823373141,0.7903255133524455,0.664706394110507
b54s_block_matched_lag_shifted_phi,timing_control,6,degree-matched directed random graph,12,48,0.010459447073972101,0.0017495020889195345,0.7526413241489757,0.6021613881546322
b54s_block_matched_lag_shifted_phi,timing_control,7,degree-matched directed random graph,12,48,0.013770893205295726,0.0014279445396406176,0.7755172733677544,0.6394448917615687
b54s_block_matched_lag_shifted_phi,timing_control,8,degree-matched directed random graph,12,48,0.015457196426197167,0.0013684206939885678,0.7895747153214586,0.6513635091725606
b54s_block_matched_lag_shifted_phi,timing_control,9,degree-matched directed random graph,12,48,0.01503816941329888,0.0009868541582837202,0.8010009876338525,0.6670185510104657
b54s_block_matched_lag_shifted_phi,timing_control,10,degree-matched directed random graph,12,48,0.014672220732703604,0.0008215979785684988,0.7878617811252199,0.6644576626944402
