event_class,event_role,null_index,null_model,n_nodes,n_directed_edges,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,D12_recovery,D24_recovery
b54u_lag_plus5,lag_sweep,54,degree-matched directed random graph,12,48,0.018339697497691668,0.0017723284748485918,0.7507498764608175,0.6125207918298811
b54u_lag_plus5,lag_sweep,55,degree-matched directed random graph,12,48,0.016923184633707046,0.0014715246956678953,0.7740861587401371,0.642726953667654
b54u_lag_plus5,lag_sweep,56,degree-matched directed random graph,12,48,0.018485695757080187,0.00038304862099495455,0.7865798227085717,0.6630505537205614
b54u_lag_plus5,lag_sweep,57,degree-matched directed random graph,12,48,0.013111076828074641,0.002440730297597248,0.7304785588669142,0.5776994747687714
b54u_lag_plus5,lag_sweep,58,degree-matched directed random graph,12,48,0.015723510427638736,0.0011756952411346299,0.7386672161988995,0.5734966033680735
b54u_lag_plus5,lag_sweep,59,degree-matched directed random graph,12,48,0.017780827334847298,0.0012794831472409045,0.7737135368506567,0.635865045482669
b54u_lag_plus8,lag_sweep,0,degree-matched directed random graph,12,48,0.017287222867123978,0.002384722037338277,0.733170238831727,0.5817129780087821
b54u_lag_plus8,lag_sweep,1,degree-matched directed random graph,12,48,0.01587625108460071,0.001924613247589603,0.7628078198331917,0.6260288058872513
b54u_lag_plus8,lag_sweep,2,degree-matched directed random graph,12,48,0.018987449610594828,0.001285763977613848,0.7600150281206407,0.627258686049469
b54u_lag_plus8,lag_sweep,3,degree-matched directed random graph,12,48,0.01874699687078728,0.0023735419637926905,0.7883532816221641,0.6657872580940786
b54u_lag_plus8,lag_sweep,4,degree-matched directed random graph,12,48,0.01669074762585739,0.001701682002182385,0.7585377377509749,0.6136560814624661
b54u_lag_plus8,lag_sweep,5,degree-matched directed random graph,12,48,0.017326680607593573,0.0025789826189030495,0.7715113938229724,0.6417324049189502
b54u_lag_plus8,lag_sweep,6,degree-matched directed random graph,12,48,0.014676968736514152,0.0017216862550451886,0.7340947034360328,0.5778562675816276
b54u_lag_plus8,lag_sweep,7,degree-matched directed random graph,12,48,0.02027639243973763,0.00224225952491369,0.7922322762576223,0.6722048485775299
b54u_lag_plus8,lag_sweep,8,degree-matched directed random graph,12,48,0.015747798716562296,0.001720672197557821,0.770246326699485,0.6359237579507038
b54u_lag_plus8,lag_sweep,9,degree-matched directed random graph,12,48,0.01411247567312418,0.00149201013935998,0.730107549385993,0.5669649732486141
b54u_lag_plus8,lag_sweep,10,degree-matched directed random graph,12,48,0.019027094290424602,0.0015203213528424723,0.7807877151270786,0.6454819686864842
b54u_lag_plus8,lag_sweep,11,degree-matched directed random graph,12,48,0.014696785548187992,0.0026129453386343933,0.7570835779511849,0.6048638581038164
b54u_lag_plus8,lag_sweep,12,degree-matched directed random graph,12,48,0.015222643156959745,0.0013054631720504247,0.7630527948100977,0.6334240693875836
