source,topology_arm,classification,representation_arm,comparison,metric,value,nearest_fraction,numerator,denominator,abs_error_to_fraction,is_close_to_fraction,is_focus_fraction,has_numerator_gt_1,tags
paired_boundary,c14_edge_count_null,full-stable,,full_minus_reverse,full_win_fraction,0.9166666666666666,11/12,11,12,0.0,True,False,True,c14_transition_probe|even_n
paired_boundary,c12_edge_count_null,boundary,,full_minus_reverse,full_win_fraction,0.6111111111111112,11/18,11,18,0.0,True,False,True,c12_neighborhood|even_n
paired_boundary,c12_degree_null,reverse-stable,,full_minus_reverse,full_win_fraction,0.2222222222222222,2/9,2,9,0.0,True,False,True,c12_neighborhood|even_n
paired_boundary,c15,boundary,,full_minus_reverse,full_win_fraction,0.4444444444444444,4/9,4,9,0.0,True,False,True,x3_or_7mod12_proxy|odd_n
paired_boundary,c10_reversed,boundary,,full_minus_reverse,full_win_fraction,0.4444444444444444,4/9,4,9,0.0,True,False,True,c10_boundary_candidate|reversed|5_or_10_proxy|even_n
paired_boundary,c10_edge_count_null,boundary,,full_minus_reverse,full_win_fraction,0.4444444444444444,4/9,4,9,0.0,True,False,True,c10_boundary_candidate|5_or_10_proxy|even_n
paired_boundary,c10_ring_share_10,boundary,,full_minus_reverse,reverse_win_fraction,0.4444444444444444,4/9,4,9,0.0,True,False,True,c10_boundary_candidate|ring_sharing|ring_share_10|5_or_10_proxy|even_n
paired_boundary,c14_side_broken,boundary,,full_minus_reverse,reverse_win_fraction,0.4444444444444444,4/9,4,9,0.0,True,False,True,c14_transition_probe|even_n
paired_boundary,c14_ring_share_5,boundary,,full_minus_reverse,reverse_win_fraction,0.4444444444444444,4/9,4,9,0.0,True,False,True,c14_transition_probe|ring_sharing|ring_share_5|5_or_10_proxy|even_n
paired_boundary,c13,full-stable,,full_minus_reverse,full_win_fraction,0.8333333333333334,5/6,5,6,0.0,True,False,True,c13_full_branch|odd_n
paired_boundary,c13_ring_share_5,full-stable,,full_minus_reverse,full_win_fraction,0.8333333333333334,5/6,5,6,0.0,True,False,True,c13_full_branch|ring_sharing|ring_share_5|5_or_10_proxy|odd_n
paired_boundary,c13_ring_share_7,full-stable,,full_minus_reverse,full_win_fraction,0.8333333333333334,5/6,5,6,0.0,True,False,True,c13_full_branch|ring_sharing|ring_share_7|x3_or_7mod12_proxy|odd_n
paired_boundary,c15,boundary,,full_minus_reverse,reverse_win_fraction,0.5555555555555556,5/9,5,9,0.0,True,False,True,x3_or_7mod12_proxy|odd_n
paired_boundary,c10_reversed,boundary,,full_minus_reverse,reverse_win_fraction,0.5555555555555556,5/9,5,9,0.0,True,False,True,c10_boundary_candidate|reversed|5_or_10_proxy|even_n
paired_boundary,c10_edge_count_null,boundary,,full_minus_reverse,reverse_win_fraction,0.5555555555555556,5/9,5,9,0.0,True,False,True,c10_boundary_candidate|5_or_10_proxy|even_n
paired_boundary,c10_ring_share_10,boundary,,full_minus_reverse,full_win_fraction,0.5555555555555556,5/9,5,9,0.0,True,False,True,c10_boundary_candidate|ring_sharing|ring_share_10|5_or_10_proxy|even_n
paired_boundary,c14_side_broken,boundary,,full_minus_reverse,full_win_fraction,0.5555555555555556,5/9,5,9,0.0,True,False,True,c14_transition_probe|even_n
paired_boundary,c14_ring_share_5,boundary,,full_minus_reverse,full_win_fraction,0.5555555555555556,5/9,5,9,0.0,True,False,True,c14_transition_probe|ring_sharing|ring_share_5|5_or_10_proxy|even_n
paired_boundary,c14,full-stable,,full_minus_reverse,full_win_fraction,0.5833333333333334,7/12,7,12,0.0,True,False,True,c14_transition_probe|even_n
paired_boundary,c12_degree_null,reverse-stable,,full_minus_reverse,reverse_win_fraction,0.7777777777777778,7/9,7,9,0.0,True,False,True,c12_neighborhood|even_n
paired_boundary,c12_reversed,reverse-stable,,full_minus_reverse,reverse_win_fraction,0.8888888888888888,8/9,8,9,0.0,True,False,True,c12_neighborhood|reversed|even_n
