event_class,label,heldout_label,task_idx,phase,strength,event_rule
receiver_standpoint_magnitude_c,P21,P21,30.0,-0.0927524998274533,0.7805213118163236,train-label top 0.75 threshold applied to heldout P21
receiver_standpoint_magnitude_c,P21,P21,89.0,0.0099402080048187,1.1984445940521893,train-label top 0.75 threshold applied to heldout P21
receiver_standpoint_magnitude_c,P21,P21,106.0,-0.0621356562944574,1.2616695777888929,train-label top 0.75 threshold applied to heldout P21
receiver_standpoint_magnitude_c,P21,P21,149.0,0.0641900506191905,0.7620730333712599,train-label top 0.75 threshold applied to heldout P21
receiver_standpoint_magnitude_c,P21,P21,325.0,0.043236617970275,1.5680283671475164,train-label top 0.75 threshold applied to heldout P21
receiver_standpoint_magnitude_c,P21,P21,366.0,-0.0247931101578713,0.6461947048283775,train-label top 0.75 threshold applied to heldout P21
receiver_standpoint_magnitude_c,P22,P22,84.0,-0.0967359465212246,1.2377096417108826,train-label top 0.75 threshold applied to heldout P22
receiver_standpoint_magnitude_c,P22,P22,148.0,-0.1115748389217627,2.3603985243406114,train-label top 0.75 threshold applied to heldout P22
receiver_standpoint_magnitude_c,P22,P22,352.0,0.0127533147273151,0.5566843583168326,train-label top 0.75 threshold applied to heldout P22
receiver_standpoint_magnitude_c,P23,P23,32.0,0.1994415905573427,1.0691317371013724,train-label top 0.75 threshold applied to heldout P23
receiver_standpoint_magnitude_c,P23,P23,68.0,0.0395040161960473,0.6929763809966779,train-label top 0.75 threshold applied to heldout P23
receiver_standpoint_magnitude_c,P23,P23,106.0,-0.1296510647376411,0.8492571653454043,train-label top 0.75 threshold applied to heldout P23
receiver_standpoint_magnitude_c,P23,P23,284.0,0.1668392039717959,1.583787719244871,train-label top 0.75 threshold applied to heldout P23
receiver_standpoint_magnitude_c,P23,P23,294.0,-0.0389520145789771,1.8928692048924265,train-label top 0.75 threshold applied to heldout P23
receiver_standpoint_magnitude_c,P23,P23,327.0,0.2539130112102206,0.7055630440295396,train-label top 0.75 threshold applied to heldout P23
receiver_standpoint_magnitude_c,P24,P24,101.0,-0.3145987243594403,0.780012793159517,train-label top 0.75 threshold applied to heldout P24
receiver_standpoint_magnitude_c,P24,P24,124.0,-0.1508132831211058,0.9551789606159073,train-label top 0.75 threshold applied to heldout P24
receiver_standpoint_magnitude_c,P24,P24,199.0,0.0172582460846137,0.8172473069314699,train-label top 0.75 threshold applied to heldout P24
receiver_standpoint_magnitude_c,P24,P24,280.0,-0.0556276951131154,3.325864010568678,train-label top 0.75 threshold applied to heldout P24
receiver_standpoint_magnitude_c,P24,P24,335.0,0.091231731891264,0.7572792007581713,train-label top 0.75 threshold applied to heldout P24
receiver_standpoint_magnitude_c,P25,P25,40.0,0.2683278310024092,1.9945475601751237,train-label top 0.75 threshold applied to heldout P25
receiver_standpoint_magnitude_c,P25,P25,240.0,-0.0424858000255644,0.5329594365712592,train-label top 0.75 threshold applied to heldout P25
receiver_standpoint_magnitude_c,P25,P25,332.0,0.2403968423383006,1.1517890602577177,train-label top 0.75 threshold applied to heldout P25
receiver_standpoint_magnitude_c,P25,P25,360.0,0.2201611355855036,1.4424505507385372,train-label top 0.75 threshold applied to heldout P25
receiver_standpoint_magnitude_c,P25,P25,404.0,-0.1847876042638157,6.246306483219369,train-label top 0.75 threshold applied to heldout P25
receiver_standpoint_magnitude_c,P26,P26,96.0,-0.1947432835607176,1.506089412415063,train-label top 0.75 threshold applied to heldout P26
receiver_standpoint_magnitude_c,P26,P26,104.0,0.2387073865091336,0.5458446577414163,train-label top 0.75 threshold applied to heldout P26
receiver_standpoint_magnitude_c,P26,P26,182.0,0.1335158498919364,1.6617526084051262,train-label top 0.75 threshold applied to heldout P26
receiver_standpoint_magnitude_c,P26,P26,269.0,-0.1035347906273149,0.8699560568632224,train-label top 0.75 threshold applied to heldout P26
receiver_standpoint_magnitude_c,P3,P3,132.0,-0.0775596431922038,1.1290928164299634,train-label top 0.75 threshold applied to heldout P3
receiver_standpoint_magnitude_c,P3,P3,164.0,0.0064664643535837,2.3078740205404453,train-label top 0.75 threshold applied to heldout P3
receiver_standpoint_magnitude_c,P3,P3,237.0,0.2372675051949022,2.3120972837849214,train-label top 0.75 threshold applied to heldout P3
receiver_standpoint_magnitude_c,P3,P3,402.0,0.1225316456020449,1.8783876366900465,train-label top 0.75 threshold applied to heldout P3
receiver_standpoint_magnitude_c,P4,P4,162.0,0.1372295300383631,1.4441998117976975,train-label top 0.75 threshold applied to heldout P4
receiver_standpoint_magnitude_c,P4,P4,239.0,0.2335857760314573,0.40892249393340496,train-label top 0.75 threshold applied to heldout P4
receiver_standpoint_magnitude_c,P4,P4,255.0,-0.0518678813636519,0.6988041472545666,train-label top 0.75 threshold applied to heldout P4
receiver_standpoint_magnitude_c,P4,P4,267.0,-0.0739538168085068,1.3640561873275685,train-label top 0.75 threshold applied to heldout P4
receiver_standpoint_magnitude_c,P4,P4,304.0,-0.0107232546775996,1.0226280045254355,train-label top 0.75 threshold applied to heldout P4
receiver_standpoint_magnitude_c,P4,P4,329.0,0.2159341082255085,0.8756823750180257,train-label top 0.75 threshold applied to heldout P4
receiver_standpoint_magnitude_c,P5,P5,37.0,-0.1774183662242015,0.42310579990612696,train-label top 0.75 threshold applied to heldout P5
receiver_standpoint_magnitude_c,P5,P5,65.0,-0.0329143566747852,0.6798368993652059,train-label top 0.75 threshold applied to heldout P5
receiver_standpoint_magnitude_c,P5,P5,131.0,-0.0460991070957624,0.9669008880345842,train-label top 0.75 threshold applied to heldout P5
receiver_standpoint_magnitude_c,P5,P5,150.0,0.060026158738193,0.5983550798093533,train-label top 0.75 threshold applied to heldout P5
receiver_standpoint_magnitude_c,P5,P5,157.0,-0.0386364369084607,0.42413499341826133,train-label top 0.75 threshold applied to heldout P5
receiver_standpoint_magnitude_c,P5,P5,209.0,0.1221557254353834,1.1775808492191804,train-label top 0.75 threshold applied to heldout P5
