state_variant,endpoint,comparison,mean_true_policy,mean_comparator,effect,p_greater,n_events,state_mapping_rate
tfc_phase_fes_string,gmr72_policy_readiness,gmr72_policy_vs_balanced_pool_shuffle,-0.008587561815498473,-0.005024297188001255,-0.003542882083123989,0.6232753449310138,493,0.852589641434263
tfc_phase_fes_string,gmr72_policy_readiness,gmr72_policy_vs_frequency_matched_random,-0.008587561815498473,-0.008596639451942193,-0.0014018003809366665,0.5306938612277544,493,0.852589641434263
tfc_phase_fes_string,gmr72_policy_readiness,gmr72_policy_vs_performance_matched_random,-0.008587561815498473,-0.0020439740950240898,-0.006535295736316074,0.639872025594881,493,0.852589641434263
tfc_phase_fes_string,gmr72_policy_readiness,gmr72_policy_vs_within_state_shuffle,-0.008587561815498473,0.0004823680381464816,-0.009074822024417234,0.6360727854429115,493,0.852589641434263
tfc_phase_fes_string,gmr72_policy_readiness,gmr72_policy_vs_oracle,-0.008587561815498473,0.3918816734300311,-0.4076232617381671,1.0,493,0.852589641434263
tfc_phase_fes_string,gmr72_composite,gmr72_policy_vs_balanced_pool_shuffle,0.0027394658212666766,0.0075294195084011665,-0.004820498999541802,0.6998600279944012,493,0.852589641434263
tfc_phase_fes_string,gmr72_composite,gmr72_policy_vs_frequency_matched_random,0.0027394658212666766,-0.006671399423938815,0.008109891007467025,0.3161367726454709,493,0.852589641434263
tfc_phase_fes_string,gmr72_composite,gmr72_policy_vs_performance_matched_random,0.0027394658212666766,0.0051038596399824495,-0.0023850991316568836,0.5704859028194361,493,0.852589641434263
tfc_phase_fes_string,gmr72_composite,gmr72_policy_vs_within_state_shuffle,0.0027394658212666766,0.0010624043954792699,0.0016662865333383209,0.46490701859628075,493,0.852589641434263
tfc_phase_fes_string,gmr72_composite,gmr72_policy_vs_oracle,0.0027394658212666766,0.2964622277073029,-0.2991348512356624,1.0,493,0.852589641434263
tfc_phase_fes_string,gmr72_bridge_composite,gmr72_policy_vs_balanced_pool_shuffle,0.038020401311665654,0.013944397932655323,0.023338204029932037,0.02299540091981604,488,0.852589641434263
tfc_phase_fes_string,gmr72_bridge_composite,gmr72_policy_vs_frequency_matched_random,0.038020401311665654,0.008099654740199459,0.03052910630483484,0.025994801039792043,488,0.852589641434263
tfc_phase_fes_string,gmr72_bridge_composite,gmr72_policy_vs_performance_matched_random,0.038020401311665654,0.0074129779487539975,0.029694423791449154,0.011197760447910418,488,0.852589641434263
tfc_phase_fes_string,gmr72_bridge_composite,gmr72_policy_vs_within_state_shuffle,0.038020401311665654,0.0025330285044421206,0.0363178743284523,0.012997400519896021,488,0.852589641434263
tfc_phase_fes_string,gmr72_bridge_composite,gmr72_policy_vs_oracle,0.038020401311665654,0.5336440378161155,-0.5029717242240878,1.0,488,0.852589641434263
fes_string_only,gmr72_policy_readiness,gmr72_policy_vs_balanced_pool_shuffle,-0.000985661951245497,-0.0023827741806189103,0.0014266507522736587,0.4439112177564487,484,1.0
fes_string_only,gmr72_policy_readiness,gmr72_policy_vs_frequency_matched_random,-0.000985661951245497,-0.013230876288352301,0.01273727171973148,0.2663467306538692,484,1.0
fes_string_only,gmr72_policy_readiness,gmr72_policy_vs_performance_matched_random,-0.000985661951245497,-0.0037069265538589116,0.002767218237578597,0.4371125774845031,484,1.0
fes_string_only,gmr72_policy_readiness,gmr72_policy_vs_within_state_shuffle,-0.000985661951245497,-0.0010663002936901656,0.00012029413849101172,0.4963007398520296,484,1.0
fes_string_only,gmr72_policy_readiness,gmr72_policy_vs_oracle,-0.000985661951245497,0.3918816734300311,-0.4074414472030546,1.0,484,1.0
fes_string_only,gmr72_composite,gmr72_policy_vs_balanced_pool_shuffle,-0.009259390331797592,-0.011167777610245018,0.002046261076104767,0.41051789642071584,486,1.0
fes_string_only,gmr72_composite,gmr72_policy_vs_frequency_matched_random,-0.009259390331797592,-0.012329978627421351,0.0034765135179256946,0.4149170165966807,486,1.0
fes_string_only,gmr72_composite,gmr72_policy_vs_performance_matched_random,-0.009259390331797592,-0.008142495280551245,-0.0010163704181531228,0.5260947810437913,486,1.0
fes_string_only,gmr72_composite,gmr72_policy_vs_within_state_shuffle,-0.009259390331797592,-0.0008554897406740806,-0.00837573631982561,0.6572685462907418,486,1.0
fes_string_only,gmr72_composite,gmr72_policy_vs_oracle,-0.009259390331797592,0.2964622277073029,-0.3154816913792586,1.0,486,1.0
fes_string_only,gmr72_bridge_composite,gmr72_policy_vs_balanced_pool_shuffle,0.018400157569748526,0.0035544656740460353,0.014824062287138317,0.07458508298340331,493,1.0
fes_string_only,gmr72_bridge_composite,gmr72_policy_vs_frequency_matched_random,0.018400157569748526,-0.002973328620814252,0.021357478054698016,0.09758048390321936,493,1.0
fes_string_only,gmr72_bridge_composite,gmr72_policy_vs_performance_matched_random,0.018400157569748526,0.01391467861213788,0.0030796010282968856,0.40731853629274145,493,1.0
fes_string_only,gmr72_bridge_composite,gmr72_policy_vs_within_state_shuffle,0.018400157569748526,0.004212129916213719,0.01515271949691988,0.1965606878624275,493,1.0
fes_string_only,gmr72_bridge_composite,gmr72_policy_vs_oracle,0.018400157569748526,0.5336440378161155,-0.5198571142223379,1.0,493,1.0
