source,representation_arm,topology_arm,metric,value,nearest_target_fraction,abs_error_to_target,is_close_to_target,top4_labels_by_event_strength,resonance_tags
topology_deviation_from_c12_scaled,c_to_ab_magnitude_only,no_topology_baseline,abs_topology_deviation_from_c12_fraction,0.1744800834387371,2/11,0.007338098379444713,True,,unassigned
representation_event_localization,c_to_ab_magnitude_only,representation_events,survivor_strength_fraction,0.17323897749676823,2/11,0.008579204321413597,True,P10|P13|P20|P25,5_or_10_ring_proxy
representation_event_localization,c_to_ab_standpoint_magnitude,representation_events,survivor_strength_fraction,0.17323897749676823,2/11,0.008579204321413597,True,P10|P13|P20|P25,5_or_10_ring_proxy
representation_event_localization,c_to_ab_standpoint_only,representation_events,survivor_strength_fraction,0.17323897749676823,2/11,0.008579204321413597,True,P10|P13|P20|P25,5_or_10_ring_proxy
topology_deviation_from_c12_scaled,full_self_consistent_rstar,ring_share_c12_plus_7,abs_topology_deviation_from_c12_fraction,0.1912826939157842,2/11,0.009464512097602379,True,,x3_or_7mod12_proxy|ring_sharing
topology_deviation_from_c12_scaled,c_to_ab_magnitude_only,c12_side_broken,abs_topology_deviation_from_c12_fraction,0.7467040846912696,3/4,0.0032959153087304127,True,,unassigned
topology_deviation_from_c12_scaled,full_self_consistent_rstar,c12_side_broken,abs_topology_deviation_from_c12_fraction,0.757581927925342,3/4,0.007581927925341958,True,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_receiver_only,edge_count_matched_null,abs_topology_deviation_from_c12_fraction,0.5266486036728345,1/2,0.026648603672834503,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_receiver_standpoint,c12_side_broken,abs_topology_deviation_from_c12_fraction,0.47059877918230125,1/2,0.029401220817698748,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_receiver_magnitude,c12_side_broken,abs_topology_deviation_from_c12_fraction,0.5439321375992038,1/2,0.04393213759920378,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_receiver_only,degree_matched_null,abs_topology_deviation_from_c12_fraction,0.5939362275378685,1/2,0.09393622753786846,False,,unassigned
topology_deviation_from_c12_scaled,full_self_consistent_rstar,ring_share_c12_plus_5,abs_topology_deviation_from_c12_fraction,0.21970844961386674,1/4,0.030291550386133265,False,,5_or_10_ring_proxy|ring_sharing
representation_event_localization,c_to_ab_receiver_only,representation_events,survivor_strength_fraction,0.169646224942726,2/11,0.01217195687545583,False,P13|P17|P20|P24,unassigned
representation_event_localization,c_to_ab_receiver_standpoint_magnitude,representation_events,survivor_strength_fraction,0.1685045237897222,2/11,0.01331365802845963,False,P13|P20|P24|P25,unassigned
representation_event_localization,c_to_ab_receiver_magnitude,representation_events,survivor_strength_fraction,0.16536735992097748,2/11,0.016450821897204343,False,P13|P20|P24|P25,unassigned
representation_event_localization,c_to_ab_receiver_standpoint,representation_events,survivor_strength_fraction,0.16536735992097748,2/11,0.016450821897204343,False,P13|P20|P24|P25,unassigned
topology_deviation_from_c12_scaled,c_to_ab_receiver_magnitude,no_topology_baseline,abs_topology_deviation_from_c12_fraction,0.15868356171360154,2/11,0.023134620104580284,False,,unassigned
topology_deviation_from_c12_scaled,full_self_consistent_rstar,no_topology_baseline,abs_topology_deviation_from_c12_fraction,0.2055197568529566,2/11,0.02370157503477477,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_receiver_standpoint,no_topology_baseline,abs_topology_deviation_from_c12_fraction,0.15357069199861084,2/11,0.02824748981957098,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_standpoint_magnitude,ring_share_c12_plus_5,abs_topology_deviation_from_c12_fraction,0.14908200148084516,2/11,0.03273618033733666,False,,5_or_10_ring_proxy|ring_sharing
representation_event_localization,full_self_consistent_rstar,representation_events,top4_jaccard_vs_registered,0.14285714285714285,2/11,0.038961038961038974,False,P10|P13|P20|P25,5_or_10_ring_proxy
