control_level,endpoint,fold,label,idx_in_session,control_state,access_readout,baseline_max,access_effect
o1_lag0_only,z_reward,1,P11,89.0,O1_lag0_AB_raw=q3,1.83610204693673,0.8059086346991228,1.0301934122376073
o1_lag0_only,z_reward,1,P11,103.0,O1_lag0_AB_raw=q3,0.6676676633987361,0.35507938898102465,0.3125882744177114
o1_lag0_only,z_reward,1,P11,120.0,O1_lag0_AB_raw=q2,0.1766063592399914,0.9851281225814976,-0.8085217633415063
o1_lag0_only,z_reward,1,P11,146.0,O1_lag0_AB_raw=q1,-0.33953263406207584,0.16934196713132646,-0.5088746011934023
o1_lag0_only,z_reward,1,P11,157.0,O1_lag0_AB_raw=q2,-0.467831978959998,0.49567679722122837,-0.9635087761812264
o1_lag0_only,z_reward,1,P11,181.0,O1_lag0_AB_raw=q1,0.29051131936460073,1.3576013701950582,-1.0670900508304575
o1_lag0_only,z_reward,1,P11,211.0,O1_lag0_AB_raw=q3,1.3229272642587953,-0.1461863585057079,1.4691136227645032
o1_lag0_only,z_reward,1,P11,240.0,O1_lag0_AB_raw=q1,-0.5228429917073418,-0.6733110173562143,0.15046802564887252
o1_lag0_only,z_reward,1,P11,252.0,O1_lag0_AB_raw=q2,-0.2244575275499835,0.36728602129571986,-0.5917435488457033
o1_lag0_only,z_reward,1,P11,263.0,O1_lag0_AB_raw=q1,-0.5237502577119165,1.155146520052262,-1.6788967777641783
o1_lag0_only,z_reward,1,P11,282.0,O1_lag0_AB_raw=q2,-0.35849130814789404,0.36543873978764513,-0.7239300479355392
o1_lag0_only,z_reward,1,P11,292.0,O1_lag0_AB_raw=q3,0.7214832586305978,0.2947108218007237,0.4267724368298741
o1_lag0_only,z_reward,1,P11,309.0,O1_lag0_AB_raw=q1,-0.2634547137418711,0.27896826080771486,-0.542422974549586
o1_lag0_only,z_reward,1,P11,324.0,O1_lag0_AB_raw=q1,-0.5369690514032401,-0.4384519888975125,-0.09851706250572762
o1_lag0_only,z_reward,1,P11,376.0,O1_lag0_AB_raw=q1,-0.28103308630139395,-0.012519934258756051,-0.2685131520426379
o1_lag0_only,z_reward,1,P13,9.0,O1_lag0_AB_raw=q3,0.24427115979565833,0.47747630065732677,-0.23320514086166844
o1_lag0_only,z_reward,1,P13,10.0,O1_lag0_AB_raw=q3,0.28637220207800496,0.49146795636470764,-0.20509575428670268
o1_lag0_only,z_reward,1,P13,39.0,O1_lag0_AB_raw=q2,0.04306121622286639,2.1221127356144143,-2.0790515193915478
o1_lag0_only,z_reward,1,P13,41.0,O1_lag0_AB_raw=q2,-0.16834406276845568,2.029920543994922,-2.1982646067633778
o1_lag0_only,z_reward,1,P13,47.0,O1_lag0_AB_raw=q2,-0.039687556106823424,1.6626482522196033,-1.7023358083264268
o1_lag0_only,z_reward,1,P13,72.0,O1_lag0_AB_raw=q2,-0.4077025853675597,-0.30748069150538926,-0.10022189386217045
o1_lag0_only,z_reward,1,P13,102.0,O1_lag0_AB_raw=q1,0.13054892159066436,1.0669719531826327,-0.9364230315919684
o1_lag0_only,z_reward,1,P13,111.0,O1_lag0_AB_raw=q2,-0.025180673837966835,0.23761305333914493,-0.26279372717711175
o1_lag0_only,z_reward,1,P13,121.0,O1_lag0_AB_raw=q3,0.9745803470772074,0.21932882533477727,0.7552515217424302
o1_lag0_only,z_reward,1,P13,149.0,O1_lag0_AB_raw=q1,-0.312816466723994,0.29658490138117344,-0.6094013681051674
o1_lag0_only,z_reward,1,P13,188.0,O1_lag0_AB_raw=q3,0.46184758432786044,2.2517245603900315,-1.789876976062171
o1_lag0_only,z_reward,1,P13,201.0,O1_lag0_AB_raw=q1,-0.5002506571617877,-0.41255300633175807,-0.08769765083002967
o1_lag0_only,z_reward,1,P13,205.0,O1_lag0_AB_raw=q1,-0.6916359456182064,-0.5609371981148649,-0.13069874750334154
o1_lag0_only,z_reward,1,P13,230.0,O1_lag0_AB_raw=q1,-0.2978833339247767,1.5513279410564575,-1.8492112749812342
o1_lag0_only,z_reward,1,P13,233.0,O1_lag0_AB_raw=q1,-0.019328644345554487,1.2707017210072333,-1.2900303653527878
o1_lag0_only,z_reward,1,P13,242.0,O1_lag0_AB_raw=q2,-0.33272934973592644,0.05698642407424685,-0.3897157738101733
o1_lag0_only,z_reward,1,P13,263.0,O1_lag0_AB_raw=q3,1.1575661148544083,0.05796106226539946,1.0996050525890089
o1_lag0_only,z_reward,1,P13,280.0,O1_lag0_AB_raw=q1,-0.07030897693333517,0.543643522832662,-0.6139524997659972
o1_lag0_only,z_reward,1,P13,308.0,O1_lag0_AB_raw=q2,-0.03959663342023986,0.5205427007871928,-0.5601393342074327
o1_lag0_only,z_reward,1,P13,349.0,O1_lag0_AB_raw=q2,0.17627414514324874,1.2511827564504798,-1.074908611307231
o1_lag0_only,z_reward,1,P13,366.0,O1_lag0_AB_raw=q3,0.3061829733332504,1.040453504702549,-0.7342705313692985
o1_lag0_only,z_reward,1,P13,382.0,O1_lag0_AB_raw=q1,-0.463174806196602,-0.1365255414671396,-0.32664926472946243
o1_lag0_only,z_reward,1,P16,23.0,O1_lag0_AB_raw=q2,-0.6025020593115434,-0.5730999641938223,-0.029402095117721183
o1_lag0_only,z_reward,1,P16,35.0,O1_lag0_AB_raw=q1,-0.534318535092865,-0.24106237593137428,-0.2932561591614907
o1_lag0_only,z_reward,1,P16,43.0,O1_lag0_AB_raw=q2,-0.21956025344524743,0.2960596211065035,-0.515619874551751
o1_lag0_only,z_reward,1,P16,50.0,O1_lag0_AB_raw=q1,-0.2617045153765709,0.27921134907883693,-0.5409158644554078
o1_lag0_only,z_reward,1,P16,53.0,O1_lag0_AB_raw=q1,-0.1396150841283747,0.2806497709477873,-0.420264855076162
o1_lag0_only,z_reward,1,P16,66.0,O1_lag0_AB_raw=q3,1.006243000915554,0.06143697274255955,0.9448060281729945
o1_lag0_only,z_reward,1,P16,90.0,O1_lag0_AB_raw=q2,-0.11639177010384708,0.2650488252653049,-0.381440595369152
o1_lag0_only,z_reward,1,P16,101.0,O1_lag0_AB_raw=q2,-0.1952066796394037,0.1754539107868743,-0.37066059042627797
o1_lag0_only,z_reward,1,P16,123.0,O1_lag0_AB_raw=q3,2.090018068946317,0.5461268751012853,1.5438911938450315
o1_lag0_only,z_reward,1,P16,125.0,O1_lag0_AB_raw=q3,2.1475911861005783,0.5968239293616064,1.5507672567389719
o1_lag0_only,z_reward,1,P16,139.0,O1_lag0_AB_raw=q1,-0.18723894227717996,0.38572955582551993,-0.5729684981026999
o1_lag0_only,z_reward,1,P16,177.0,O1_lag0_AB_raw=q2,-0.34936882858532037,-0.09647538887847253,-0.25289343970684786
o1_lag0_only,z_reward,1,P16,220.0,O1_lag0_AB_raw=q3,0.8858926914117438,4.12019750142936,-3.2343048100176164
o1_lag0_only,z_reward,1,P16,244.0,O1_lag0_AB_raw=q2,-0.13421822875260161,1.2419561227064913,-1.376174351459093
o1_lag0_only,z_reward,1,P16,278.0,O1_lag0_AB_raw=q3,1.3973737706791571,0.5569776283793197,0.8403961422998374
o1_lag0_only,z_reward,1,P16,298.0,O1_lag0_AB_raw=q2,-0.8124340780256133,-0.8044876188687508,-0.00794645915686254
o1_lag0_only,z_reward,1,P16,312.0,O1_lag0_AB_raw=q2,0.32317564246799385,0.599195097721843,-0.27601945525384913
o1_lag0_only,z_reward,1,P16,317.0,O1_lag0_AB_raw=q3,2.163561740636952,3.525066593325132,-1.3615048526881801
o1_lag0_only,z_reward,1,P16,368.0,O1_lag0_AB_raw=q3,1.6847896431197362,1.0469603399306688,0.6378293031890674
o1_lag0_only,z_reward,1,P16,373.0,O1_lag0_AB_raw=q3,1.2414481676996445,0.1309568871147392,1.1104912805849052
o1_lag0_only,z_reward,1,P16,392.0,O1_lag0_AB_raw=q2,-0.24262217510069148,-0.1064067045913272,-0.13621547050936428
o1_lag0_only,z_reward,1,P16,406.0,O1_lag0_AB_raw=missing,0.611206852709719,0.3989179296466668,0.2122889230630522
o1_lag0_only,z_reward,1,P16,417.0,O1_lag0_AB_raw=missing,0.0,0.0,0.0
o1_lag0_only,z_reward,1,P8,6.0,O1_lag0_AB_raw=q2,-0.6010286657452851,0.04713968833528556,-0.6481683540805707
o1_lag0_only,z_reward,1,P8,8.0,O1_lag0_AB_raw=q2,-0.5600218533008298,0.26078684011376907,-0.8208086934145988
o1_lag0_only,z_reward,1,P8,24.0,O1_lag0_AB_raw=q3,0.9262112366059848,0.5553740715878329,0.3708371650181519
o1_lag0_only,z_reward,1,P8,34.0,O1_lag0_AB_raw=q1,-0.37279799729153634,-0.2311467479164119,-0.14165124937512444
o1_lag0_only,z_reward,1,P8,50.0,O1_lag0_AB_raw=q1,0.5523437763241548,2.3413930770952325,-1.7890493007710777
o1_lag0_only,z_reward,1,P8,91.0,O1_lag0_AB_raw=q2,-0.0737840784701097,-0.01792808847616198,-0.055855989993947724
o1_lag0_only,z_reward,1,P8,99.0,O1_lag0_AB_raw=q3,0.512859063807062,0.03574210001968431,0.4771169637873777
o1_lag0_only,z_reward,1,P8,109.0,O1_lag0_AB_raw=q3,1.2773149201755505,1.6501413852684144,-0.3728264650928639
o1_lag0_only,z_reward,1,P8,119.0,O1_lag0_AB_raw=q3,1.6694727864662398,0.07464147953505604,1.5948313069311837
o1_lag0_only,z_reward,1,P8,152.0,O1_lag0_AB_raw=q3,1.3759494027465247,3.0061204677208835,-1.6301710649743588
