representation,topology_arm,n_nodes,n_directed_edges,topology_notes,n_seed_events,mean_seed_strength,total_impulse_budget,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,effect_vs_time_shifted,effect_vs_random_event,p_vs_time_shifted_and_random,D12_D24_recovery_improvement,D12_D24_recovery_improvement_sd,D12_recovery,D12_recovery_sd,D24_recovery,D24_recovery_sd,bounded_non_runaway_score,bounded_non_runaway_score_sd,differentiated_recovery,differentiated_recovery_sd,late_window_stability,late_window_stability_sd,mean_phase_locking,mean_phase_locking_sd,n_events_evaluated,n_events_evaluated_sd,non_collapsed_differentiation_score,non_collapsed_differentiation_score_sd,post_event_readout_score,post_event_readout_score_sd
standpoint_only_relation,no_topology_baseline,12,0,12 nodes with no coupling edges,132,0.07526174255325091,9.934550017029121,0.022628819199661372,0.00202457648072067,0.010855317717555102,0.0025895093983017148,0.07692307692307693,0.027891394687687275,0.0025089726860731873,0.7311028269080813,0.010827930108922267,0.6530191574756141,0.013024916033156742,0.9948464109588238,0.0008620269979244767,0.022628819199661372,0.00202457648072067,0.8691247266531018,0.023400369247383045,0.09546055309305768,0.021487318314942785,102.0,0.0,0.818865378281836,0.020698459674658057,0.7347719921071061,0.01033040423700562
standpoint_only_relation,c12_1_2,12,48,primary Luke/D12RG normalized readout candidate,132,0.07526174255325091,9.934550017029121,0.02600981104067018,0.0035372279252782984,0.010338800454360343,-0.0031943121577450405,0.4307692307692308,0.02936080756818358,0.004203973117332339,0.7337263404627098,0.016263843740160218,0.6509943137172859,0.021103247012751736,0.9806077536117516,0.0023317767743028035,0.02600981104067018,0.0035372279252782984,0.7166900852320722,0.0444511088229465,0.10871065769882537,0.025505165996775513,102.0,0.0,0.8516104817446206,0.018194730637842122,0.7384282139569516,0.015931310117483746
standpoint_only_relation,c12_reversed,12,48,"C12(1,2) with all directed arrows reversed",132,0.07526174255325091,9.934550017029121,0.026506072613490233,0.0038042811676135173,0.011542330351700051,-0.006558015111540614,0.5076923076923077,0.0301106426738189,0.004656558331808968,0.7382961609739692,0.014909105377042398,0.6595037745095357,0.018440594752004227,0.9807451895979535,0.00172233453082952,0.026506072613490233,0.0038042811676135173,0.7262418761171776,0.026860379235266005,0.11264238949138008,0.022841892907761487,102.0,0.0,0.8512819802072946,0.0160959866714773,0.7432221330560355,0.013543429259065681
standpoint_only_relation,c12_side_broken,12,48,degree-matched C12 side-correspondence-broken control,132,0.07526174255325091,9.934550017029121,0.002270549265530482,0.0020087784734377358,-0.0003395085979365684,0.0017850283752668253,0.35384615384615387,0.0032232099255983192,0.002980534509053585,0.5454607014638562,0.017359512741934258,0.49567146831778486,0.0180614500160604,0.9235159289339663,0.00253633906354891,0.002270549265530482,0.0020087784734377358,0.7264163082510056,0.05575675501928339,0.21945335961967313,0.028021385727599865,102.0,0.0,0.7235116242106151,0.01785901019509226,0.5566217893362921,0.013223866062151203
standpoint_only_relation,c12_shuffled,12,48,C12 capacity-preserving target-shuffled control,132,0.07526174255325091,9.934550017029121,0.00431062004541305,0.001973936685709259,-0.00032875101637238734,-0.0007996732786109701,0.6307692307692307,0.005227606571633545,0.0028090627709977402,0.5845399528399386,0.015328810904862692,0.5123079428715338,0.021158235301701047,0.9571595840451179,0.0026501433527328874,0.00431062004541305,0.001973936685709259,0.8688900489350124,0.025307628722524046,0.12445261335011988,0.026972399864501086,102.0,0.0,0.735183291335459,0.013427819395475318,0.5905516578194143,0.014072507656830926
standpoint_only_relation,c10,10,40,"C10(1,2) neighbouring-cycle control",132,0.07526174255325091,9.934550017029121,-0.006167129539124436,0.002413024739257,-0.0033074184240453374,-0.007222406072724485,0.9384615384615385,-0.007402252788421333,0.0039098095528225275,0.4507590332387087,0.015202713644240837,0.4990045206707079,0.017063671828918988,0.9819265380688145,0.0026998383224651687,-0.006167129539124436,0.002413024739257,0.8068251895579642,0.04209345132733522,0.10984003370593724,0.03650194517324858,102.0,0.0,0.8197854648848242,0.011020118681735181,0.5111788070905958,0.014865599894508806
standpoint_only_relation,c11,11,44,"C11(1,2) neighbouring-cycle control",132,0.07526174255325091,9.934550017029121,-0.007358373738992735,0.002372425803454535,-0.0038346517127006326,-0.0049047389304066324,0.9076923076923077,-0.007953337626527845,0.0031343695934319196,0.40185923241290833,0.02220536735556229,0.4612279443396621,0.024425938178861406,0.9805285359788235,0.002918788903747772,-0.007358373738992735,0.002372425803454535,0.7860879945061943,0.06244313225822214,0.10620458984596039,0.0285813152453028,102.0,0.0,0.8782728257151948,0.011854838830096597,0.4730421491538452,0.015430858226226835
standpoint_only_relation,c13,13,52,"C13(1,2) neighbouring-cycle control",132,0.07526174255325091,9.934550017029121,-7.79473419393764e-05,0.002530483106876663,0.00017055982795607388,0.0013566698531908676,0.4307692307692308,9.690935153818062e-05,0.0036064105766572814,0.4922236287856906,0.014957948544856475,0.5097753073022424,0.01941673188009579,0.979707610527072,0.0019817501766733595,-7.79473419393764e-05,0.002530483106876663,0.7781033167355886,0.0350302661713427,0.1163760427034493,0.025080475788136106,102.0,0.0,0.8842648793310866,0.01211561238483659,0.5215088499111689,0.015350144647280527
standpoint_only_relation,c14,14,56,"C14(1,2) neighbouring-cycle control",132,0.07526174255325091,9.934550017029121,-0.0009838610214485822,0.0018561831653379616,0.001254147663718227,0.0032277211082885884,0.18461538461538463,-0.0011205152871165173,0.002591059563874853,0.49084254098441094,0.010069822320358414,0.49266749646586644,0.01158387698970393,0.9785627334327334,0.0010509686710244539,-0.0009838610214485822,0.0018561831653379616,0.8303871219529197,0.03935411767817688,0.11017473363513161,0.025248324413268505,102.0,0.0,0.894331844151532,0.012227657651642725,0.5061286093887388,0.009070956675310025
receiver_standpoint_relation,no_topology_baseline,12,0,12 nodes with no coupling edges,132,0.07863103705463599,10.37929689121195,0.025328423870445295,0.0026851468827958002,0.013277605501549179,0.01199493915370889,0.015384615384615385,0.031515072617896274,0.0035120735095244783,0.7462361607875987,0.008384053051107999,0.6598389993723515,0.009903089994059722,0.9949234478913711,0.0007287292471083814,0.025328423870445295,0.0026851468827958002,0.8423718078168941,0.035906624338714964,0.09330796144833915,0.022662282355305787,93.0,0.0,0.8244612288519919,0.018142880889203673,0.7492729812676479,0.008234044261275148
receiver_standpoint_relation,c12_1_2,12,48,primary Luke/D12RG normalized readout candidate,132,0.07863103705463599,10.37929689121195,0.028771711558939143,0.002652094027113199,0.014261732443797616,0.0054582351807072466,0.015384615384615385,0.032237223626052,0.0032511185812386803,0.7616087963085458,0.012334039977514982,0.6769151304680403,0.018284028567699406,0.9824391497994217,0.0021242791707046954,0.028771711558939143,0.002652094027113199,0.7334037990063984,0.05181448711499177,0.0960008295605048,0.020358020525489885,93.0,0.0,0.8666717455784139,0.016288630277538265,0.7653279248645137,0.011924344481653002
receiver_standpoint_relation,c12_reversed,12,48,"C12(1,2) with all directed arrows reversed",132,0.07863103705463599,10.37929689121195,0.027014542883951567,0.004456591708044714,0.011869949250608577,0.003142661438384896,0.07692307692307693,0.03031313566182483,0.005763579174126715,0.7541693740669217,0.016204970642151432,0.6706587553526369,0.022028919493202213,0.9817045145719177,0.002705173701262644,0.027014542883951567,0.004456591708044714,0.7017050869576381,0.05850052942987205,0.10825331483586528,0.02554650465822232,93.0,0.0,0.8553715773024294,0.017614583060525515,0.7587480287147621,0.015882668396862556
receiver_standpoint_relation,c12_side_broken,12,48,degree-matched C12 side-correspondence-broken control,132,0.07863103705463599,10.37929689121195,0.007031610046994807,0.002811715249367985,0.0018347698368697905,0.0032494693416535753,0.16923076923076924,0.009444290686332235,0.003874848490181889,0.5799588969095347,0.010996155545703736,0.5440369369244115,0.016230573794776722,0.9414192768466647,0.0018299190331044703,0.007031610046994807,0.002811715249367985,0.816688297527908,0.03588321361525004,0.10960425983078927,0.023184585899144006,93.0,0.0,0.7956243704504521,0.00970513494193361,0.60728763141251,0.007608278076206553
receiver_standpoint_relation,c12_shuffled,12,48,C12 capacity-preserving target-shuffled control,132,0.07863103705463599,10.37929689121195,0.007786695743319012,0.0022169161977955445,-0.0007463580081511923,0.0008324090427725798,0.5230769230769231,0.009746161824474454,0.0032206186667462387,0.5672184465831549,0.011361295853742018,0.4797643793644673,0.017160332472630973,0.9475029208770405,0.0020962475799268044,0.007786695743319012,0.0022169161977955445,0.7523646482205231,0.04803437095473122,0.1307699025397067,0.020811339261732134,93.0,0.0,0.8062074104652898,0.009263002119890706,0.5744058512892651,0.009330387579536747
receiver_standpoint_relation,c10,10,40,"C10(1,2) neighbouring-cycle control",132,0.07863103705463599,10.37929689121195,-0.0037584508212783743,0.0029908516791359334,-0.00017208364380446456,-0.0002143858234815851,0.6,-0.004626059802897074,0.0038431470071460428,0.45029009293011457,0.014757756580787164,0.49683788169889614,0.019205948525472052,0.9829738210993291,0.0029286531053258694,-0.0037584508212783743,0.0029908516791359334,0.8161198534360323,0.05071618464592179,0.10769184105207177,0.027882795587712828,93.0,0.0,0.8291434709331151,0.008546083285024007,0.5064867058976334,0.016556994841901252
receiver_standpoint_relation,c11,11,44,"C11(1,2) neighbouring-cycle control",132,0.07863103705463599,10.37929689121195,-0.005924852685372137,0.00283824252533136,-0.004106834438144635,0.0024644206197245964,0.5692307692307692,-0.006262006159813753,0.003466410903157207,0.40685654540878935,0.015727218508409514,0.4627114457060906,0.015423575573048446,0.9823321954420556,0.002690759476784112,-0.005924852685372137,0.00283824252533136,0.8256683394012526,0.08432641584466216,0.10590500692529273,0.022522631612639118,93.0,0.0,0.88256463932868,0.009468376133767806,0.47258136016256236,0.010831193097583796
receiver_standpoint_relation,c13,13,52,"C13(1,2) neighbouring-cycle control",132,0.07863103705463599,10.37929689121195,-0.0029417672474174143,0.0033168962318666294,0.0011921945367422363,0.0009483867840463121,0.3384615384615385,-0.0027874137916874047,0.004359413547980603,0.4975941241287922,0.012682915467671035,0.5064901531570088,0.01289025783790677,0.9814743776247634,0.002499355637057057,-0.0029417672474174143,0.0033168962318666294,0.8265477038364726,0.030825896650061215,0.1068644109969897,0.025925461144537858,93.0,0.0,0.8958798855782419,0.014175642104212308,0.5197668260426923,0.008868788553626833
receiver_standpoint_relation,c14,14,56,"C14(1,2) neighbouring-cycle control",132,0.07863103705463599,10.37929689121195,-0.0025999170998908944,0.002533481766813812,0.00011175271759995917,-0.0011249164159022737,0.47692307692307695,-0.0028765911173581696,0.00321346110587465,0.48717740671172866,0.012317503314996531,0.4910644323406166,0.015768655074607493,0.9794977801727442,0.0014782689428459574,-0.0025999170998908944,0.002533481766813812,0.8482820749198363,0.024072308307173183,0.1008568660039786,0.017763939370359465,93.0,0.0,0.9029000517961971,0.01040692612607504,0.5062456056482769,0.01128160206590495
forward_ab_to_c_condition,no_topology_baseline,12,0,12 nodes with no coupling edges,132,0.07341974403053686,9.691406212030866,0.02275931961029616,0.0029318874753782747,0.011325631259507314,0.00776652542682835,0.015384615384615385,0.027905803813146536,0.004008784828054114,0.7247097275858632,0.01230811336296173,0.653665956717968,0.015495815284622716,0.9951154866838892,0.0008975464880383456,0.02275931961029616,0.0029318874753782747,0.8841384714843692,0.025276057196478345,0.09672193851142755,0.018630616371049225,97.0,0.0,0.8215579538829713,0.01904207751472362,0.7309895921010956,0.0120690773767079
