label,idx_in_session,phase,strength,C_memory_scalar,O1_lag0_AB_raw,O2_lag5_AB_raw,ab_receiver_side,ba_receiver_side,ab_sender_side,ba_sender_side,ab_standpoint_polarity,ba_standpoint_polarity,ab_inverted_standpoint_polarity,ba_inverted_standpoint_polarity,ab_standpoint_magnitude,ba_standpoint_magnitude,ab_inverted_standpoint_magnitude,ba_inverted_standpoint_magnitude,scalar_c,directed_c,receiver_only_c,magnitude_only_c,receiver_magnitude_c,standpoint_inversion_c,receiver_standpoint_magnitude_c,endpoint_o1o2_reference,endpoint_abs_relation,endpoint_lag_gap_relation,endpoint_product_relation,receiver_only_relation,standpoint_only_relation,receiver_standpoint_relation,forward_ab_to_c_condition,reverse_c_to_ab_condition,self_consistent_min_condition,self_consistent_product_condition,self_consistent_rstar_condition
P1,164.0,-0.0573392610796283,0.2010361028147415,0.0442586439052194,0.07293565516633567,0.20236193097545083,0.1284130455888333,0.0997469137775881,0.0997469137775881,0.1284130455888333,0.028666131811245193,-0.028666131811245193,-0.028666131811245193,0.028666131811245193,0.028666131811245193,0.028666131811245193,0.028666131811245193,0.028666131811245193,-2.1023064742347284,-0.08462549670264974,-0.6437467965280292,-0.8966977027512917,-0.8894080983320347,-0.8966977027512917,-0.9223461457922928,-0.5435522236207615,-0.5435522236207615,0.1829553319652106,-0.5609486795033748,-0.6437467965280292,-0.8966977027512917,-0.8894080983320347,-0.8386069822320232,-0.9451552585478209,-0.9112946853252951,-0.01863738800442419,-0.9223461457922928
P1,169.0,0.0180158452959741,0.0650695789350374,0.5192965213439015,0.20236193097545083,0.08778039040283125,0.1273438436463136,0.0612595932785826,0.0612595932785826,0.1273438436463136,0.066084250367731,-0.066084250367731,-0.066084250367731,0.066084250367731,0.066084250367731,0.066084250367731,0.066084250367731,0.066084250367731,-0.4859404751215242,0.13053741788552195,-0.8631104618189768,-0.5802545156570251,-0.8331387180980019,-0.5802545156570251,-0.7298771443730596,-0.47964119763930274,-0.47964119763930274,0.028257442249229086,-0.5108087962251833,-0.8631104618189768,-0.5802545156570251,-0.8331387180980019,-0.6152174815418954,-0.8141306592422444,-0.7506195484344419,-0.11314652976305274,-0.7298771443730596
P1,192.0,-0.1039464023075152,0.4353913783545702,0.8262486426392762,0.0442057846218438,0.1494265864324725,0.2001773607502687,0.0115635558964982,0.0115635558964982,0.2001773607502687,0.1886138048537705,-0.1886138048537705,-0.1886138048537705,0.1886138048537705,0.1886138048537705,0.1886138048537705,0.1886138048537705,0.1886138048537705,0.5584961809460932,0.83511095293935,-0.7347998307495375,0.4559718963222635,-0.15814798416461026,0.4559718963222635,0.15379645334379533,-0.8951454046432915,-0.8951454046432915,-0.06929138631475071,-0.6970450022608009,-0.7347998307495375,0.4559718963222635,-0.15814798416461026,0.3474601541812768,-0.10991797400500172,0.1129546979319317,-0.28777098479782276,0.15379645334379533
P1,218.0,0.0826799849791917,0.2549827791504009,0.6417972382884388,0.40005176420312044,0.09739888635311937,0.2674352794471196,0.1179616176781164,0.1179616176781164,0.2674352794471196,0.14947366176900317,-0.14947366176900317,-0.14947366176900317,0.14947366176900317,0.14947366176900317,0.14947366176900317,0.14947366176900317,0.14947366176900317,-0.06911898963545464,0.610045995416068,0.22822244790912752,0.12496563254199797,0.20818210064195591,0.12496563254199797,0.17203769647648315,0.4128831755601634,0.4128831755601634,1.988160298673758,-0.1569400359960341,0.22822244790912752,0.12496563254199797,0.20818210064195591,0.3140810010072828,-0.00856363868701777,0.23724526465000453,-0.2762702248829074,0.17203769647648315
P1,255.0,-0.0880840255914333,0.1203257521566732,0.556174037045276,0.31869943104692583,0.3353612093010536,0.1433340571933747,0.0787266062337528,0.0787266062337528,0.1433340571933747,0.06460745095962189,-0.06460745095962189,-0.06460745095962189,0.06460745095962189,0.06460745095962189,0.06460745095962189,0.06460745095962189,0.06460745095962189,-0.36046087582544645,0.12204547662366595,-0.6775709001234745,-0.5927437355705145,-0.7328350155201376,-0.5927437355705145,-0.6845296909461102,1.087136031342232,1.087136031342232,-0.9921703626819138,0.9766255883327878,-0.6775709001234745,-0.5927437355705145,-0.7328350155201376,-0.5757385618769897,-0.7618150897767867,-0.6864650970570997,-0.13331556164065198,-0.6845296909461102
P1,258.0,0.0888877372190644,0.1064474021733435,0.2392835374281726,0.256088409741124,0.1715820627423473,0.0203625038848731,0.0891874590915063,0.0891874590915063,0.0203625038848731,-0.0688249552066332,0.0688249552066332,0.0688249552066332,-0.0688249552066332,0.0688249552066332,0.0688249552066332,0.0688249552066332,0.0688249552066332,-1.4387139022679496,-0.6452220001711511,-1.3015074373105473,-0.5570765097186008,-1.0738085694133435,-0.5570765097186008,-0.8421900685027396,0.11245863428337777,0.11245863428337777,-0.2851579811013245,-0.07389266819462328,-1.3015074373105473,-0.5570765097186008,-1.0738085694133435,-0.9225908041794932,-0.6937023950177102,-0.8836239516331971,-0.06807441207733067,-0.8421900685027396
P1,265.0,-0.2368600353189663,0.2375247073508758,0.1589269935302611,0.046943515070722225,0.2931914925352612,0.0598542825782258,0.0905529465071063,0.0905529465071063,0.0598542825782258,-0.030698663928880494,0.030698663928880494,0.030698663928880494,-0.030698663928880494,0.030698663928880494,0.030698663928880494,0.030698663928880494,0.030698663928880494,-1.7121354367004273,-0.42598692715765374,-1.0749304003458717,-0.8795086786638022,-1.1293682669541198,-0.8795086786638022,-1.0373853032882248,-0.26440772816478736,-0.26440772816478736,1.4003613975644222,-0.5775722488338094,-1.0749304003458717,-0.8795086786638022,-1.1293682669541198,-1.0339139392459733,-0.9636430850820372,-1.0201392324333296,0.04735307130309399,-1.0373853032882248
P1,271.0,0.6024508604545811,0.6809908275966515,0.46795069330351696,0.3160023607691493,0.3067772962735454,0.1200275231097471,0.0660286472381451,0.0660286472381451,0.1200275231097471,0.053998875871602,-0.053998875871602,-0.053998875871602,0.053998875871602,0.053998875871602,0.053998875871602,0.053998875871602,0.053998875871602,-0.6606500184705253,0.06104369396802293,-0.8772365198826184,-0.6824599329873933,-0.9005669449839296,-0.6824599329873933,-0.8174760636782337,0.9524620405367497,0.9524620405367497,-1.0696688095411815,0.8107659585662785,-0.8772365198826184,-0.6824599329873933,-0.9005669449839296,-0.7105701105852941,-0.8840667001016077,-0.8363819396055496,-0.07190084961004001,-0.8174760636782337
P1,281.0,-0.340746648108966,0.3679653769559474,0.9407123996011326,0.30750052662776833,0.2103402155924952,0.1891177462862826,0.0168068696887764,0.0168068696887764,0.1891177462862826,0.1723108765975062,-0.1723108765975062,-0.1723108765975062,0.1723108765975062,0.1723108765975062,0.1723108765975062,0.1723108765975062,0.1723108765975062,0.947971070572729,0.7413653105804382,-0.7670545628399567,0.31809883440992887,-0.2567577151489965,0.31809883440992887,0.031676592111503366,0.5006686198502013,0.5006686198502013,-0.1532902514448646,0.2722709054230178,-0.7670545628399567,0.31809883440992887,-0.2567577151489965,0.21522754192698781,-0.2085499699452883,-0.007997470847943625,-0.28993932225425434,0.031676592111503366
P1,300.0,0.0174722693669905,0.0644634950617862,0.4493760710840136,0.3084527809228978,0.08625472635744566,0.1863644401155884,0.0511564260891198,0.0511564260891198,0.1863644401155884,0.1352080140264686,-0.1352080140264686,-0.1352080140264686,0.1352080140264686,0.1352080140264686,0.1352080140264686,0.1352080140264686,0.1352080140264686,-0.7238521108254728,0.5280151914851238,-0.5918351847949905,0.004321751669230269,-0.33706874290286865,0.004321751669230269,-0.1718307530842682,-0.02945679175559536,-0.02945679175559536,1.1497356867619777,-0.3632253951388052,-0.5918351847949905,0.004321751669230269,-0.33706874290286865,-0.017828314782322326,-0.35221693517292296,-0.18417590930137984,-0.27336474605547834,-0.1718307530842682
