heldout_label,c12_mean,effect_vs_no_topology,effect_vs_reversed,effect_vs_side_broken,effect_vs_shuffled,effect_vs_c10,effect_vs_c11,effect_vs_c13,effect_vs_c14,n_positive_specificity_controls,min_specificity_margin,is_registered_survivor,is_strict_survivor,is_collapsed,survival_group,side_correspondence_margin,ring_orientation_margin,twelvefold_neighbor_margin,event_count,mean_abs_rstar,q75_abs_rstar,mean_receiver_asymmetry,mean_receiver_total,mean_standpoint_separation,mean_magnitude_balance,mean_magnitude_total,selected_b74b_event_count,selected_b74b_mean_strength,selected_b74b_phase_coverage,selected_b74b_phase_concentration,b74c_n_thresholds,b74c_mean_c12,b74c_mean_positive_controls,b74c_max_positive_controls,b74c_mean_min_margin,b74c_best_min_margin,b74c_mean_side_margin,b74c_mean_orientation_margin,b74c_mean_neighbor_margin
P19,0.0036521235857726,0.0014599893847192,0.0030274850538927,0.0108294408741764,0.005754335632555,0.0064415601282767,-0.0019623080956329,0.0011751430582107,-0.0030851272208064,6,-0.0030851272208064,False,False,False,intermediate,0.0082918882533657,0.0030274850538927,0.0006423169675120251,20,0.6880390507080871,1.0593429005179096,0.04169044165245499,0.30169249131917886,0.26215085931679977,-0.0,0.26215085931679977,5,1.1296572661963287,0.16666666666666666,0.9814543753524463,5,0.0029917836622987753,5.0,8.0,-0.005768061769262874,0.0018682798346369,0.0013578897958025622,0.009683993180091449,0.005249537275559643
P2,-0.0033403575968004,-0.0035893872729905,-0.0024991428611833,-0.0107227375767811,-0.0117555932685238,-0.0060669180844077,-0.0104106903463269,-0.0046060577655368,0.0028554099094078,1,-0.0117555932685238,False,False,True,collapsed_or_weak,-0.01123916542265245,-0.0024991428611833,-0.0045570640717159,21,0.7225626311392238,1.0472745121552642,0.11335175162074462,0.33692385363520244,0.3573372936860649,-0.0,0.3573372936860649,8,1.1887574007124608,0.16666666666666666,0.9946684520290686,5,-0.0010302248294647748,2.0,4.0,-0.009852654064922275,-0.0077087178163853,-0.002753659828104075,-1.0926475799975018e-05,-0.00187443337903215
P20,0.0003082164051788,0.0031437047352392,0.0043066355115738,0.0003039697802871,-0.0020372637369871,-0.0006834772028636,0.0007859289334516,0.000561763999243,0.0014785720689563,6,-0.0020372637369871,False,False,False,intermediate,-0.00086664697835,0.0043066355115738,0.000535696949696825,20,0.8746762144450028,1.12029474160395,0.03969454682599248,0.3799944948817849,0.3427407146665842,-0.0,0.3427407146665842,9,1.2548450048704396,0.16666666666666666,0.993639684334763,5,-0.00183241292097194,3.2,7.0,-0.00705418463058108,-0.0030586231767628,-0.0026859333849591697,-1.9754743686439814e-05,-0.0011346482388679086
P21,0.005071639629572,0.0104312601059054,0.0071059228852614,0.0043755778150367,0.0082814847502906,0.0042036395707809,-0.0002232997982367,0.0029058080572053,0.0046246825452632,7,-0.0002232997982367,True,True,False,registered_survivor,0.0063285312826636495,0.0071059228852614,0.0028777075937531753,16,0.543893059737055,0.7712971725937917,-0.04388447200829716,0.4837439478429669,0.3016201652766181,-0.0,0.3016201652766181,6,1.036155264834093,0.16666666666666666,0.9984573130757551,5,-0.00276408068897898,3.0,8.0,-0.0118799642939782,0.0013458848691466,-0.0040627446455966006,-0.0077816379746112,-0.002642911552251305
P22,0.0007535660483222,-0.0052509982733732,-0.0042666067717092,0.0100013566897971,-0.0093008341993649,0.0040750053407919,-0.0249227331325231,0.0262448691440559,0.007126681199293,4,-0.0249227331325231,False,False,False,intermediate,0.0003502612452161002,-0.0042666067717092,0.0031309556379044254,16,0.6823168132329613,0.9664287599685943,0.1124638295388526,0.32670265097607515,0.27910825639853754,-0.0,0.27910825639853754,3,1.384930841456109,0.16666666666666666,0.9984636139327063,5,-0.003817614711652867,1.2,2.0,-0.0114826152476984,-0.0058671942700889,-0.005530184073634567,0.0012065511403450667,-0.003991593998068967
P23,-0.0052539799464568,-0.0067028863669484,0.0019159286423452,-0.0087968811636092,-0.0120411908405216,-0.0096657975157412,-0.0047446149472758,-0.005851447711586,-0.0008798953416262,1,-0.0120411908405216,False,False,True,collapsed_or_weak,-0.0104190360020654,0.0019159286423452,-0.005285438879057301,14,0.7802091203543339,1.0141630941623805,-0.009497524512451162,0.39964490632569477,0.3009686951146744,-0.0,0.3009686951146744,6,1.1322642086017154,0.16666666666666666,0.9907085155842258,5,0.0016710491200061749,3.0,6.0,-0.00738190374337865,-0.0048577157381519,0.0005286601180794251,0.0031905417162484753,0.0032471502520433947
P24,0.0015234985164571,0.0066498010903606,0.0086465261647521,0.0039743401150851,0.0029522387481495,-0.0014802214634953,0.0025366787651991,-0.0003460606259333,0.0028539152838165,6,-0.0014802214634953,False,False,False,intermediate,0.0034632894316173,0.0086465261647521,0.00089107798989675,22,0.6751846661837555,0.7906678763281074,0.006662853915420019,0.38379268425573865,0.2790312271387681,-0.0,0.2790312271387681,5,1.3271164544067489,0.16666666666666666,0.9900934497337487,5,0.002666627010731725,4.6,7.0,-0.005719279051863275,-0.0018812814057227,-0.0003003495656200626,0.0037589656716073743,0.003581426414405038
P25,3.062847327025183e-05,-0.0041965044913364,-0.0037343887042492,0.0048546054101095,-0.0017244460472642,-0.0006852148111403,0.0061990488200083,0.0011937605454825,0.0034443776047215,4,-0.0041965044913364,False,False,False,intermediate,0.00156507968142265,-0.0037343887042492,0.002537993039768,18,0.9595292679987026,1.0688227839407718,0.05764346567166615,0.39010693990404854,0.346344576617415,-0.0,0.346344576617415,5,2.2736106181924014,0.16666666666666666,0.9836811055798331,5,-0.00018860974514256008,5.0,7.0,-0.01283715238405174,-0.0074400923204895,0.0019493419714842297,0.00024369613725343952,0.0012546664011167147
P26,-0.0017624533338245,-0.0011088459489089,0.0031933145338668,-0.0059244649456597,-0.0013693199451983,-0.0068577798153102,-0.0043083643722338,-0.0127249316659253,-0.0092824278135097,1,-0.0127249316659253,False,False,True,collapsed_or_weak,-0.0036468924454289998,0.0031933145338668,-0.00829337591674475,19,0.6239414950910743,0.8488068482275712,0.041225349271732575,0.3817076598327657,0.23924916807307797,-0.0,0.23924916807307797,4,1.145910683856207,0.16666666666666666,0.98478945210773,5,0.00321664980949545,4.2,7.0,-0.0089015234880811,-0.0054837213780222,0.003300346819718175,0.01117934287027515,0.00140966851804015
P3,-0.0004091025639945,0.0062810609582671,-0.0053740614637849,0.0027728291363772,-0.0002079290497736,-0.0010713061546963,-0.0047136028734826,-0.0091118524857131,0.015498564360084,3,-0.0091118524857131,False,False,True,collapsed_or_weak,0.0012824500433018,-0.0053740614637849,0.0001504507115480001,22,0.7272786840139687,1.1290928164299634,0.07776509874533329,0.3699133751958828,0.28239904141823813,-0.0,0.28239904141823813,4,1.906862939361344,0.16666666666666666,0.9929470501132567,5,0.00531694126685354,5.4,8.0,-0.00463793826586942,0.0005484247794562,0.006454796677734839,0.00506198101243606,0.0037059912615530705
P4,-0.000183755113775,-0.0033715555119445,-0.0001915868960805,-0.001957578516177,-0.0048956399968837,-0.0006213377178131,0.0032383930294819,-0.0007885140815199,-0.0042088550712191,1,-0.0048956399968837,False,False,True,collapsed_or_weak,-0.00342660925653035,-0.0001915868960805,-0.00059507846026755,19,0.6635017644004326,1.062365107897063,0.025205146805617244,0.2934300321183022,0.28795599399465094,-0.0,0.28795599399465094,6,0.9690488366427833,0.16666666666666666,0.9921365229615707,5,0.0005790646835847,4.0,8.0,-0.007580909362722425,0.0012572721905592,-0.0002679917893880876,0.001456937058366925,0.0014665317193177955
P5,0.0059595702135824,0.005945373264253,0.0084722136842863,0.0055457779365199,0.004704754815851,0.0035180684448476,0.001738633300848,0.0006866987598247,0.0082801627310572,8,0.0006866987598247,True,True,False,registered_survivor,0.00512526637618545,0.0084722136842863,0.0035558908091443747,22,0.6692972177594801,0.9281343731616338,0.06734652395132165,0.35516487670327723,0.2859812303939701,-0.0,0.2859812303939701,9,0.900986087517943,0.16666666666666666,0.9959152880288359,5,0.003398016837456625,4.2,7.0,-0.004663226156734025,-0.0039232806481049,0.00549401262268505,0.0015319169087372247,0.0030327313150546693
P6,-0.0107753867137796,-0.0035711071843528,-0.0158786394667812,-0.009318247922749,-0.0081677075617138,-0.0224419874152194,-0.0101638960857042,0.0020350292507943,-0.008991043417718,1,-0.0224419874152194,False,False,True,collapsed_or_weak,-0.0087429777422314,-0.0158786394667812,-0.009890474416961824,15,0.5271628998944546,0.8214782516081114,-0.010428838110500653,0.417761971113352,0.24873892211454132,-0.0,0.24873892211454132,5,0.7592850951206731,0.16666666666666666,0.9980609389388473,5,-0.002080444427611825,2.4,5.0,-0.00744290502068555,-0.0054344180345289,-0.0011642539260032377,-0.003550801447128525,-0.00013292828974416273
P7,-0.0031171280312822,0.0156428732229005,0.0016838272445141,-0.009396842906857,0.0017627182363782,-0.0213640148364751,-0.0133500219090872,-0.0007986240380171,0.0030438254220079,4,-0.0213640148364751,False,False,True,collapsed_or_weak,-0.0038170623352394,0.0016838272445141,-0.008117208840392876,20,0.4887756827033642,0.5904502592826164,-0.021166568910758955,0.3507715692689095,0.21193282342660588,-0.0,0.21193282342660588,3,0.8835837092610652,0.16666666666666666,0.9768634299367274,4,-0.003702276698098967,2.25,5.0,-0.0157809905819076,-0.0053398953670996,0.001637555816062888,0.0009409042489497999,-0.007498478912510158
P8,,,,,,,,,,0,,False,False,True,collapsed_or_weak,,,,18,0.9331345885119346,1.1811994595346633,0.030177105486907458,0.23570597269158983,0.25620896627756334,-0.0,0.25620896627756334,2,2.9262771559308662,0.16666666666666666,0.9980096350665506,5,0.011088955469362349,3.0,8.0,0.0031194951327608005,0.0092115209272603,0.012691350907149193,0.00772997631548265,0.011304872095438389
P9,,,,,,,,,,0,,False,False,True,collapsed_or_weak,,,,17,0.43059102942227634,0.563946219039363,0.07989812026898478,0.36354954088378144,0.24196639699925337,-0.0,0.24196639699925337,1,1.5285522165810592,0.08333333333333333,0.9999999999999999,5,-0.008457505639271999,1.0,5.0,-0.016759665180064498,-0.0047133421848899,-0.010009752261833475,-0.009878537982989601,-0.005501018884466401
