label,idx_in_session,phase,strength,selected_operator,selection_reason,A_B,A_C,B_C,TFC_min,TFC_mean,abs_dphi,C_memory_scalar,O1_lag0_AB_raw,O2_lag5_AB_raw,O3_A_C_boundary_raw,O4_B_C_boundary_raw,O5_full_TFC_raw,O6_phase_only_raw,O1_lag0_AB_z,O2_lag5_AB_z,O3_A_C_boundary_z,O4_B_C_boundary_z,O5_full_TFC_z,O6_phase_only_z,oracle_operator,oracle_reward_z,selected_reward_z,selected_matches_oracle,shuffled_selected_operator,random_operator,shuffled_selected_reward_z,random_reward_z,fixed_O1_lag0_AB_reward_z,fixed_O2_lag5_AB_reward_z,fixed_O3_A_C_boundary_reward_z,fixed_O4_B_C_boundary_reward_z,fixed_O5_full_TFC_reward_z,fixed_O6_phase_only_reward_z
P14,301.0,0.0970135594622134,0.2512079188603134,O1_lag0_AB,default immediate AB readout,0.0596276389384015,0.1139545431741379,0.1250530254266278,0.0596276389384015,0.0995450691797224,0.1153198161621877,0.3943991600589669,0.05962763893840157,0.1644627435997762,0.1878394033914903,0.1276329778945953,0.1276329778945953,0.0810397525581848,-1.0622567942770542,-0.24139357859350025,0.4206327190613597,-0.44269511300972436,0.35461547635836566,-0.10194803202796636,O3_A_C_boundary,0.4206327190613597,-1.0622567942770542,False,O2_lag5_AB,O3_A_C_boundary,-0.24139357859350025,0.4206327190613597,-1.0622567942770542,-0.24139357859350025,0.4206327190613597,-0.44269511300972436,0.35461547635836566,-0.10194803202796636
P14,308.0,-0.05848228908004,0.2341846393754017,O5_full_TFC,full triadic projection is already active,0.218352485559355,0.2122782419504716,0.1495125263108764,0.1495125263108764,0.193381084606901,0.0643123006459126,0.7453189926488337,0.21835248555935505,0.3032233470121462,0.2006237308373245,0.1678302340238352,0.1678302340238352,0.0725383147505194,0.10658758148202073,0.7575471347558812,0.5428419178644102,0.05924031792537262,0.8355332000758218,-0.2043911603263646,O5_full_TFC,0.8355332000758218,0.8355332000758218,True,O4_B_C_boundary,O5_full_TFC,0.05924031792537262,0.8355332000758218,0.10658758148202073,0.7575471347558812,0.5428419178644102,0.05924031792537262,0.8355332000758218,-0.2043911603263646
P14,320.0,0.5273491264238753,0.57510082650193,O4_B_C_boundary,B-side boundary projection dominates current C-state,0.1083729043573929,0.0621419848950704,0.2600411542907974,0.0621419848950704,0.1435186811810869,0.2674131465493763,1.7333358416934508,0.10837290435739294,0.12247849027348896,0.086194218260772,0.0175718371054556,0.0175718371054556,0.0935549462174545,-0.7032983164910693,-0.5436391651348437,-0.5510239198696597,-1.8170074778534642,-0.9621498552822041,0.04886123326594119,O6_phase_only,0.04886123326594119,-1.8170074778534642,False,O1_lag0_AB,O1_lag0_AB,-0.7032983164910693,-0.7032983164910693,-0.7032983164910693,-0.5436391651348437,-0.5510239198696597,-1.8170074778534642,-0.9621498552822041,0.04886123326594119
P14,336.0,-0.071057885718279,0.1735969988942789,O2_lag5_AB,current AB is active; read short-lag future AB,0.2407703259762713,0.0836798029884239,0.0196735202247165,0.0196735202247165,0.1147078830631373,0.131225963018413,0.276829964861099,0.24077032597627138,0.3483686243343362,,,0.3483686243343362,0.2211817248741038,0.27167179637215527,1.0825490043323855,,,2.9954844025307317,1.5867759667532195,O5_full_TFC,2.9954844025307317,1.0825490043323855,False,O5_full_TFC,O4_B_C_boundary,2.9954844025307317,,0.27167179637215527,1.0825490043323855,,,2.9954844025307317,1.5867759667532195
P14,340.0,0.1099387941972091,0.1480919780062224,O5_full_TFC,full triadic projection is already active,0.3448430696660145,0.143612956886566,0.1427009050585604,0.1427009050585604,0.2103856438703803,0.1567381517866924,0.9687826803252678,0.3448430696660145,0.32163272276128807,,,0.321632722761288,0.0883216453183277,1.0380599436675109,0.8900766459494394,,,2.6756175717026593,-0.0142005367031311,O5_full_TFC,2.6756175717026593,2.6756175717026593,True,O2_lag5_AB,O3_A_C_boundary,0.8900766459494394,,1.0380599436675109,0.8900766459494394,,,2.6756175717026593,-0.0142005367031311
P14,392.0,-0.3365616263018383,0.6283140356147614,O4_B_C_boundary,B-side boundary projection dominates current C-state,0.2832735497051122,0.0992681282159321,0.2,0.0992681282159321,0.1941805593070148,0.0749813393774871,1.1359651573482463,0.2832735497051122,0.17257099069405812,,,0.1725709906940581,0.0402078507660967,0.5846640913070743,-0.1830221249013856,,,0.892251347683004,-0.593976304020133,O5_full_TFC,0.892251347683004,,False,O5_full_TFC,O5_full_TFC,0.892251347683004,0.892251347683004,0.5846640913070743,-0.1830221249013856,,,0.892251347683004,-0.593976304020133
P15,10.0,-0.0626818956465119,0.1011172654331781,O3_A_C_boundary,A-side boundary projection dominates current C-state,0.1023772579757742,0.3340133897771059,0.1183674790844035,0.1023772579757742,0.1849193756124278,0.1033620251175931,0.1194218170521201,0.10237725797577422,0.2556386687998445,0.262456201506656,0.22316747420792,0.22316747420792,0.1038068507729366,-0.7474500526646177,0.4149839631571337,1.1339169456692115,0.7502258272162221,1.497584846102921,0.17239765115671613,O5_full_TFC,1.497584846102921,1.1339169456692115,False,O4_B_C_boundary,O2_lag5_AB,0.7502258272162221,0.4149839631571337,-0.7474500526646177,0.4149839631571337,1.1339169456692115,0.7502258272162221,1.497584846102921,0.17239765115671613
P15,16.0,0.0991107292536854,0.1736396354432296,O5_full_TFC,full triadic projection is already active,0.1354963671701406,0.271099131198605,0.2072508420929441,0.1354963671701406,0.2046154468205633,0.100359216540378,0.8046021983888269,0.13549636717014066,0.0032215445351708744,0.1815801902412053,0.1670555660207683,0.0032215445351708,0.0886352870896134,-0.5035620582132464,-1.4021726070345628,0.3607990338342887,0.04956718708527577,-1.1338359528454853,-0.010421123744703494,O3_A_C_boundary,0.3607990338342887,-1.1338359528454853,False,O4_B_C_boundary,O3_A_C_boundary,0.04956718708527577,0.3607990338342887,-0.5035620582132464,-1.4021726070345628,0.3607990338342887,0.04956718708527577,-1.1338359528454853,-0.010421123744703494
P15,43.0,-0.1587844849372812,0.4377978043252641,O5_full_TFC,full triadic projection is already active,0.1943875001480986,0.1692108372945973,0.3184748824721931,0.1692108372945973,0.2273577399716296,0.061020177884255,0.9177120314527271,0.19438750014809866,0.4941148216121179,,,0.4941148216121179,0.0221249078095436,-0.06988975656189894,2.131779165460727,,,4.739183753798652,-0.8118774740599217,O5_full_TFC,4.739183753798652,4.739183753798652,True,O3_A_C_boundary,O1_lag0_AB,,-0.06988975656189894,-0.06988975656189894,2.131779165460727,,,4.739183753798652,-0.8118774740599217
P15,83.0,0.0800340077500219,0.1152353637360787,O4_B_C_boundary,B-side boundary projection dominates current C-state,0.2418404471041247,0.1233130047285193,0.3339242867443994,0.1233130047285193,0.2330259128590145,0.4186755788515948,1.4699826550906427,0.24184044710412475,0.10103270948627037,0.0372043484431018,0.0205424651492594,0.0205424651492594,0.0435344201135949,0.2795521319862724,-0.6980278246757174,-1.019332696005874,-1.7799138149795466,-0.9266094275414618,-0.5538908292840823,O1_lag0_AB,0.2795521319862724,-1.7799138149795466,False,O4_B_C_boundary,O5_full_TFC,-1.7799138149795466,-0.9266094275414618,0.2795521319862724,-0.6980278246757174,-1.019332696005874,-1.7799138149795466,-0.9266094275414618,-0.5538908292840823
