mode,endpoint,direction,metric,comparison,mean_true,mean_control,effect,p_greater,n_pairs
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,access_readout,true_vs_balanced_intersection,0.04911219082730332,0.009107774549330688,0.04000441627797263,0.0013997200559888023,502
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,access_readout,true_vs_performance_matched_intersection,0.04911219082730332,-0.021386494432923203,0.07049868526022653,0.0001999600079984003,502
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,access_readout,true_vs_shuffled_c_intersection,0.04911219082730332,0.005141550837557872,0.04397063998974546,0.010997800439912017,502
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,access_readout,true_vs_phase_rotated_intersection,0.04911219082730332,0.00012936337522485348,0.04898282745207847,0.0003999200159968006,502
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,intersection_access_effect,true_vs_random_intersection,-0.6773435025893484,-0.6982817083010129,0.020938205711664597,0.1375724855028994,502
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,intersection_access_effect,true_vs_balanced_intersection,-0.6773435025893484,-0.7173479188673209,0.040004416277972625,0.0005998800239952009,502
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,intersection_access_effect,true_vs_performance_matched_intersection,-0.6773435025893484,-0.7478421878495748,0.07049868526022654,0.0001999600079984003,502
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,intersection_access_effect,true_vs_shuffled_c_intersection,-0.6773435025893484,-0.7213141425790937,0.04397063998974546,0.008998200359928014,502
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,intersection_access_effect,true_vs_phase_rotated_intersection,-0.6773435025893484,-0.7263263300414269,0.04898282745207848,0.0005998800239952009,502
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,opposite_access_effect,true_vs_random_intersection,0.026188650315935157,0.009909024819734873,0.016279625496200278,0.23375324935012998,410
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,opposite_access_effect,true_vs_balanced_intersection,0.026188650315935157,-0.016700397668500174,0.042889047984435325,0.0015996800639872025,410
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,opposite_access_effect,true_vs_performance_matched_intersection,0.026188650315935157,-0.052548900737574185,0.07873755105350934,0.0001999600079984003,410
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,opposite_access_effect,true_vs_shuffled_c_intersection,0.026188650315935157,-0.029910876785746134,0.05609952710168129,0.001999600079984003,410
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,opposite_access_effect,true_vs_phase_rotated_intersection,0.026188650315935157,-0.031193591189318613,0.05738224150525376,0.0007998400319936012,410
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,own_access_effect,true_vs_random_intersection,0.021187133057910073,0.002882082917727599,0.018305050140182477,0.20495900819836033,406
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,own_access_effect,true_vs_balanced_intersection,0.021187133057910073,-0.02284473651692128,0.044031869574831344,0.0011997600479904018,406
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,own_access_effect,true_vs_performance_matched_intersection,0.021187133057910073,-0.05912876061284807,0.08031589367075814,0.0001999600079984003,406
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,own_access_effect,true_vs_shuffled_c_intersection,0.021187133057910073,-0.036252328014136914,0.05743946107204699,0.002999400119976005,406
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,own_access_effect,true_vs_phase_rotated_intersection,0.021187133057910073,-0.038143968371290665,0.059331101429200755,0.0009998000399920016,406
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,access_readout,true_vs_random_intersection,0.01268904633320681,0.0067168709617735555,0.005972175371433255,0.20975804839032194,502
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,access_readout,true_vs_balanced_intersection,0.01268904633320681,0.00771518848756674,0.004973857845640071,0.1187762447510498,502
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,access_readout,true_vs_performance_matched_intersection,0.01268904633320681,0.008303956583511185,0.004385089749695645,0.22195560887822435,502
