topology_class,topology_name,topology_role,n_nodes,n_directed_edges,edge_convention,event_class,condition,n_seed_events,mean_seed_strength,total_impulse_budget,primary_endpoint_name,primary_p_value,effect_vs_time_shifted,effect_vs_random_event,primary_candidate_pre_fdr,notes,D12_D24_recovery_improvement,D12_D24_recovery_improvement_sd,D12_recovery,D12_recovery_sd,D24_recovery,D24_recovery_sd,bounded_non_runaway_score,bounded_non_runaway_score_sd,differentiated_recovery,differentiated_recovery_sd,late_window_stability,late_window_stability_sd,mean_phase_locking,mean_phase_locking_sd,n_events_evaluated,n_events_evaluated_sd,non_collapsed_differentiation_score,non_collapsed_differentiation_score_sd,post_event_readout_score,post_event_readout_score_sd,primary_q_value,interpretation
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,eps72_restoration_onset,endogenous,147,0.1174504040771272,17.2652093993377,differentiated_recovery,0.14906832298136646,0.0013584086948023395,0.008153469876865665,False,primary Luke/D12RG normalized readout candidate,0.0056048457667237355,0.0044492922825569575,0.5324532494700829,0.005435735642646509,0.4958454537925053,0.0035089138469773114,0.9535098131524571,0.0014235914574021928,0.0038555460010652547,0.003449170560969703,0.5585329790109969,0.060661102810847675,0.32905482355383386,0.0027601140038144073,25.0,0.0,0.8157764704103776,0.0025859825801388577,0.5608579112792482,0.005203357105521097,0.8589174800354924,negative_or_inconclusive_for_primary_B3_event_conditioned_recovery
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,eps72_restoration_onset,time_shifted,147,0.1174504040771272,17.2652093993377,differentiated_recovery,,,,False,primary Luke/D12RG normalized readout candidate,0.0036288961498874965,0.0038866491119542252,0.5656668542653875,0.009380742174461507,0.4923658119872873,0.006615943927136037,0.9528513776192591,0.0016649793718870021,0.002497137306262915,0.0027569704298943147,0.3237525599331291,0.01317372740665803,0.3520196201863447,0.01330923654875049,27.0,0.0,0.792106460163393,0.007636523765043843,0.5701117289895088,0.006896282485681454,,control_or_reference_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,eps72_restoration_onset,random_event,147,0.1174504040771272,17.2652093993377,differentiated_recovery,,,,False,primary Luke/D12RG normalized readout candidate,-0.004544192854673698,0.002471775129375275,0.5139149953802343,0.0061558802805947175,0.4920513003578545,0.0038631908100900747,0.9524496883265702,0.0012796884466795052,-0.00429792387580041,0.0016648215547862165,0.4597980994289184,0.019887775685887146,0.33463222240613044,0.006824262330990626,146.0,0.0,0.815121360136551,0.003644800454118331,0.5402621247011284,0.005473929683434553,,control_or_reference_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,eps72_restoration_onset,unseeded,0,,,differentiated_recovery,,,,False,primary Luke/D12RG normalized readout candidate,,,,,,,,,,,0.7746234554018093,0.1278832007468836,0.760849434632793,0.2700800262770239,0.0,0.0,,,,,,control_or_reference_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,eps72_restoration_onset,artificial_seeded,147,,,differentiated_recovery,,,,False,primary Luke/D12RG normalized readout candidate,,,,,,,,,,,0.8653418551338676,0.09722263702084222,0.9956041526391773,0.002146576221304106,0.0,0.0,,,,,,control_or_reference_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,ricci_phase_sync_high_lock_session,endogenous,7,0.13775013979131107,0.9642509785391775,differentiated_recovery,0.5527950310559007,-0.0006133022319087193,-0.0015835800375191777,False,primary Luke/D12RG normalized readout candidate,-0.007304204872987541,0.06330967465065632,0.4989597478179313,0.055803349728314126,0.497291964910109,0.03957551484657643,0.9702431752042088,0.008780772117372049,-0.0016551461304960522,0.02449648958833772,0.7744381455049896,0.10527527930928857,0.7221378566988867,0.2331806468554342,2.0,0.0,0.48553016211482164,0.16988125626805103,0.5377970401265724,0.03831130249576255,0.8589174800354924,negative_or_inconclusive_for_primary_B3_event_conditioned_recovery
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,ricci_phase_sync_high_lock_session,time_shifted,7,0.13775013979131107,0.9642509785391775,differentiated_recovery,,,,False,primary Luke/D12RG normalized readout candidate,-0.0006440248081716994,0.05085037665786706,0.49524445584362303,0.045517991387724076,0.5054065719000942,0.04055556652983312,0.9562435770622836,0.009392027234286357,-0.001041843898587333,0.026900669521227934,0.7379438261498009,0.12632016866153925,0.6039257579508408,0.18244984454819205,4.0,0.0,0.5579690157018142,0.10046609404700978,0.5421192686981797,0.03271190333313482,,control_or_reference_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,ricci_phase_sync_high_lock_session,random_event,7,0.13775013979131107,0.9642509785391775,differentiated_recovery,,,,False,primary Luke/D12RG normalized readout candidate,0.0006258056502315777,0.0263209534098369,0.49857008376591505,0.034503924734592954,0.4944240987444026,0.03096885256104584,0.9529149333307902,0.009268194643966617,-7.156609297687454e-05,0.015236504444471903,0.734093988729545,0.11904296270271393,0.5124187203514461,0.16383554222222985,7.0,0.0,0.5976065881322159,0.07212637575349798,0.5314902342589473,0.02650361249835842,,control_or_reference_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,ricci_phase_sync_high_lock_session,unseeded,0,,,differentiated_recovery,,,,False,primary Luke/D12RG normalized readout candidate,,,,,,,,,,,0.7708600080282645,0.13305492130465074,0.775074471774419,0.2435436674400095,0.0,0.0,,,,,,control_or_reference_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,ricci_phase_sync_high_lock_session,artificial_seeded,7,,,differentiated_recovery,,,,False,primary Luke/D12RG normalized readout candidate,,,,,,,,,,,0.8707869614757044,0.08429640650719622,0.9954059178953797,0.0022249533850925893,0.0,0.0,,,,,,control_or_reference_condition
