source_file,sequence_id,state_column,alternative_ladder_name,primary_ladder_score,alternative_ladder_score,golden_is_better,golden_rank_among_ladders,best_ladder_name,best_ladder_score
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P19,cluster,8-16-32,0.45,0.65625,True,3,3-6-12,0.3055555555555556
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P2,cluster,4-8-16,0.5,0.375,False,3,4-8-16,0.375
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P2,cluster,6-12-24,0.5,0.5833333333333334,True,3,4-8-16,0.375
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P2,cluster,3-6-12,0.5,0.38888888888888884,False,3,4-8-16,0.375
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P2,cluster,7-14-28,0.5,0.6428571428571428,True,3,4-8-16,0.375
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P2,cluster,8-16-32,0.5,0.6875,True,3,4-8-16,0.375
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P20,cluster,4-8-16,0.3166666666666667,0.3125,False,3,3-6-12,0.3055555555555555
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P20,cluster,6-12-24,0.3166666666666667,0.4305555555555555,True,3,3-6-12,0.3055555555555555
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P20,cluster,3-6-12,0.3166666666666667,0.3055555555555555,False,3,3-6-12,0.3055555555555555
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P20,cluster,7-14-28,0.3166666666666667,0.5119047619047619,True,3,3-6-12,0.3055555555555555
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P20,cluster,8-16-32,0.3166666666666667,0.5729166666666666,True,3,3-6-12,0.3055555555555555
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P21,cluster,4-8-16,0.4666666666666666,0.5,True,1,5-10-20,0.4666666666666666
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P21,cluster,6-12-24,0.4666666666666666,0.5555555555555555,True,1,5-10-20,0.4666666666666666
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P21,cluster,3-6-12,0.4666666666666666,0.5555555555555555,True,1,5-10-20,0.4666666666666666
