source_file,condition,loop_type,ring_size,root_k,root_angle,count,expected_count,standardized_residual
backups/mm_fullnb_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,8,4.1887902047863905,17,16.333333333333332,0.16495721976846478
backups/mm_fullnb_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,9,4.71238898038469,22,16.333333333333332,1.4021363680319485
backups/mm_fullnb_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,10,5.235987755982989,19,16.333333333333332,0.6598288790738582
backups/mm_fullnb_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,11,5.759586531581287,20,16.333333333333332,0.9072647087265551
backups/mm_fullnb_reverse/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,0,0.0,21,17.916666666666668,0.7284367886362957
backups/mm_fullnb_reverse/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,1,0.5235987755982988,15,17.916666666666668,-0.6890618270883884
backups/mm_fullnb_reverse/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,2,1.0471975511965976,11,17.916666666666668,-1.6340609042381775
backups/mm_fullnb_reverse/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,3,1.5707963267948966,22,17.916666666666668,0.9646865579237429
backups/mm_fullnb_reverse/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,4,2.0943951023931953,19,17.916666666666668,0.255937250061401
backups/mm_fullnb_reverse/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,5,2.6179938779914944,20,17.916666666666668,0.49218701934884834
backups/mm_fullnb_reverse/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,6,3.141592653589793,13,17.916666666666668,-1.161561365663283
backups/mm_fullnb_reverse/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,7,3.665191429188092,21,17.916666666666668,0.7284367886362957
backups/mm_fullnb_reverse/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,8,4.1887902047863905,17,17.916666666666668,-0.21656228851349366
backups/mm_fullnb_reverse/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,9,4.71238898038469,19,17.916666666666668,0.255937250061401
backups/mm_fullnb_reverse/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,10,5.235987755982989,14,17.916666666666668,-0.9253115963758356
backups/mm_fullnb_reverse/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,11,5.759586531581287,23,17.916666666666668,1.2009363272111904
backups/mm_fullnb_shift1/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,0,0.0,23,16.416666666666668,1.6248128878347106
backups/mm_fullnb_shift1/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,1,0.5235987755982988,18,16.416666666666668,0.39077778315012
backups/mm_fullnb_shift1/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,2,1.0471975511965976,14,16.416666666666668,-0.5964503005975523
backups/mm_fullnb_shift1/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,3,1.5707963267948966,17,16.416666666666668,0.14397076221320193
backups/mm_fullnb_shift1/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,4,2.0943951023931953,14,16.416666666666668,-0.5964503005975523
backups/mm_fullnb_shift1/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,5,2.6179938779914944,12,16.416666666666668,-1.0900643424713885
backups/mm_fullnb_shift1/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,6,3.141592653589793,12,16.416666666666668,-1.0900643424713885
backups/mm_fullnb_shift1/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,7,3.665191429188092,18,16.416666666666668,0.39077778315012
backups/mm_fullnb_shift1/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,8,4.1887902047863905,18,16.416666666666668,0.39077778315012
backups/mm_fullnb_shift1/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,9,4.71238898038469,15,16.416666666666668,-0.3496432796606343
backups/mm_fullnb_shift1/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,10,5.235987755982989,18,16.416666666666668,0.39077778315012
backups/mm_fullnb_shift1/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,11,5.759586531581287,18,16.416666666666668,0.39077778315012
backups/mm_original_state/event_level_with_fes_phase_TRUE_RICCI.csv,other,phi_J_residual_FES_next_phi,12,0,0.0,24,16.666666666666668,1.7962924780409968
backups/mm_original_state/event_level_with_fes_phase_TRUE_RICCI.csv,other,phi_J_residual_FES_next_phi,12,1,0.5235987755982988,17,16.666666666666668,0.0816496580927723
backups/mm_original_state/event_level_with_fes_phase_TRUE_RICCI.csv,other,phi_J_residual_FES_next_phi,12,2,1.0471975511965976,12,16.666666666666668,-1.1430952132988166
backups/mm_original_state/event_level_with_fes_phase_TRUE_RICCI.csv,other,phi_J_residual_FES_next_phi,12,3,1.5707963267948966,16,16.666666666666668,-0.1632993161855455
backups/mm_original_state/event_level_with_fes_phase_TRUE_RICCI.csv,other,phi_J_residual_FES_next_phi,12,4,2.0943951023931953,16,16.666666666666668,-0.1632993161855455
backups/mm_original_state/event_level_with_fes_phase_TRUE_RICCI.csv,other,phi_J_residual_FES_next_phi,12,5,2.6179938779914944,10,16.666666666666668,-1.6329931618554523
backups/mm_original_state/event_level_with_fes_phase_TRUE_RICCI.csv,other,phi_J_residual_FES_next_phi,12,6,3.141592653589793,17,16.666666666666668,0.0816496580927723
backups/mm_original_state/event_level_with_fes_phase_TRUE_RICCI.csv,other,phi_J_residual_FES_next_phi,12,7,3.665191429188092,18,16.666666666666668,0.3265986323710901
backups/mm_original_state/event_level_with_fes_phase_TRUE_RICCI.csv,other,phi_J_residual_FES_next_phi,12,8,4.1887902047863905,12,16.666666666666668,-1.1430952132988166
backups/mm_original_state/event_level_with_fes_phase_TRUE_RICCI.csv,other,phi_J_residual_FES_next_phi,12,9,4.71238898038469,18,16.666666666666668,0.3265986323710901
backups/mm_original_state/event_level_with_fes_phase_TRUE_RICCI.csv,other,phi_J_residual_FES_next_phi,12,10,5.235987755982989,22,16.666666666666668,1.3063945294843613
backups/mm_original_state/event_level_with_fes_phase_TRUE_RICCI.csv,other,phi_J_residual_FES_next_phi,12,11,5.759586531581287,18,16.666666666666668,0.3265986323710901
