anchor_name,event_class,basis,rank,readout_score,n_events,C10_minus_C12,D24_minus_C12,best_basis,best_score
utc_annual_orbital_phase,ricci_phase_sync_high_lock_session,16,4,0.6094019866299147,7,0.14470578407474066,-0.048228143303959414,10,0.778957761781767
utc_annual_orbital_phase,ricci_phase_sync_high_lock_session,24,5,0.5860238344030669,7,0.14470578407474066,-0.048228143303959414,10,0.778957761781767
utc_daily_phase,FES_phase_transition,16,1,0.29406046428413746,192,0.039993374716229296,0.07212975247257822,16,0.29406046428413746
utc_daily_phase,FES_phase_transition,24,2,0.28381040215632114,192,0.039993374716229296,0.07212975247257822,16,0.29406046428413746
utc_daily_phase,FES_phase_transition,8,3,0.25789501093817857,192,0.039993374716229296,0.07212975247257822,16,0.29406046428413746
utc_daily_phase,FES_phase_transition,10,4,0.2516740243999722,192,0.039993374716229296,0.07212975247257822,16,0.29406046428413746
utc_daily_phase,FES_phase_transition,12,5,0.21168064968374292,192,0.039993374716229296,0.07212975247257822,16,0.29406046428413746
utc_daily_phase,eps72_restoration_onset,10,1,0.24235622020736997,147,0.020253015013353914,0.013887010542648098,10,0.24235622020736997
utc_daily_phase,eps72_restoration_onset,24,2,0.23599021573666415,147,0.020253015013353914,0.013887010542648098,10,0.24235622020736997
utc_daily_phase,eps72_restoration_onset,8,3,0.23155488714155942,147,0.020253015013353914,0.013887010542648098,10,0.24235622020736997
utc_daily_phase,eps72_restoration_onset,16,4,0.22851138489170053,147,0.020253015013353914,0.013887010542648098,10,0.24235622020736997
utc_daily_phase,eps72_restoration_onset,12,5,0.22210320519401605,147,0.020253015013353914,0.013887010542648098,10,0.24235622020736997
utc_daily_phase,h_zero_crossing,16,1,0.2514806857510376,1309,0.04701838865928065,0.02756518367664415,16,0.2514806857510376
utc_daily_phase,h_zero_crossing,8,2,0.24425487826981862,1309,0.04701838865928065,0.02756518367664415,16,0.2514806857510376
utc_daily_phase,h_zero_crossing,10,3,0.24362236524836883,1309,0.04701838865928065,0.02756518367664415,16,0.2514806857510376
utc_daily_phase,h_zero_crossing,24,4,0.22416916026573233,1309,0.04701838865928065,0.02756518367664415,16,0.2514806857510376
utc_daily_phase,h_zero_crossing,12,5,0.19660397658908818,1309,0.04701838865928065,0.02756518367664415,16,0.2514806857510376
utc_daily_phase,high_boundary_impulse_J,16,1,0.29892432351536297,57,0.01776382043836941,0.03481762430137511,16,0.29892432351536297
utc_daily_phase,high_boundary_impulse_J,8,2,0.2919412931407789,57,0.01776382043836941,0.03481762430137511,16,0.29892432351536297
utc_daily_phase,high_boundary_impulse_J,24,3,0.2730764568804218,57,0.01776382043836941,0.03481762430137511,16,0.29892432351536297
utc_daily_phase,high_boundary_impulse_J,10,4,0.2560226530174161,57,0.01776382043836941,0.03481762430137511,16,0.29892432351536297
utc_daily_phase,high_boundary_impulse_J,12,5,0.2382588325790467,57,0.01776382043836941,0.03481762430137511,16,0.29892432351536297
utc_daily_phase,residual_contraction_low_distance,24,1,0.302268863202789,57,0.009792763265499438,0.11156904284981523,24,0.302268863202789
utc_daily_phase,residual_contraction_low_distance,8,2,0.28687857019227003,57,0.009792763265499438,0.11156904284981523,24,0.302268863202789
utc_daily_phase,residual_contraction_low_distance,16,3,0.2554886554737055,57,0.009792763265499438,0.11156904284981523,24,0.302268863202789
utc_daily_phase,residual_contraction_low_distance,10,4,0.20049258361847322,57,0.009792763265499438,0.11156904284981523,24,0.302268863202789
utc_daily_phase,residual_contraction_low_distance,12,5,0.19069982035297378,57,0.009792763265499438,0.11156904284981523,24,0.302268863202789
utc_daily_phase,ricci_phase_sync_high_lock_session,12,1,0.4411009780078911,7,-0.13558857348357306,-0.08586713763474624,12,0.4411009780078911
utc_daily_phase,ricci_phase_sync_high_lock_session,16,2,0.4007849621781634,7,-0.13558857348357306,-0.08586713763474624,12,0.4411009780078911
utc_daily_phase,ricci_phase_sync_high_lock_session,24,3,0.35523384037314487,7,-0.13558857348357306,-0.08586713763474624,12,0.4411009780078911
utc_daily_phase,ricci_phase_sync_high_lock_session,8,4,0.3444350329479149,7,-0.13558857348357306,-0.08586713763474624,12,0.4411009780078911
utc_daily_phase,ricci_phase_sync_high_lock_session,10,5,0.30551240452431805,7,-0.13558857348357306,-0.08586713763474624,12,0.4411009780078911
