status,exclusion_reason,n_values,primary_shell_score,random_shell_mean,random_shell_sd,raw_p_vs_random_shells,fixed_ladder_rank,best_fixed_ladder,best_fixed_ladder_score,alternative_scores,source_file,condition,column,n_random_shells,fdr_q_vs_random_shells
tested,,241,0.6605546013871352,0.6866394974006923,0.020268578872551717,0.13386613386613386,4,compact_1_1.5_3,0.6473342497942673,compact_1_1.5_3=0.64733425; linear_1_2_3=0.65706795; wide_1_2.5_5=0.6840545; triple_1_3_6=0.70570991; phi_1_phi_phi2=0.64772325,backups/mm_fullnb_reverse/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,control,dphi,1000,0.5144855144855145
tested,,241,0.11912218389027165,0.1167737101229196,0.00663329834427562,1.0,3,compact_1_1.5_3,0.11152508447051317,compact_1_1.5_3=0.11152508; linear_1_2_3=0.11912218; wide_1_2.5_5=0.11912218; triple_1_3_6=0.11912218; phi_1_phi_phi2=0.11653193,backups/mm_fullnb_reverse/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,control,distance,1000,1.0
tested,,241,0.21008512218244535,0.2080821898136423,0.006378979172662624,1.0,2,compact_1_1.5_3,0.20811462596062455,compact_1_1.5_3=0.20811463; linear_1_2_3=0.21008512; wide_1_2.5_5=0.21008512; triple_1_3_6=0.21008512; phi_1_phi_phi2=0.21008512,backups/mm_fullnb_reverse/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,control,r_local,1000,1.0
tested,,241,0.5408974179162154,0.5652302072658267,0.03219991669500048,0.3076923076923077,4,phi_1_phi_phi2,0.5145654286345049,compact_1_1.5_3=0.52047941; linear_1_2_3=0.53976563; wide_1_2.5_5=0.57158767; triple_1_3_6=0.59950201; phi_1_phi_phi2=0.51456543,backups/mm_fullnb_reverse/event_level_with_fes_phase_TRUE_RICCI.csv,control,J,1000,0.5178155178155178
tested,,241,0.6434799091179075,0.6762552798645896,0.03183987008139852,0.13686313686313686,4,phi_1_phi_phi2,0.6229224402112707,compact_1_1.5_3=0.64020611; linear_1_2_3=0.6270093; wide_1_2.5_5=0.66157747; triple_1_3_6=0.69470234; phi_1_phi_phi2=0.62292244,backups/mm_fullnb_reverse/event_level_with_fes_phase_TRUE_RICCI.csv,control,J_tilde,1000,0.5144855144855145
tested,,241,0.6605546013871352,0.6866744516890607,0.02024545369998431,0.13486513486513488,4,compact_1_1.5_3,0.6473342497942673,compact_1_1.5_3=0.64733425; linear_1_2_3=0.65706795; wide_1_2.5_5=0.6840545; triple_1_3_6=0.70570991; phi_1_phi_phi2=0.64772325,backups/mm_fullnb_reverse/event_level_with_fes_phase_TRUE_RICCI.csv,control,dphi,1000,0.5144855144855145
tested,,241,0.11912218389027165,0.11625156500525023,0.007364593257444229,1.0,3,compact_1_1.5_3,0.11152508447051317,compact_1_1.5_3=0.11152508; linear_1_2_3=0.11912218; wide_1_2.5_5=0.11912218; triple_1_3_6=0.11912218; phi_1_phi_phi2=0.11653193,backups/mm_fullnb_reverse/event_level_with_fes_phase_TRUE_RICCI.csv,control,distance,1000,1.0
tested,,241,0.21008512218244535,0.2083328714490809,0.00591260661125947,1.0,2,compact_1_1.5_3,0.20811462596062455,compact_1_1.5_3=0.20811463; linear_1_2_3=0.21008512; wide_1_2.5_5=0.21008512; triple_1_3_6=0.21008512; phi_1_phi_phi2=0.21008512,backups/mm_fullnb_reverse/event_level_with_fes_phase_TRUE_RICCI.csv,control,r_local,1000,1.0
tested,,223,0.6574374448328367,0.6810998596846121,0.032720617898243015,0.3106893106893107,4,phi_1_phi_phi2,0.6280828567330162,compact_1_1.5_3=0.63054386; linear_1_2_3=0.65642297; wide_1_2.5_5=0.69051354; triple_1_3_6=0.71550288; phi_1_phi_phi2=0.62808286,backups/mm_fullnb_shift1/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,control,J,1000,0.5178155178155178
tested,,223,0.6566193004272607,0.6818391081856386,0.025802805880606187,0.15084915084915085,4,phi_1_phi_phi2,0.6312784307050402,compact_1_1.5_3=0.64238306; linear_1_2_3=0.64376143; wide_1_2.5_5=0.67038375; triple_1_3_6=0.7007444; phi_1_phi_phi2=0.63127843,backups/mm_fullnb_shift1/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,control,J_tilde,1000,0.5144855144855145
