event_class,event_role,n_runs,n_seed_events,mean_seed_strength,total_impulse_budget,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,effect_vs_time_shifted,effect_vs_random_event,effect_vs_C8,p_vs_time_shifted_and_random,p_vs_C8,D12_recovery,D24_recovery,D12_D24_recovery_improvement,bounded_non_runaway_score,non_collapsed_differentiation_score,late_window_stability,post_event_readout_score,primary_reference_event,comparison_event,comparison_role,normalization_variant,primary_task_min,primary_task_max,primary_event_count,available_event_count,sampled_event_count,count_match_complete,normalization_status
chapter7_dphi_sign_switch,contrast_switch,240,269,0.07383238247473205,19.86091088570292,0.002416654735681603,0.001864857063489835,0.005745460876658505,0.002082891852576748,-0.0004974517038116417,0.07692307692307693,0.6265560165975104,0.4966891245527857,0.47784368437864316,0.003260778499207245,0.9558176616271934,0.6023762261967212,0.5480340988265257,0.5326142975406766,hybrid_fes_phase_transition,chapter7_dphi_sign_switch,contrast_switch,primary_interval_only,2.0,27.0,192,269,269,True,evaluated
chapter7_dphi_sign_switch,contrast_switch,240,192,0.07361026433584102,14.133170752481476,0.0018477916354900166,0.0017259555956147753,0.003496417788542693,0.0015713342691170602,-0.00023963289344208554,0.13513513513513514,0.5726141078838174,0.5200962657373845,0.4978660698068623,0.0035989847742835448,0.9539290385884099,0.5794635604066113,0.4695784507698519,0.5388224970447095,hybrid_fes_phase_transition,chapter7_dphi_sign_switch,contrast_switch,primary_interval_count_matched,2.0,27.0,192,269,192,True,evaluated
chapter7_d2phi_curvature_switch,contrast_switch,240,408,0.06705696929043074,27.359243470495745,0.002977473128824321,0.0019250490522266215,0.00027727661500372754,0.0018324077280700776,0.0023510042601003756,0.33264033264033266,0.13278008298755187,0.5150401809165978,0.4836986218514781,0.0034064800340425972,0.9542366978872381,0.6131829530527021,0.5063956033878748,0.5372457943830383,hybrid_fes_phase_transition,chapter7_d2phi_curvature_switch,contrast_switch,primary_interval_only,2.0,27.0,192,408,408,True,evaluated
chapter7_d2phi_curvature_switch,contrast_switch,240,192,0.07622127471078606,14.634484744470925,0.001130248262591762,0.0018602872878986725,4.849959852274983e-05,0.0006903238871998176,9.434205284003386e-05,0.4282744282744283,0.48132780082987553,0.4876388022432398,0.4900258911061773,0.0006231613957991569,0.95481406778048,0.5892564319979113,0.6600727676292664,0.5291614858722503,hybrid_fes_phase_transition,chapter7_d2phi_curvature_switch,contrast_switch,primary_interval_count_matched,2.0,27.0,192,408,192,True,evaluated
chapter7_deps_sign_switch,contrast_switch,240,277,0.06224911335754954,17.243004400041222,0.001817765965509298,0.0014935134210229213,0.005016997494413048,0.0013777892014222672,-0.0002288965320539117,0.13721413721413722,0.5767634854771784,0.500777855073346,0.48329025642579826,0.003846015423127351,0.9554668485884562,0.5598357364056556,0.4141303768930733,0.5200965095213562,hybrid_fes_phase_transition,chapter7_deps_sign_switch,contrast_switch,primary_interval_only,2.0,27.0,192,277,277,True,evaluated
chapter7_deps_sign_switch,contrast_switch,240,192,0.06183665800663601,11.872638337274113,0.003952574360874156,0.001575128756214593,0.006495807194236053,0.003902512857789986,0.00335601843724399,0.012474012474012475,0.008298755186721992,0.5210058353054213,0.4947103062515675,0.006886763536786813,0.9555919047084822,0.5191154382396739,0.4841578632094848,0.5352799372233653,hybrid_fes_phase_transition,chapter7_deps_sign_switch,contrast_switch,primary_interval_count_matched,2.0,27.0,192,277,192,True,evaluated
chapter7_phi_clean_sign_switch,secondary_phi_reference,240,102,0.08289626487894085,8.455419017651966,0.002065139124473211,0.002753193978622329,0.004296961590423002,0.0008079762849041942,-0.0011060948784810736,0.2515592515592516,0.6680497925311203,0.5100446388392075,0.48851895567907033,0.004195530929612158,0.9637212866824169,0.7006867352705441,0.5738071223933138,0.5352663314144884,hybrid_cluster_transition,chapter7_phi_clean_sign_switch,secondary_phi_reference,primary_interval_only,2.0,27.0,192,102,102,False,evaluated
chapter7_phi_clean_sign_switch,secondary_phi_reference,240,102,0.08289626487894085,8.455419017651966,0.0021996543755792926,0.002848831470044825,0.004273153715491933,0.0012263168583921387,-0.0011808470716800313,0.23700623700623702,0.6804979253112033,0.5115775306092192,0.4883378504193657,0.004381390910587024,0.9640029171632338,0.7002022806914088,0.5816536226617391,0.5356853324516332,hybrid_cluster_transition,chapter7_phi_clean_sign_switch,secondary_phi_reference,primary_interval_count_matched,2.0,27.0,192,102,102,False,evaluated
chapter7_h_zero_crossing,secondary_phi_reference,240,68,0.07430320703194146,5.052618078172019,0.0004963009429289135,0.002849166258544902,-0.001311059749268251,-0.0010434189754649189,-0.0008313646289896908,0.6444906444906445,0.5850622406639004,0.5290609049841655,0.4969571926111381,0.00028815799460248315,0.9625156135760179,0.6795346652158923,0.7594642006917935,0.5467951876267098,hybrid_cluster_transition,chapter7_h_zero_crossing,secondary_phi_reference,primary_interval_only,2.0,27.0,192,68,68,False,evaluated
chapter7_h_zero_crossing,secondary_phi_reference,240,68,0.07430320703194146,5.052618078172019,0.0006070650364949433,0.002849028254366551,-0.0014852977381812045,-0.001010517907182479,-0.0005103842341062708,0.6632016632016632,0.5684647302904564,0.5283507609784529,0.4957407287519215,0.0004949648341549753,0.9627338976729196,0.6779748643170159,0.7524018805933999,0.5460560528594518,hybrid_cluster_transition,chapter7_h_zero_crossing,secondary_phi_reference,primary_interval_count_matched,2.0,27.0,192,68,68,False,evaluated
chapter7_dphi_sign_switch,contrast_switch,240,269,0.07383238247473205,19.86091088570292,0.002461703253150155,0.0020110961444114906,0.00562767586812166,0.0017176127641298999,-0.00020687535236954243,0.10395010395010396,0.5933609958506224,0.49695017540455494,0.4782444379157499,0.0033341942303448872,0.9556336703785121,0.6022206287711653,0.5488249754995594,0.5330126632640719,hybrid_cluster_transition,chapter7_dphi_sign_switch,contrast_switch,primary_interval_only,2.0,27.0,192,269,269,True,evaluated
chapter7_dphi_sign_switch,contrast_switch,240,192,0.07401871882596611,14.211594014585494,0.00014086301319527319,0.0020276042664723604,-0.00024189852894484733,0.00011076565674856197,0.003082478615793023,0.5051975051975052,0.04564315352697095,0.5073359859229002,0.4647934387718234,-0.00047616379647234656,0.9553025431679913,0.55691252738314,0.6492900362988503,0.518350153954451,hybrid_cluster_transition,chapter7_dphi_sign_switch,contrast_switch,primary_interval_count_matched,2.0,27.0,192,269,192,True,evaluated
chapter7_d2phi_curvature_switch,contrast_switch,240,408,0.06705696929043074,27.359243470495745,0.0032032824763557196,0.0018473080285181173,0.0005157697674625906,0.002138103467474931,0.0021246903855710307,0.2806652806652807,0.13692946058091288,0.5151286272536295,0.4835944560816477,0.0038401277463928313,0.9540437747636088,0.6132674477376922,0.5047257443308634,0.537206312418141,hybrid_cluster_transition,chapter7_d2phi_curvature_switch,contrast_switch,primary_interval_only,2.0,27.0,192,408,408,True,evaluated
chapter7_d2phi_curvature_switch,contrast_switch,240,192,0.06781030739392437,13.019579019633479,-0.0002860362624471837,0.0020149021446098985,0.002953739393417061,-0.00040523430659815504,-0.00022935502604137995,0.35343035343035345,0.6058091286307054,0.46792627380086055,0.4791048235987006,-0.00194708744402747,0.9565481067542717,0.5451549106433476,0.7543108252639956,0.4985996752342116,hybrid_cluster_transition,chapter7_d2phi_curvature_switch,contrast_switch,primary_interval_count_matched,2.0,27.0,192,408,192,True,evaluated
chapter7_deps_sign_switch,contrast_switch,240,277,0.06224911335754954,17.243004400041222,0.001581234507809673,0.001590675615739172,0.0047990639923971455,0.0010397487605126985,-0.0004166238230045411,0.15384615384615385,0.5850622406639004,0.5003976160589001,0.4836703613730523,0.0031754807790251084,0.9552999332321604,0.5598019723999951,0.4165301187297038,0.520107515405856,hybrid_cluster_transition,chapter7_deps_sign_switch,contrast_switch,primary_interval_only,2.0,27.0,192,277,277,True,evaluated
chapter7_deps_sign_switch,contrast_switch,240,192,0.06177075272699939,11.859984523583883,0.00165043696396053,0.0016024958997406529,-0.0008416402588388501,0.0018647086559669189,0.004083190418478153,0.3866943866943867,0.004149377593360996,0.5109096183785496,0.5207644068193467,0.0017956351019024787,0.9554397897333342,0.5153304782688729,0.6725722339651481,0.5462037998373165,hybrid_cluster_transition,chapter7_deps_sign_switch,contrast_switch,primary_interval_count_matched,2.0,27.0,192,277,192,True,evaluated
