anchor_name,event_class,group_col,left_out,n_kept,best_basis,best_score,C10_score,C12_score,C24_score,C10_minus_C12,D24_minus_C12
utc_annual_orbital_phase,h_zero_crossing,label,P19,1258,10,0.8649900781413753,0.8649900781413753,0.7797247487180345,0.756242372366279,0.08526532942334075,-0.02348237635175554
utc_annual_orbital_phase,h_zero_crossing,label,P2,1259,10,0.883741062790816,0.883741062790816,0.810445942022038,0.8079448664838698,0.07329512076877798,-0.0025010755381682515
utc_annual_orbital_phase,h_zero_crossing,label,P20,1259,10,0.8650741711751835,0.8650741711751835,0.77985370073858,0.756405008563406,0.08522047043660352,-0.02344869217517398
utc_annual_orbital_phase,h_zero_crossing,label,P21,1266,10,0.8658080485135897,0.8658080485135897,0.7804041539797382,0.7580849382311756,0.08540389453385155,-0.02231921574856255
utc_annual_orbital_phase,h_zero_crossing,label,P22,1255,10,0.8648373449267295,0.8648373449267295,0.7789988254745219,0.7560682433595693,0.08583851945220755,-0.02293058211495258
utc_annual_orbital_phase,h_zero_crossing,label,P23,1275,10,0.8664055359309268,0.8664055359309268,0.781872778075285,0.7589693859075421,0.08453275785564185,-0.022903392167742842
utc_annual_orbital_phase,h_zero_crossing,label,P24,1263,10,0.8654181316142584,0.8654181316142584,0.7804414553562016,0.7571376082746945,0.08497667625805683,-0.023303847081507123
utc_annual_orbital_phase,h_zero_crossing,label,P25,1273,10,0.8662431683905238,0.8662431683905238,0.7816433515276986,0.758675940369868,0.08459981686282525,-0.02296741115783063
utc_annual_orbital_phase,h_zero_crossing,label,P26,1238,10,0.8633108236204236,0.8633108236204236,0.7774089043391694,0.7532404952839591,0.08590191928125412,-0.024168409055210338
utc_annual_orbital_phase,h_zero_crossing,label,P3,1257,10,0.8766322367317563,0.8766322367317563,0.7975922259580107,0.7702573623824974,0.07904001077374556,-0.02733486357551329
utc_annual_orbital_phase,h_zero_crossing,label,P4,1262,10,0.8798282311253811,0.8798282311253811,0.7981605743238652,0.7740360056684057,0.08166765680151589,-0.024124568655459533
utc_annual_orbital_phase,h_zero_crossing,label,P5,1263,10,0.8825189751157905,0.8825189751157905,0.8088694114924893,0.8044571622352832,0.07364956362330122,-0.004412249257206069
utc_annual_orbital_phase,h_zero_crossing,label,P6,1265,10,0.8819840943500972,0.8819840943500972,0.799312320269943,0.7789723289199534,0.08267177408015414,-0.02033999134998965
utc_annual_orbital_phase,h_zero_crossing,label,P7,1237,10,0.8634809305217858,0.8634809305217858,0.7765637251461859,0.7539631938834451,0.08691720537559988,-0.022600531262740753
utc_annual_orbital_phase,h_zero_crossing,label,P8,1261,10,0.8654069373556208,0.8654069373556208,0.7797528409612425,0.7573548745301865,0.08565409639437827,-0.02239796643105607
utc_annual_orbital_phase,h_zero_crossing,label,P9,1265,10,0.8657209770352694,0.8657209770352694,0.7802751434556496,0.7579047998464249,0.08544583357961977,-0.02237034360922474
utc_annual_orbital_phase,high_boundary_impulse_J,label,P1,56,10,0.9049533402405097,0.9049533402405097,0.845013156428313,0.7991062255983099,0.05994018381219668,-0.04590693083000308
utc_annual_orbital_phase,high_boundary_impulse_J,label,P10,55,10,0.8931488436045742,0.8931488436045742,0.8224888838410853,0.7779456233720172,0.07065995976348893,-0.04454326046906809
utc_annual_orbital_phase,high_boundary_impulse_J,label,P11,53,10,0.8902985719487051,0.8902985719487051,0.8173966918934348,0.7709137563045898,0.07290188005527032,-0.046482935588844976
utc_annual_orbital_phase,high_boundary_impulse_J,label,P12,54,10,0.8917307779943795,0.8917307779943795,0.8199985019299324,0.774431492383064,0.0717322760644471,-0.04556700954686843
utc_annual_orbital_phase,high_boundary_impulse_J,label,P13,55,10,0.8931396986177673,0.8931396986177673,0.8224998017228656,0.7779073828747822,0.07063989689490169,-0.044592418848083404
utc_annual_orbital_phase,high_boundary_impulse_J,label,P14,55,10,0.8931351978841053,0.8931351978841053,0.8225062437515666,0.7778892159295083,0.07062895413253878,-0.04461702782205823
utc_annual_orbital_phase,high_boundary_impulse_J,label,P15,55,10,0.8931339605266269,0.8931339605266269,0.8225081649651926,0.7778843134854234,0.07062579556143422,-0.044623851479769217
utc_annual_orbital_phase,high_boundary_impulse_J,label,P16,54,10,0.8917229818463465,0.8917229818463465,0.820010474982866,0.7744003409593806,0.07171250686348052,-0.04561013402348535
