topology_name,event_class,null_index,null_model,n_nodes,n_directed_edges,differentiated_recovery
"C12(1,2)",residual_contraction_low_distance,20,degree-matched directed random graph,12,48,0.0015593133503583162
"C12(1,2)",residual_contraction_low_distance,21,degree-matched directed random graph,12,48,-0.0005409107013674153
"C12(1,2)",residual_contraction_low_distance,22,degree-matched directed random graph,12,48,0.004397637672962451
"C12(1,2)",residual_contraction_low_distance,23,degree-matched directed random graph,12,48,-0.0011920277897691164
"C12(1,2)",residual_contraction_low_distance,24,degree-matched directed random graph,12,48,0.0005749634828565648
"C12(1,2)",residual_contraction_low_distance,25,degree-matched directed random graph,12,48,0.00028956558602705065
"C12(1,2)",residual_contraction_low_distance,26,degree-matched directed random graph,12,48,0.001284243815352989
"C12(1,2)",residual_contraction_low_distance,27,degree-matched directed random graph,12,48,-0.0017695415983532033
"C12(1,2)",residual_contraction_low_distance,28,degree-matched directed random graph,12,48,0.0012042223573313522
"C12(1,2)",residual_contraction_low_distance,29,degree-matched directed random graph,12,48,-0.0034206135281365756
"C12(1,2)",residual_contraction_low_distance,30,degree-matched directed random graph,12,48,0.0016069423998710905
"C12(1,2)",residual_contraction_low_distance,31,degree-matched directed random graph,12,48,0.0014855961781288403
"C12(1,2)",residual_contraction_low_distance,32,degree-matched directed random graph,12,48,-0.0014294689124880247
"C12(1,2)",residual_contraction_low_distance,33,degree-matched directed random graph,12,48,0.0003698259895074308
"C12(1,2)",residual_contraction_low_distance,34,degree-matched directed random graph,12,48,0.001111473027258979
"C12(1,2)",residual_contraction_low_distance,35,degree-matched directed random graph,12,48,0.0031826156307500535
"C12(1,2)",residual_contraction_low_distance,36,degree-matched directed random graph,12,48,-9.74767110964371e-05
"C12(1,2)",residual_contraction_low_distance,37,degree-matched directed random graph,12,48,-0.004482413426127731
"C12(1,2)",residual_contraction_low_distance,38,degree-matched directed random graph,12,48,-8.97245570494729e-05
"C12(1,2)",residual_contraction_low_distance,39,degree-matched directed random graph,12,48,-0.0009072605138386345
"C12(1,2)",residual_contraction_low_distance,40,degree-matched directed random graph,12,48,0.0012998657652349046
"C12(1,2)",residual_contraction_low_distance,41,degree-matched directed random graph,12,48,0.0019745107335745514
"C12(1,2)",residual_contraction_low_distance,42,degree-matched directed random graph,12,48,-0.0005231092514761522
"C12(1,2)",residual_contraction_low_distance,43,degree-matched directed random graph,12,48,0.000705779323204895
"C12(1,2)",residual_contraction_low_distance,44,degree-matched directed random graph,12,48,0.003487310122151744
"C12(1,2)",residual_contraction_low_distance,45,degree-matched directed random graph,12,48,0.004112627751118997
"C12(1,2)",residual_contraction_low_distance,46,degree-matched directed random graph,12,48,-7.718700082467601e-05
"C12(1,2)",residual_contraction_low_distance,47,degree-matched directed random graph,12,48,0.0015362997458778396
"C12(1,2)",residual_contraction_low_distance,48,degree-matched directed random graph,12,48,-0.0034276877361059735
"C12(1,2)",residual_contraction_low_distance,49,degree-matched directed random graph,12,48,0.0041495649049972565
"C12(1,2)",residual_contraction_low_distance,50,degree-matched directed random graph,12,48,0.0023876015525635124
"C12(1,2)",residual_contraction_low_distance,51,degree-matched directed random graph,12,48,0.00152081716536057
"C12(1,2)",residual_contraction_low_distance,52,degree-matched directed random graph,12,48,-0.0005530479479863941
"C12(1,2)",residual_contraction_low_distance,53,degree-matched directed random graph,12,48,0.0014745550463830795
"C12(1,2)",residual_contraction_low_distance,54,degree-matched directed random graph,12,48,0.0008150397348669028
"C12(1,2)",residual_contraction_low_distance,55,degree-matched directed random graph,12,48,0.0017028047585936374
"C12(1,2)",residual_contraction_low_distance,56,degree-matched directed random graph,12,48,0.0009889230476254369
"C12(1,2)",residual_contraction_low_distance,57,degree-matched directed random graph,12,48,-0.0006839079996011244
"C12(1,2)",residual_contraction_low_distance,58,degree-matched directed random graph,12,48,0.00466787887142534
"C12(1,2)",residual_contraction_low_distance,59,degree-matched directed random graph,12,48,-0.0010433889165444902
"C12(1,2)",residual_contraction_low_distance,60,degree-matched directed random graph,12,48,-0.0035507242513007744
"C12(1,2)",residual_contraction_low_distance,61,degree-matched directed random graph,12,48,0.0017550936614798083
"C12(1,2)",residual_contraction_low_distance,62,degree-matched directed random graph,12,48,0.003907344785842991
"C12(1,2)",residual_contraction_low_distance,63,degree-matched directed random graph,12,48,0.001788946036823226
"C12(1,2)",residual_contraction_low_distance,64,degree-matched directed random graph,12,48,0.0018807204909175024
"C12(1,2)",residual_contraction_low_distance,65,degree-matched directed random graph,12,48,-0.0012629133582430043
"C12(1,2)",residual_contraction_low_distance,66,degree-matched directed random graph,12,48,0.0017650835217979377
"C12(1,2)",residual_contraction_low_distance,67,degree-matched directed random graph,12,48,0.0036235164699830874
"C12(1,2)",residual_contraction_low_distance,68,degree-matched directed random graph,12,48,-0.001470123826851844
"C12(1,2)",residual_contraction_low_distance,69,degree-matched directed random graph,12,48,0.0032365993167843624
"C12(1,2)",residual_contraction_low_distance,70,degree-matched directed random graph,12,48,-0.0002334385246506589
"C12(1,2)",residual_contraction_low_distance,71,degree-matched directed random graph,12,48,-0.000857411525089175
"C12(1,2)",residual_contraction_low_distance,72,degree-matched directed random graph,12,48,0.0020739789405855506
"C12(1,2)",residual_contraction_low_distance,73,degree-matched directed random graph,12,48,-2.887468815276436e-05
"C12(1,2)",residual_contraction_low_distance,74,degree-matched directed random graph,12,48,-0.0008749535426352822
"C12(1,2)",residual_contraction_low_distance,75,degree-matched directed random graph,12,48,-0.0026326745481342747
"C12(1,2)",residual_contraction_low_distance,76,degree-matched directed random graph,12,48,0.0003716123127946088
"C12(1,2)",residual_contraction_low_distance,77,degree-matched directed random graph,12,48,-0.001971106072917355
"C12(1,2)",residual_contraction_low_distance,78,degree-matched directed random graph,12,48,-0.0021124932205282667
"C12(1,2)",residual_contraction_low_distance,79,degree-matched directed random graph,12,48,0.002127725568899673
"C12(1,2)",FES_phase_transition,0,degree-matched directed random graph,12,48,-0.0039052637980493423
"C12(1,2)",FES_phase_transition,1,degree-matched directed random graph,12,48,-0.002176713589811854
"C12(1,2)",FES_phase_transition,2,degree-matched directed random graph,12,48,-0.00015379444554469287
"C12(1,2)",FES_phase_transition,3,degree-matched directed random graph,12,48,-0.0031352966673203935
"C12(1,2)",FES_phase_transition,4,degree-matched directed random graph,12,48,-0.002116532628457413
"C12(1,2)",FES_phase_transition,5,degree-matched directed random graph,12,48,-0.0029276414392806764
"C12(1,2)",FES_phase_transition,6,degree-matched directed random graph,12,48,-0.002414114255969181
"C12(1,2)",FES_phase_transition,7,degree-matched directed random graph,12,48,-0.002558410645195149
"C12(1,2)",FES_phase_transition,8,degree-matched directed random graph,12,48,-0.002718296443771587
"C12(1,2)",FES_phase_transition,9,degree-matched directed random graph,12,48,-0.0019817693100347396
"C12(1,2)",FES_phase_transition,10,degree-matched directed random graph,12,48,-0.0018940429220987078
"C12(1,2)",FES_phase_transition,11,degree-matched directed random graph,12,48,-0.0006812874499462202
"C12(1,2)",FES_phase_transition,12,degree-matched directed random graph,12,48,-0.002637062447376868
"C12(1,2)",FES_phase_transition,13,degree-matched directed random graph,12,48,-0.0005466121641493482
"C12(1,2)",FES_phase_transition,14,degree-matched directed random graph,12,48,0.0002852794165234931
"C12(1,2)",FES_phase_transition,15,degree-matched directed random graph,12,48,-0.0031764728490996453
"C12(1,2)",FES_phase_transition,16,degree-matched directed random graph,12,48,0.0016620343367321094
"C12(1,2)",FES_phase_transition,17,degree-matched directed random graph,12,48,-0.0020701768412059764
"C12(1,2)",FES_phase_transition,18,degree-matched directed random graph,12,48,-0.0011679115390126056
"C12(1,2)",FES_phase_transition,19,degree-matched directed random graph,12,48,-0.0016605060579085638
"C12(1,2)",FES_phase_transition,20,degree-matched directed random graph,12,48,-0.0029154180731279624
"C12(1,2)",FES_phase_transition,21,degree-matched directed random graph,12,48,-0.002541738003053283
"C12(1,2)",FES_phase_transition,22,degree-matched directed random graph,12,48,-0.0013474588528002512
"C12(1,2)",FES_phase_transition,23,degree-matched directed random graph,12,48,-0.003115872500065867
"C12(1,2)",FES_phase_transition,24,degree-matched directed random graph,12,48,-0.0024539350993298624
"C12(1,2)",FES_phase_transition,25,degree-matched directed random graph,12,48,0.0010370273070882973
"C12(1,2)",FES_phase_transition,26,degree-matched directed random graph,12,48,-0.0011541902890423545
"C12(1,2)",FES_phase_transition,27,degree-matched directed random graph,12,48,-0.0011281712769153026
"C12(1,2)",FES_phase_transition,28,degree-matched directed random graph,12,48,-0.0036781512511449
"C12(1,2)",FES_phase_transition,29,degree-matched directed random graph,12,48,-0.0032188093938070135
"C12(1,2)",FES_phase_transition,30,degree-matched directed random graph,12,48,-0.0022452175277398816
"C12(1,2)",FES_phase_transition,31,degree-matched directed random graph,12,48,-0.0013111315232532976
"C12(1,2)",FES_phase_transition,32,degree-matched directed random graph,12,48,0.00040829036334450884
"C12(1,2)",FES_phase_transition,33,degree-matched directed random graph,12,48,-0.0014182349933613806
"C12(1,2)",FES_phase_transition,34,degree-matched directed random graph,12,48,-0.003556429299218821
"C12(1,2)",FES_phase_transition,35,degree-matched directed random graph,12,48,-0.003199643817767164
"C12(1,2)",FES_phase_transition,36,degree-matched directed random graph,12,48,-0.0015410512191603933
"C12(1,2)",FES_phase_transition,37,degree-matched directed random graph,12,48,-0.0023466609757664845
"C12(1,2)",FES_phase_transition,38,degree-matched directed random graph,12,48,-0.0021512302619231052
"C12(1,2)",FES_phase_transition,39,degree-matched directed random graph,12,48,-0.0010910454652541166
"C12(1,2)",FES_phase_transition,40,degree-matched directed random graph,12,48,-0.001112500478637889
"C12(1,2)",FES_phase_transition,41,degree-matched directed random graph,12,48,-0.001872536440192079
"C12(1,2)",FES_phase_transition,42,degree-matched directed random graph,12,48,-0.0027859164074092503
"C12(1,2)",FES_phase_transition,43,degree-matched directed random graph,12,48,-0.0002267546021726574
"C12(1,2)",FES_phase_transition,44,degree-matched directed random graph,12,48,-0.0003425937896549787
"C12(1,2)",FES_phase_transition,45,degree-matched directed random graph,12,48,-0.0001419500446591245
"C12(1,2)",FES_phase_transition,46,degree-matched directed random graph,12,48,-0.0028200188094869546
"C12(1,2)",FES_phase_transition,47,degree-matched directed random graph,12,48,-0.0011518639189533812
"C12(1,2)",FES_phase_transition,48,degree-matched directed random graph,12,48,-0.0028270010456611983
"C12(1,2)",FES_phase_transition,49,degree-matched directed random graph,12,48,-0.003618103784466733
"C12(1,2)",FES_phase_transition,50,degree-matched directed random graph,12,48,-0.001747166859393652
"C12(1,2)",FES_phase_transition,51,degree-matched directed random graph,12,48,-0.003047385692988018
"C12(1,2)",FES_phase_transition,52,degree-matched directed random graph,12,48,-0.0011396365090570863
"C12(1,2)",FES_phase_transition,53,degree-matched directed random graph,12,48,0.00027293202079881794
"C12(1,2)",FES_phase_transition,54,degree-matched directed random graph,12,48,-0.0013183598170212509
"C12(1,2)",FES_phase_transition,55,degree-matched directed random graph,12,48,-0.0017257795886008117
"C12(1,2)",FES_phase_transition,56,degree-matched directed random graph,12,48,0.0007561923264909414
"C12(1,2)",FES_phase_transition,57,degree-matched directed random graph,12,48,-0.0007689909900473182
"C12(1,2)",FES_phase_transition,58,degree-matched directed random graph,12,48,0.00011356266506499866
"C12(1,2)",FES_phase_transition,59,degree-matched directed random graph,12,48,-0.00029702200283321216
"C12(1,2)",FES_phase_transition,60,degree-matched directed random graph,12,48,-0.002935128080426968
"C12(1,2)",FES_phase_transition,61,degree-matched directed random graph,12,48,-0.002309962818517938
"C12(1,2)",FES_phase_transition,62,degree-matched directed random graph,12,48,0.002684072001568194
"C12(1,2)",FES_phase_transition,63,degree-matched directed random graph,12,48,-0.00042063783353980924
"C12(1,2)",FES_phase_transition,64,degree-matched directed random graph,12,48,-0.003924468098134256
"C12(1,2)",FES_phase_transition,65,degree-matched directed random graph,12,48,-0.0006968460217295584
"C12(1,2)",FES_phase_transition,66,degree-matched directed random graph,12,48,-0.0009574271306098215
"C12(1,2)",FES_phase_transition,67,degree-matched directed random graph,12,48,-0.0026166252807008623
"C12(1,2)",FES_phase_transition,68,degree-matched directed random graph,12,48,-0.002939220158868434
"C12(1,2)",FES_phase_transition,69,degree-matched directed random graph,12,48,-0.0008235079972747677
"C12(1,2)",FES_phase_transition,70,degree-matched directed random graph,12,48,-0.001463468901894794
"C12(1,2)",FES_phase_transition,71,degree-matched directed random graph,12,48,-0.003183565257085933
"C12(1,2)",FES_phase_transition,72,degree-matched directed random graph,12,48,-0.00311084950060666
"C12(1,2)",FES_phase_transition,73,degree-matched directed random graph,12,48,-0.0019371753282307759
"C12(1,2)",FES_phase_transition,74,degree-matched directed random graph,12,48,-0.0014638185818874913
"C12(1,2)",FES_phase_transition,75,degree-matched directed random graph,12,48,-0.0019885463934605553
"C12(1,2)",FES_phase_transition,76,degree-matched directed random graph,12,48,-0.0014353461376223908
"C12(1,2)",FES_phase_transition,77,degree-matched directed random graph,12,48,-0.0019136239885257744
"C12(1,2)",FES_phase_transition,78,degree-matched directed random graph,12,48,-0.0018669890017890968
"C12(1,2)",FES_phase_transition,79,degree-matched directed random graph,12,48,-0.004493644969630249
