anchor_name,event_class,basis,basis_role,n_events,temporal_phase_alignment,temporal_phase_specificity,readout_score,rotation_control_mean,scramble_control_mean,time_shift_control_mean,effect_vs_rotation,effect_vs_scramble,effect_vs_time_shift,p_vs_rotation,p_vs_scramble,p_vs_time_shift,combined_control_p,combined_control_q,C12_readout_score,best_alternative_score,C12_vs_best_alternative,D24_Phi24_lift_score,D24_minus_C12,exploratory_candidate,interpretation
session_normalized_event_position,h_zero_crossing,8,comparison,1309,0.05345297619607371,0.0010541459645883045,0.02725356108033101,0.027863105004691913,0.012348395881266919,0.027253561080330974,-0.0006095439243609044,0.01490516519906409,3.469446951953614e-17,0.96,0.01990049751243781,0.25,0.96,1.0,0.0211032937977675,0.02725356108033101,-0.006150267282563508,0.015600435761641886,-0.005502858036125614,False,comparison_basis
session_normalized_event_position,h_zero_crossing,10,comparison,1309,0.019871120224276336,0.003620595018079986,0.011745857621178161,0.011332340311840133,0.012480336017972295,0.011745857621178205,0.0004135173093380278,-0.0007344783967941342,-4.336808689942018e-17,0.16,0.5074626865671642,0.7,0.7,1.0,0.0211032937977675,0.02725356108033101,-0.006150267282563508,0.015600435761641886,-0.005502858036125614,False,comparison_basis
session_normalized_event_position,h_zero_crossing,12,primary_C12,1309,0.04005909288139034,0.00214749471414466,0.0211032937977675,0.02161257380144785,0.012388906775589414,0.021116337723268177,-0.0005092800036803485,0.008714387022178086,-1.3043925500676873e-05,0.96,0.1044776119402985,0.6666666666666666,0.96,1.0,0.0211032937977675,0.02725356108033101,-0.006150267282563508,0.015600435761641886,-0.005502858036125614,False,C12_not_exploratory_candidate_under_B4_pattern
session_normalized_event_position,h_zero_crossing,16,comparison,1309,0.03059268196292067,0.004725331176304359,0.017659006569612515,0.017047778044760185,0.013749262481021747,0.01764547540834156,0.0006112285248523301,0.003909744088590768,1.3531161270955577e-05,0.08,0.263681592039801,0.5625,0.5625,1.0,0.0211032937977675,0.02725356108033101,-0.006150267282563508,0.015600435761641886,-0.005502858036125614,False,comparison_basis
session_normalized_event_position,h_zero_crossing,24,lift_D24_Phi24,1309,0.02683951984717881,0.004361351676104963,0.015600435761641886,0.01575612754335004,0.01404694274745626,0.0156198861793595,-0.00015569178170815427,0.0015534930141856262,-1.9450417717614688e-05,0.76,0.3681592039800995,0.5416666666666666,0.76,1.0,0.0211032937977675,0.02725356108033101,-0.006150267282563508,0.015600435761641886,-0.005502858036125614,False,D24_Phi24_lift_reference
session_normalized_event_position,high_boundary_impulse_J,8,comparison,57,0.1094672774411121,0.12521712301891785,0.11734220023001499,0.12144155744891298,0.07988633365352121,0.11718993290478515,-0.004099357218897995,0.037455866576493774,0.00015226732522984066,0.76,0.15920398009950248,0.75,0.76,1.0,0.20735717853082633,0.307596319537078,-0.10023914100625167,0.307596319537078,0.10023914100625167,False,comparison_basis
session_normalized_event_position,high_boundary_impulse_J,10,comparison,57,0.29428270900933956,0.1652899513824957,0.22978633019591763,0.2139759936742084,0.07839019149029731,0.2297863301959174,0.01581033652170924,0.1513961387056203,2.220446049250313e-16,0.04,0.004975124378109453,0.1,0.1,1.0,0.20735717853082633,0.307596319537078,-0.10023914100625167,0.307596319537078,0.10023914100625167,False,comparison_basis
session_normalized_event_position,high_boundary_impulse_J,12,primary_C12,57,0.29566268014729785,0.11905167691435481,0.20735717853082633,0.22150058503626804,0.0761350383088022,0.2108590556131406,-0.014143406505441714,0.13122214022202414,-0.003501877082314281,0.96,0.004975124378109453,0.8333333333333334,0.96,1.0,0.20735717853082633,0.307596319537078,-0.10023914100625167,0.307596319537078,0.10023914100625167,False,C12_not_exploratory_candidate_under_B4_pattern
session_normalized_event_position,high_boundary_impulse_J,16,comparison,57,0.2841472407193326,0.14083418828493444,0.21249071450213353,0.22626537308740488,0.08396985244442924,0.2153662826319689,-0.013774658585271354,0.1285208620577043,-0.0028755681298353875,0.72,0.004975124378109453,0.25,0.72,1.0,0.20735717853082633,0.307596319537078,-0.10023914100625167,0.307596319537078,0.10023914100625167,False,comparison_basis
session_normalized_event_position,high_boundary_impulse_J,24,lift_D24_Phi24,57,0.42891753368770724,0.18627510538644876,0.307596319537078,0.3149463263288345,0.09647603450673678,0.31220929846441026,-0.007350006791756514,0.21112028503034122,-0.004612978927332256,0.96,0.004975124378109453,0.875,0.96,1.0,0.20735717853082633,0.307596319537078,-0.10023914100625167,0.307596319537078,0.10023914100625167,False,D24_Phi24_lift_reference
session_normalized_event_position,residual_contraction_low_distance,8,comparison,57,0.22792490213260402,0.1684562873651959,0.19819059474889997,0.17645159843553415,0.06993199883621821,0.19819059474889994,0.021738996313365816,0.12825859591268174,2.7755575615628914e-17,0.04,0.004975124378109453,0.5,0.5,1.0,0.21743939566707796,0.32076458390187274,-0.10332518823479478,0.32076458390187274,0.10332518823479478,False,comparison_basis
session_normalized_event_position,residual_contraction_low_distance,10,comparison,57,0.3940498526037317,0.17352514549895792,0.2837874990513448,0.2625413721750371,0.07774112398042003,0.28378749905134465,0.021246126876307725,0.20604637507092477,1.6653345369377348e-16,0.08,0.004975124378109453,0.2,0.2,1.0,0.21743939566707796,0.32076458390187274,-0.10332518823479478,0.32076458390187274,0.10332518823479478,False,comparison_basis
session_normalized_event_position,residual_contraction_low_distance,12,primary_C12,57,0.2821553510135692,0.1527234403205867,0.21743939566707796,0.21129429412870862,0.07692354877985313,0.21799168193322888,0.006145101538369335,0.14051584688722482,-0.0005522862661509198,0.08,0.004975124378109453,0.8333333333333334,0.8333333333333334,1.0,0.21743939566707796,0.32076458390187274,-0.10332518823479478,0.32076458390187274,0.10332518823479478,False,C12_not_exploratory_candidate_under_B4_pattern
session_normalized_event_position,residual_contraction_low_distance,16,comparison,57,0.23124737866752024,0.18254158622030126,0.20689448244391073,0.20389804143429027,0.08080575414056951,0.20722224634428105,0.0029964410096204597,0.12608872830334122,-0.0003277639003703148,0.36,0.004975124378109453,0.6875,0.6875,1.0,0.21743939566707796,0.32076458390187274,-0.10332518823479478,0.32076458390187274,0.10332518823479478,False,comparison_basis
session_normalized_event_position,residual_contraction_low_distance,24,lift_D24_Phi24,57,0.42035961230646035,0.22116955549728512,0.32076458390187274,0.3230373900814964,0.09614737410857678,0.32364976760247155,-0.0022728061796236654,0.22461720979329597,-0.0028851837005988146,0.76,0.004975124378109453,0.8333333333333334,0.8333333333333334,1.0,0.21743939566707796,0.32076458390187274,-0.10332518823479478,0.32076458390187274,0.10332518823479478,False,D24_Phi24_lift_reference
session_normalized_event_position,ricci_phase_sync_high_lock_session,8,comparison,7,0.9980873837408488,1.0,0.9990436918704244,0.9930497990331562,0.31077407056632134,0.9990436918704244,0.005993892837268255,0.6882696213041031,0.0,0.96,0.004975124378109453,1.0,1.0,1.0,0.9978496015164446,0.9990436918704244,-0.001194090353979771,0.9914263266466092,-0.006423274869835405,False,comparison_basis
session_normalized_event_position,ricci_phase_sync_high_lock_session,10,comparison,7,0.9970123464677393,1.0,0.9985061732338696,0.9714410502116709,0.32518681959903945,0.9985061732338695,0.027065123022198656,0.6733193536348301,1.1102230246251565e-16,0.72,0.004975124378109453,0.8,0.8,1.0,0.9978496015164446,0.9990436918704244,-0.001194090353979771,0.9914263266466092,-0.006423274869835405,False,comparison_basis
session_normalized_event_position,ricci_phase_sync_high_lock_session,12,primary_C12,7,0.9956992030328894,1.0,0.9978496015164446,0.9928337391446104,0.3486126889047119,0.9978496015164445,0.005015862371834268,0.6492369126117328,1.1102230246251565e-16,0.96,0.004975124378109453,1.0,1.0,1.0,0.9978496015164446,0.9990436918704244,-0.001194090353979771,0.9914263266466092,-0.006423274869835405,False,C12_not_exploratory_candidate_under_B4_pattern
session_normalized_event_position,ricci_phase_sync_high_lock_session,16,comparison,7,0.9923605799034969,1.0,0.9961802899517485,0.9916848703237973,0.3691170088469409,0.9961802899517486,0.0044954196279511915,0.6270632811048076,-1.1102230246251565e-16,0.92,0.004975124378109453,1.0,1.0,1.0,0.9978496015164446,0.9990436918704244,-0.001194090353979771,0.9914263266466092,-0.006423274869835405,False,comparison_basis
session_normalized_event_position,ricci_phase_sync_high_lock_session,24,lift_D24_Phi24,7,0.9828526532932185,1.0,0.9914263266466092,0.983027726947456,0.3902304094148811,0.9914263266466096,0.008398599699153242,0.6011959172317282,-3.3306690738754696e-16,0.44,0.004975124378109453,0.625,0.625,1.0,0.9978496015164446,0.9990436918704244,-0.001194090353979771,0.9914263266466092,-0.006423274869835405,False,D24_Phi24_lift_reference
